,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000041079,0.668355024856983,0.0,0.0,0.6629415598518621,0.6736986050212276,Rwdd2b
ENSMUSG00000020098,0.654177536330149,0.0,0.0,0.6485813969829781,0.6597029553854244,Pcbd1
ENSMUSG00000006611,0.6525211209772112,0.0,0.0,0.6469038988960942,0.6580675349464535,Hfe
ENSMUSG00000018821,0.6275099666280158,0.0,0.0,0.6215810105683895,0.6333670323310917,Avpi1
ENSMUSG00000018919,0.6253262728886985,0.0,0.0,0.6193706877262994,0.6312098945878653,Tm4sf5
ENSMUSG00000028478,0.6126243375492431,0.0,0.0,0.6065157297966293,0.6186606232521831,Clta
ENSMUSG00000089712,0.610829747669062,0.0,0.0,0.6046997776101842,0.6168873541045672,Gm15889
ENSMUSG00000061833,0.6105956055533138,0.0,0.0,0.6044628530309866,0.616655989192737,Gm6311
ENSMUSG00000020629,0.6085753776093795,0.0,0.0,0.6024186624635081,0.6146596800669956,Adi1
ENSMUSG00000021336,0.6033537831881534,0.0,0.0,0.5971355070204809,0.6094995464693552,Slc17a4
ENSMUSG00000025467,0.6014511287368278,0.0,0.0,0.5952105549444234,0.6076191577774174,Prap1
ENSMUSG00000027999,0.5999727375637776,0.0,0.0,0.5937148876261443,0.6061580196945225,Pla2g12a
ENSMUSG00000024650,0.5977053728198178,0.0,0.0,0.5914211109779088,0.6039170343834885,Slc22a6
ENSMUSG00000009646,0.5898083452698464,0.0,0.0,0.5834328870195382,0.5961111172609542,Pla2g12b
ENSMUSG00000027317,0.5880505274083196,0.0,0.0,0.581654937369131,0.5943734177441358,Ppp1r14d
ENSMUSG00000034371,0.5839183769214774,0.0,0.0,0.5774757031879852,0.5902883274509382,Tkfc
ENSMUSG00000022982,0.5817004973157406,0.0,0.0,0.5752326912487941,0.5880955722322417,Sod1
ENSMUSG00000025197,0.5740992760795829,0.0,0.0,0.5675460731374572,0.5805797451746747,Cyp2c44
ENSMUSG00000090619,0.5740825016382342,0.0,0.0,0.5675291115046858,0.5805631579605718,Vmn2r60
ENSMUSG00000058135,0.5734236156028366,0.0,0.0,0.566862877146831,0.5799116217995663,Gstm1
ENSMUSG00000049751,0.5708410850827181,0.0,0.0,0.5642516273153597,0.5773578193919299,Rpl36al
ENSMUSG00000020258,0.5694496936701157,0.0,0.0,0.562844817430151,0.5759818529843546,Glyctk
ENSMUSG00000078439,0.5681564239029906,0.0,0.0,0.5615372508216385,0.5747028872512994,Smim24
ENSMUSG00000076441,0.563288872494641,0.0,0.0,0.5566161859361164,0.5698888860304697,Ass1
ENSMUSG00000052396,0.5625465119928476,0.0,0.0,0.5558657051326764,0.569154652762249,Mogat2
ENSMUSG00000057933,0.5608186913418088,0.0,0.0,0.5541190269062194,0.5674457071808202,Gsta2
ENSMUSG00000031482,0.5594108395129507,0.0,0.0,0.5526958532844339,0.5660531928032154,Slc25a15
ENSMUSG00000003355,0.5557906061254985,0.0,0.0,0.5490364003687781,0.5624722249739285,Fkbp11
ENSMUSG00000073676,0.5547656594619566,0.0,0.0,0.5480003970563307,0.5614583494935987,Hspe1
ENSMUSG00000086784,0.5544010010423681,0.0,0.0,0.5476318098766834,0.5610976251645586,Isoc2a
ENSMUSG00000047719,0.5518756822798238,0.0,0.0,0.5450793559042351,0.558599480817226,Ubiad1
ENSMUSG00000042312,0.5486174062536134,0.0,0.0,0.5417862549876883,0.5553760861589562,S100a13
ENSMUSG00000034424,0.5473244757671073,0.0,0.0,0.5404795636060943,0.5540969408110005,Gcsh
ENSMUSG00000025784,0.5470674694541857,0.0,0.0,0.5402198258622667,0.5538426708717337,Clec3b
ENSMUSG00000025497,0.546761818668586,0.0,0.0,0.5399109283568666,0.553540272737549,Cdhr5
ENSMUSG00000008193,0.5446111756353498,0.0,0.0,0.5377374926802764,0.5514124657197321,Spib
ENSMUSG00000072941,0.544512980875898,0.0,0.0,0.5376382594276803,0.5513153115019849,Sod3
ENSMUSG00000029859,0.5439337330407105,0.0,0.0,0.5370528894288711,0.5507421980359098,Epha1
ENSMUSG00000022949,0.5436316151518286,0.0,0.0,0.5367475810369405,0.5504432770982096,Clic6
ENSMUSG00000033735,0.5418484216477399,0.0,0.0,0.534945592914535,0.5486789174162932,Spr
ENSMUSG00000036880,0.540772270899615,0.0,0.0,0.533858130068478,0.5476141033711155,Acaa2
ENSMUSG00000024640,0.5399067823377636,0.0,0.0,0.5329835604050883,0.5467577162145041,Psat1
ENSMUSG00000021622,0.538675144256796,0.0,0.0,0.5317390249182139,0.5455390052231283,Ckmt2
ENSMUSG00000046598,0.5385256329716765,0.0,0.0,0.5315879500272384,0.5453910612103362,Bdh1
ENSMUSG00000021492,0.5384760456161177,0.0,0.0,0.531537844179012,0.5453419935664919,F12
ENSMUSG00000036430,0.5378769434639011,0.0,0.0,0.5309324815639646,0.5447491667239268,Tbcc
ENSMUSG00000028307,0.5365179436493286,0.0,0.0,0.5295593068259673,0.5434043763222709,Aldob
ENSMUSG00000091780,0.5360968946995668,0.0,0.0,0.5291338735634434,0.5429877225989933,Sco2
ENSMUSG00000002580,0.5346575421476272,0.0,0.0,0.5276795597098913,0.5415633694704521,Mien1
ENSMUSG00000004610,0.5341546472167362,0.0,0.0,0.5271714470976758,0.5410657058364722,Etfb
ENSMUSG00000024248,0.5337736705202031,0.0,0.0,0.5267865209813882,0.5406886889763921,Cox7a2l
ENSMUSG00000020766,0.5311892530970903,0.0,0.0,0.5241753876846543,0.5381310604061653,Galk1
ENSMUSG00000097488,0.5305363886256341,0.0,0.0,0.5235157952275418,0.5374849429933011,4732487G21Rik
ENSMUSG00000052131,0.5301153156303313,0.0,0.0,0.5230903873987967,0.5370682172687938,Akr1b7
ENSMUSG00000030674,0.5287972365698462,0.0,0.0,0.5217587616963375,0.5357637244712832,Qprt
ENSMUSG00000028690,0.5278931924175724,0.0,0.0,0.5208454460020504,0.5348689796386624,Mmachc
ENSMUSG00000021486,0.525545830551662,0.0,0.0,0.5184740857959368,0.532545690519939,Prelid1
ENSMUSG00000039329,0.5250540032198348,0.0,0.0,0.5179772440318741,0.5320588936268801,Tex19.1
ENSMUSG00000022856,0.5227029347472818,0.0,0.0,0.5156022711757934,0.5297318080405882,Tmem41a
ENSMUSG00000052738,0.5217183880734172,0.0,0.0,0.514607746578961,0.5287572731379375,Suclg1
ENSMUSG00000071655,0.5205937233600173,0.0,0.0,0.5134717073217615,0.5276440223353166,Ubxn1
ENSMUSG00000039016,0.5199628270977878,0.0,0.0,0.5128344412816868,0.5270195182613663,Timm8b
