,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000040842,0.8426618635401372,0.0,0.0,0.8398204505027335,0.8454571068124183,Szrd1
ENSMUSG00000026374,0.8408815982553419,0.0,0.0,0.838010861259556,0.8437057867537642,Tsn
ENSMUSG00000040731,0.8403670844318901,0.0,0.0,0.8374878842914599,0.8431996271808901,Eif4h
ENSMUSG00000038965,0.8374053772768169,0.0,0.0,0.8344775631095811,0.8402859121241508,Ube2l3
ENSMUSG00000037503,0.8368111694247102,0.0,0.0,0.8338736228633257,0.8397013128927373,Fam168b
ENSMUSG00000025132,0.8338527065946666,0.0,0.0,0.8308668087362807,0.8367905900941663,Arhgdia
ENSMUSG00000038429,0.8326438972563431,0.0,0.0,0.829638293533658,0.8356012392441571,Usp5
ENSMUSG00000015165,0.829157615903943,0.0,0.0,0.8260953422569387,0.8321709220887453,Hnrnpl
ENSMUSG00000024949,0.8216897918869631,0.0,0.0,0.8185069424491279,0.8248222005479098,Sf1
ENSMUSG00000031819,0.8215704741417388,0.0,0.0,0.8183857072084533,0.8247047771811463,Emc8
ENSMUSG00000021218,0.8196138257807764,0.0,0.0,0.8163976549763656,0.8227791554948948,Gdi2
ENSMUSG00000001910,0.8195702635820661,0.0,0.0,0.8163533944793009,0.8227362832372805,Nacc1
ENSMUSG00000024740,0.819354944458941,0.0,0.0,0.8161346243638143,0.8225243738241816,Ddb1
ENSMUSG00000024454,0.8178826536191542,0.0,0.0,0.8146387613566033,0.8210753740286424,Hdac3
ENSMUSG00000022774,0.8169611525559589,0.0,0.0,0.8137025285259217,0.8201684298021864,Ncbp2
ENSMUSG00000031068,0.8168358299016031,0.0,0.0,0.8135752036809901,0.8200450856088949,Glrx3
ENSMUSG00000030120,0.8153461270671659,0.0,0.0,0.81206172487768,0.8185788777856843,Mlf2
ENSMUSG00000074748,0.8141123192071638,0.0,0.0,0.81080825863539,0.8173644971656326,Atxn7l3b
ENSMUSG00000076432,0.8127223704901275,0.0,0.0,0.8093962000290726,0.8159963996272511,Ywhaq
ENSMUSG00000034432,0.8117570399344474,0.0,0.0,0.8084155366081547,0.8150462233080575,Cops8
ENSMUSG00000007656,0.8113678648695606,0.0,0.0,0.8080201853128254,0.8146631527017252,Arpp19
ENSMUSG00000003131,0.8108649972517692,0.0,0.0,0.8075093416220493,0.8141681686241335,Pafah1b2
ENSMUSG00000003033,0.8100516874790696,0.0,0.0,0.8066831424521681,0.8133675990833721,Ap1m1
ENSMUSG00000039615,0.8099476444622041,0.0,0.0,0.8065774515033307,0.8132651849602963,Stub1
ENSMUSG00000017221,0.8096978341361103,0.0,0.0,0.8063236853241585,0.8130192848166398,Psmd3
ENSMUSG00000057177,0.8087840134350734,0.0,0.0,0.805395404465535,0.8121197576953579,Gsk3a
ENSMUSG00000028847,0.8085443566785027,0.0,0.0,0.8051519581687044,0.8118838469194835,Trappc3
ENSMUSG00000017418,0.8063460832671239,0.0,0.0,0.8029189781899302,0.809719882976267,Arl5b
ENSMUSG00000024735,0.8052066474997667,0.0,0.0,0.8017615907405966,0.8085981948010504,Prpf19
ENSMUSG00000024050,0.803476938034586,0.0,0.0,0.800004679283774,0.806895379776028,Wiz
ENSMUSG00000029466,0.80331073024627,0.0,0.0,0.7998358607916913,0.8067317532825002,Anapc7
ENSMUSG00000035585,0.8030133088541884,0.0,0.0,0.7995337690343006,0.8064389496924796,Tsen34
ENSMUSG00000063015,0.8028509922250373,0.0,0.0,0.7993689043130352,0.8062791525032206,Ccni
ENSMUSG00000006498,0.8025916672508625,0.0,0.0,0.7991055094704709,0.8060238516710159,Ptbp1
ENSMUSG00000052488,0.8022654179590445,0.0,0.0,0.7987741418952606,0.8057026632224288,Cherp
ENSMUSG00000007564,0.8018492599036642,0.0,0.0,0.798351458118788,0.8052929577589756,Ppp2r1a
ENSMUSG00000028452,0.8013654234232589,0.0,0.0,0.7978600389934486,0.8048166190995445,Vcp
