,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000040197,0.47971835644771765,0.0,0.0,0.4721998737516471,0.48716704662329585,Cd209e
ENSMUSG00000024158,0.46192512370326066,0.0,0.0,0.45424434903654626,0.46953723205818315,Hagh
ENSMUSG00000005161,0.4604497757238318,0.0,0.0,0.452755824520307,0.4680751615284731,Prdx2
ENSMUSG00000040657,0.4477125508716177,0.0,0.0,0.43990662489380206,0.45545082953727917,1700063H04Rik
ENSMUSG00000058755,0.4476712815220867,0.0,0.0,0.439864997933289,0.45540992090849725,Osm
ENSMUSG00000026895,0.44635942725568495,0.0,0.0,0.4385417935460406,0.45410951606509115,Ndufa8
ENSMUSG00000049960,0.4446848641994903,0.0,0.0,0.43685279146870065,0.45244952005289507,Mrps16
ENSMUSG00000074754,0.4445326675246535,0.0,0.0,0.43669928520649276,0.4522986446712607,Gm561
ENSMUSG00000054191,0.43853103285061057,0.0,0.0,0.4306463726719033,0.44634875872510005,Klf1
ENSMUSG00000071715,0.43553601238953227,0.0,0.0,0.4276260280868137,0.4433793040807966,Ncf4
ENSMUSG00000030708,0.4327115816190324,0.0,0.0,0.42477787739963135,0.44057882521224107,Dnajb13
ENSMUSG00000030034,0.4306111635386014,0.0,0.0,0.4226599215705267,0.4384961199376707,Ino80b
ENSMUSG00000008822,0.4305195900831757,0.0,0.0,0.4225675854848227,0.4384053167936949,Acyp1
ENSMUSG00000024661,0.428458420236412,0.0,0.0,0.4204892937403465,0.43636144281662714,Fth1
ENSMUSG00000062647,0.4257264106813388,0.0,0.0,0.4177347185793348,0.43365223264034386,Rpl7a
ENSMUSG00000071713,0.4242043408549197,0.0,0.0,0.4162001406200054,0.43214280275161465,Csf2rb
ENSMUSG00000058267,0.4240064096110139,0.0,0.0,0.416000586158171,0.4319465119475961,Mrps14
ENSMUSG00000026348,0.4237670270356386,0.0,0.0,0.4157592414560594,0.4317091123527501,Acmsd
ENSMUSG00000047181,0.42190489768349204,0.0,0.0,0.4138818874553998,0.42986237080724765,Samd14
ENSMUSG00000058794,0.4205412306761197,0.0,0.0,0.41250711448082583,0.4285099303028985,Nfe2
ENSMUSG00000027562,0.4202639675285981,0.0,0.0,0.4122275977255151,0.42823494537927775,Car2
ENSMUSG00000032126,0.42023608955516356,0.0,0.0,0.4121994932423152,0.4282072963927113,Hmbs
ENSMUSG00000059895,0.4179984059107569,0.0,0.0,0.40994367820102223,0.42598794418062297,Ptp4a3
ENSMUSG00000061991,0.4138384799789212,0.0,0.0,0.4057503072619661,0.42186184142499084,Hist1h2af
ENSMUSG00000023216,0.4125692900041365,0.0,0.0,0.4044709810323646,0.42060290470437006,Epb42
ENSMUSG00000028393,0.4095205297370444,0.0,0.0,0.4013980016561247,0.4175786476686369,Alad
ENSMUSG00000109994,0.40555704799016234,0.0,0.0,0.3974033077064008,0.4136467539395755,Gm45459
ENSMUSG00000038997,0.4039527518799799,0.0,0.0,0.3957864657063441,0.4120551578952552,Asb17
ENSMUSG00000024570,0.4025504988390732,0.0,0.0,0.39437328825266643,0.4106639649919705,Rbfa
ENSMUSG00000028998,0.39787351795060427,0.0,0.0,0.38966015041793967,0.40602360020807043,Tomm7
ENSMUSG00000021102,0.3968968904738285,0.0,0.0,0.38867602709484,0.4050545657063532,Glrx5
ENSMUSG00000026815,0.39667091286617434,0.0,0.0,0.38844831772793054,0.40483034239333604,Gfi1b
ENSMUSG00000034796,0.39255252744913344,0.0,0.0,0.38429854734987984,0.4007437566491269,Cpne7
ENSMUSG00000028332,0.3910083391807307,0.0,0.0,0.38274267726312927,0.39921140764533597,Hemgn
ENSMUSG00000062997,0.390832927611626,0.0,0.0,0.3825659416671079,0.3990373380551441,Rpl35
ENSMUSG00000006235,0.39047197836738606,0.0,0.0,0.3822022698392913,0.39867914837768675,Epor
ENSMUSG00000000563,0.38991135791997933,0.0,0.0,0.3816374257988852,0.39812280907933156,Atp5f1
ENSMUSG00000063856,0.3890692371621962,0.0,0.0,0.38078897229862646,0.39728710778132403,Gpx1
ENSMUSG00000040952,0.3882084562786299,0.0,0.0,0.3799217327584492,0.39643287451648795,Rps19
ENSMUSG00000021550,0.3845626352154352,0.0,0.0,0.37624871768831114,0.39281462786476634,2210016F16Rik
ENSMUSG00000040466,0.38347544289594304,0.0,0.0,0.3751534666323916,0.39173560884348374,Blvrb
ENSMUSG00000026520,0.3833427218928584,0.0,0.0,0.37501976343563,0.3916038840546423,Pycr2
ENSMUSG00000031897,0.3824349944818706,0.0,0.0,0.3741053277261667,0.39070296103900365,Psmb10
ENSMUSG00000057388,0.38109522994678285,0.0,0.0,0.3727556916414787,0.38937321054070195,Mrpl18
ENSMUSG00000102308,0.38106912066499427,0.0,0.0,0.3727293903337961,0.3893472960693055,2310046K23Rik
ENSMUSG00000032596,0.37757347326216717,0.0,0.0,0.3692081544883457,0.38587761256364933,Uba7
