,Amnion_1_corr,Amnion_1_pval,Amnion_1_qval,Amnion_1_ci_low,Amnion_1_ci_high,gene_annotation
ENSMUSG00000028044,0.4079809678228011,0.0,0.0,0.39984627907022635,0.41605139154393056,Cks1b
ENSMUSG00000071014,0.3904158183479692,0.0,0.0,0.38214568644393987,0.3986234174936005,Ndufb6
ENSMUSG00000040681,0.38734789925339774,0.0,0.0,0.3790547333180125,0.3955788491714361,Hmgn1
ENSMUSG00000063694,0.3719775320024416,0.0,0.0,0.36357175041377593,0.38032274602745403,Cycs
ENSMUSG00000098659,0.3670049794948272,0.0,0.0,0.35856375901977655,0.3753861872360116,1110015O18Rik
ENSMUSG00000029844,0.36622562497220273,0.0,0.0,0.35777889415666136,0.3746124309492512,Hoxa1
ENSMUSG00000049491,0.36316657482740045,0.0,0.0,0.35469833068355566,0.3715752415641664,Slc36a3
ENSMUSG00000073535,0.3596671385843266,0.0,0.0,0.3511745094659656,0.36810059246692955,Gm5532
ENSMUSG00000052146,0.35817207177298993,0.0,0.0,0.34966909798764895,0.36661604366782513,Rps10
ENSMUSG00000076437,0.3573503785604778,0.0,0.0,0.3488417380123951,0.365800112875892,Selenoh
ENSMUSG00000053317,0.3542088435196974,0.0,0.0,0.3456786598256202,0.3626804892212564,Sec61b
ENSMUSG00000101447,0.35266763488068004,0.0,0.0,0.3441269531910643,0.3611499606843955,Gm28826
ENSMUSG00000028955,0.3514608102815337,0.0,0.0,0.34291194083216053,0.3599514671045958,Vamp3
ENSMUSG00000037335,0.3510290457927059,0.0,0.0,0.3424772539636872,0.3595226763903209,Hand1
ENSMUSG00000030612,0.350482199546441,0.0,0.0,0.34192671166674166,0.35897959139483254,Mrpl46
ENSMUSG00000062456,0.3495002123542662,0.0,0.0,0.34093810211421155,0.35800434394281655,Rpl9-ps6
ENSMUSG00000059291,0.3487370707892951,0.0,0.0,0.340169827124882,0.35724642728666356,Rpl11
ENSMUSG00000032398,0.3471321456876258,0.0,0.0,0.33855414349090823,0.3556524538644593,Snapc5
ENSMUSG00000009013,0.3442709231767164,0.0,0.0,0.33567386638871327,0.35281063279460817,Dynll1
ENSMUSG00000041324,0.3435926018119263,0.0,0.0,0.3349910512486736,0.3521368879036794,Inhba
ENSMUSG00000021660,0.3423959676975992,0.0,0.0,0.3337865116431987,0.35094830560680973,Btf3
ENSMUSG00000029715,0.340151302195317,0.0,0.0,0.3315270927259967,0.3487186694984814,Pop7
ENSMUSG00000021647,0.3394449586301975,0.0,0.0,0.3308161270694533,0.3480170352714481,Cartpt
ENSMUSG00000027832,0.3387771420681701,0.0,0.0,0.33014394953295484,0.3473536623483397,Ptx3
ENSMUSG00000055305,0.3364390439355997,0.0,0.0,0.3277906521439938,0.34503105423685354,Zfp93
ENSMUSG00000038812,0.3346999107774911,0.0,0.0,0.3260402830166226,0.34330337467889527,Trmt112
ENSMUSG00000063316,0.333713145616901,0.0,0.0,0.325047169090401,0.3423230822760604,Rpl27
ENSMUSG00000026078,0.3324820530178018,0.0,0.0,0.3238081825408363,0.34110003883694695,Pdcl3
ENSMUSG00000074807,0.3258245059593893,0.0,0.0,0.3171084617015325,0.3344855147518626,Gm10762
ENSMUSG00000045680,0.3252269168844551,0.0,0.0,0.31650712960456273,0.33389174572921465,Tcf21
ENSMUSG00000028463,0.32423436597918337,0.0,0.0,0.3155083773052296,0.33290552445037164,Car9
ENSMUSG00000024048,0.3228841391269489,0.0,0.0,0.31414974536046947,0.33156387771408735,Myl12a
ENSMUSG00000057497,0.3205299730363637,0.0,0.0,0.3117810102706135,0.32922458737657984,Fam136a
ENSMUSG00000038374,0.3200697893940013,0.0,0.0,0.3113179914408565,0.32876729912049507,Rbm8a
ENSMUSG00000021400,0.31821213527658376,0.0,0.0,0.30944893457458383,0.32692129154089283,Wrnip1
ENSMUSG00000046949,0.31799981911146175,0.0,0.0,0.3092353194709018,0.32671030225702585,Nqo2
ENSMUSG00000021018,0.3177155528466457,0.0,0.0,0.3089493154656084,0.32642781117009984,Polr2h
ENSMUSG00000028821,0.317441644500114,0.0,0.0,0.308673734197159,0.32615561184631364,Syf2
ENSMUSG00000049792,0.31621533784022116,0.0,0.0,0.3074399557973299,0.3249369388829948,Bag5
ENSMUSG00000002831,0.316075254896745,0.0,0.0,0.3072990212228793,0.32479772610540547,Plin4
ENSMUSG00000078348,0.3154627014834108,0.0,0.0,0.3066827483279069,0.3241889733055689,Sf3b5
ENSMUSG00000037070,0.3146681425072259,0.0,0.0,0.3058833756825135,0.323399333436737,Rbmxl1
