,Blood_2_corr,Blood_2_pval,Blood_2_qval,Blood_2_ci_low,Blood_2_ci_high,gene_annotation
ENSMUSG00000052187,0.4079769117023125,0.0,0.0,0.3998421909728911,0.41604736778406526,Hbb-y
ENSMUSG00000069919,0.3139989461673008,0.0,0.0,0.3052101347651644,0.32273427065148386,Hba-a1
ENSMUSG00000055609,0.30019874150467624,0.0,0.0,0.29132848101475933,0.30901738501793796,Hba-x
ENSMUSG00000052217,0.26902956404792006,0.0,0.0,0.2599890834269587,0.27802288507382433,Hbb-bh1
ENSMUSG00000038489,0.2663847456189796,0.0,0.0,0.2573306975263318,0.2753920264625726,Polr2l
ENSMUSG00000045316,0.25682128259804143,0.0,0.0,0.24771931911910036,0.26587791499919494,Fahd1
ENSMUSG00000052305,0.24774486001941098,0.0,0.0,0.23859907810603656,0.25684669853217634,Hbb-bs
ENSMUSG00000035692,0.2467343026858762,0.0,0.0,0.23758374188582326,0.25584107603463124,Isg15
ENSMUSG00000036390,0.24291612742139215,0.0,0.0,0.23374769110529336,0.2520413680763201,Gadd45a
ENSMUSG00000016252,0.24248178797155176,0.0,0.0,0.2333113362929744,0.25160911156401855,Atp5e
ENSMUSG00000069917,0.2409464970729475,0.0,0.0,0.23176895114731716,0.2500811541899251,Hba-a2
ENSMUSG00000027078,0.23779390833344277,0.0,0.0,0.22860193963245712,0.24694348157567306,Ube2l6
ENSMUSG00000002020,0.23653906847029219,0.0,0.0,0.2273414131336033,0.24569452546612833,Ltbp2
ENSMUSG00000073940,0.23321255449932787,0.0,0.0,0.22399997334003224,0.24238346190439317,Hbb-bt
ENSMUSG00000061477,0.22025001249428452,0.0,0.0,0.21098133543075726,0.22947908750788704,Rps7
ENSMUSG00000049960,0.21791543257303816,0.0,0.0,0.2086370019037669,0.22715463884101078,Mrps16
ENSMUSG00000036181,0.2151725998830895,0.0,0.0,0.2058828461962134,0.22442357457673798,Hist1h1c
ENSMUSG00000061983,0.21316736592391397,0.0,0.0,0.20386942731198937,0.2224268523348107,Rps12
ENSMUSG00000057388,0.21290754031251213,0.0,0.0,0.2036085469053497,0.22216812393363528,Mrpl18
ENSMUSG00000070803,0.20897774657438173,0.0,0.0,0.19966296068412273,0.21825476616977144,Cited4
ENSMUSG00000071711,0.2088085973216353,0.0,0.0,0.19949313845927868,0.2180863176693992,Mpst
ENSMUSG00000027327,0.20670078556054894,0.0,0.0,0.1973769875540091,0.21598719179590442,1700037H04Rik
ENSMUSG00000032526,0.20020238991680628,0.0,0.0,0.1908534291229009,0.20951503445805003,Deb1
ENSMUSG00000022652,0.19560345528242634,0.0,0.0,0.18623718566369826,0.20493417560655483,Morc1
ENSMUSG00000097615,0.1913326112550315,0.0,0.0,0.18195063792901686,0.2006797517319694,Gm2061
ENSMUSG00000038967,0.19053638603711814,0.0,0.0,0.1811515244600324,0.19988654877427375,Pdk2
ENSMUSG00000021102,0.1902368308896179,0.0,0.0,0.18085088590545298,0.1995881274861396,Glrx5
ENSMUSG00000049760,0.19008081578726885,0.0,0.0,0.18069430723483584,0.1994327022364185,2410015M20Rik
ENSMUSG00000063856,0.18883726921936902,0.0,0.0,0.17944628565406853,0.19819384037279997,Gpx1
ENSMUSG00000021606,0.18713584614533427,0.0,0.0,0.17773878882746932,0.19649877848750336,Ndufs6
ENSMUSG00000024661,0.18586105848787415,0.0,0.0,0.1764594875017605,0.19522872026202115,Fth1
ENSMUSG00000111410,0.17908898930879377,9.91344533293476e-292,4.0263839506073486e-291,0.16966397281384016,0.18848124848070555,RP23-276M23.6
ENSMUSG00000110633,0.17868435690408363,2.1469455936824733e-290,8.634202819998703e-290,0.16925796790981712,0.1880780576991866,RP23-459B8.2
ENSMUSG00000005161,0.17853958274795803,6.440050884825107e-290,2.5810664271013064e-289,0.16911270346182103,0.1879337985749488,Prdx2
ENSMUSG00000010048,0.1758371619474027,4.335780229438484e-281,1.6173211211360328e-280,0.16640120582173015,0.1852409171974465,Ifrd2
ENSMUSG00000026688,0.17358220245983194,7.7964643414017e-274,2.7550200418839165e-273,0.16413878162941337,0.18299380951969843,Mgst3
ENSMUSG00000021361,0.1734870376331105,1.5697914884488623e-273,5.533599515347663e-273,0.16404330395865793,0.18289897389589346,Tmem14c
ENSMUSG00000019853,0.1709648078357901,1.5343402796923308e-265,5.087254901688873e-265,0.161512847093568,0.18038540538514333,Hebp2
ENSMUSG00000002416,0.16960538198138658,2.7545993082912844e-261,8.878944757406802e-261,0.160149038577275,0.17903059673947844,Ndufb2
ENSMUSG00000040466,0.16784298097766745,7.958288214630415e-256,2.468939755441066e-255,0.15838100949815057,0.17727412841338322,Blvrb
ENSMUSG00000033938,0.1566567918729819,1.3712215898332645e-222,3.418932921050707e-222,0.14716051286544202,0.16612419371002884,Ndufb7
ENSMUSG00000044894,0.15515476263235387,2.592680544786456e-218,6.290068452134097e-218,0.14565406307050185,0.1646268481680614,Uqcrq
ENSMUSG00000024608,0.15491584111734072,1.2301994377452545e-217,2.9751631792278845e-217,0.14541444245759405,0.16438866764489768,Rps14
ENSMUSG00000024014,0.152321430910025,2.299988299696908e-210,5.316760449501788e-210,0.1428125126270323,0.16180223262277801,Pim1
ENSMUSG00000030432,0.14947666397575432,1.5328069479562633e-202,3.3767138794277413e-202,0.13995965149760953,0.15896606074196926,Rpl28
ENSMUSG00000022354,0.14836685060917776,1.5681236788043632e-199,3.3885383349766524e-199,0.1388467232313221,0.1578595580455355,Ndufb9
ENSMUSG00000002043,0.1447990793050082,5.139066870472642e-190,1.0460484977934363e-189,0.13526910121019875,0.154302268206921,Trappc6a
ENSMUSG00000023216,0.141893596199744,1.9038058827963933e-182,3.716781332253264e-182,0.13235577956234548,0.15140513885262102,Epb42
ENSMUSG00000032330,0.14136028130371206,4.4808170184583924e-181,8.690498415134724e-181,0.13182104376495501,0.1508733395751693,Cox7a2
ENSMUSG00000048012,0.14083046478991926,1.0202673262544431e-179,1.962673618600571e-179,0.13128982116773347,0.15034502328584692,Zfp473
ENSMUSG00000108546,0.14057698269052543,4.531311159993421e-179,8.68619234854454e-179,0.13103566828834803,0.15009225702255696,Gm44662
ENSMUSG00000036751,0.1392910215708112,8.361365892603634e-176,1.573090079656739e-175,0.1297463234990194,0.14880990830773683,Cox6b1
ENSMUSG00000031762,0.13841413299630762,1.353018978014483e-173,2.515091001530253e-173,0.12886714613093045,0.1479354646498257,Mt2
ENSMUSG00000057863,0.13750241135004804,2.5855821966493517e-171,4.746258997542795e-171,0.12795306068601606,0.1470262692549165,Rpl36
ENSMUSG00000097148,0.13723901700361066,1.1712879486559037e-170,2.1424019753706136e-170,0.1276889864638969,0.14676360174054504,Gm3839
ENSMUSG00000027811,0.1341851943706672,3.7967970927191693e-163,6.670408745648734e-163,0.12462738013084426,0.1437181080078683,4930579G24Rik
ENSMUSG00000006574,0.13261119285942286,2.407461086146931e-159,4.1438575846241904e-159,0.12304943782148087,0.14214832885795983,Slc4a1
ENSMUSG00000058794,0.13142358408189536,1.6569522243194617e-156,2.807168852573242e-156,0.12185888765080477,0.14096387416421857,Nfe2
ENSMUSG00000021550,0.13137014503462738,2.220107667851401e-156,3.757882348230789e-156,0.12180531689621837,0.14091057639970314,2210016F16Rik
ENSMUSG00000074203,0.1304177545025655,3.9981916242408095e-154,6.690539855395335e-154,0.12085058842309658,0.13996069453323307,G430095P16Rik
ENSMUSG00000026686,0.1258120439201066,1.8537333297332387e-143,2.933285686492039e-143,0.11623382142853664,0.13536686785257993,Lmx1a
ENSMUSG00000020029,0.12409123179597485,1.415372874932502e-139,2.1961849728460335e-139,0.11450898454945714,0.13365039043722524,Nudt4
ENSMUSG00000022210,0.11590127100852778,7.436296104584114e-122,1.0626619053591127e-121,0.10630066024116698,0.1254802739622439,Dhrs4
ENSMUSG00000030000,0.11288179208939857,1.2282552822063365e-115,1.7028699355542364e-115,0.10327474115180946,0.12246778340914966,Add2
ENSMUSG00000021135,0.11136270195625565,1.4241369607796962e-112,1.9463073009219648e-112,0.10175247822249762,0.12095214231084539,Slc10a1
