,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000020469,0.7826213297964987,0.0,0.0,0.7788257749954531,0.7863595722261966,Myl7
ENSMUSG00000061086,0.6815414733386591,0.0,0.0,0.6763014896227825,0.6867124859228867,Myl4
ENSMUSG00000013936,0.6528399550437584,0.0,0.0,0.6472267868344288,0.6583823318872616,Myl2
ENSMUSG00000091898,0.6482852270387083,0.0,0.0,0.6426143380668091,0.6538850925409021,Tnnc1
ENSMUSG00000002100,0.6464123026610181,0.0,0.0,0.6407177979062589,0.6520356929346087,Mybpc3
ENSMUSG00000059741,0.6218122797106533,0.0,0.0,0.6158140412676804,0.6277384441403049,Myl3
ENSMUSG00000068614,0.6027807519864886,0.0,0.0,0.5965557528034523,0.6089332284257604,Actc1
ENSMUSG00000018845,0.6018819480962693,0.0,0.0,0.5956464168978399,0.6080449415416839,Unc45b
ENSMUSG00000067818,0.5718701811336069,0.0,0.0,0.565292151740797,0.5783754830427231,Myl9
ENSMUSG00000001349,0.5574742961553556,0.0,0.0,0.5507382983173684,0.5641376846469219,Cnn1
ENSMUSG00000019787,0.5494259870928888,0.0,0.0,0.5426034584830612,0.5561760297089482,Trdn
ENSMUSG00000026414,0.5463279880566705,0.0,0.0,0.5394724926266303,0.5531110557625247,Tnnt2
ENSMUSG00000019528,0.4987444193830171,0.0,0.0,0.4914063782516399,0.5060116544275013,Gyg
ENSMUSG00000007122,0.4971167214164403,0.0,0.0,0.4897629641019423,0.5043997514591642,Casq1
ENSMUSG00000032648,0.49317111001428743,0.0,0.0,0.4857794728366983,0.5004922171589793,Pygm
ENSMUSG00000030470,0.49177286426403105,0.0,0.0,0.48436787690108624,0.4991073935842199,Csrp3
ENSMUSG00000026418,0.4752686400356751,0.0,0.0,0.46770898638967584,0.4827587669049265,Tnni1
ENSMUSG00000015579,0.46277661169096324,0.0,0.0,0.4551034612997155,0.4703810380477474,Nkx2-5
ENSMUSG00000020475,0.46095884146830146,0.0,0.0,0.4532694319554544,0.4685796506338919,Pgam2
ENSMUSG00000041616,0.4606207394257773,0.0,0.0,0.45292831292585356,0.46824458877472463,Nppa
ENSMUSG00000029683,0.45915180627523144,0.0,0.0,0.4514462981880839,0.466788838683558,Lmod2
ENSMUSG00000030785,0.4373209829301793,0.0,0.0,0.42942607002109173,0.44514905864866383,Cox6a2
ENSMUSG00000022490,0.42787124577469915,0.0,0.0,0.41989725699358976,0.43577918057825404,Ppp1r1a
ENSMUSG00000027488,0.42131131047812376,0.0,0.0,0.4132834614634292,0.4292736747470585,Snta1
ENSMUSG00000040666,0.4187751788696558,0.0,0.0,0.41072673399354054,0.4267583645975342,Sh3bgr
ENSMUSG00000030399,0.41517806588803985,0.0,0.0,0.4071006260153845,0.4231905718209672,Ckm
ENSMUSG00000038663,0.4147373705632419,0.0,0.0,0.40665639591551034,0.4227534515335887,Fsd2
ENSMUSG00000035783,0.4114189296750368,0.0,0.0,0.4033114608499655,0.41946181092473084,Acta2
ENSMUSG00000001504,0.4105434189332581,0.0,0.0,0.40242899621846623,0.41859333569024154,Irx2
ENSMUSG00000006221,0.4030004381575005,0.0,0.0,0.39482672866086693,0.4111103595728175,Hspb7
ENSMUSG00000026787,0.4013433849739931,0.0,0.0,0.3931568012055158,0.40946634186508846,Gad2
ENSMUSG00000026564,0.3909966821734402,0.0,0.0,0.38273093224862603,0.39919983983783824,Dusp27
ENSMUSG00000026208,0.3909407570478351,0.0,0.0,0.382674584940795,0.3991443426167645,Des
ENSMUSG00000035458,0.37779575417822664,0.0,0.0,0.36943205536937884,0.3860982494841159,Tnni3
ENSMUSG00000040752,0.3728255460742632,0.0,0.0,0.36442585669409555,0.3811645743076497,Myh6
ENSMUSG00000068697,0.3542498731356619,0.0,0.0,0.3457199695537486,0.3627212338900836,Myoz1
ENSMUSG00000053093,0.34459021958653546,0.0,0.0,0.33599528121566347,0.353127771921918,Myh7
ENSMUSG00000031880,0.33876136894259995,0.0,0.0,0.33012807351159074,0.3473379940730829,Rrad
ENSMUSG00000042258,0.3387603933913207,0.0,0.0,0.3301270915964749,0.34733702500652835,Isl1
ENSMUSG00000079243,0.3376219945526087,0.0,0.0,0.32898127934582067,0.34620618089638255,Xirp1
ENSMUSG00000070369,0.3331296795326354,0.0,0.0,0.3244599580254781,0.3417434346613578,Itgad
ENSMUSG00000067279,0.33281457971363104,0.0,0.0,0.3241428385152042,0.34143039427465904,Ppp1r3c
ENSMUSG00000021798,0.33280685590261927,0.0,0.0,0.3241350652214516,0.3414227209210016,Ldb3
ENSMUSG00000061816,0.3307468203224584,0.0,0.0,0.32206187378963114,0.3393761019359044,Myl1
ENSMUSG00000032609,0.32868223275830144,0.0,0.0,0.3199841848746629,0.3373248786387393,Klhdc8b
ENSMUSG00000038583,0.3252776706680196,0.0,0.0,0.3165582010140629,0.33394217533947396,Pln
ENSMUSG00000026417,0.32402687119068824,0.0,0.0,0.3152995885458954,0.3326993504857572,Pigr
ENSMUSG00000034413,0.32281425678809783,0.0,0.0,0.3140794289813779,0.33149443849217747,Neurl1b
