,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000033307,0.31283307677314665,0.0,0.0,0.30403723992095455,0.32157558210357123,Mif
ENSMUSG00000106718,0.30884184951066196,0.0,0.0,0.30002216368062984,0.31760873944007756,Gm20052
ENSMUSG00000090862,0.30303463629606825,0.0,0.0,0.2941808083911362,0.3118364575686906,Rps13
ENSMUSG00000059291,0.28893592864615864,0.0,0.0,0.2800019626409643,0.29781985196940725,Rpl11
ENSMUSG00000059070,0.28418855996603115,0.0,0.0,0.27522848660547977,0.29309926676554415,Rpl18
ENSMUSG00000025362,0.27982454743766855,0.0,0.0,0.2708408646129774,0.28875949163312853,Rps26
ENSMUSG00000042462,0.27812250307110503,0.0,0.0,0.26912971330176155,0.2870668007590097,Dctpp1
ENSMUSG00000098274,0.2776377133693983,0.0,0.0,0.2686423400765144,0.28658466497191853,Rpl24
ENSMUSG00000021520,0.27139671844172697,0.0,0.0,0.2623684971446228,0.28037743079660715,Uqcrb
ENSMUSG00000052146,0.27086640876904444,0.0,0.0,0.26183543149320937,0.27984995521699285,Rps10
ENSMUSG00000057841,0.27068976541387574,0.0,0.0,0.26165787135945323,0.2796742546790685,Rpl32
ENSMUSG00000047675,0.26640906322860897,0.0,0.0,0.2573551392569721,0.27541621633413654,Rps8
ENSMUSG00000027133,0.2645704346186116,0.0,0.0,0.25550715866447643,0.2735872136908876,Nop10
ENSMUSG00000003970,0.263845663184509,0.0,0.0,0.25477871895787135,0.2728662188105314,Rpl8
ENSMUSG00000063316,0.2592863745889098,0.0,0.0,0.250196590476426,0.26833045484679907,Rpl27
ENSMUSG00000025208,0.2548256494963496,0.0,0.0,0.24571391329684739,0.26389235769901287,Mrpl43
ENSMUSG00000030879,0.2504277293590369,0.0,0.0,0.24129473164195317,0.2595163710495824,Mrpl17
ENSMUSG00000000088,0.2499045503604446,0.0,0.0,0.24076904856997386,0.2589957764297119,Cox5a
ENSMUSG00000038880,0.2494464929688986,0.0,0.0,0.2403088031948398,0.25853997739492895,Mrps34
ENSMUSG00000014226,0.24648472853335995,0.0,0.0,0.23733299058561252,0.255592717588151,Cacybp
ENSMUSG00000058558,0.24591304217651613,0.0,0.0,0.23675861239484788,0.2550238114543613,Rpl5
ENSMUSG00000008683,0.24527064260461526,0.0,0.0,0.23611319566491878,0.25438452847139176,Rps15a
ENSMUSG00000055762,0.23871504340238542,0.0,0.0,0.22952726868337042,0.24786027823518644,Eef1d
ENSMUSG00000057322,0.23582528628993132,0.0,0.0,0.22662441001439498,0.2449840765384334,Rpl38
ENSMUSG00000046330,0.2350628791075303,0.0,0.0,0.2258585734874399,0.24422521881600545,Rpl37a
ENSMUSG00000027404,0.23427696000585405,0.0,0.0,0.2250691311920986,0.24344294688980078,Snrpb
ENSMUSG00000005503,0.23245608674171578,0.0,0.0,0.22324014159320604,0.24163047783972963,Evx1
ENSMUSG00000070493,0.23127094983486834,0.0,0.0,0.2220497569357278,0.24045077652304084,Chchd2
ENSMUSG00000048758,0.2277711216528659,0.0,0.0,0.2185345920613439,0.2369668418848163,Rpl29
ENSMUSG00000023723,0.22717749187316533,0.0,0.0,0.21793838469691637,0.23637588445630142,Mrps23
ENSMUSG00000019689,0.22585103248709065,0.0,0.0,0.2166061906445798,0.2350553718187653,Fmc1
ENSMUSG00000003429,0.22483676045132084,0.0,0.0,0.21558755684648578,0.23404562401730789,Rps11
ENSMUSG00000036781,0.22338077927104164,0.0,0.0,0.21412534957103835,0.23259610261782498,Rps27l
ENSMUSG00000061787,0.2233265979219536,0.0,0.0,0.21407093733109195,0.23254216086610874,Rps17
ENSMUSG00000041841,0.22183995263769057,0.0,0.0,0.21257797919848337,0.23106206761167566,Rpl37
