,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000041841,0.27279145087556234,0.0,0.0,0.26377050419981785,0.2817646835792313,Rpl37
ENSMUSG00000078572,0.2510851287287056,0.0,0.0,0.241955285098032,0.2601705155355536,Ndufaf8
ENSMUSG00000060126,0.24298945306766492,0.0,0.0,0.23382135735157494,0.25211434171961417,Tpt1
ENSMUSG00000025362,0.2409051497045525,0.0,0.0,0.2317274133597707,0.25004000369365514,Rps26
ENSMUSG00000003970,0.24006233198641114,0.0,0.0,0.2308807214639658,0.24920119179114456,Rpl8
ENSMUSG00000070493,0.23974142990320693,0.0,0.0,0.23055834794630298,0.24888181131429188,Chchd2
ENSMUSG00000058546,0.23773368448299007,0.0,0.0,0.22854144215772065,0.24688354080015393,Rpl23a
ENSMUSG00000030034,0.23665762068247534,0.0,0.0,0.22746050127781356,0.24581252310528176,Ino80b
ENSMUSG00000062647,0.23578096623228093,0.0,0.0,0.2265798902915091,0.2449399631242874,Rpl7a
ENSMUSG00000003429,0.2337370151406947,0.0,0.0,0.22452677281607783,0.24290550080902037,Rps11
ENSMUSG00000048758,0.23305828876213344,0.0,0.0,0.2238450206786862,0.24222990749015158,Rpl29
ENSMUSG00000008683,0.23227831854279374,0.0,0.0,0.22306158448966817,0.24145352669743075,Rps15a
ENSMUSG00000006333,0.23165299483566268,0.0,0.0,0.22243349061796844,0.24083107224944753,Rps9
ENSMUSG00000057841,0.23151713213517663,0.0,0.0,0.22229702706192647,0.24069583194816768,Rpl32
ENSMUSG00000044533,0.22908600368529083,0.0,0.0,0.21985520796305497,0.23827578046587045,Rps2
ENSMUSG00000061787,0.22805399077698027,0.0,0.0,0.21881869185012476,0.23724843521932062,Rps17
ENSMUSG00000008668,0.2227844671597981,0.0,0.0,0.2135264994709509,0.23200242435895152,Rps18
ENSMUSG00000040952,0.22222856546665345,0.0,0.0,0.21296823804753043,0.23144897184409904,Rps19
ENSMUSG00000036781,0.221422992473693,0.0,0.0,0.21215925623147863,0.2306469374340136,Rps27l
ENSMUSG00000058558,0.21344900773432882,0.0,0.0,0.20415221397475422,0.22270730333495029,Rpl5
ENSMUSG00000024608,0.2132435737161836,0.0,0.0,0.20394594472997257,0.22250273806399068,Rps14
ENSMUSG00000019689,0.21324149917697707,0.0,0.0,0.20394386176058732,0.22250067229351625,Fmc1
ENSMUSG00000026895,0.21278280019730517,0.0,0.0,0.20348330086087824,0.222043910116567,Ndufa8
ENSMUSG00000043716,0.21262833653313032,0.0,0.0,0.20332821113447072,0.22189009774227342,Rpl7
ENSMUSG00000012848,0.21219047171365768,0.0,0.0,0.2028885741258733,0.22145407665707786,Rps5
ENSMUSG00000030652,0.21215404356296835,0.0,0.0,0.20285199870693524,0.22141780172891365,Coq7
ENSMUSG00000053565,0.21135866974111672,0.0,0.0,0.2020534158939787,0.22062576698356576,Eif3k
ENSMUSG00000030432,0.211177100014903,0.0,0.0,0.20187111534680244,0.22044495779577555,Rpl28
ENSMUSG00000000740,0.20976890038739804,0.0,0.0,0.20045726958731164,0.21904263504733026,Rpl13
ENSMUSG00000090862,0.2070740259797388,0.0,0.0,0.19775169829505165,0.21635890041754785,Rps13
ENSMUSG00000098274,0.20612018796842582,0.0,0.0,0.19679410820426332,0.21540897165535663,Rpl24
ENSMUSG00000009927,0.20559940846162103,0.0,0.0,0.1962712876343243,0.21489031911346124,Rps25
ENSMUSG00000059070,0.20523860509266847,0.0,0.0,0.19590907329827623,0.21453098626264339,Rpl18
ENSMUSG00000063457,0.20427921250387787,0.0,0.0,0.19494594126814782,0.21357549161133094,Rps15
ENSMUSG00000073702,0.20028545458090471,0.0,0.0,0.19093681021609182,0.20959776888427978,Rpl31
ENSMUSG00000059291,0.1951388237669695,0.0,0.0,0.18577082843207904,0.20447134755593216,Rpl11
ENSMUSG00000021520,0.19419558447736582,0.0,0.0,0.18482409878077738,0.20353175661084957,Uqcrb
ENSMUSG00000041453,0.19395449073797622,0.0,0.0,0.18458211568940314,0.20329159263562227,Rpl21
ENSMUSG00000024844,0.19309947381111695,0.0,0.0,0.18372395391762092,0.20243986397471536,Banf1
ENSMUSG00000028081,0.19205817634916805,0.0,0.0,0.18267884575148963,0.20140255210085847,Rps3a1
ENSMUSG00000106718,0.19181684558814294,0.0,0.0,0.18243663484837525,0.20116214204670718,Gm20052
ENSMUSG00000047675,0.1914429650570304,0.0,0.0,0.18206139300950014,0.20078968569316116,Rps8
ENSMUSG00000061518,0.19103631313428127,0.0,0.0,0.18165326355987313,0.20038457971220416,Cox5b
ENSMUSG00000046364,0.1899428159990663,0.0,0.0,0.1805558093510482,0.19929522379743575,Rpl27a
ENSMUSG00000028998,0.189773827774618,0.0,0.0,0.18038621168856647,0.199126873491943,Tomm7
ENSMUSG00000040797,0.1880732938259637,0.0,0.0,0.17867957601645335,0.1974327282122705,Iqsec3
ENSMUSG00000033307,0.18745749723432345,0.0,0.0,0.17806158381162107,0.1968192312947696,Mif
ENSMUSG00000000563,0.18661340018542766,0.0,0.0,0.1772144891906819,0.19597827458931924,Atp5f1
ENSMUSG00000062328,0.1862758688986007,0.0,0.0,0.17687576315457298,0.1956419951843759,Rpl17
