,Blood_4_corr,Blood_4_pval,Blood_4_qval,Blood_4_ci_low,Blood_4_ci_high,gene_annotation
ENSMUSG00000055609,0.8042576432585656,0.0,0.0,0.8007976547675132,0.8076639532158963,Hba-x
ENSMUSG00000052217,0.7708292697839588,0.0,0.0,0.7668547476376015,0.774744674716527,Hbb-bh1
ENSMUSG00000069919,0.7630954081048122,0.0,0.0,0.759005010925742,0.7671255704708978,Hba-a1
ENSMUSG00000069917,0.7389213282219619,0.0,0.0,0.7344764003854412,0.7433028592384934,Hba-a2
ENSMUSG00000052187,0.7313055000844161,0.0,0.0,0.7267512855022067,0.7357954238697758,Hbb-y
ENSMUSG00000073940,0.7140360210723776,0.0,0.0,0.7092382572971887,0.718767644289305,Hbb-bt
ENSMUSG00000040466,0.7032196353990234,0.0,0.0,0.6982723447405019,0.7080997502898904,Blvrb
ENSMUSG00000070803,0.6954712216621671,0.0,0.0,0.6904182433268605,0.7004563400823568,Cited4
ENSMUSG00000063856,0.6940382691920708,0.0,0.0,0.6889658760225238,0.6990426811269592,Gpx1
ENSMUSG00000027078,0.675917165678712,0.0,0.0,0.6706027667780533,0.6811621874479812,Ube2l6
ENSMUSG00000036390,0.6657987372403801,0.0,0.0,0.6603520405474758,0.6711753872929294,Gadd45a
ENSMUSG00000052305,0.6604855348850248,0.0,0.0,0.6549701810418751,0.6659305215511727,Hbb-bs
ENSMUSG00000027327,0.6550516157370205,0.0,0.0,0.6494666235220772,0.6605659348220881,1700037H04Rik
ENSMUSG00000058794,0.6489649086355226,0.0,0.0,0.6433026069831843,0.6545562204833543,Nfe2
ENSMUSG00000005161,0.6416533835883983,0.0,0.0,0.6358991860180457,0.6473362469751206,Prdx2
ENSMUSG00000024661,0.6390598708950377,0.0,0.0,0.6332733308241327,0.6447749639934941,Fth1
ENSMUSG00000021102,0.6342123463263665,0.0,0.0,0.6283657122065679,0.6399873357137308,Glrx5
ENSMUSG00000023216,0.6319450239079749,0.0,0.0,0.6260704418564295,0.6377478745373116,Epb42
ENSMUSG00000038489,0.6109360672012485,0.0,0.0,0.6048073609648681,0.6169924122150451,Polr2l
ENSMUSG00000049960,0.6094768742546554,0.0,0.0,0.6033308420941077,0.6155505129259154,Mrps16
ENSMUSG00000042453,0.6013857784119218,0.0,0.0,0.5951444400369515,0.6075545709844983,Reln
ENSMUSG00000002020,0.5947161983718156,0.0,0.0,0.5883972718751208,0.6009624871039128,Ltbp2
ENSMUSG00000030000,0.5896548811775512,0.0,0.0,0.5832776629119436,0.5959594119279941,Add2
ENSMUSG00000026686,0.5865147962200621,0.0,0.0,0.58010166790151,0.5928552147760799,Lmx1a
ENSMUSG00000073063,0.5748109407607171,0.0,0.0,0.5682656846391527,0.5812834616842265,Hbq1b
ENSMUSG00000045316,0.563221066821865,0.0,0.0,0.5565476381198496,0.5698218231197332,Fahd1
ENSMUSG00000034248,0.5631356173391588,0.0,0.0,0.5564612535088417,0.5697373095490124,Slc25a37
ENSMUSG00000059895,0.5560632156352358,0.0,0.0,0.5493119541577097,0.5627418864501226,Ptp4a3
