,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000020469,0.8172813257618567,0.0,0.0,0.8140278183304496,0.8204835470994736,Myl7
ENSMUSG00000061086,0.716136867612998,0.0,0.0,0.7113684154712794,0.7208393912042873,Myl4
ENSMUSG00000013936,0.68105723925184,0.0,0.0,0.6758108239598655,0.6862346474980825,Myl2
ENSMUSG00000002100,0.6772438078752483,0.0,0.0,0.671946905244729,0.6824714269478658,Mybpc3
ENSMUSG00000091898,0.6695118957854068,0.0,0.0,0.6641135126543203,0.6748404689259816,Tnnc1
ENSMUSG00000059741,0.6533160187847203,0.0,0.0,0.6477089073204924,0.6588523640273802,Myl3
ENSMUSG00000068614,0.6354300878293033,0.0,0.0,0.6295985061034135,0.6411900729074842,Actc1
ENSMUSG00000018845,0.6192111591252308,0.0,0.0,0.6131815053992474,0.6251686626167738,Unc45b
ENSMUSG00000067818,0.601556259790418,0.0,0.0,0.5953169161825139,0.6077230603427168,Myl9
ENSMUSG00000001349,0.58959857869521,0.0,0.0,0.5832207148368374,0.5959037545815815,Cnn1
ENSMUSG00000026414,0.5882852597818763,0.0,0.0,0.5818923545306978,0.5946054670056432,Tnnt2
ENSMUSG00000019787,0.5612460543670774,0.0,0.0,0.5545510487151961,0.5678684069184026,Trdn
ENSMUSG00000019528,0.5348279431491575,0.0,0.0,0.5278517298041044,0.54173199680056,Gyg
ENSMUSG00000007122,0.5156502673075516,0.0,0.0,0.5084785505592879,0.5227504488616214,Casq1
ENSMUSG00000032648,0.5129600235900209,0.0,0.0,0.5057614622050882,0.5200871547663912,Pygm
ENSMUSG00000026418,0.5102738328449515,0.0,0.0,0.5030486097563913,0.5174277347522059,Tnni1
ENSMUSG00000030470,0.5092960020416485,0.0,0.0,0.5020611088702462,0.5164596147575728,Csrp3
ENSMUSG00000020475,0.4855344154494393,0.0,0.0,0.4780703342876155,0.49292837299972553,Pgam2
ENSMUSG00000015579,0.4794952749744237,0.0,0.0,0.47197471892629117,0.4869460515692371,Nkx2-5
ENSMUSG00000022490,0.4778697652624462,0.0,0.0,0.47033413110550476,0.48533571599759723,Ppp1r1a
ENSMUSG00000041616,0.4740876516746192,0.0,0.0,0.4665171364859614,0.48158871241268936,Nppa
ENSMUSG00000029683,0.46921616205135547,0.0,0.0,0.46160113436489114,0.4767620415310134,Lmod2
ENSMUSG00000030785,0.45768437981659055,0.0,0.0,0.44996584600592104,0.4653345404380856,Cox6a2
ENSMUSG00000001504,0.4455878164858979,0.0,0.0,0.43776352265520135,0.45334462423117794,Irx2
ENSMUSG00000035783,0.44188810932841094,0.0,0.0,0.43403204454171546,0.4496769742035948,Acta2
ENSMUSG00000027488,0.43701512028072365,0.0,0.0,0.4291176203676525,0.44484580766549386,Snta1
ENSMUSG00000040666,0.43444659613401604,0.0,0.0,0.42652744417385763,0.4422991444968858,Sh3bgr
ENSMUSG00000026787,0.43212064060194516,0.0,0.0,0.4241819934539313,0.4399928761567806,Gad2
ENSMUSG00000038663,0.43014100038944636,0.0,0.0,0.42218584462102954,0.4380299100695248,Fsd2
ENSMUSG00000030399,0.42765619202295546,0.0,0.0,0.41968042411872175,0.4355659242814883,Ckm
ENSMUSG00000026564,0.4219903968455843,0.0,0.0,0.41396808415835123,0.429947164900733,Dusp27
ENSMUSG00000006221,0.418571461646269,0.0,0.0,0.4105213678795446,0.4265563145188474,Hspb7
ENSMUSG00000026208,0.4160121522784144,0.0,0.0,0.40794141299362596,0.4240178816708832,Des
ENSMUSG00000035458,0.3911034454050522,0.0,0.0,0.38283850161322314,0.3993057860162127,Tnni3
ENSMUSG00000040752,0.38933095416386554,0.0,0.0,0.38105265591710696,0.3975468311823655,Myh6
ENSMUSG00000068697,0.36342693042087354,0.0,0.0,0.35496051011734403,0.3718337435969875,Myoz1
ENSMUSG00000042258,0.3631302354005138,0.0,0.0,0.3546617367980014,0.37153916074641724,Isl1
ENSMUSG00000067279,0.3590271951650995,0.0,0.0,0.3505301327750868,0.36746515640612515,Ppp1r3c
ENSMUSG00000026430,0.35873529309143154,0.0,0.0,0.35023621119243387,0.36717530769056167,Rassf5
ENSMUSG00000053093,0.35785587387197576,0.0,0.0,0.3493507178750881,0.3663020647562796,Myh7
ENSMUSG00000079243,0.35733487295106686,0.0,0.0,0.3488261255968844,0.3657847158803059,Xirp1
ENSMUSG00000026308,0.35425542114502157,0.0,0.0,0.34572555544230826,0.3627267433665118,Klhl30
ENSMUSG00000061816,0.35089480251088295,0.0,0.0,0.34234210280802446,0.35938935697705565,Myl1
ENSMUSG00000031880,0.34844042279060405,0.0,0.0,0.33987118675104544,0.3569518072870895,Rrad
ENSMUSG00000034413,0.34830389454901695,0.0,0.0,0.3397337421263589,0.3568162118357379,Neurl1b
ENSMUSG00000021798,0.348026561513301,0.0,0.0,0.33945454874702957,0.3565407724944971,Ldb3
ENSMUSG00000070369,0.3478268491330581,0.0,0.0,0.33925349763619445,0.3563424228801842,Itgad
ENSMUSG00000087296,0.3418924663640553,0.0,0.0,0.3332796923621784,0.35044818395594424,Gm12130
ENSMUSG00000032609,0.33882026460853487,0.0,0.0,0.3301873534076205,0.34739649821138197,Klhdc8b
