,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000074754,0.36545928165992203,0.0,0.0,0.3570071441350903,0.3738515810201547,Gm561
ENSMUSG00000031897,0.3503684580881101,0.0,0.0,0.34181220218497865,0.3588666315361827,Psmb10
ENSMUSG00000056071,0.347057405147262,0.0,0.0,0.3384789031638278,0.35557822213031687,S100a9
ENSMUSG00000023992,0.32310025550344557,0.0,0.0,0.31436720464542045,0.3317786231230667,Trem2
ENSMUSG00000030034,0.31591599559167494,0.0,0.0,0.30713879417224627,0.3246394556266504,Ino80b
ENSMUSG00000043932,0.31186075418898196,0.0,0.0,0.30305907857907294,0.3206092282446416,Klri2
ENSMUSG00000075269,0.3048202001370713,0.0,0.0,0.2959767995933125,0.3136113501256136,Bex6
ENSMUSG00000038357,0.29927754380606136,0.0,0.0,0.29040197937458373,0.3081016184248867,Camp
ENSMUSG00000030054,0.2955505395678989,0.0,0.0,0.2866536861715127,0.30439642056473853,Gp9
ENSMUSG00000058755,0.2887750543204843,0.0,0.0,0.27984019638209273,0.29765989236850565,Osm
ENSMUSG00000030707,0.2866153407647596,0.0,0.0,0.27766855788128947,0.2955124105498585,Coro1a
ENSMUSG00000045381,0.27910673204876174,0.0,0.0,0.2701192015640116,0.28804562777090614,Olfr433
ENSMUSG00000030220,0.26884961128381035,0.0,0.0,0.25980820319053927,0.2778438864097367,Arhgdib
ENSMUSG00000028398,0.267902760730392,0.0,0.0,0.2588564830431289,0.2769020457187695,Tmem261
ENSMUSG00000056054,0.2671504650961861,0.0,0.0,0.25810033092045975,0.27615371821387785,S100a8
ENSMUSG00000071562,0.2647539272819586,0.0,0.0,0.25569158166830447,0.27376974862482867,Stfa1
ENSMUSG00000090164,0.26177660405345504,0.0,0.0,0.2526992443534308,0.270807885134534,BC035044
ENSMUSG00000063234,0.26073489779902365,0.0,0.0,0.2516523259733391,0.26977154755329297,Gpr84
ENSMUSG00000020224,0.25826482704157805,0.0,0.0,0.24916998129208787,0.2673141232014373,Llph
ENSMUSG00000032398,0.257589614042785,0.0,0.0,0.2484914339191868,0.26664234670917875,Snapc5
ENSMUSG00000097378,0.2572265000951271,0.0,0.0,0.24812653051439612,0.2662810771981889,B230208H11Rik
ENSMUSG00000022372,0.25660480020416065,0.0,0.0,0.24750177282792984,0.2656625293243235,Sla
ENSMUSG00000026895,0.25536449593479776,0.0,0.0,0.24625539080794276,0.26442849111531525,Ndufa8
ENSMUSG00000026835,0.2534900537390154,0.0,0.0,0.2443718206234029,0.262563462340747,Fcnb
ENSMUSG00000032381,0.25259265950863097,0.0,0.0,0.24347008070019427,0.2616705508126349,Fam96a
ENSMUSG00000044827,0.25188104167917486,0.0,0.0,0.2427550280240035,0.2609624766399844,Tlr1
ENSMUSG00000025362,0.2496574082499739,0.0,0.0,0.24052072543577538,0.2587498533050148,Rps26
ENSMUSG00000029254,0.24936053416142018,0.0,0.0,0.24022243424935463,0.2584544419382658,Stap1
ENSMUSG00000061518,0.24774795952400955,0.0,0.0,0.2386021922988312,0.2568497828707036,Cox5b
ENSMUSG00000070493,0.24586215454975247,0.0,0.0,0.2367074854695031,0.25497317099839706,Chchd2
ENSMUSG00000099974,0.24465035276959163,0.0,0.0,0.23549000018197572,0.2537672404019367,Bcl2a1d
ENSMUSG00000074342,0.24361385495799745,0.0,0.0,0.2344486638735394,0.25273574193679177,I830077J02Rik
ENSMUSG00000026489,0.24191242928186846,0.0,0.0,0.23273934133678448,0.25104247780089634,Coq8a
ENSMUSG00000060126,0.2414959293763902,0.0,0.0,0.23232091695661866,0.25062796728343933,Tpt1
ENSMUSG00000030595,0.2401563648905069,0.0,0.0,0.23097518591965818,0.24929477844724343,Nfkbib
ENSMUSG00000024570,0.23931840557075998,0.0,0.0,0.23013338699775016,0.24846078977905448,Rbfa
ENSMUSG00000048458,0.2386438484555598,0.0,0.0,0.22945574898953255,0.24778941919005965,Fam212b
ENSMUSG00000013974,0.2372227698193659,0.0,0.0,0.22802820903281917,0.24637502481257775,Mcemp1
ENSMUSG00000042106,0.23468482014750144,0.0,0.0,0.22547881821938318,0.2438489157837688,Fam212a
ENSMUSG00000061991,0.23356923189706014,0.0,0.0,0.22435824075665062,0.2427384928949358,Hist1h2af
