,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000001056,0.5126209661247947,0.0,0.0,0.5054190315839191,0.519751483987823,Nhp2
ENSMUSG00000039067,0.501524585163753,0.0,0.0,0.49421350868831826,0.5087647244008168,Psmd7
ENSMUSG00000022234,0.49881698028727983,0.0,0.0,0.4914796409819829,0.5060835100270423,Cct5
ENSMUSG00000057130,0.49479149161894964,0.0,0.0,0.4874153737691885,0.5020969973765009,Txnl4a
ENSMUSG00000018446,0.48844313981977094,0.0,0.0,0.48100651610330025,0.49580948131098307,C1qbp
ENSMUSG00000028010,0.48161736588287496,0.0,0.0,0.47411657258198614,0.4890482565245073,Gar1
ENSMUSG00000028798,0.48079034995371456,0.0,0.0,0.4732818442074239,0.488229000764426,Eif3i
ENSMUSG00000030137,0.47531194718821485,0.0,0.0,0.46775269236036543,0.48280167260137125,Tuba8
ENSMUSG00000028410,0.4736630306072075,0.0,0.0,0.46608861690021225,0.4811680160516157,Dnaja1
ENSMUSG00000027404,0.46843352641716807,0.0,0.0,0.46081139112164404,0.47598656388638083,Snrpb
ENSMUSG00000006412,0.46813000403828686,0.0,0.0,0.46050511551255113,0.4756858143638915,Pfdn2
ENSMUSG00000032199,0.46771159439486554,0.0,0.0,0.46008291348093117,0.47527122424377544,Polr2m
ENSMUSG00000067288,0.4661418515859142,0.0,0.0,0.4584989735618025,0.4737157811742883,Rps28
ENSMUSG00000022557,0.46498627593054875,0.0,0.0,0.45733297764756936,0.4725707021614291,Bop1
ENSMUSG00000032112,0.4637484885176293,0.0,0.0,0.45608405782913386,0.47134412975272993,Trappc4
ENSMUSG00000015671,0.4627624315650164,0.0,0.0,0.45508915408708384,0.4703669859666483,Psma2
ENSMUSG00000030057,0.461556868727425,0.0,0.0,0.45387280110826583,0.46917229511659136,Cnbp
ENSMUSG00000029614,0.4590600854766026,0.0,0.0,0.45135376197979254,0.4666979396678521,Rpl6
ENSMUSG00000053317,0.4589411637526343,0.0,0.0,0.4512337832732075,0.4665800831963481,Sec61b
ENSMUSG00000021871,0.45320613598897214,0.0,0.0,0.4454481129723606,0.4608961054842176,Pnp
ENSMUSG00000063480,0.45262627551111423,0.0,0.0,0.44486316816638477,0.4603213714820213,Nhp2l1
ENSMUSG00000024902,0.4517978755767713,0.0,0.0,0.4440275161518994,0.45950028413990607,Mrpl11
ENSMUSG00000032892,0.4517630101250761,0.0,0.0,0.4439923457732256,0.45946572616971754,Rangrf
ENSMUSG00000057497,0.4513666361235099,0.0,0.0,0.4435925068392726,0.45907284618590327,Fam136a
ENSMUSG00000085097,0.45134652982964524,0.0,0.0,0.44357222486723696,0.45905291704772433,Gm13049
ENSMUSG00000025869,0.4512893183719269,0.0,0.0,0.44351451356959787,0.45899620963525317,Nop16
ENSMUSG00000037204,0.44751627013845324,0.0,0.0,0.4397086436303022,0.45525626413250264,Atg101
ENSMUSG00000030357,0.4465330938593289,0.0,0.0,0.4387169607610931,0.454281668861383,Fkbp4
ENSMUSG00000028609,0.4461890405672838,0.0,0.0,0.43836993516444656,0.45394061403143793,Magoh
