,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000037503,0.8873656247919002,0.0,0.0,0.8852812681445716,0.8894143316106519,Fam168b
ENSMUSG00000040842,0.8846540508184308,0.0,0.0,0.8825226384598102,0.8867491189771363,Szrd1
ENSMUSG00000023944,0.8762426036955617,0.0,0.0,0.8739661551851994,0.8784806008581476,Hsp90ab1
ENSMUSG00000079562,0.8731234177746475,0.0,0.0,0.8707935447198175,0.8754140760007931,Maea
ENSMUSG00000037017,0.8728408906380567,0.0,0.0,0.8705061881207451,0.8751363096490222,Zscan21
ENSMUSG00000015165,0.8709301785302498,0.0,0.0,0.8685628564662412,0.873257754698135,Hnrnpl
ENSMUSG00000029466,0.8706858534487364,0.0,0.0,0.8683143655334811,0.8730175366016985,Anapc7
ENSMUSG00000024949,0.8702198317461224,0.0,0.0,0.8678404012542685,0.8725593453587145,Sf1
ENSMUSG00000076432,0.8679169320469016,0.0,0.0,0.8654983159768641,0.8702950803428582,Ywhaq
ENSMUSG00000039615,0.8674128426144091,0.0,0.0,0.864985663188893,0.8697994343754268,Stub1
ENSMUSG00000042688,0.8659556671808868,0.0,0.0,0.8635037620855077,0.868366639448615,Mapk6
ENSMUSG00000038429,0.8655241447445177,0.0,0.0,0.8630649256075674,0.867942329238827,Usp5
ENSMUSG00000058655,0.8650989523636713,0.0,0.0,0.8626325301070993,0.8675242398349128,Eif4b
ENSMUSG00000006932,0.863816930836921,0.0,0.0,0.8613288118665896,0.8662636141492585,Ctnnb1
ENSMUSG00000030942,0.863326661770896,0.0,0.0,0.8608302542321203,0.8657815190180287,Thumpd1
ENSMUSG00000001910,0.8624050889121507,0.0,0.0,0.8598931140828355,0.8648752986064473,Nacc1
ENSMUSG00000003033,0.8623856007062354,0.0,0.0,0.8598732968632272,0.8648561348799716,Ap1m1
ENSMUSG00000013787,0.8607968269180665,0.0,0.0,0.8582577257404388,0.8632937900205697,Ehmt2
ENSMUSG00000038965,0.86049565173937,0.0,0.0,0.8579514764108922,0.8629976194339841,Ube2l3
ENSMUSG00000068922,0.8600987996773205,0.0,0.0,0.8575479410104125,0.8626073591894566,Msto1
ENSMUSG00000017418,0.8596768909532873,0.0,0.0,0.8571189304148293,0.862192455206028,Arl5b
ENSMUSG00000045767,0.8569258559209293,0.0,0.0,0.8543216749800359,0.8594870114894386,B230219D22Rik
ENSMUSG00000069565,0.8557928747552604,0.0,0.0,0.8531697023477014,0.8583727648479715,Dazap1
ENSMUSG00000024740,0.8552805976806954,0.0,0.0,0.8526488466872699,0.8578689505918811,Ddb1
ENSMUSG00000068823,0.8548469801120769,0.0,0.0,0.8522079718515493,0.8574424924978171,Csde1
ENSMUSG00000003345,0.8548235749296127,0.0,0.0,0.8521841750534114,0.8574194736577072,Csnk1g2
ENSMUSG00000021218,0.8543897852306447,0.0,0.0,0.8517431291586979,0.8569928425153319,Gdi2
ENSMUSG00000029064,0.8526000610763564,0.0,0.0,0.8499235071397911,0.8552326153140184,Gnb1
ENSMUSG00000005566,0.8516494334934257,0.0,0.0,0.8489570250054983,0.8542976305944727,Trim28
ENSMUSG00000025132,0.8515097765568483,0.0,0.0,0.8488150403901282,0.8541602703111032,Arhgdia
ENSMUSG00000057177,0.8512000859116639,0.0,0.0,0.8485001894807745,0.8538556711977258,Gsk3a
