,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000008822,0.5653752085935786,0.0,0.0,0.5587254017118305,0.5719523248571947,Acyp1
ENSMUSG00000042535,0.5542276396474445,0.0,0.0,0.5474565816406209,0.5609261331742478,Gtpbp1
ENSMUSG00000061626,0.5484595414270662,0.0,0.0,0.5416267082072506,0.5552199061907076,Olfr68
ENSMUSG00000000581,0.5323449748270643,0.0,0.0,0.525343040145575,0.5392748182713089,C1d
ENSMUSG00000040797,0.5299670291264243,0.0,0.0,0.5229405751585585,0.5369214609065762,Iqsec3
ENSMUSG00000057176,0.52695694013838,0.0,0.0,0.5198996088731167,0.5339423414920996,Ccdc189
ENSMUSG00000106438,0.5205782788865667,0.0,0.0,0.5134561068210041,0.5276287344349808,Gm42749
ENSMUSG00000008668,0.5188802637050393,0.0,0.0,0.5117409662063118,0.5259479055522308,Rps18
ENSMUSG00000029536,0.5184709869325287,0.0,0.0,0.5113275701594852,0.5255427629785354,Gatc
ENSMUSG00000054191,0.5172321052361954,0.0,0.0,0.5100762395595071,0.5243163759621763,Klf1
ENSMUSG00000105809,0.5160584243191335,0.0,0.0,0.5088907928496037,0.5231545050354534,Gm42626
ENSMUSG00000062647,0.5155505274079342,0.0,0.0,0.5083778128542563,0.5226517105843319,Rpl7a
ENSMUSG00000028332,0.5129522339974683,0.0,0.0,0.5057535950913326,0.5200794430051494,Hemgn
ENSMUSG00000094285,0.5114097727646075,0.0,0.0,0.504195807039028,0.5185523706926024,Olfr743
ENSMUSG00000038997,0.5104819912255341,0.0,0.0,0.503258829117568,0.5176338235539522,Asb17
ENSMUSG00000031931,0.5100063554576287,0.0,0.0,0.5027784853248243,0.5171629154944157,Ankrd49
ENSMUSG00000026815,0.5070154118842628,0.0,0.0,0.4997580385332784,0.5142016019081329,Gfi1b
ENSMUSG00000028278,0.5068752323478858,0.0,0.0,0.499616480570018,0.5140628068664389,Rragd
ENSMUSG00000057278,0.5063534347555739,0.0,0.0,0.49908955539487376,0.5135461595426778,Snrpg
