,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000033307,0.3592314282796453,0.0,0.0,0.3507357798608103,0.3676679518871339,Mif
ENSMUSG00000090862,0.34051895408266325,0.0,0.0,0.3318971542884288,0.34908386637495936,Rps13
ENSMUSG00000059291,0.3351478135899097,0.0,0.0,0.3264910739057469,0.34374833325516985,Rpl11
ENSMUSG00000059070,0.3304799753269488,0.0,0.0,0.32179333075547534,0.3391109888708491,Rpl18
ENSMUSG00000052146,0.328153378717197,0.0,0.0,0.3194519883190205,0.3367994347153678,Rps10
ENSMUSG00000106718,0.322844073428111,0.0,0.0,0.31410943080126225,0.3315240660793525,Gm20052
ENSMUSG00000042462,0.3144621208217324,0.0,0.0,0.30567610787986116,0.32319458524431777,Dctpp1
ENSMUSG00000098274,0.31229740869490635,0.0,0.0,0.30349835288338095,0.3210432045444377,Rpl24
ENSMUSG00000047675,0.3087784383342238,0.0,0.0,0.2999583761219507,0.3175457132008401,Rps8
ENSMUSG00000025362,0.3061205162082347,0.0,0.0,0.29728474861781085,0.3149038563024206,Rps26
ENSMUSG00000063316,0.3046441594593266,0.0,0.0,0.2957997280922121,0.31343636427099386,Rpl27
ENSMUSG00000027133,0.3024496540541991,0.0,0.0,0.2935924235598293,0.3112549580682413,Nop10
ENSMUSG00000003970,0.30221071661231363,0.0,0.0,0.2933520982522863,0.31101744126405423,Rpl8
ENSMUSG00000057841,0.298888968240889,0.0,0.0,0.2900111715142134,0.30771532888106873,Rpl32
ENSMUSG00000021520,0.29711548620325284,0.0,0.0,0.2882275387424429,0.30595224343561195,Uqcrb
ENSMUSG00000058558,0.29224984255237774,0.0,0.0,0.28333436270485646,0.30111481211820224,Rpl5
ENSMUSG00000038880,0.2869736001962925,0.0,0.0,0.27802878913095896,0.29586864716655836,Mrps34
ENSMUSG00000057322,0.28591616272838544,0.0,0.0,0.27696553889685294,0.29481717310662325,Rpl38
ENSMUSG00000055762,0.2827346511814735,0.0,0.0,0.27376667065872157,0.29165347366717465,Eef1d
ENSMUSG00000025208,0.2812081722788683,0.0,0.0,0.2722319345025616,0.29013547167944576,Mrpl43
ENSMUSG00000030879,0.2803355318349253,0.0,0.0,0.27135459416019464,0.28926765704145624,Mrpl17
ENSMUSG00000008683,0.27994413228130094,0.0,0.0,0.27096109144091135,0.2888784172046161,Rps15a
ENSMUSG00000048758,0.27616189323516727,0.0,0.0,0.26715868340757987,0.28511689611514285,Rpl29
ENSMUSG00000014226,0.27151160810473973,0.0,0.0,0.2624839846066105,0.28049170574885596,Cacybp
ENSMUSG00000061787,0.269911839073333,0.0,0.0,0.2608759148578272,0.27890047328609596,Rps17
ENSMUSG00000060938,0.2692891539815588,0.0,0.0,0.2602500123987486,0.27828109757504516,Rpl26
ENSMUSG00000062328,0.26776258320340574,0.0,0.0,0.2587155860844303,0.2767626084128575,Rpl17
ENSMUSG00000005503,0.2674219518870274,0.0,0.0,0.2583732081537005,0.2764237742538221,Evx1
ENSMUSG00000034892,0.26736744167718124,0.0,0.0,0.25831841864937977,0.2763695514299606,Rps29
ENSMUSG00000028234,0.2648687427548051,0.0,0.0,0.25580697961152377,0.273883964494578,Rps20
ENSMUSG00000006333,0.2613558265858586,0.0,0.0,0.2522763589877351,0.2703892787607409,Rps9
ENSMUSG00000063457,0.2612072205554897,0.0,0.0,0.2521270093394352,0.270241438679678,Rps15
ENSMUSG00000003429,0.26106368922299333,0.0,0.0,0.25198276019323423,0.27009864673588324,Rps11
ENSMUSG00000043716,0.2610308110607716,0.0,0.0,0.25194971766103275,0.27006593788660005,Rpl7
ENSMUSG00000023723,0.26071750110914527,0.0,0.0,0.25163484242043443,0.2697542403435408,Mrps23
ENSMUSG00000046330,0.26049435865342396,0.0,0.0,0.25141058632274044,0.26953224510652884,Rpl37a
ENSMUSG00000058546,0.25971021855061566,0.0,0.0,0.2506225405301209,0.2687521288013711,Rpl23a
ENSMUSG00000012848,0.25790297159923803,0.0,0.0,0.24880633780480435,0.26695411052156015,Rps5
ENSMUSG00000057863,0.2540673921079389,0.0,0.0,0.24495196312957235,0.26313790854972235,Rpl36
ENSMUSG00000000088,0.2539884840034249,0.0,0.0,0.2448726713826287,0.2630593961125396,Cox5a
ENSMUSG00000004885,0.25315575586023586,0.0,0.0,0.244035902041146,0.2622308361772872,Crabp2
ENSMUSG00000073702,0.2517142015335306,0.0,0.0,0.2425873840070726,0.2607964658972954,Rpl31
ENSMUSG00000028964,0.24998059252394966,0.0,0.0,0.24084545435853746,0.2590714432912497,Park7
ENSMUSG00000017404,0.24925252764781292,0.0,0.0,0.2401139126059209,0.2583469671592281,Rpl19
ENSMUSG00000086322,0.24795458826881436,0.0,0.0,0.23880980065776877,0.2570554001498696,E130218I03Rik
ENSMUSG00000041453,0.24719623730458035,0.0,0.0,0.23804785849451116,0.2563007573420375,Rpl21
ENSMUSG00000041841,0.24614522550739779,0.0,0.0,0.23699188820904454,0.25525486639277595,Rpl37
ENSMUSG00000027404,0.2450139603783231,0.0,0.0,0.2358553101383977,0.2541290893068258,Snrpb
ENSMUSG00000070493,0.2434665828419563,0.0,0.0,0.23430070598005426,0.25258917847682133,Chchd2
ENSMUSG00000015671,0.24281209042398985,0.0,0.0,0.2336431710332811,0.25193783033500206,Psma2
ENSMUSG00000019689,0.24074464225048725,0.0,0.0,0.2315661670296387,0.2498802601700511,Fmc1
ENSMUSG00000022972,0.23926103175900668,0.0,0.0,0.23007575079700318,0.24840368733602589,1110004E09Rik
ENSMUSG00000036781,0.23753018077244795,0.0,0.0,0.22833701436273698,0.246680993116179,Rps27l
ENSMUSG00000030744,0.23550851923603758,0.0,0.0,0.22630621674539822,0.24466878558668825,Rps3
ENSMUSG00000001056,0.235452186047098,0.0,0.0,0.22624963012704663,0.24461271470177534,Nhp2
ENSMUSG00000001289,0.23490377529005896,0.0,0.0,0.22569875544811385,0.24406685430636613,Pfdn5
ENSMUSG00000000740,0.23321103060942072,0.0,0.0,0.22399844266217472,0.2423819450434253,Rpl13
ENSMUSG00000030432,0.232656111317234,0.0,0.0,0.22344105458278138,0.24182958233454205,Rpl28
ENSMUSG00000009013,0.23237283270037776,0.0,0.0,0.2231565180077874,0.24154760652584323,Dynll1
ENSMUSG00000076437,0.23145443851125014,0.0,0.0,0.2222340562959836,0.2406334254091741,Selenoh
ENSMUSG00000008668,0.22813906882582818,0.0,0.0,0.21890414035011124,0.23733312924892586,Rps18
ENSMUSG00000043866,0.22748021060672516,0.0,0.0,0.21824241699612995,0.23667724128713866,Taf10
ENSMUSG00000032398,0.22659519798861322,0.0,0.0,0.21735356914845425,0.23579620528064849,Snapc5
ENSMUSG00000033751,0.22619320777749133,0.0,0.0,0.21694984196219208,0.2353960163296924,Gadd45gip1
ENSMUSG00000057497,0.22606155521849533,0.0,0.0,0.21681762122790277,0.23526495300846975,Fam136a
ENSMUSG00000022234,0.22568084142264278,0.0,0.0,0.21643526628721474,0.2348859412910685,Cct5
ENSMUSG00000025794,0.22565564781774833,0.0,0.0,0.21640996418017464,0.23486086022188976,Rpl14
ENSMUSG00000036114,0.22544561983097192,0.0,0.0,0.2161990321421466,0.2346517699187798,Rpp25l
ENSMUSG00000057130,0.22338209698699463,0.0,0.0,0.21412667290308132,0.23259741450595078,Txnl4a
ENSMUSG00000021024,0.22224942880908596,0.0,0.0,0.21298918984293194,0.23146974337511445,Psma6
ENSMUSG00000024608,0.22149207793086836,0.0,0.0,0.2122286335295373,0.23071571991578962,Rps14
ENSMUSG00000024312,0.21973051809417138,0.0,0.0,0.2104596614193463,0.22896185663682012,Wdr46
ENSMUSG00000020372,0.21892964317191968,0.0,0.0,0.20965543665847436,0.22816446105605884,Rack1
ENSMUSG00000060126,0.2173916611869678,0.0,0.0,0.20811105690556347,0.22663312597934934,Tpt1
ENSMUSG00000053565,0.21530471701736983,0.0,0.0,0.20601550536547633,0.2245551281793008,Eif3k
ENSMUSG00000028044,0.21503192220425169,0.0,0.0,0.20574159173652048,0.22428349657305413,Cks1b
ENSMUSG00000029535,0.21396591884748875,0.0,0.0,0.20467123032901763,0.2232220249081224,Triap1
ENSMUSG00000039182,0.2131478120247801,0.0,0.0,0.20384979398535646,0.2224073810546663,AW209491
