,Cardiomyocytes_1_corr,Cardiomyocytes_1_pval,Cardiomyocytes_1_qval,Cardiomyocytes_1_ci_low,Cardiomyocytes_1_ci_high,gene_annotation
ENSMUSG00000040752,0.9169758584418023,0.0,0.0,0.9159254818056549,0.9180136738519811,Myh6
ENSMUSG00000061462,0.8815339540491907,0.0,0.0,0.8800632394731396,0.8829877565502592,Obscn
ENSMUSG00000026414,0.8803322139297782,0.0,0.0,0.8788475408200671,0.8817998375925702,Tnnt2
ENSMUSG00000091898,0.8788882425501175,0.0,0.0,0.8773868228251981,0.8803724486348721,Tnnc1
ENSMUSG00000061086,0.8774134831513549,0.0,0.0,0.8758949884736938,0.8789145974715743,Myl4
ENSMUSG00000053093,0.8773581215675894,0.0,0.0,0.8758389864718231,0.87885987006665,Myh7
ENSMUSG00000026418,0.8755903436589736,0.0,0.0,0.8740507805686819,0.8771123216532333,Tnni1
ENSMUSG00000021798,0.8725915436819875,0.0,0.0,0.8710174226157587,0.8741477461547654,Ldb3
ENSMUSG00000019787,0.8722668625787514,0.0,0.0,0.8706890071100898,0.873826763589466,Trdn
ENSMUSG00000017817,0.8720989868960474,0.0,0.0,0.87051920111428,0.8736607996948307,Jph2
ENSMUSG00000061816,0.8590951183247112,0.0,0.0,0.8573669509625353,0.8608039161129029,Myl1
ENSMUSG00000002100,0.8537549622001358,0.0,0.0,0.8519665142116181,0.8555234888873897,Mybpc3
ENSMUSG00000030470,0.8518563702789974,0.0,0.0,0.8500465823361792,0.8536460437981801,Csrp3
ENSMUSG00000013936,0.8497929504616868,0.0,0.0,0.8479600244547421,0.8516055539546928,Myl2
ENSMUSG00000039103,0.8487346817092947,0.0,0.0,0.8468899108911245,0.850559024015182,Nexn
ENSMUSG00000032845,0.8446134111179141,0.0,0.0,0.8427226548282087,0.8464833307730915,Alpk2
ENSMUSG00000060913,0.8434342691427633,0.0,0.0,0.841530397578976,0.8453171886683005,Trim55
ENSMUSG00000038663,0.842185069829906,0.0,0.0,0.8402673239961627,0.8440817420257405,Fsd2
ENSMUSG00000055027,0.8419385140374656,0.0,0.0,0.8400180322840523,0.8438378982329469,Smyd1
ENSMUSG00000031880,0.841041523330614,0.0,0.0,0.8391110949127005,0.8429507673904835,Rrad
ENSMUSG00000020469,0.8405809222636612,0.0,0.0,0.8386453904446283,0.8424952252889691,Myl7
ENSMUSG00000060843,0.8357113855081563,0.0,0.0,0.8337220729447293,0.8376790051216245,Ctnna3
ENSMUSG00000044086,0.8355643471348972,0.0,0.0,0.8335734155512035,0.8375335719126523,Lmod3
ENSMUSG00000021200,0.8346178611796627,0.0,0.0,0.832616514865283,0.8365974117204038,Asb2
ENSMUSG00000006221,0.8325987266865549,0.0,0.0,0.8305752026026755,0.8346002664923052,Hspb7
ENSMUSG00000040666,0.8306400416602033,0.0,0.0,0.8285950557270563,0.8326628621293297,Sh3bgr
ENSMUSG00000038403,0.8280254693613,0.0,0.0,0.8259519145732623,0.8300766193912715,Hfe2
ENSMUSG00000068614,0.8215920286305515,0.0,0.0,0.8194485651752986,0.8237125109452654,Actc1
ENSMUSG00000108322,0.8181242763752279,0.0,0.0,0.8159433596735227,0.8202819085476313,Gm45123
ENSMUSG00000035458,0.8176745332223683,0.0,0.0,0.8154887708428818,0.8198369720978134,Tnni3
ENSMUSG00000031972,0.8140118727947468,0.0,0.0,0.8117867481402029,0.8162133597151473,Acta1
ENSMUSG00000051747,0.8018363030502027,0.0,0.0,0.799481614049235,0.8041663501317107,Ttn
ENSMUSG00000021702,0.7921806405467993,0.0,0.0,0.7897246072130056,0.7946112792961213,Thbs4
ENSMUSG00000031698,0.791898436053153,0.0,0.0,0.7894394594326203,0.7943319966671256,Mylk3
ENSMUSG00000026208,0.7853966086749752,0.0,0.0,0.782870114324384,0.7878972024622114,Des
ENSMUSG00000060586,0.784610948549728,0.0,0.0,0.7820763337171016,0.7871196054306436,H2-Eb1
ENSMUSG00000045776,0.7790500785238214,0.0,0.0,0.776458222365044,0.7816155776740539,Lrtm1
ENSMUSG00000039891,0.7785507754263414,0.0,0.0,0.7759537998022169,0.7811213588211439,Txlnb
ENSMUSG00000062209,0.775296091655452,0.0,0.0,0.7726658264231443,0.7778997375267721,Erbb4
ENSMUSG00000027961,0.7719408232952086,0.0,0.0,0.7692763873786839,0.7745784101393559,Lrrc39
ENSMUSG00000028273,0.7705082604200452,0.0,0.0,0.7678292806969912,0.7731602943615951,Pdlim5
ENSMUSG00000040086,0.7703271979947026,0.0,0.0,0.7676463820176892,0.7729810560252508,Tnni3k
ENSMUSG00000111765,0.7670351903601108,0.0,0.0,0.7643210644639564,0.7697221394022624,RP24-279F18.1
ENSMUSG00000026430,0.7660545173978941,0.0,0.0,0.763330496545278,0.7687512970157395,Rassf5
ENSMUSG00000074652,0.7658631606859829,0.0,0.0,0.7631372105443218,0.7685618570747635,Myh7b
ENSMUSG00000042064,0.7641979679093028,0.0,0.0,0.7614552496151251,0.7669133241285429,Myo3b
ENSMUSG00000001349,0.7637187495557293,0.0,0.0,0.7609712124737101,0.7664388935921763,Cnn1
ENSMUSG00000048070,0.7636126898106098,0.0,0.0,0.760864086656496,0.7663338930770296,Pirt
ENSMUSG00000007122,0.7616440943094431,0.0,0.0,0.7588757307816496,0.7643849317562234,Casq1
ENSMUSG00000042717,0.7614124014111149,0.0,0.0,0.758641715590423,0.7641555463988661,Ppp1r3a
ENSMUSG00000029651,0.7606932480897911,0.0,0.0,0.7579153586402276,0.7634435510522075,Mtus2
ENSMUSG00000032060,0.7573773338717681,0.0,0.0,0.7545663186028714,0.7601605547735263,Cryab
ENSMUSG00000059741,0.757203084352525,0.0,0.0,0.7543903323890278,0.7599880311439997,Myl3
ENSMUSG00000022358,0.7556109888481606,0.0,0.0,0.7527823876535223,0.7584116866974284,Fbxo32
ENSMUSG00000039376,0.7541715510109477,0.0,0.0,0.751328649339212,0.7569864614287396,Synpo2l
ENSMUSG00000015579,0.7520356241861,0.0,0.0,0.7491715534280173,0.7548715747327481,Nkx2-5
ENSMUSG00000024049,0.7484170957576244,0.0,0.0,0.7455173005383254,0.7512885563360664,Myom1
ENSMUSG00000029658,0.74611685655373,0.0,0.0,0.7431944425170525,0.7490108022728389,Wdr95
ENSMUSG00000052374,0.7436617882185784,0.0,0.0,0.7407153106092295,0.7465796570848876,Actn2
ENSMUSG00000024617,0.7424749499483129,0.0,0.0,0.7395168682098138,0.745404355889225,Camk2a
ENSMUSG00000067279,0.7354068649584729,0.0,0.0,0.7323800644718947,0.7384046014678317,Ppp1r3c
ENSMUSG00000054640,0.7343205857133023,0.0,0.0,0.731283282942475,0.73732876653498,Slc8a1
ENSMUSG00000038763,0.7331326054213684,0.0,0.0,0.7300838350892663,0.7361521909171247,Alpk3
ENSMUSG00000018845,0.7328552785889719,0.0,0.0,0.7298038339283853,0.7358775238095348,Unc45b
ENSMUSG00000021313,0.7314215622973369,0.0,0.0,0.7283563082963549,0.7344575418245869,Ryr2
ENSMUSG00000038239,0.7308616832459345,0.0,0.0,0.7277910440020867,0.7339030189255998,Hrc
ENSMUSG00000002930,0.7283072538407885,0.0,0.0,0.7252120975484027,0.7313729753447096,Ppp1r17
ENSMUSG00000085022,0.727279826027675,0.0,0.0,0.7241748331198965,0.7303553320592664,Gm5860
ENSMUSG00000027861,0.7252995427584769,0.0,0.0,0.7221756302120119,0.7283938691519367,Casq2
ENSMUSG00000024803,0.717590826032047,0.0,0.0,0.7143937613432335,0.7207579320606003,Ankrd1
ENSMUSG00000019528,0.7172578398453218,0.0,0.0,0.7140576330889425,0.7204280723484571,Gyg
ENSMUSG00000071317,0.716902953997288,0.0,0.0,0.7136994001516371,0.7200765170164104,Bves
ENSMUSG00000085515,0.7142079416056837,0.0,0.0,0.7109790245614965,0.7174067434852541,C630028M04Rik
ENSMUSG00000038244,0.7100078430418804,0.0,0.0,0.7067395908529522,0.7132457916258266,Mical2
ENSMUSG00000034009,0.7082873053844028,0.0,0.0,0.7050030076251316,0.7115412242152662,Rxfp1
ENSMUSG00000035783,0.7043910766247526,0.0,0.0,0.7010705885789518,0.7076810191673478,Acta2
ENSMUSG00000067818,0.7036269136524667,0.0,0.0,0.700299351334853,0.7069238984454355,Myl9
ENSMUSG00000026335,0.7008647590012865,0.0,0.0,0.6975116907026548,0.7041871357980662,Pam
ENSMUSG00000038132,0.7001376456255728,0.0,0.0,0.69677787997206,0.7034666902332978,Rbm24
ENSMUSG00000053702,0.6986270452731713,0.0,0.0,0.6952533881413437,0.7019699205916436,Nebl
ENSMUSG00000054459,0.68957125385505,0.0,0.0,0.6861149560382578,0.6929964227662535,Vsnl1
ENSMUSG00000032355,0.6872724511864994,0.0,0.0,0.6837953486969497,0.6907183413241896,Mlip
ENSMUSG00000026564,0.6858331867981401,0.0,0.0,0.6823430944210256,0.6892920155334046,Dusp27
ENSMUSG00000032648,0.6849162051117467,0.0,0.0,0.6814178510057242,0.6883832632808458,Pygm
ENSMUSG00000034533,0.6833991071001755,0.0,0.0,0.6798871089505146,0.6868797565352831,Scn10a
ENSMUSG00000006356,0.6819685524980147,0.0,0.0,0.6784437166704208,0.6854619905882638,Crip2
ENSMUSG00000036944,0.6807272315765175,0.0,0.0,0.6771912782892576,0.684231745172455,Tmem71
ENSMUSG00000050541,0.6802880891218759,0.0,0.0,0.676748207714042,0.6837965161260788,Adra1b
ENSMUSG00000037996,0.6790662666504702,0.0,0.0,0.6755154695568609,0.6825855687628511,Slc24a2
ENSMUSG00000015968,0.676817192105324,0.0,0.0,0.6732463538172361,0.6803564620868775,Cacna1d
ENSMUSG00000044033,0.6743627901328302,0.0,0.0,0.6707701577501436,0.6779237762067566,Ccdc141
ENSMUSG00000028977,0.6736176407787731,0.0,0.0,0.6700184076207647,0.6771852043622612,Casz1
ENSMUSG00000049588,0.6701040883725817,0.0,0.0,0.6664738304897826,0.6737025695764154,Ccdc69
ENSMUSG00000034898,0.669989199600925,0.0,0.0,0.66635793001938,0.6735886890735734,Filip1
ENSMUSG00000020182,0.6656321504343887,0.0,0.0,0.6619626426335645,0.6692697514130127,Ddc
ENSMUSG00000049537,0.663376976638936,0.0,0.0,0.6596877761522837,0.66703420728318,Tecrl
ENSMUSG00000072720,0.6630275257778397,0.0,0.0,0.6593352798567961,0.6666877922472213,Myo18b
ENSMUSG00000020475,0.6578021321328268,0.0,0.0,0.6540645409512275,0.6615076051489852,Pgam2
ENSMUSG00000020395,0.6543975484665188,0.0,0.0,0.6506306080207518,0.6581322853634654,Itk
ENSMUSG00000001155,0.6539875481960009,0.0,0.0,0.6502170837295383,0.6577257990959354,Ftcd
ENSMUSG00000057123,0.6432099422125946,0.0,0.0,0.6393476435802078,0.6470397841979367,Gja5
ENSMUSG00000025905,0.6409508675134833,0.0,0.0,0.6370695153522753,0.6447997169887771,Oprk1
ENSMUSG00000022803,0.6404468633677008,0.0,0.0,0.6365612695769731,0.6442999444318314,Popdc2
ENSMUSG00000028328,0.6385917608241363,0.0,0.0,0.634690583818214,0.6424603888696312,Tmod1
ENSMUSG00000041616,0.6382922462727277,0.0,0.0,0.6343885575743817,0.6421633802670285,Nppa
ENSMUSG00000033342,0.6348388172756283,0.0,0.0,0.6309062546362847,0.6387387611190211,Plppr5
ENSMUSG00000031626,0.6348242487995539,0.0,0.0,0.6308915646895387,0.6387243138515399,Sorbs2
