,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000020573,0.5505679542351192,0.0,0.0,0.5459798854499689,0.555123000606974,Pik3cg
ENSMUSG00000040447,0.5501272653428224,0.0,0.0,0.5455360163247023,0.5546854954132744,Spns2
ENSMUSG00000027474,0.5498727446930232,0.0,0.0,0.5452796600990912,0.554432812366003,Ccm2l
ENSMUSG00000026288,0.5481574665730861,0.0,0.0,0.54355203398111,0.5527298963819376,Inpp5d
ENSMUSG00000097252,0.5376187672204662,0.0,0.0,0.5329383245914203,0.5422663121093493,Gm6634
ENSMUSG00000030159,0.5294612742734759,0.0,0.0,0.5247237811596017,0.5341659721581205,Clec1b
ENSMUSG00000054641,0.5289401314695058,0.0,0.0,0.5241990236569899,0.5336484512229938,Mmrn1
ENSMUSG00000022667,0.5272891307069381,0.0,0.0,0.5225365951588424,0.5320089014009146,Cd200r1
ENSMUSG00000030047,0.5258258484415623,0.0,0.0,0.5210632146949326,0.5305557385210908,Arhgap25
ENSMUSG00000026712,0.5256514448661631,0.0,0.0,0.5208876094431296,0.5303825391861127,Mrc1
ENSMUSG00000084756,0.5250740840942868,0.0,0.0,0.5203062734139458,0.5298091622185844,Gm13881
ENSMUSG00000087187,0.5197516743717748,0.0,0.0,0.5149474258352447,0.52452327338764,Gm13431
ENSMUSG00000033191,0.5149820942426755,0.0,0.0,0.510145511589742,0.5197861082475296,Tie1
ENSMUSG00000110647,0.5139133145558359,0.0,0.0,0.5090695277423536,0.5187245516750741,RP23-381H23.1
ENSMUSG00000021457,0.5138759814363679,0.0,0.0,0.5090319432508512,0.5186874705951927,Syk
ENSMUSG00000034911,0.5138526809708197,0.0,0.0,0.5090084859075492,0.5186643274242204,Ushbp1
ENSMUSG00000039167,0.5106577241565262,0.0,0.0,0.5057920861695493,0.5154908720496382,Adgrl4
ENSMUSG00000006389,0.5098653834453419,0.0,0.0,0.504994448604965,0.5147038431208785,Mpl
ENSMUSG00000027435,0.507411768332984,0.0,0.0,0.5025244836738394,0.5122666251048442,Cd93
ENSMUSG00000001946,0.5072262104007107,0.0,0.0,0.5023376925093651,0.5120823040444561,Esam
ENSMUSG00000047867,0.5061998629861002,0.0,0.0,0.5013045321525447,0.5110627898664779,Gimap6
ENSMUSG00000044258,0.505274724671301,0.0,0.0,0.5003732646879273,0.5101437992306486,Ctla2a
ENSMUSG00000024065,0.5046400536962777,0.0,0.0,0.4997343955021826,0.509513339307045,Ehd3
ENSMUSG00000038147,0.5025286258753902,0.0,0.0,0.4976090394589678,0.507415883181764,Cd84
ENSMUSG00000036896,0.5006911973765107,0.0,0.0,0.49575953826829067,0.5055905661480712,C1qc
ENSMUSG00000001029,0.5003231158022399,0.0,0.0,0.49538904361860797,0.5052249055215159,Icam2
ENSMUSG00000036905,0.49775211402306563,0.0,0.0,0.4928012368807893,0.5026707646627261,C1qb
ENSMUSG00000026069,0.49754721710193617,0.0,0.0,0.4925950044502097,0.5024672077841521,Il1rl1
ENSMUSG00000048489,0.4968660188463822,0.0,0.0,0.4919093701717883,0.5017904606997008,8430408G22Rik
ENSMUSG00000050919,0.49488057417796705,0.0,0.0,0.48991103118507556,0.4998179551798049,Zfp366
ENSMUSG00000054690,0.49222292888465125,0.0,0.0,0.48723620775595616,0.4971775496064503,Emcn
ENSMUSG00000082101,0.49189383894765554,0.0,0.0,0.48690499720153013,0.4968505880378216,Slfn14
ENSMUSG00000078956,0.4905923675043612,0.0,0.0,0.4855951532831298,0.49555751999206776,Gm14221
ENSMUSG00000042351,0.48860324875587013,0.0,0.0,0.48359328171948285,0.4935812021481075,Grap2
ENSMUSG00000042286,0.48623923246175815,0.0,0.0,0.48121417719208864,0.49123233253819293,Stab1
ENSMUSG00000031871,0.48547648814129074,0.0,0.0,0.48044658048371125,0.49047445976443343,Cdh5
ENSMUSG00000016494,0.48023583219865146,0.0,0.0,0.475172793161864,0.4852670707686672,Cd34
ENSMUSG00000030054,0.4785374330817804,0.0,0.0,0.4734637348264271,0.4835793762702461,Gp9
ENSMUSG00000029373,0.47634513780463306,0.0,0.0,0.471257737100802,0.4814008430973223,Pf4
ENSMUSG00000034845,0.47410058234312386,0.0,0.0,0.4689992184931311,0.4791703130846008,Plvap
ENSMUSG00000016087,0.4736746948389964,0.0,0.0,0.4685706891176716,0.47874707941265804,Fli1
ENSMUSG00000046080,0.4694166629638637,0.0,0.0,0.46428637581221005,0.4745154509853506,Clec9a
