,Erythroid3_6_corr,Erythroid3_6_pval,Erythroid3_6_qval,Erythroid3_6_ci_low,Erythroid3_6_ci_high,gene_annotation
ENSMUSG00000052305,0.7195967319140407,0.0,0.0,0.7164186262274438,0.7227449737423514,Hbb-bs
ENSMUSG00000073940,0.7193435147780625,0.0,0.0,0.7161630128337828,0.722494140814276,Hbb-bt
ENSMUSG00000069919,0.7152571981575652,0.0,0.0,0.7120381443484449,0.7184461848919488,Hba-a1
ENSMUSG00000069917,0.7098272046556262,0.0,0.0,0.7065572659999153,0.7130668317472358,Hba-a2
ENSMUSG00000073400,0.6628045687247222,0.0,0.0,0.6591103806002004,0.6664667712885244,Trim10
ENSMUSG00000051839,0.6477410669419796,0.0,0.0,0.6439171892078893,0.6515325854870487,Gypa
ENSMUSG00000052187,0.6438371980494081,0.0,0.0,0.6399802018572162,0.6476617506781601,Hbb-y
ENSMUSG00000052217,0.6382406298515004,0.0,0.0,0.6343365084245496,0.6421121955875752,Hbb-bh1
ENSMUSG00000073063,0.6362914441546327,0.0,0.0,0.6323710075472981,0.6401792884475558,Hbq1b
ENSMUSG00000063856,0.632642313423164,0.0,0.0,0.6286914683618606,0.6365605009593719,Gpx1
ENSMUSG00000055609,0.6155431838629432,0.0,0.0,0.6114522068407453,0.6196012553378769,Hba-x
ENSMUSG00000028332,0.5816035997146396,0.0,0.0,0.5772459791285851,0.58592809526417,Hemgn
ENSMUSG00000096982,0.5719368734881156,0.0,0.0,0.567506104517218,0.5763345190898377,Redrum
ENSMUSG00000021061,0.5638891444143986,0.0,0.0,0.5593984238308676,0.568346764089505,Sptb
ENSMUSG00000032028,0.5615796083111023,0.0,0.0,0.5570718414943999,0.5660542841597362,Nxpe2
ENSMUSG00000040466,0.5553726099265341,0.0,0.0,0.5508193810839038,0.559892782163644,Blvrb
ENSMUSG00000001348,0.5463796717497306,0.0,0.0,0.5417614822907247,0.5509648739576152,Acp5
ENSMUSG00000027329,0.5327558407780943,0.0,0.0,0.5280412824368629,0.537437560282996,Spef1
ENSMUSG00000026614,0.5307988094488365,0.0,0.0,0.5260706100917538,0.535494195514097,Slc30a10
ENSMUSG00000028494,0.5266793698878187,0.0,0.0,0.5219226228942078,0.531403360785338,Plin2
ENSMUSG00000025889,0.524885137437339,0.0,0.0,0.5201160267769213,0.5296215183584462,Snca
ENSMUSG00000023216,0.5186241524286777,0.0,0.0,0.5138122329392809,0.5234034409665651,Epb42
ENSMUSG00000023926,0.5111427967884397,0.0,0.0,0.5062804056519009,0.5159726887732176,Rhag
ENSMUSG00000030000,0.5019671173390471,0.0,0.0,0.49704383682481856,0.5068580804993598,Add2
ENSMUSG00000024661,0.49320726859060154,0.0,0.0,0.48822689899646343,0.4981555147584301,Fth1
ENSMUSG00000035239,0.48495620710634507,0.0,0.0,0.4799229939723598,0.48995749735812844,Neu3
ENSMUSG00000055401,0.4844839922596814,0.0,0.0,0.4794477821297665,0.48948829150324624,Fbxo6
ENSMUSG00000030979,0.48161395385391087,0.0,0.0,0.4765595920384193,0.4866364788896844,Uros
ENSMUSG00000078350,0.47887753847665165,0.0,0.0,0.473805971676809,0.4839173410610938,Smim1
ENSMUSG00000050708,0.47228014397978063,0.0,0.0,0.46716750437024,0.4773612019172471,Ftl1
ENSMUSG00000006574,0.46971377784787793,0.0,0.0,0.464585316757354,0.47481073115105893,Slc4a1
ENSMUSG00000031974,0.4646820897959018,0.0,0.0,0.45952286178766505,0.46980995950575727,Abcb10
ENSMUSG00000039956,0.4640285545916051,0.0,0.0,0.4588653550540335,0.4691604156941884,Mrap
ENSMUSG00000021102,0.46252230192889293,0.0,0.0,0.4573499704392693,0.46766334115374214,Glrx5
ENSMUSG00000026532,0.4613957159232523,0.0,0.0,0.45621657392024684,0.46654360054833227,Spta1
ENSMUSG00000018659,0.45706958343400045,0.0,0.0,0.4518644449529835,0.4622436013076197,Pnpo
ENSMUSG00000053604,0.45414575198622215,0.0,0.0,0.4489231840068871,0.45933729429917936,Rpia
ENSMUSG00000041237,0.43783298955344446,0.0,0.0,0.4325152549662507,0.4431202646078003,Pklr
ENSMUSG00000038997,0.43069598723497327,0.0,0.0,0.42533772369410844,0.43602405798417565,Asb17
ENSMUSG00000024014,0.4301864971709607,0.0,0.0,0.42482536615906674,0.4355174548685314,Pim1
ENSMUSG00000026815,0.4256325708784926,0.0,0.0,0.42024596236510947,0.4309891827231303,Gfi1b
ENSMUSG00000024588,0.4235385733213012,0.0,0.0,0.4181403417674493,0.428906890964806,Fech
ENSMUSG00000034663,0.4136384409451986,0.0,0.0,0.4081860426668331,0.4190613294891133,Bmp2k
ENSMUSG00000024663,0.4135673974320714,0.0,0.0,0.40811461513755354,0.41899067296876646,Rab3il1
ENSMUSG00000028644,0.41261870045646787,0.0,0.0,0.40716079650600717,0.4180471375014679,Ermap
ENSMUSG00000025573,0.411088039302243,0.0,0.0,0.4056218969891298,0.41652477941322497,6030468B19Rik
ENSMUSG00000071714,0.4099174903649738,0.0,0.0,0.40444506880408054,0.4153605595402915,Csf2rb2
ENSMUSG00000000253,0.40568772165199857,0.0,0.0,0.40019276113210567,0.4111535122095959,Gmpr
ENSMUSG00000029866,0.4035595934928729,0.0,0.0,0.39805338239123067,0.4090367278347639,Kel
ENSMUSG00000022742,0.40299343874713595,0.0,0.0,0.3974842446927082,0.4084735809960173,Cpox
ENSMUSG00000053897,0.40161483868100006,0.0,0.0,0.39609839879365333,0.40710228780565233,Slc39a8
ENSMUSG00000027078,0.4012360825221742,0.0,0.0,0.39571765631784633,0.40672553480377993,Ube2l6
ENSMUSG00000070803,0.396070989143977,0.0,0.0,0.39052566487709806,0.40158757208931367,Cited4
ENSMUSG00000031543,0.3959412612538363,0.0,0.0,0.39039526594913376,0.40145852114961256,Ank1
ENSMUSG00000034449,0.39466273105036076,0.0,0.0,0.38911013425118957,0.4001866508961422,Dhrs11
ENSMUSG00000062729,0.38335364615457956,0.0,0.0,0.37774359766420323,0.388935549136041,Ppox
ENSMUSG00000022514,0.3820182804237241,0.0,0.0,0.3764015597013364,0.3876069200754162,Il1rap
ENSMUSG00000026311,0.37842458718278504,0.0,0.0,0.37279002743645,0.3840312410162237,Asb1
ENSMUSG00000016255,0.3744127688626215,0.0,0.0,0.3687584961745608,0.3800393341552885,Tubb1
ENSMUSG00000036533,0.3744056634693347,0.0,0.0,0.36875135605609044,0.3800322638415531,Cdc42ep3
ENSMUSG00000034248,0.3739675578208717,0.0,0.0,0.3683111106048002,0.3795963198644415,Slc25a37
ENSMUSG00000001999,0.3732115529815014,0.0,0.0,0.36755141923972573,0.3788440393747285,Blvra
ENSMUSG00000061436,0.3717160771010865,0.0,0.0,0.3660486731817902,0.37735590881677045,Hipk2
