,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000007892,0.798885512577037,0.0,0.0,0.7964997206973431,0.8012464284464283,Rplp1
ENSMUSG00000059291,0.658312424799047,0.0,0.0,0.6545792458783968,0.6620134986906745,Rpl11
ENSMUSG00000041453,0.6581049029126028,0.0,0.0,0.654369929230153,0.6618077662131364,Rpl21
ENSMUSG00000039016,0.6373361839807729,0.0,0.0,0.6334244858349491,0.6412153092864682,Timm8b
ENSMUSG00000012848,0.630184452488017,0.0,0.0,0.6262132256039264,0.6341229803780208,Rps5
ENSMUSG00000034892,0.5899567874623971,0.0,0.0,0.5856633744517772,0.5942170965830926,Rps29
ENSMUSG00000020811,0.5631193958253836,0.0,0.0,0.5586229860167724,0.5675827078663508,Wscd1
ENSMUSG00000003970,0.547197002374187,0.0,0.0,0.5425846726037803,0.5517763376418038,Rpl8
ENSMUSG00000067274,0.5422219886856755,0.0,0.0,0.5375741286998189,0.5468369012211025,Rplp0
ENSMUSG00000028234,0.5151554124959606,0.0,0.0,0.51031999952956,0.5199582537692489,Rps20
ENSMUSG00000024309,0.5137870062738615,0.0,0.0,0.5089423690736438,0.51859909603984,Pfdn6
ENSMUSG00000020163,0.4823965810992273,0.0,0.0,0.47734715822571216,0.48741414678131456,Uqcr11
ENSMUSG00000062713,0.4802640764839653,0.0,0.0,0.4752012150323472,0.4852951367198541,Sim2
ENSMUSG00000032269,0.47828487589564805,0.0,0.0,0.47320959584444167,0.48332840769201146,Htr3a
ENSMUSG00000097860,0.47401406199514984,0.0,0.0,0.4689121612465073,0.4790843320615673,Gm26857
ENSMUSG00000033307,0.46796973030202027,0.0,0.0,0.46283056704337355,0.47307743689606563,Mif
ENSMUSG00000075015,0.45900089687299367,0.0,0.0,0.4538073333728518,0.4641632781590056,Gm10801
ENSMUSG00000013822,0.455770970366223,0.0,0.0,0.4505580766439174,0.46095278540066226,Elof1
ENSMUSG00000002395,0.45029149125066226,0.0,0.0,0.44504612022173945,0.4555059648278644,Use1
ENSMUSG00000000197,0.44254663369321584,0.0,0.0,0.43725603610928104,0.4478066018778367,Nalcn
ENSMUSG00000028741,0.4410290815313928,0.0,0.0,0.43572971512775216,0.44629787267242244,Mrto4
ENSMUSG00000064023,0.43565434410208004,0.0,0.0,0.43032416615201086,0.440954142732344,Klk8
ENSMUSG00000097168,0.43268419834008814,0.0,0.0,0.4273371575424312,0.438000970891459,C230088H06Rik
ENSMUSG00000039001,0.43085331844805863,0.0,0.0,0.4254959410801384,0.4361804970213515,Rps21
ENSMUSG00000068335,0.4299746555613196,0.0,0.0,0.4246123332904183,0.43530681263338544,Dok1
ENSMUSG00000026786,0.4268904174757411,0.0,0.0,0.42151081871358803,0.43223997031991407,Apbb1ip
ENSMUSG00000097469,0.4265847126165782,0.0,0.0,0.4212034082911465,0.43193598296143493,Gm26733
ENSMUSG00000027867,0.4248318146203576,0.0,0.0,0.41944075454181273,0.43019290956387846,Spag17
ENSMUSG00000047216,0.42394171856707047,0.0,0.0,0.41854572022097286,0.4293077869951346,Cdh19
ENSMUSG00000030744,0.41901107044539304,0.0,0.0,0.41358790662092304,0.4244045025663457,Rps3
ENSMUSG00000067367,0.4189071899779353,0.0,0.0,0.41348345728171737,0.4243011952034806,Lyar
ENSMUSG00000045319,0.4174609750598585,0.0,0.0,0.41202933740732883,0.4228629444132272,Proser2
ENSMUSG00000030432,0.4164700370285413,0.0,0.0,0.4110329989191009,0.42187744764320323,Rpl28
ENSMUSG00000048752,0.4130162388784849,0.0,0.0,0.4075604796384936,0.4184425144900628,Prss50
ENSMUSG00000029055,0.4113544984188568,0.0,0.0,0.40588978802095516,0.4167897953151963,Plch2
ENSMUSG00000019894,0.4055815935042946,0.0,0.0,0.400086070507433,0.41104795116436493,Slc6a15
ENSMUSG00000036748,0.40520814311945197,0.0,0.0,0.39971064202760404,0.4106764951697737,Cuedc2
