,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000071646,0.7330209058865547,0.0,0.0,0.7299710582861945,0.7360415627651123,Mta2
ENSMUSG00000057130,0.6873487602493569,0.0,0.0,0.6838723472460037,0.6907939636407298,Txnl4a
ENSMUSG00000040356,0.6634034994372029,0.0,0.0,0.6597145301607449,0.6670604996022883,Skiv2l
ENSMUSG00000001229,0.649571095217819,0.0,0.0,0.6457628122385758,0.6533470603136081,Dpp9
ENSMUSG00000074886,0.6375418471569821,0.0,0.0,0.6336318709369111,0.6414192544128527,Grk6
ENSMUSG00000026049,0.6349381085970255,0.0,0.0,0.631006373915077,0.6388372262710699,Tex30
ENSMUSG00000071660,0.6330004548543072,0.0,0.0,0.629052586381036,0.6369156720096016,Ttc9c
ENSMUSG00000026277,0.6306406710712696,0.0,0.0,0.62667322131655,0.6345754293803956,Stk25
ENSMUSG00000001844,0.6269235075788923,0.0,0.0,0.6229253631539262,0.6308889010243294,Zdhhc4
ENSMUSG00000029390,0.6238375533723182,0.0,0.0,0.6198140659496557,0.6278282437904941,Tmed2
ENSMUSG00000038374,0.6222211245060135,0.0,0.0,0.6181844128499712,0.6262250162749312,Rbm8a
ENSMUSG00000029463,0.6174818198445812,0.0,0.0,0.6134065352916814,0.6215242222506537,Fam216a
ENSMUSG00000055302,0.6129026304840711,0.0,0.0,0.6087903595426046,0.6169819659263529,Mrfap1
ENSMUSG00000043487,0.6112986408468949,0.0,0.0,0.6071734802344305,0.6153908488440782,Acot6
ENSMUSG00000061894,0.6111482151033953,0.0,0.0,0.6070218474208737,0.6152416286071385,Zscan20
ENSMUSG00000046691,0.6096590284033476,0.0,0.0,0.6055207271640678,0.6137643603705365,Chtf8
ENSMUSG00000033365,0.6088630069992007,0.0,0.0,0.6047183389412292,0.6129746980036485,Ipo13
ENSMUSG00000059920,0.605356616123155,0.0,0.0,0.6011840030489681,0.609496220235576,4930453N24Rik
ENSMUSG00000039483,0.5984947672747705,0.0,0.0,0.5942679393506369,0.6026885348939943,Asb6
ENSMUSG00000044709,0.5961936802559225,0.0,0.0,0.5919488116062898,0.6004054746495481,Gemin7
ENSMUSG00000021067,0.5900246931487619,0.0,0.0,0.5857318058964783,0.5942844767697284,Sav1
ENSMUSG00000035278,0.5895772524972714,0.0,0.0,0.5852809020722332,0.5938404976128551,Plekhj1
ENSMUSG00000062014,0.5895068442274722,0.0,0.0,0.5852099490872106,0.5937706337997629,Gmfb
ENSMUSG00000009549,0.5856663058889949,0.0,0.0,0.5813397980115385,0.5899596963786471,Srp14
ENSMUSG00000046556,0.5844907814369636,0.0,0.0,0.5801552487260396,0.5887931940352571,Zfp319
ENSMUSG00000045410,0.5799070976023969,0.0,0.0,0.5755365498244023,0.584244518619164,Akr1e1
ENSMUSG00000033157,0.578781272452622,0.0,0.0,0.5744021670722085,0.5831272504031948,Abhd10
ENSMUSG00000029778,0.5781492145195457,0.0,0.0,0.5737653121235073,0.5824999892764631,Adcyap1r1
ENSMUSG00000055128,0.5762643739836752,0.0,0.0,0.5718661980302696,0.5806294223815357,Cgrrf1
ENSMUSG00000031819,0.5751813527636942,0.0,0.0,0.5707749966116212,0.5795545818867248,Emc8
ENSMUSG00000028882,0.5732439182533372,0.0,0.0,0.5688229672336809,0.5776317440544808,Ppp1r8
ENSMUSG00000090862,0.572610042493173,0.0,0.0,0.5681843272439234,0.5770026333576939,Rps13
ENSMUSG00000051695,0.5722667081291474,0.0,0.0,0.5678384145941627,0.5766618777806296,Pcbp1
