,Notochord_2_corr,Notochord_2_pval,Notochord_2_qval,Notochord_2_ci_low,Notochord_2_ci_high,gene_annotation
ENSMUSG00000028572,0.8033538224560766,0.0,0.0,0.8010151740939918,0.8056679506889857,Hook1
ENSMUSG00000040570,0.7966526020839981,0.0,0.0,0.7942433512906814,0.7990368021151077,Rundc3b
ENSMUSG00000026525,0.7955436583414847,0.0,0.0,0.7931227817022389,0.7979393981931288,Opn3
ENSMUSG00000030309,0.7944710628314698,0.0,0.0,0.7920389570026503,0.7968779491476495,Caprin2
ENSMUSG00000026189,0.7935305024501823,0.0,0.0,0.7910885623476335,0.7959471508868582,Pecr
ENSMUSG00000023755,0.7905513324319925,0.0,0.0,0.7880783206515007,0.7929988263961479,Rhebl1
ENSMUSG00000021636,0.7903038117500275,0.0,0.0,0.7878282237388596,0.7927538633186473,Marveld2
ENSMUSG00000031808,0.7817851827459482,0.0,0.0,0.7792214291469735,0.7843227740515428,Slc27a1
ENSMUSG00000043587,0.7760133718080419,0.0,0.0,0.7733904309487496,0.7786097429975501,Pxylp1
ENSMUSG00000035824,0.7757552096270492,0.0,0.0,0.7731296318031159,0.7783541998726901,Tk2
ENSMUSG00000028601,0.7702691930269846,0.0,0.0,0.7675877888819458,0.7729236353311624,Echdc2
ENSMUSG00000026527,0.7668206191374272,0.0,0.0,0.7641043271302732,0.7695097201715272,Rgs7
ENSMUSG00000043085,0.7628545717206363,0.0,0.0,0.7600983526155219,0.7655833421595145,Tmem82
ENSMUSG00000038034,0.7604045430339211,0.0,0.0,0.7576237636155534,0.7631577176943638,Igsf8
ENSMUSG00000039774,0.7603952323364264,0.0,0.0,0.7576143597354473,0.7631484995907952,Galnt12
ENSMUSG00000027478,0.759498192304934,0.0,0.0,0.7567083474302909,0.7622603752756114,Dnmt3b
ENSMUSG00000024013,0.7582054818365418,0.0,0.0,0.7554027260065189,0.7609804948137104,Fgd2
ENSMUSG00000074227,0.7576597699109482,0.0,0.0,0.7548515704592704,0.7604401925340396,Spint2
ENSMUSG00000004565,0.7570363320592755,0.0,0.0,0.7542219185024804,0.7598229301151704,Pnpla6
ENSMUSG00000030990,0.7564611295396945,0.0,0.0,0.7536409872532768,0.7592534207797476,Pgap2
ENSMUSG00000024186,0.7561243656695242,0.0,0.0,0.7533008714281634,0.7589199881137088,Rgs11
ENSMUSG00000079469,0.7545146588228674,0.0,0.0,0.7516751633422044,0.757326183930373,Pigb
ENSMUSG00000054702,0.7496588689036514,0.0,0.0,0.7467713136259191,0.7525181625548444,Ap1s3
ENSMUSG00000022802,0.7487656569947393,0.0,0.0,0.7458692954101347,0.7516337043731334,Lmln
ENSMUSG00000021951,0.7472315952689146,0.0,0.0,0.7443201339344117,0.7501146528130832,Eef1akmt1
ENSMUSG00000017978,0.7472179041960255,0.0,0.0,0.7443063082415364,0.7501010955647585,Cadps2
ENSMUSG00000030539,0.7445891843945163,0.0,0.0,0.7416517873109493,0.7474980255079681,Sema4b
ENSMUSG00000037716,0.7430995485331376,0.0,0.0,0.7401475713738799,0.7460228851162931,Ccdc33
ENSMUSG00000074166,0.7427916608204008,0.0,0.0,0.739836673839466,0.7457179898445603,AW146154
ENSMUSG00000059305,0.7405418380617471,0.0,0.0,0.7375648957648886,0.7434899964990402,Vpreb1
ENSMUSG00000039431,0.7392928464180122,0.0,0.0,0.7363037446906858,0.7422530952266846,Mtmr7
ENSMUSG00000064125,0.7377696579021463,0.0,0.0,0.7347657554343663,0.740744624037282,Prr36
ENSMUSG00000040502,0.7377134790207754,0.0,0.0,0.7347090312564059,0.7406889873929045,March9
ENSMUSG00000027238,0.7375294915990811,0.0,0.0,0.7345232582671009,0.7405067755269731,Frmd5
ENSMUSG00000055717,0.7373531388850282,0.0,0.0,0.7343451945019764,0.7403321242796957,Slain1
ENSMUSG00000031861,0.7364624643630483,0.0,0.0,0.7334458845921927,0.7394500369206388,Lpar2
ENSMUSG00000045690,0.7361427693263375,0.0,0.0,0.7331230925804587,0.7391334216229137,Wdr89
ENSMUSG00000024413,0.7358226899905509,0.0,0.0,0.7327999139097756,0.7388164244041912,Npc1
ENSMUSG00000041958,0.7349665661161746,0.0,0.0,0.7319355068720698,0.7379685378314712,Pigs
ENSMUSG00000049502,0.7324541247802724,0.0,0.0,0.7293988135096603,0.7354802155381126,Dtx3l
ENSMUSG00000001247,0.7300652993437368,0.0,0.0,0.7269870072036665,0.7331142467445589,Lsr
ENSMUSG00000048924,0.7293535457381056,0.0,0.0,0.7262684211049354,0.7324092890349218,Ccdc125
ENSMUSG00000027551,0.7278335265223363,0.0,0.0,0.7247338330091703,0.7309037611810911,Zfp64
ENSMUSG00000026442,0.7275234188259467,0.0,0.0,0.7244207568101193,0.7305966062791849,Nfasc
ENSMUSG00000053141,0.7262360938934663,0.0,0.0,0.7231211226576703,0.7293215257447208,Ptprt
