,Somitic mesoderm_corr,Somitic mesoderm_pval,Somitic mesoderm_qval,Somitic mesoderm_ci_low,Somitic mesoderm_ci_high,gene_annotation
ENSMUSG00000027556,0.4129782447251481,0.0,0.0,0.40752228041724853,0.41840472700144987,Car1
ENSMUSG00000038997,0.4005013085114668,0.0,0.0,0.3949790343297488,0.4059946415241716,Asb17
ENSMUSG00000084796,0.380090620470984,0.0,0.0,0.374464309656529,0.38568894385428204,Mir142hg
ENSMUSG00000034041,0.3691030457021063,0.0,0.0,0.36342300960781265,0.3747556419221772,Lyl1
ENSMUSG00000071714,0.36043265979964956,0.0,0.0,0.35471135487360556,0.36612697321040844,Csf2rb2
ENSMUSG00000041237,0.3560974707725906,0.0,0.0,0.3503559039432869,0.36181227553389644,Pklr
ENSMUSG00000026815,0.350887901002922,0.0,0.0,0.3451223140406551,0.3566270061905929,Gfi1b
ENSMUSG00000054191,0.34933270575503383,0.0,0.0,0.3435600176358101,0.35507899673114507,Klf1
ENSMUSG00000026401,0.3473203748611992,0.0,0.0,0.3415385456814248,0.35307591705324565,Cd55b
ENSMUSG00000028684,0.34318467513803785,0.0,0.0,0.33738422737764895,0.34895906457520526,Urod
ENSMUSG00000050708,0.3323455068462772,0.0,0.0,0.32649733395747477,0.3381682350026904,Ftl1
ENSMUSG00000049960,0.3315207059988047,0.0,0.0,0.3256689650174645,0.3373470497724499,Mrps16
ENSMUSG00000029722,0.33115381256357035,0.0,0.0,0.32530048728629113,0.3369817618108496,Agfg2
ENSMUSG00000106438,0.33014125013884654,0.0,0.0,0.324283561701237,0.3359736211125817,Gm42749
ENSMUSG00000038578,0.3300160299789011,0.0,0.0,0.32415780290474405,0.33584894684401334,Susd1
ENSMUSG00000030612,0.3211083225116738,0.0,0.0,0.3152123100139484,0.32697954767784354,Mrpl46
ENSMUSG00000058600,0.32020594331899294,0.0,0.0,0.3143061614782137,0.3260809915374128,Rpl30
ENSMUSG00000053604,0.32004914020945224,0.0,0.0,0.3141487044801676,0.3259248516629684,Rpia
ENSMUSG00000028644,0.3198666685782181,0.0,0.0,0.31396547232816163,0.3257431514342408,Ermap
ENSMUSG00000000869,0.31317663824311115,0.0,0.0,0.30724786220729433,0.3190811036176841,Il4
ENSMUSG00000018654,0.3114578924076378,0.0,0.0,0.30552212620169633,0.31736945259384836,Ikzf1
ENSMUSG00000004328,0.3113771120310542,0.0,0.0,0.30544101824931447,0.3172890047228833,Hif3a
ENSMUSG00000042476,0.30930550430491416,0.0,0.0,0.3033610392909551,0.31522589501160714,Abcb4
ENSMUSG00000031497,0.30720561785612815,0.0,0.0,0.30125272514955814,0.31313456546827023,Tnfsf13b
ENSMUSG00000024661,0.30498944340027745,0.0,0.0,0.29902771941579703,0.31092735941734506,Fth1
ENSMUSG00000034796,0.3028799878868396,0.0,0.0,0.2969099181072387,0.3088263809413722,Cpne7
ENSMUSG00000070803,0.3025529348391744,0.0,0.0,0.2965815763739403,0.30850063698978264,Cited4
ENSMUSG00000028717,0.3022130250830225,0.0,0.0,0.2962403287689497,0.30816208631297165,Tal1
ENSMUSG00000074825,0.300757248721931,0.0,0.0,0.2947788398762513,0.30671211361388734,Itpripl1
ENSMUSG00000058794,0.29354632578121015,0.0,0.0,0.28754003332034145,0.2995295305081871,Nfe2
ENSMUSG00000000244,0.2932455623622007,0.0,0.0,0.287238121798491,0.29922993439325907,Tspan32
ENSMUSG00000023216,0.2864753125369809,0.0,0.0,0.28044234376519483,0.2924856485981721,Epb42
ENSMUSG00000052217,0.28625523541937503,0.0,0.0,0.28022144696400886,0.292266405445853,Hbb-bh1
ENSMUSG00000023926,0.2860078135666808,0.0,0.0,0.27997310434452816,0.2920199204247126,Rhag
ENSMUSG00000025499,0.2849792983342206,0.0,0.0,0.27894077020636604,0.2909952909748821,Hras
ENSMUSG00000026520,0.2838393862206751,0.0,0.0,0.2777966418730763,0.28985966938319657,Pycr2
ENSMUSG00000043716,0.28363942841628503,0.0,0.0,0.2775959462473791,0.2896604624534831,Rpl7
ENSMUSG00000028494,0.28303546930177154,0.0,0.0,0.2769897617959706,0.28905876813823117,Plin2
ENSMUSG00000037336,0.28286002319410253,0.0,0.0,0.2768136701447443,0.28888397904767255,Mfsd2b
ENSMUSG00000026399,0.28254006220135447,0.0,0.0,0.2764925329200778,0.2885652152227314,Cd55
ENSMUSG00000028332,0.28238739188950107,0.0,0.0,0.27633930184173716,0.2884131156722497,Hemgn
ENSMUSG00000027327,0.27913645333539266,0.0,0.0,0.2730764953969057,0.2851742586422239,1700037H04Rik
ENSMUSG00000049751,0.2787275426172298,0.0,0.0,0.27266610177872264,0.2847668578036132,Rpl36al
ENSMUSG00000026311,0.27369365971529147,0.0,0.0,0.2676141443909914,0.27975138347900613,Asb1
ENSMUSG00000026544,0.27027594711442765,0.0,0.0,0.2641843507739841,0.27634598076814393,Dusp23
ENSMUSG00000029716,0.26593281815170855,0.0,0.0,0.25982609189303657,0.27201827491929825,Tfr2
ENSMUSG00000022514,0.2658525783713444,0.0,0.0,0.25974557492632006,0.2719383177666084,Il1rap
ENSMUSG00000031543,0.26540635382121913,0.0,0.0,0.25929781045353956,0.271493663415202,Ank1
ENSMUSG00000024663,0.26483936577359934,0.0,0.0,0.25872886951613633,0.27092866676651994,Rab3il1
ENSMUSG00000006574,0.26168113197267956,0.0,0.0,0.2555598353171268,0.2677814486690468,Slc4a1
ENSMUSG00000020490,0.2614549047375171,0.0,0.0,0.25533283948791297,0.2675560055023835,Btnl10
ENSMUSG00000078350,0.25998320006092906,0.0,0.0,0.25385615125539923,0.26608938521802583,Smim1
ENSMUSG00000026532,0.25980941110288036,0.0,0.0,0.2536817756904874,0.2659161947935088,Spta1
ENSMUSG00000034449,0.25935837440959225,0.0,0.0,0.25322921842708185,0.2654667096426709,Dhrs11
ENSMUSG00000026614,0.25914314271203687,0.0,0.0,0.2530132620691183,0.2652522173949196,Slc30a10
