,Cardiomyocytes_3_corr,Cardiomyocytes_3_pval,Cardiomyocytes_3_qval,Cardiomyocytes_3_ci_low,Cardiomyocytes_3_ci_high,gene_annotation
ENSMUSG00000018845,0.5076624629495208,0.0,0.0,0.5027768451505826,0.5125156479581758,Unc45b
ENSMUSG00000044033,0.5047377695439818,0.0,0.0,0.4998327573713819,0.5096104071494214,Ccdc141
ENSMUSG00000028273,0.5035499570791976,0.0,0.0,0.49863710058922606,0.5084304632856439,Pdlim5
ENSMUSG00000020067,0.497374997265256,0.0,0.0,0.49242166252216407,0.5022961138573441,Mypn
ENSMUSG00000045776,0.4950633226924853,0.0,0.0,0.4900949643635731,0.4999995148618289,Lrtm1
ENSMUSG00000019528,0.4939743775266006,0.0,0.0,0.4889989666666535,0.49891764719197573,Gyg
ENSMUSG00000068614,0.49320975789926086,0.0,0.0,0.4882294043838672,0.4981579879304435,Actc1
ENSMUSG00000062209,0.49188182595237967,0.0,0.0,0.4868929068230458,0.4968386527092124,Erbb4
ENSMUSG00000024049,0.48913793834386526,0.0,0.0,0.4841313942062173,0.4941124558123125,Myom1
ENSMUSG00000015579,0.4884925106998418,0.0,0.0,0.48348183522991206,0.49347117523222284,Nkx2-5
ENSMUSG00000049588,0.4878043935741422,0.0,0.0,0.48278931959753346,0.4927874735011039,Ccdc69
ENSMUSG00000049537,0.4858356318987303,0.0,0.0,0.4808080080636023,0.49083131066017754,Tecrl
ENSMUSG00000027861,0.48568409104810345,0.0,0.0,0.4806555033448321,0.49068073748786156,Casq2
ENSMUSG00000027869,0.4834234517542612,0.0,0.0,0.4783805214798809,0.4884344982868646,Hsd3b6
ENSMUSG00000039376,0.4822162641981512,0.0,0.0,0.4771657026758002,0.4872349732184029,Synpo2l
ENSMUSG00000042451,0.48178855967363043,0.0,0.0,0.47673529904365075,0.48680997895678524,Mybph
ENSMUSG00000025813,0.4794663260122096,0.0,0.0,0.47439845279149573,0.4845024192473321,Homer2
ENSMUSG00000059852,0.4791524029052131,0.0,0.0,0.47408255981219344,0.4841904744101388,Kcng2
ENSMUSG00000021203,0.4769744521787811,0.0,0.0,0.4718909783497183,0.48202621335087015,Otub2
ENSMUSG00000052374,0.4734602169509381,0.0,0.0,0.46835488168676453,0.4785339371077603,Actn2
ENSMUSG00000020908,0.4709044613731163,0.0,0.0,0.4657833299243674,0.47599405055599864,Myh3
ENSMUSG00000051747,0.4699716971898355,0.0,0.0,0.46484482221334034,0.47506705688123174,Ttn
ENSMUSG00000020469,0.46564685513540927,0.0,0.0,0.46049350033589354,0.4707688225010608,Myl7
ENSMUSG00000031972,0.465332731072448,0.0,0.0,0.4601774626246336,0.4704566215482545,Acta1
ENSMUSG00000005583,0.4636142674416469,0.0,0.0,0.45844855321225264,0.46874865588080944,Mef2c
ENSMUSG00000034533,0.46230744615121133,0.0,0.0,0.4571338145042685,0.46744979216342075,Scn10a
ENSMUSG00000055027,0.4613672983603107,0.0,0.0,0.4561879847828193,0.4665153554437932,Smyd1
ENSMUSG00000020182,0.4560186553672874,0.0,0.0,0.4508072390824086,0.4611989849383041,Ddc
ENSMUSG00000020475,0.4553377811617391,0.0,0.0,0.45012230542435966,0.46052219228303903,Pgam2
ENSMUSG00000074652,0.45164961574344675,0.0,0.0,0.44641225738018664,0.45685603108036865,Myh7b
ENSMUSG00000029651,0.4467566589360232,0.0,0.0,0.44149054756132305,0.4519919934851005,Mtus2
ENSMUSG00000111765,0.44637587062214407,0.0,0.0,0.44110753486986837,0.4516134427155888,RP24-279F18.1
ENSMUSG00000032010,0.4441740682074272,0.0,0.0,0.43889290824110155,0.4494245413027094,Usp2
ENSMUSG00000061816,0.44365731734542246,0.0,0.0,0.4383731569032246,0.4489108090995609,Myl1
ENSMUSG00000002930,0.4425576372596638,0.0,0.0,0.4372671033685573,0.4478175413608381,Ppp1r17
ENSMUSG00000036944,0.44226383755104975,0.0,0.0,0.4369716035852604,0.4475254521660652,Tmem71
ENSMUSG00000021313,0.4420615811299427,0.0,0.0,0.436768177469437,0.4473243726376156,Ryr2
ENSMUSG00000020326,0.4418625505556046,0.0,0.0,0.43656799638468385,0.44712649966594786,Ccng1
ENSMUSG00000085162,0.44182086856557545,0.0,0.0,0.43652607351533357,0.44708506004168075,Gm12295
ENSMUSG00000042717,0.4342689646490113,0.0,0.0,0.42893090675374085,0.4395766947868978,Ppp1r3a
ENSMUSG00000038132,0.4342582306631894,0.0,0.0,0.4289201118128779,0.439566022157307,Rbm24
ENSMUSG00000026564,0.43413734757137057,0.0,0.0,0.42879854236800863,0.439445829938412,Dusp27
ENSMUSG00000034898,0.43224724185367136,0.0,0.0,0.4268977301079707,0.4375665018604425,Filip1
