,Erythroid3_2_corr,Erythroid3_2_pval,Erythroid3_2_qval,Erythroid3_2_ci_low,Erythroid3_2_ci_high,gene_annotation
ENSMUSG00000052305,0.5771755834590346,0.0,0.0,0.5727843020443396,0.5815337371455606,Hbb-bs
ENSMUSG00000073940,0.5728826467821547,0.0,0.0,0.5684589797817086,0.5772731890247269,Hbb-bt
ENSMUSG00000069917,0.5618863111455052,0.0,0.0,0.5573808039678911,0.5663587259457781,Hba-a2
ENSMUSG00000069919,0.5549145612045455,0.0,0.0,0.5503579977152308,0.5594380710634355,Hba-a1
ENSMUSG00000052187,0.5469563276978199,0.0,0.0,0.5423422715381426,0.5515373914704685,Hbb-y
ENSMUSG00000055609,0.5285221125789251,0.0,0.0,0.5237781079478082,0.5332333349559941,Hba-x
ENSMUSG00000073400,0.5014853099684172,0.0,0.0,0.49655886303107416,0.5063794497044526,Trim10
ENSMUSG00000052217,0.49680949466097163,0.0,0.0,0.49185247817214606,0.5017343055908378,Hbb-bh1
ENSMUSG00000073063,0.4455504987697534,0.0,0.0,0.4402773481901631,0.4507929143446898,Hbq1b
ENSMUSG00000051839,0.432887021528395,0.0,0.0,0.4275411285353803,0.43820263862735664,Gypa
ENSMUSG00000063856,0.4300398879558032,0.0,0.0,0.424677932446062,0.4353716757666445,Gpx1
ENSMUSG00000028332,0.39628613850564337,0.0,0.0,0.39074192762307,0.4018015982683877,Hemgn
ENSMUSG00000096982,0.39424211500457285,0.0,0.0,0.38868735114378783,0.39976822121578703,Redrum
ENSMUSG00000032028,0.375354054839197,0.0,0.0,0.36970438826425195,0.3809759671602936,Nxpe2
ENSMUSG00000023216,0.36688436727987334,0.0,0.0,0.3611936762644579,0.3725477318015823,Epb42
ENSMUSG00000040466,0.3618749571439801,0.0,0.0,0.3561604483091321,0.3675623989008881,Blvrb
ENSMUSG00000001348,0.3612995048542488,0.0,0.0,0.3555822811982134,0.36698969153404676,Acp5
ENSMUSG00000021061,0.36084130510339796,0.0,0.0,0.35512192291950373,0.36653367432350575,Sptb
ENSMUSG00000026614,0.3530866036240672,0.0,0.0,0.34733111064726246,0.35881549592427026,Slc30a10
ENSMUSG00000035239,0.3525769445704644,0.0,0.0,0.34681910612265077,0.3583082098248721,Neu3
ENSMUSG00000025889,0.3462792161107304,0.0,0.0,0.3404926784405393,0.3520395240717877,Snca
ENSMUSG00000027329,0.3435445825270843,0.0,0.0,0.3377457460652391,0.34931734064534425,Spef1
ENSMUSG00000030000,0.33670032630085683,0.0,0.0,0.33087114132094725,0.3425038175678298,Add2
ENSMUSG00000028494,0.3206966813218882,0.0,0.0,0.3147989480174265,0.32656965177876407,Plin2
ENSMUSG00000023926,0.31416484653405247,0.0,0.0,0.30824010721504724,0.32006521524337594,Rhag
ENSMUSG00000024661,0.31334132547182575,0.0,0.0,0.30741322126916687,0.319245109011713,Fth1
ENSMUSG00000055401,0.3126586163908738,0.0,0.0,0.30672772944555554,0.3185652241632289,Fbxo6
ENSMUSG00000039956,0.3103991435666028,0.0,0.0,0.3044590908189049,0.3163150549904728,Mrap
ENSMUSG00000026532,0.3073060765178164,0.0,0.0,0.3013535856668374,0.31323461607684944,Spta1
ENSMUSG00000021102,0.3042777506602808,0.0,0.0,0.29831320438842884,0.3102185331654571,Glrx5
ENSMUSG00000030979,0.30410144339542167,0.0,0.0,0.29813619899298943,0.31004293499331054,Uros
ENSMUSG00000006574,0.30299996285337705,0.0,0.0,0.29703036616450673,0.3089458753340788,Slc4a1
ENSMUSG00000031974,0.29055629516349035,0.0,0.0,0.28453864192360995,0.2965510521652046,Abcb10
ENSMUSG00000018659,0.28893273836777145,0.0,0.0,0.2829089657557383,0.2949337192847173,Pnpo
ENSMUSG00000050708,0.2871539333724832,0.0,0.0,0.2811234961668564,0.2931616938741607,Ftl1
ENSMUSG00000078350,0.28714953131691107,0.0,0.0,0.2811190776700239,0.29315730854500366,Smim1
ENSMUSG00000071714,0.27779734436151593,0.0,0.0,0.271732538408453,0.2838400861256196,Csf2rb2
ENSMUSG00000027078,0.2722499671805403,0.0,0.0,0.2661653298608475,0.27831290941916625,Ube2l6
ENSMUSG00000024588,0.2686251069632735,0.0,0.0,0.2625277303728928,0.274701032003866,Fech
