,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000063229,0.2409342310468931,0.0,0.0,0.23474525476655025,0.24710367449870405,Ldha
ENSMUSG00000023004,0.23346803593026164,0.0,0.0,0.22725609221918242,0.23966098093668228,Tuba1b
ENSMUSG00000067274,0.22420782061225508,0.0,0.0,0.21796841143042311,0.2304289028684608,Rplp0
ENSMUSG00000003970,0.21770883539617822,0.0,0.0,0.21145082527797418,0.22394899600856275,Rpl8
ENSMUSG00000033307,0.20323023844563765,0.0,0.0,0.19693278952174298,0.2095109183352,Mif
ENSMUSG00000073702,0.2009072514879605,0.0,0.0,0.19460373196280173,0.2071941774215038,Rpl31
ENSMUSG00000034892,0.19632671304402574,0.0,0.0,0.1900114315668045,0.2026257485072403,Rps29
ENSMUSG00000024181,0.19605052111888624,0.0,0.0,0.18973453926676895,0.20235027798331498,Mrpl28
ENSMUSG00000027613,0.19533407278591028,0.0,0.0,0.1890162788280233,0.20163569633484293,Eif6
ENSMUSG00000007892,0.1934225369701333,0.0,0.0,0.18709994126275997,0.1997291081413871,Rplp1
ENSMUSG00000025134,0.18908918229189545,0.0,0.0,0.1827558794513365,0.1954067926284524,Alyref
ENSMUSG00000060534,0.1887116026828135,0.0,0.0,0.1823773786060644,0.19503016327407016,Dcc
ENSMUSG00000087614,0.18673465797969824,0.0,0.0,0.18039564110913237,0.19305816352706928,Gm12514
ENSMUSG00000016526,0.18581202105844558,0.0,0.0,0.17947078501241756,0.19213781692440496,Dyrk3
ENSMUSG00000047786,0.18453781576708836,0.0,0.0,0.17819353336403673,0.19086675637630696,Lix1
ENSMUSG00000051727,0.18424411058138682,0.0,0.0,0.1778991290227589,0.19057377304625595,Kctd14
ENSMUSG00000047832,0.18270240703410756,0.0,0.0,0.17635377412972608,0.18903584013520366,Cdca4
ENSMUSG00000007338,0.18149963594058866,0.0,0.0,0.17514817614414419,0.18783598915487784,Mrpl49
ENSMUSG00000090733,0.18139094003884065,0.0,0.0,0.17503922571113598,0.18772755621559173,Rps27
ENSMUSG00000021811,0.18134419661760598,0.0,0.0,0.17499237287949493,0.18768092583084495,Dnajc9
ENSMUSG00000049960,0.1799954419203822,0.0,0.0,0.17364047359820192,0.18633542043411622,Mrps16
ENSMUSG00000070526,0.17617486330225562,0.0,0.0,0.16981111741852517,0.18252391691838482,Peg12
ENSMUSG00000078812,0.17568230635383483,0.0,0.0,0.1693174428332179,0.1820325160636793,Eif5a
ENSMUSG00000019370,0.17452362900535304,0.0,0.0,0.16815614898042003,0.18087654577096904,Calm3
ENSMUSG00000023456,0.17440628032674846,0.0,0.0,0.16803853629278306,0.18075947027904002,Tpi1
ENSMUSG00000036992,0.17324146039453497,0.0,0.0,0.1668711055993252,0.17959735227379992,Nxt1
ENSMUSG00000042606,0.1730546612456092,0.0,0.0,0.16668388943127121,0.17941098477532827,Hirip3
ENSMUSG00000036615,0.1729030016222105,0.0,0.0,0.16653189157372233,0.17925967526734285,Rfxap
ENSMUSG00000005732,0.17062854064527788,0.0,0.0,0.16425239437127384,0.17699042894625333,Ranbp1
ENSMUSG00000030507,0.1704749655822576,0.0,0.0,0.16409848170894112,0.17683720354692795,Dbx1
ENSMUSG00000001056,0.1689236064956824,0.0,0.0,0.16254372972605224,0.17528935934274326,Nhp2
ENSMUSG00000022557,0.16864442515466815,0.0,0.0,0.16226394116568774,0.17501080719594145,Bop1
ENSMUSG00000024387,0.1679330893575154,0.0,0.0,0.16155106285061802,0.1743010699378708,Csnk2b
ENSMUSG00000049950,0.16665665472699095,0.0,0.0,0.16027187699504955,0.1730274871677353,Rpp38
ENSMUSG00000071415,0.16485524714977293,0.0,0.0,0.1584666231564108,0.17123006811498276,Rpl23
ENSMUSG00000032518,0.16444992528116908,0.0,0.0,0.1580604417543363,0.17082563782762086,Rpsa
ENSMUSG00000029394,0.16442369963490946,0.0,0.0,0.15803416056794028,0.17079946979557376,Cdk2ap1
ENSMUSG00000042462,0.16243467733953015,0.0,0.0,0.15604095234060641,0.1688147909050558,Dctpp1
ENSMUSG00000002396,0.16226559564132056,0.0,0.0,0.15587151720833725,0.1686460760426355,Ocel1
ENSMUSG00000025362,0.1615814502715805,0.0,0.0,0.15518594560042034,0.16796341116213573,Rps26
ENSMUSG00000036975,0.15820405689625705,0.0,0.0,0.15180160163900575,0.16459323676107776,Tmem177
ENSMUSG00000035295,0.1580839783247526,0.0,0.0,0.15168127871252957,0.1644734121039893,Wdr38
ENSMUSG00000030432,0.15785082810789777,0.0,0.0,0.1514476545864505,0.1642407543607872,Rpl28
ENSMUSG00000022814,0.15765377799058938,0.0,0.0,0.1512502044960383,0.16404411991002016,Umps
ENSMUSG00000021576,0.15679971694031478,0.0,0.0,0.1503944157763073,0.16319185458470184,Pdcd6
ENSMUSG00000061477,0.15428319307737945,0.0,0.0,0.14787285708058684,0.1606805664248904,Rps7
ENSMUSG00000099913,0.15407931562332255,0.0,0.0,0.14766857537633393,0.16047710951684543,Gm28551
ENSMUSG00000022205,0.1539855855997122,0.0,0.0,0.1475746596874602,0.1603835726513991,Sub1
ENSMUSG00000020171,0.15392289666367254,0.0,0.0,0.14751184663846206,0.16032101284014336,Yeats4
ENSMUSG00000061374,0.15358716899471364,0.0,0.0,0.14717545516843666,0.15998597581816043,Fiz1
ENSMUSG00000020932,0.15300975643336745,0.0,0.0,0.1465969044155612,0.15940974764108434,Gfap
ENSMUSG00000042660,0.15294968912461862,0.0,0.0,0.14653671895450252,0.15934980329151707,Wdr55
ENSMUSG00000024747,0.15278833176061532,0.0,0.0,0.14637504443587193,0.1591887759961352,Aldh1a7
ENSMUSG00000028234,0.1525586692131989,0.0,0.0,0.14614493106799628,0.15895958265341698,Rps20
ENSMUSG00000090266,0.1521323233599182,0.0,0.0,0.14571775015120625,0.15853410600318268,Mettl23
ENSMUSG00000030663,0.15157007408744322,0.0,0.0,0.145154403284673,0.15797299936856163,1110004F10Rik
ENSMUSG00000001525,0.15049599703713323,0.0,0.0,0.1440782410398754,0.15690109362958693,Tubb5
ENSMUSG00000003527,0.14970590592034297,0.0,0.0,0.14328662574419532,0.15611259009650938,Dgcr14
ENSMUSG00000027133,0.14944027551471734,0.0,0.0,0.1430204847511973,0.15584749160595188,Nop10
ENSMUSG00000111669,0.14934515445946894,0.0,0.0,0.14292518108266464,0.1557525608026644,RP23-304K3.2
ENSMUSG00000035183,0.1491978164327376,0.0,0.0,0.14277756043159734,0.15560551723359597,Slc24a5
ENSMUSG00000004268,0.14892683476556,0.0,0.0,0.14250605971218172,0.1553350763866815,Emg1
ENSMUSG00000018446,0.1485825885156029,0.0,0.0,0.14216115546859306,0.15499151579188572,C1qbp
ENSMUSG00000022856,0.14737764223733538,0.0,0.0,0.14095391833207202,0.15378895726548106,Tmem41a
ENSMUSG00000026127,0.1473200604004197,0.0,0.0,0.1408962274981525,0.15373148905868358,Imp4
ENSMUSG00000039016,0.14600744714582706,0.0,0.0,0.13958114142213132,0.1524214543084164,Timm8b
ENSMUSG00000037373,0.1455973634470204,0.0,0.0,0.13917028981746107,0.15201217155937422,Ctbp1
ENSMUSG00000073771,0.1455816029824767,0.0,0.0,0.1391544998846719,0.15199644183328204,Btbd19
ENSMUSG00000028643,0.14505681185930755,0.0,0.0,0.13862872939558152,0.15147267238193823,Svbp
ENSMUSG00000022831,0.14491222365860099,0.0,0.0,0.13848387200086967,0.15132836503480626,Hcls1
ENSMUSG00000032517,0.14393463739787352,0.0,0.0,0.1375044728887929,0.150352670498794,Mobp
ENSMUSG00000036160,0.14245010958735332,0.0,0.0,0.13601721619076218,0.1488709914857521,Surf6
ENSMUSG00000020889,0.1423325562169927,0.0,0.0,0.13589944797041262,0.1487536624674837,Nr1d1
ENSMUSG00000030695,0.1419010812082723,0.0,0.0,0.1354671859215851,0.14832300938466475,Aldoa
ENSMUSG00000097469,0.14166463045957192,0.0,0.0,0.135230304909334,0.14808700802291694,Gm26733
ENSMUSG00000000346,0.14146903260703386,0.0,0.0,0.13503435168814049,0.1478917813614721,Dazap2
ENSMUSG00000028946,0.14093583317365865,0.0,0.0,0.13450018607655095,0.1473595912524338,Hes3
ENSMUSG00000019471,0.14080724448740906,0.0,0.0,0.13437136494235016,0.14723124542254096,Cdc37
ENSMUSG00000030216,0.14072479571544197,0.0,0.0,0.13428876724335748,0.14714895225191607,Wbp11
ENSMUSG00000024037,0.14005946864215618,0.0,0.0,0.1336222416639247,0.14648487756176964,Wdr4
ENSMUSG00000087679,0.13977358203709037,0.0,0.0,0.13333584185753716,0.14619952731845257,C330006A16Rik
ENSMUSG00000022283,0.1397640987312606,0.0,0.0,0.13332634154644188,0.14619006178625707,Pabpc1
ENSMUSG00000056201,0.1387979752896374,0.0,0.0,0.13235849187238502,0.1452257428895131,Cfl1
ENSMUSG00000001773,0.13837422128329702,0.0,0.0,0.13193398459262135,0.14480277652656268,Folh1
ENSMUSG00000018986,0.13817512653475397,0.0,0.0,0.1317345367450168,0.1446040510297503,Slfn3
ENSMUSG00000034889,0.1373836215821131,0.0,0.0,0.1309416331975852,0.1438140089150751,Cactin
ENSMUSG00000070697,0.1367541787245759,0.0,0.0,0.13031108399305644,0.1431857235255343,Utp3
ENSMUSG00000006589,0.1360452234216369,0.0,0.0,0.1296008888282825,0.1424780656966365,Aprt
ENSMUSG00000051219,0.13579298880396742,0.0,0.0,0.12934821468284027,0.14222629111273918,3100002H09Rik
ENSMUSG00000035242,0.13557343306998787,0.0,0.0,0.12912827704650515,0.14200713513404084,Oaz1
ENSMUSG00000024742,0.13426713769005472,0.0,0.0,0.1278197225638333,0.1407032051463583,Fen1
ENSMUSG00000027867,0.133637834547929,0.0,0.0,0.12718933911844998,0.14007503355438125,Spag17
ENSMUSG00000109701,0.13340908938242,0.0,0.0,0.12696020256481064,0.13984669841149505,Gm45390
ENSMUSG00000020811,0.1333481611010093,0.0,0.0,0.12689917014981714,0.13978587922773583,Wscd1
ENSMUSG00000047721,0.13314646578898928,0.0,0.0,0.12669713046522113,0.13958454472303178,Bola2
ENSMUSG00000029247,0.1330926930193626,0.0,0.0,0.12664326597484965,0.13953086805618914,Paics
ENSMUSG00000030237,0.13301928264076335,0.0,0.0,0.1265697304408477,0.13945758881565656,Slco1a4
ENSMUSG00000039830,0.1326913668170438,0.0,0.0,0.1262412564276876,0.13913025790977496,Olig2
ENSMUSG00000062867,0.1324853789656253,0.0,0.0,0.1260349186600697,0.13892463676838113,Impdh2
ENSMUSG00000043866,0.13244702316250082,0.0,0.0,0.12599649776271743,0.13888634918688594,Taf10
ENSMUSG00000021748,0.132217575107807,0.0,0.0,0.12576666071230214,0.13865730883842656,Pdhb
ENSMUSG00000026201,0.13171132779637082,0.0,0.0,0.1252595575818532,0.13815195864102367,Stk16
ENSMUSG00000057322,0.13136620071340305,0.0,0.0,0.1249138489886071,0.13780744123063804,Rpl38
ENSMUSG00000022177,0.1311955267817319,0.0,0.0,0.1247428880646041,0.13763706822124608,Haus4
ENSMUSG00000033214,0.13089175367055375,0.0,0.0,0.12443860509947259,0.13733382976204606,Slitrk5
ENSMUSG00000070493,0.13071322968669394,0.0,0.0,0.12425978204653432,0.13715561942369106,Chchd2
ENSMUSG00000078620,0.13053495272654997,0.0,0.0,0.12408120684946856,0.1369776552588725,Gm10964
ENSMUSG00000062619,0.12992592956402738,0.0,0.0,0.12347116801435963,0.13636969751895905,2310039H08Rik
ENSMUSG00000051212,0.12919119194301687,0.0,0.0,0.12273521155886488,0.13563623878495637,Gpr183
ENSMUSG00000006941,0.1290732927787082,0.0,0.0,0.122617117476222,0.13551854417862697,Eif1b
ENSMUSG00000020692,0.12856667318710693,0.0,0.0,0.12210966238988659,0.13501280151441108,Nle1
ENSMUSG00000044533,0.12850270952104642,0.0,0.0,0.12204559347777781,0.1349489483267246,Rps2
ENSMUSG00000002835,0.12843206575786684,0.0,0.0,0.12197483353962942,0.13487842651759724,Chaf1a
ENSMUSG00000059291,0.12823457536040686,0.0,0.0,0.12177701871381764,0.13468127670614313,Rpl11
ENSMUSG00000061983,0.12820448225356193,0.0,0.0,0.12174687621640798,0.13465123545215388,Rps12
ENSMUSG00000039067,0.1281732587611535,0.0,0.0,0.12171560149077042,0.13462006574781973,Psmd7
ENSMUSG00000033544,0.1276896208076128,0.0,0.0,0.12123117159492462,0.1341372593182256,Angptl1
ENSMUSG00000008301,0.1274529658423211,0.0,0.0,0.12099413023538205,0.1339010101209986,Phax
ENSMUSG00000005575,0.12729534823812844,0.0,0.0,0.12083625569247931,0.13374366236096333,Ube2m
ENSMUSG00000033751,0.12681440318031748,0.0,0.0,0.12035452864667658,0.13326353868014976,Gadd45gip1
ENSMUSG00000025794,0.12583753669344633,0.0,0.0,0.11937608319806443,0.1322883312061506,Rpl14
ENSMUSG00000021039,0.1256839791441423,0.0,0.0,0.11922227858695038,0.1321350333078661,Snw1
ENSMUSG00000005917,0.12568228253254923,0.0,0.0,0.11922057924737715,0.13213333956335618,Otx1
ENSMUSG00000030802,0.12558218019143652,0.0,0.0,0.11912031601881752,0.13203340631728147,Bckdk
ENSMUSG00000068101,0.12555314883108215,0.0,0.0,0.1190912380230539,0.13200442397279724,Cenpm
ENSMUSG00000028998,0.12545360794056093,0.0,0.0,0.11899153731615397,0.13190505106104305,Tomm7
ENSMUSG00000024640,0.12534432074513718,3.63309004773496e-310,1.1388997014843127e-308,0.11888207480639594,0.13179594814228163,Psat1
ENSMUSG00000107121,0.12533818740355315,3.89704845027686e-310,1.21782764071152e-308,0.11887593163059539,0.13178982513791473,1110006O24Rik
ENSMUSG00000007050,0.12531320125755663,5.1856947899331e-310,1.615481242969813e-308,0.11885090542685772,0.13176488109881968,Lsm2
ENSMUSG00000097518,0.12460056751578574,1.7483176247965177e-306,5.281926358901867e-305,0.11813713264867994,0.1310534448548521,Gm26694
ENSMUSG00000024309,0.12458140032520468,2.1737830907730734e-306,6.547539430039377e-305,0.11811793491450316,0.13103430978071243,Pfdn6
ENSMUSG00000029730,0.12429892003583645,5.365197406872846e-305,1.606346529003846e-303,0.11783500504313021,0.13075230225621418,Mcm7
ENSMUSG00000024790,0.12398277161313398,1.923131442605836e-303,5.706621491411976e-302,0.11751835469834974,0.1304366817076371,Sac3d1
ENSMUSG00000084786,0.12390677053005866,4.5401843600127257e-303,1.3432498106546528e-301,0.1174422331507734,0.13036080732880778,Ubl5
ENSMUSG00000039001,0.12381786818955016,1.2392648540730565e-302,3.6448966296266365e-301,0.11735318999320045,0.13027205310478043,Rps21
ENSMUSG00000059278,0.12359814431908385,1.4776589643009377e-301,4.3206402464939695e-300,0.11713311853652607,0.13005269486334017,Naa38
ENSMUSG00000049792,0.1227632600593014,1.7437420663940555e-297,4.982120189697301e-296,0.11629691934398705,0.12921919412161736,Bag5
ENSMUSG00000063802,0.12254965168733362,1.8997096612847211e-296,5.412278237278408e-295,0.11608297601409949,0.12900593826249568,Hspbp1
ENSMUSG00000020027,0.12215246620177667,1.5932606568380446e-294,4.488058188276182e-293,0.11568516929974607,0.12860940665520842,Socs2
ENSMUSG00000020477,0.12183419795810117,5.482801005194091e-293,1.5187814418820196e-291,0.11536640475722482,0.1282916608798735,Mrps24
ENSMUSG00000028447,0.12152899964892029,1.6169655518455777e-291,4.4179386662447476e-290,0.11506073178128515,0.12798696233826126,Dctn3
ENSMUSG00000046567,0.12142578050686863,5.0686422828759484e-291,1.381101439475735e-289,0.1149573523824629,0.12788391194348583,4930430F08Rik
ENSMUSG00000002395,0.12130830046980401,1.8582503618579737e-290,5.022298275291821e-289,0.11483969011782322,0.1277666237983745,Use1
ENSMUSG00000059920,0.12094398198222242,1.0355804025331945e-288,2.768931557575386e-287,0.11447480767669885,0.12740289924012696,4930453N24Rik
ENSMUSG00000047675,0.12092134043984748,1.3289806259308516e-288,3.543948335815604e-287,0.11445213114353879,0.12738029455173638,Rps8
ENSMUSG00000015092,0.12091388599397242,1.4427196113332375e-288,3.8370202429075464e-287,0.11444466517885862,0.12737285223810857,Edf1
ENSMUSG00000041161,0.12060870090266851,4.1426487883820446e-287,1.0873093932761272e-285,0.11413900913492679,0.1270681632167364,Otud3
ENSMUSG00000030224,0.12040469947905172,3.88876919129071e-286,1.0180024060970446e-284,0.11393469358534176,0.12686449271202216,Strap
