,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000001082,0.6617734071258964,0.0,0.0,0.6580702450335613,0.665444555624755,Mfsd10
ENSMUSG00000020780,0.6590055678368246,0.0,0.0,0.655278387741704,0.6627006608882443,Srp68
ENSMUSG00000020088,0.6548456632170903,0.0,0.0,0.6510825769475314,0.6585765569517793,Sar1a
ENSMUSG00000054115,0.6525667857841345,0.0,0.0,0.6487841269115393,0.6563171968151221,Skp2
ENSMUSG00000029616,0.642967816725901,0.0,0.0,0.6391034727100301,0.6467996990793237,Erp29
ENSMUSG00000054770,0.6416519975326215,0.0,0.0,0.6377765515983341,0.6454949548886371,Kctd18
ENSMUSG00000027466,0.6350992682430178,0.0,0.0,0.6311688776967102,0.6389970446904797,Rbck1
ENSMUSG00000032352,0.633797026067888,0.0,0.0,0.6298557841734003,0.637705630600524,Lrrc1
ENSMUSG00000028541,0.6334554125921744,0.0,0.0,0.629511327824518,0.6373668539874071,B4galt2
ENSMUSG00000062075,0.6334180335854154,0.0,0.0,0.6294736378474999,0.6373297852955538,Lmnb2
ENSMUSG00000037706,0.6317410582803574,0.0,0.0,0.6277827302388095,0.6356667133620872,Cd81
ENSMUSG00000058317,0.6315065373819254,0.0,0.0,0.627546263919281,0.6354341339118558,Ube2e2
ENSMUSG00000034781,0.6312884828978065,0.0,0.0,0.6273264012633696,0.6352178839216742,Gna11
ENSMUSG00000006299,0.6308412841683758,0.0,0.0,0.6268754962067611,0.6347743840251509,Aamp
ENSMUSG00000001229,0.6301442975625854,0.0,0.0,0.6261727383598248,0.6340831571101087,Dpp9
ENSMUSG00000042305,0.6297029148745389,0.0,0.0,0.625727704238693,0.6336454186223582,Tmem183a
ENSMUSG00000002968,0.6283036065141152,0.0,0.0,0.6243168369061578,0.6322576467226281,Med25
ENSMUSG00000023147,0.6276494627714552,0.0,0.0,0.6236572985371935,0.6316088873007172,Wrb
