,Cardiomyocytes_2_corr,Cardiomyocytes_2_pval,Cardiomyocytes_2_qval,Cardiomyocytes_2_ci_low,Cardiomyocytes_2_ci_high,gene_annotation
ENSMUSG00000042305,0.7053453548180504,0.0,0.0,0.7020337119515633,0.7086264924676343,Tmem183a
ENSMUSG00000020496,0.6965216605311767,0.0,0.0,0.6931286929169158,0.6998837630108053,Rnf187
ENSMUSG00000074748,0.6929160099737696,0.0,0.0,0.6894901084597731,0.6963109073591189,Atxn7l3b
ENSMUSG00000001289,0.6793670121999154,0.0,0.0,0.6758189001066668,0.6828836392513029,Pfdn5
ENSMUSG00000052406,0.6701664226871875,0.0,0.0,0.6665367137874025,0.6737643567708695,Rexo4
ENSMUSG00000002329,0.6688642388871326,0.0,0.0,0.6652230722878819,0.6724735920336741,Mdp1
ENSMUSG00000000184,0.6670869362445015,0.0,0.0,0.6634301678329799,0.6707118394146583,Ccnd2
ENSMUSG00000109324,0.6635699099634851,0.0,0.0,0.6598823915697428,0.6672254638380521,Prmt1
ENSMUSG00000041203,0.6619799218690887,0.0,0.0,0.6582785558963674,0.6656492798334446,2310036O22Rik
ENSMUSG00000032171,0.6616981197829334,0.0,0.0,0.6579943030353778,0.6653699209045211,Pin1
ENSMUSG00000024067,0.6613182647323493,0.0,0.0,0.6576111461338117,0.6649933574797136,Dpy30
ENSMUSG00000024968,0.66038268463027,0.0,0.0,0.6566674417768279,0.6640658766580253,Rcor2
ENSMUSG00000045598,0.6603390372629212,0.0,0.0,0.6566234156748401,0.6640226068674776,Zfp553
ENSMUSG00000062075,0.6603230624490055,0.0,0.0,0.6566073022514394,0.6640067702394438,Lmnb2
ENSMUSG00000030652,0.660164763932425,0.0,0.0,0.6564476304013602,0.6638498408634741,Coq7
ENSMUSG00000001383,0.6601483249983391,0.0,0.0,0.6564310488688629,0.6638335440928675,Zmat2
ENSMUSG00000001729,0.6548464902730864,0.0,0.0,0.6510834111193948,0.6585773769122985,Akt1
ENSMUSG00000021039,0.6539536829703909,0.0,0.0,0.6501829275265503,0.6576922240227991,Snw1
ENSMUSG00000034748,0.6508679716897395,0.0,0.0,0.6470707671069396,0.6546328883408499,Sirt6
ENSMUSG00000026000,0.6508310595104749,0.0,0.0,0.6470335393012273,0.6545962909277239,Lancl1
ENSMUSG00000015994,0.6499807557082816,0.0,0.0,0.6461759697848761,0.6537532331484557,Fnta
ENSMUSG00000058709,0.6490647536166291,0.0,0.0,0.645252151347515,0.6528450264613735,Egln2
ENSMUSG00000032959,0.6472570913464996,0.0,0.0,0.6434290968105872,0.651052715957015,Pebp1
ENSMUSG00000001082,0.6437191749157029,0.0,0.0,0.6398611806282779,0.647544723167917,Mfsd10
ENSMUSG00000018287,0.6434237971790245,0.0,0.0,0.6395633057594095,0.6472518363975958,Spag7
ENSMUSG00000027466,0.6427181647025902,0.0,0.0,0.6388517125375682,0.6465521500542379,Rbck1
ENSMUSG00000023944,0.6425304606445322,0.0,0.0,0.6386624239860609,0.6463660266304638,Hsp90ab1
ENSMUSG00000045410,0.6388270666762307,0.0,0.0,0.6349278637524051,0.6426937251727036,Akr1e1
ENSMUSG00000025872,0.6381487138906711,0.0,0.0,0.6342438219697379,0.6420210483656027,Thoc3
ENSMUSG00000031834,0.6373432762820603,0.0,0.0,0.6334316375075468,0.6412223423498751,Pik3r2
ENSMUSG00000018042,0.6367984732254847,0.0,0.0,0.632882275723309,0.6406820878196035,Cyb5r3
ENSMUSG00000042502,0.6357391528134808,0.0,0.0,0.6318141025641109,0.6396316005985018,Cd2bp2
ENSMUSG00000020736,0.6352651054531927,0.0,0.0,0.6313360984154798,0.6391615013944449,Nt5c
ENSMUSG00000017837,0.6311527991233756,0.0,0.0,0.627189592678039,0.6350833226774322,Nkiras2
ENSMUSG00000022075,0.6307912423817487,0.0,0.0,0.6268250398453286,0.6347247559787701,Rhobtb2
ENSMUSG00000023147,0.6307279051571842,0.0,0.0,0.6267611779466359,0.6346619423732129,Wrb
ENSMUSG00000020610,0.6305145395634388,0.0,0.0,0.6265460452629755,0.6344503403245867,Amz2
ENSMUSG00000030591,0.6303580716194327,0.0,0.0,0.626388281838682,0.6342951652707745,Psmd8
ENSMUSG00000035890,0.6302574346166381,0.0,0.0,0.6262868117811364,0.6341953596610469,Rnf126
ENSMUSG00000073616,0.6295849348588084,0.0,0.0,0.6256087486462526,0.6335284122607707,Myeov2
ENSMUSG00000025066,0.62894351118625,0.0,0.0,0.6249620242767069,0.6328922789119146,Sfr1
ENSMUSG00000003464,0.6283282388049756,0.0,0.0,0.6243416724469071,0.6322820761543747,Pex19
ENSMUSG00000003923,0.628173488294628,0.0,0.0,0.6241856451681872,0.63212859996065,Tfam
ENSMUSG00000030802,0.6274037541999092,0.0,0.0,0.6234095651119764,0.6313651997477242,Bckdk
ENSMUSG00000031796,0.624115759968218,0.0,0.0,0.6200945520934953,0.6281041748616714,Cfap20
ENSMUSG00000070527,0.6227973051143624,0.0,0.0,0.6187653032931416,0.6267964951086308,Mkrn3
ENSMUSG00000014470,0.6223706993655206,0.0,0.0,0.6183352099455613,0.6263733709804975,Rnf166
ENSMUSG00000049354,0.6222351620532534,0.0,0.0,0.6181985650909969,0.6262389393234876,Dcaf7
ENSMUSG00000070699,0.6217213091338907,0.0,0.0,0.6176805154416642,0.6257292760334975,Sars2
ENSMUSG00000022706,0.6211637932227317,0.0,0.0,0.6171184501634487,0.6251763018813311,Mrpl40
ENSMUSG00000042659,0.6208555771866838,0.0,0.0,0.6168077208358898,0.6248705949735689,Arrdc4
ENSMUSG00000097709,0.620818497691379,0.0,0.0,0.6167703390676175,0.6248338172524334,2810429I04Rik
ENSMUSG00000057789,0.6202158606692177,0.0,0.0,0.6161627918934919,0.624236082337264,Bak1
ENSMUSG00000020474,0.6199640991354108,0.0,0.0,0.6159089804912867,0.6239863673453898,Polm
ENSMUSG00000005493,0.6199383690598717,0.0,0.0,0.615883040966228,0.6239608463805478,Msh4
ENSMUSG00000047342,0.6197843302996615,0.0,0.0,0.615727748474253,0.6238080593281004,Zfp286
ENSMUSG00000004667,0.6165818450238362,0.0,0.0,0.6124992693342046,0.6206315275546256,Polr2e
ENSMUSG00000042688,0.6164187144740166,0.0,0.0,0.6123348183354582,0.6204697154853025,Mapk6
ENSMUSG00000031988,0.616215679137542,0.0,0.0,0.612130140037171,0.6202683206725275,Vps26b
ENSMUSG00000001910,0.6162122530390226,0.0,0.0,0.6121266862193614,0.6202649222522693,Nacc1
ENSMUSG00000025465,0.6154987283249467,0.0,0.0,0.6114073920386313,0.6195571585414203,Echs1
ENSMUSG00000057894,0.6154651182946652,0.0,0.0,0.611373510408816,0.6195238197160017,Zfp329
ENSMUSG00000092607,0.6149281126305622,0.0,0.0,0.6108321672863988,0.618991145253024,Scnm1
ENSMUSG00000036822,0.6145274165539635,0.0,0.0,0.610428237234935,0.6185936785420426,Topors
ENSMUSG00000001034,0.6142660659824892,0.0,0.0,0.6101647784799973,0.6183344331751464,Mapk7
ENSMUSG00000006289,0.6138460013401938,0.0,0.0,0.6097413272882689,0.6179177503397637,Osgep
ENSMUSG00000036820,0.6137083644686382,0.0,0.0,0.6096025813017515,0.617781221041421,Amdhd2
ENSMUSG00000035478,0.6132838197375629,0.0,0.0,0.6091746170596237,0.6173600911036454,Mbd3
ENSMUSG00000021038,0.6132098861141144,0.0,0.0,0.6091000881797989,0.617286751920823,Vipas39
ENSMUSG00000006299,0.612426139428183,0.0,0.0,0.608310035834575,0.6165093023530686,Aamp
ENSMUSG00000057181,0.6120663239520782,0.0,0.0,0.6079473281833652,0.6161523751959527,5730455P16Rik
ENSMUSG00000062591,0.6116869562106616,0.0,0.0,0.6075649129687404,0.6157760509064049,Tubb4a
ENSMUSG00000020288,0.6116267469567157,0.0,0.0,0.6075042202276512,0.6157163245055585,Ahsa2
ENSMUSG00000029623,0.6111155495716448,0.0,0.0,0.6069889198089017,0.615209224817034,Pdap1
ENSMUSG00000019837,0.6096809866660147,0.0,0.0,0.6055428611747725,0.613786143102643,Gtf3c6
ENSMUSG00000010376,0.6090015539000101,0.0,0.0,0.6048579933770837,0.6131121387094371,Nedd8
ENSMUSG00000020267,0.6082154627328682,0.0,0.0,0.6040656216269399,0.6123323206022325,Hint1
ENSMUSG00000038212,0.607075605843999,0.0,0.0,0.6029166722696999,0.6112015456177462,Mfsd14b
ENSMUSG00000022519,0.6066127610416784,0.0,0.0,0.602450140348068,0.610742383761495,Srl
ENSMUSG00000028833,0.6059426473874646,0.0,0.0,0.6017746934672863,0.6100775974106685,Ncdn
ENSMUSG00000021807,0.6046907157681427,0.0,0.0,0.600512814086926,0.6088356028628316,2700060E02Rik
ENSMUSG00000061898,0.6043052802176075,0.0,0.0,0.6001243200819946,0.6084532225742542,Rbak
ENSMUSG00000045438,0.6040337269637308,0.0,0.0,0.5998506132209628,0.6081838207061836,Cox19
ENSMUSG00000029815,0.6032267382872706,0.0,0.0,0.5990372303378836,0.6073832197707527,Malsu1
ENSMUSG00000032330,0.6030589515833354,0.0,0.0,0.5988681152550921,0.6072167601268511,Cox7a2
ENSMUSG00000047085,0.6017203194827667,0.0,0.0,0.5975188984983355,0.6058887024744642,Lrrc4b
ENSMUSG00000054770,0.6007153429586699,0.0,0.0,0.5965059911900227,0.6048916494369322,Kctd18
ENSMUSG00000031575,0.6005961610428756,0.0,0.0,0.5963858696380637,0.6047734063126529,Ash2l
ENSMUSG00000049670,0.6000721405431068,0.0,0.0,0.5958577199718499,0.6042535113178193,Morn4
ENSMUSG00000001864,0.5993791007490559,0.0,0.0,0.5951592247752209,0.6035659222145171,Aif1l
ENSMUSG00000044700,0.5991761247791593,0.0,0.0,0.5949546522462226,0.6033645414518862,Tmem201
ENSMUSG00000020740,0.5981092923535676,0.0,0.0,0.5938794373707555,0.6023060845804613,Gga3
ENSMUSG00000024050,0.5980303011040949,0.0,0.0,0.5937998260620733,0.6022277128936065,Wiz
ENSMUSG00000034022,0.5960652555008488,0.0,0.0,0.5918193820607176,0.6002780539544444,Cpsf1
ENSMUSG00000020780,0.5950754361067038,0.0,0.0,0.5908218257029999,0.5992959660636762,Srp68
