,Erythroid3_2_corr,Erythroid3_2_pval,Erythroid3_2_qval,Erythroid3_2_ci_low,Erythroid3_2_ci_high,gene_annotation
ENSMUSG00000055609,0.531927078086219,0.0,0.0,0.5272067368556931,0.5366145911695892,Hba-x
ENSMUSG00000052187,0.5184890316605918,0.0,0.0,0.5136761940248035,0.523269240593035,Hbb-y
ENSMUSG00000051839,0.5146777962587393,0.0,0.0,0.5098391609291598,0.5194838683057823,Gypa
ENSMUSG00000028332,0.5024701393908952,0.0,0.0,0.49755016800394775,0.5073577828884922,Hemgn
ENSMUSG00000063856,0.5013643438239181,0.0,0.0,0.49643710238387634,0.506259280621085,Gpx1
ENSMUSG00000069919,0.5012188327658411,0.0,0.0,0.4962906358695862,0.5061147281017983,Hba-a1
ENSMUSG00000052217,0.4968064397962142,0.0,0.0,0.49184940342997546,0.501731270671739,Hbb-bh1
ENSMUSG00000069917,0.49434905166507515,0.0,0.0,0.48937606560180413,0.49928988790988316,Hba-a2
ENSMUSG00000040466,0.4821969436121601,0.0,0.0,0.4771462601114657,0.48721577511368735,Blvrb
ENSMUSG00000028494,0.47896573691483013,0.0,0.0,0.4738947231086374,0.484004984137838,Plin2
ENSMUSG00000073063,0.4773991754513193,0.0,0.0,0.47231835482815787,0.4824482718334477,Hbq1b
ENSMUSG00000073400,0.47554967499649914,0.0,0.0,0.4704573181686862,0.4806103583515378,Trim10
ENSMUSG00000023216,0.4721887872000423,0.0,0.0,0.4670755828848163,0.4772704124458015,Epb42
ENSMUSG00000073940,0.4612298310749045,0.0,0.0,0.45604968767294213,0.4663787222614367,Hbb-bt
ENSMUSG00000027329,0.4584949979005865,0.0,0.0,0.4532983976124192,0.4636604320269232,Spef1
ENSMUSG00000023926,0.45736232834714213,0.0,0.0,0.4521589412051802,0.46253458548677073,Rhag
ENSMUSG00000096982,0.4573411424018359,0.0,0.0,0.4521376284774095,0.4625135270031609,Redrum
ENSMUSG00000052305,0.4565694975752886,0.0,0.0,0.4513613699675931,0.46174652067140887,Hbb-bs
ENSMUSG00000030000,0.45634887381708394,0.0,0.0,0.4511394285435744,0.46152722169878885,Add2
ENSMUSG00000050708,0.4543694182021469,0.0,0.0,0.44914817954101266,0.45955962386315813,Ftl1
ENSMUSG00000001348,0.4514351892117718,0.0,0.0,0.4461965641513546,0.45664287841280177,Acp5
ENSMUSG00000032028,0.4509985554072383,0.0,0.0,0.445757352870205,0.4562088367119783,Nxpe2
ENSMUSG00000024661,0.45031019639154646,0.0,0.0,0.4450649355534383,0.4555245591473292,Fth1
ENSMUSG00000025889,0.44574847328750444,0.0,0.0,0.4404764767752425,0.45098972790779307,Snca
ENSMUSG00000026614,0.44426062610067885,0.0,0.0,0.4389799690719606,0.44951059321861614,Slc30a10
ENSMUSG00000039956,0.4432539509163477,0.0,0.0,0.4379674508126327,0.44850979656783224,Mrap
ENSMUSG00000006574,0.44291214736502654,0.0,0.0,0.43762366637070826,0.4481699859993837,Slc4a1
ENSMUSG00000021061,0.4419717629937116,0.0,0.0,0.43667784006816146,0.44723507696588904,Sptb
ENSMUSG00000026815,0.4348614834910918,0.0,0.0,0.4295267926949816,0.44016582442411073,Gfi1b
ENSMUSG00000041237,0.4345847738079435,0.0,0.0,0.4292485099791284,0.4398906980873536,Pklr
ENSMUSG00000078350,0.4267375539398665,0.0,0.0,0.4213571021795562,0.43208796574875874,Smim1
ENSMUSG00000026532,0.42136725674402276,0.0,0.0,0.4159570342401234,0.42674765216447996,Spta1
