,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000030802,0.711102119242574,0.0,0.0,0.7078440926593037,0.7143298906917104,Bckdk
ENSMUSG00000042606,0.7025788175832834,0.0,0.0,0.699241565104695,0.7058854489629176,Hirip3
ENSMUSG00000029623,0.6710714746381727,0.0,0.0,0.6674497424189494,0.6746614592403601,Pdap1
ENSMUSG00000029394,0.6634917000427982,0.0,0.0,0.6598034997147222,0.6671479336922681,Cdk2ap1
ENSMUSG00000021807,0.6573024326806297,0.0,0.0,0.6535605241864962,0.6610122102313262,2700060E02Rik
ENSMUSG00000030663,0.6470068948097578,0.0,0.0,0.643176773268031,0.6508046409065021,1110004F10Rik
ENSMUSG00000020496,0.6461505759996161,0.0,0.0,0.6423131808958947,0.6499555769253521,Rnf187
ENSMUSG00000039826,0.6427761178135355,0.0,0.0,0.638910154951081,0.6466096150564846,Trub2
ENSMUSG00000024177,0.6419954286129662,0.0,0.0,0.6381228780800189,0.6458354975373426,Nme4
ENSMUSG00000021811,0.6410680814420276,0.0,0.0,0.637187716220832,0.6449159463244729,Dnajc9
ENSMUSG00000019370,0.6410353811110596,0.0,0.0,0.6371547405350713,0.6448835206930288,Calm3
ENSMUSG00000026201,0.6356819730561577,0.0,0.0,0.6317564453792708,0.6395748972235755,Stk16
ENSMUSG00000003037,0.6352628944954807,0.0,0.0,0.6313338690102944,0.6391593088441188,Rab8a
ENSMUSG00000003573,0.6346617235216256,0.0,0.0,0.6307276844813249,0.6385631405848787,Homer3
ENSMUSG00000041346,0.6345336409849935,0.0,0.0,0.6305985344016777,0.6384361232969485,Wrap53
ENSMUSG00000035278,0.6338976314174539,0.0,0.0,0.6299572270461296,0.637805400204323,Plekhj1
ENSMUSG00000008301,0.6309715351860143,0.0,0.0,0.6270068264543606,0.6349035579888818,Phax
ENSMUSG00000007338,0.6290375679795344,0.0,0.0,0.6250568580092554,0.6329855602786838,Mrpl49
ENSMUSG00000027466,0.6287921062330656,0.0,0.0,0.6248093689169021,0.6327421219362855,Rbck1
ENSMUSG00000048497,0.6256772547186594,0.0,0.0,0.6216688603777761,0.6296528791226995,Mmgt2
ENSMUSG00000041203,0.625352176553381,0.0,0.0,0.621341111970984,0.6293304663365871,2310036O22Rik
ENSMUSG00000002477,0.6243624536773283,0.0,0.0,0.6203432680025961,0.6283488499591592,Snrpd1
ENSMUSG00000038500,0.6217293265782755,0.0,0.0,0.6176885983390399,0.6257372281350281,Prr3
ENSMUSG00000052406,0.6208770545102898,0.0,0.0,0.6168293732515232,0.6248918974942649,Rexo4
ENSMUSG00000035960,0.6203077171357811,0.0,0.0,0.6162553964744842,0.6243271919081307,Apex1
ENSMUSG00000062397,0.6190840266699238,0.0,0.0,0.6150217489993866,0.6231134424375252,Zfp706
ENSMUSG00000109324,0.6175200153188869,0.0,0.0,0.6134450404441668,0.621562108519847,Prmt1
ENSMUSG00000034892,0.6169431275005126,0.0,0.0,0.6128634774448604,0.6209898887869387,Rps29
ENSMUSG00000007836,0.6147417971839145,0.0,0.0,0.6106443478426475,0.6188063316539344,Hnrnpa0
ENSMUSG00000030357,0.6142408162582963,0.0,0.0,0.6101393251270416,0.6183093867930666,Fkbp4
ENSMUSG00000042462,0.6124182279045305,0.0,0.0,0.6083020607000875,0.6165014543550236,Dctpp1
ENSMUSG00000038544,0.6115895909927891,0.0,0.0,0.6074667659211358,0.6156794664935147,Inip
ENSMUSG00000044018,0.611019748467234,0.0,0.0,0.6068923501602729,0.6151141912658118,Mrpl50
ENSMUSG00000026275,0.6082782758071913,0.0,0.0,0.6041289362533059,0.6123946327185096,Ppp1r7
ENSMUSG00000019837,0.6078244117338958,0.0,0.0,0.6036714493285005,0.61194438723259,Gtf3c6
ENSMUSG00000003923,0.6063444363627487,0.0,0.0,0.6021796794405996,0.6104761929224862,Tfam
ENSMUSG00000038930,0.6060690701926805,0.0,0.0,0.6019021219760631,0.6102030156190247,Rccd1
ENSMUSG00000020167,0.6060318678063281,0.0,0.0,0.6018646236197069,0.6101661088764881,Tcf3
ENSMUSG00000031834,0.6039589388419829,0.0,0.0,0.5997752321490699,0.6081096249268422,Pik3r2
ENSMUSG00000030224,0.6022140693749246,0.0,0.0,0.598016549735737,0.6063785547216882,Strap
ENSMUSG00000020267,0.6019023756546097,0.0,0.0,0.5977023928031386,0.6060693218689108,Hint1
ENSMUSG00000025362,0.6016998731557096,0.0,0.0,0.5974982906852223,0.6058684174818662,Rps26
ENSMUSG00000061032,0.5997589322732585,0.0,0.0,0.5955420454302381,0.603942767171876,Rrp1
ENSMUSG00000063632,0.5996251327022152,0.0,0.0,0.5954071926885356,0.6038100198632104,Sox11
ENSMUSG00000029547,0.5996084021318903,0.0,0.0,0.5953903304443277,0.6037934208535851,Ints1
ENSMUSG00000020740,0.5960823103019227,0.0,0.0,0.5918365702853129,0.6002949754287189,Gga3
ENSMUSG00000020736,0.5931629716965297,0.0,0.0,0.588894449276261,0.5973984039726314,Nt5c
ENSMUSG00000028234,0.5930525523783572,0.0,0.0,0.5887831704704437,0.5972888436164507,Rps20
ENSMUSG00000042305,0.5928970831250788,0.0,0.0,0.588626491341839,0.5971345835047145,Tmem183a
ENSMUSG00000070526,0.5928263667149758,0.0,0.0,0.5885552247166045,0.5970644169784242,Peg12
