,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000028128,0.6016429705492569,0.0,0.0,0.5974409386885144,0.6058119638444541,F3
ENSMUSG00000030353,0.5916812235683345,0.0,0.0,0.5874011809255227,0.5959281693240227,Tead4
ENSMUSG00000024593,0.5867851657122457,0.0,0.0,0.5824672646728787,0.5910699523454734,Megf10
ENSMUSG00000030022,0.5676375284863782,0.0,0.0,0.563174624611659,0.5720673186283962,Adamts9
ENSMUSG00000050737,0.5658635282650407,0.0,0.0,0.561387436324529,0.5703065120305169,Ptges
ENSMUSG00000031891,0.5622886947636926,0.0,0.0,0.5577861540476998,0.5667581412948238,Hsd11b2
ENSMUSG00000029070,0.5570150984672578,0.0,0.0,0.5524738500087054,0.5615232801471693,Mxra8
ENSMUSG00000029718,0.556324846088727,0.0,0.0,0.5517785585396539,0.5608380710399918,Pcolce
ENSMUSG00000038587,0.5533690145935848,0.0,0.0,0.5488012198859779,0.5579037661527236,Akap12
ENSMUSG00000038463,0.5527860086558356,0.0,0.0,0.5482139855752106,0.5573249927193732,Olfml2b
ENSMUSG00000039058,0.5519298607552177,0.0,0.0,0.5473516364530847,0.5564750522830548,Ak5
ENSMUSG00000039646,0.5503914110230022,0.0,0.0,0.545802067903892,0.554947733110546,Vasn
ENSMUSG00000021186,0.5472498703673303,0.0,0.0,0.5426379199284925,0.55182882584081,Fbln5
ENSMUSG00000035189,0.5465393960473051,0.0,0.0,0.5419223510032648,0.5511234524082624,Ano4
ENSMUSG00000050447,0.5463442738699521,0.0,0.0,0.5417258308330691,0.5509297299740377,Lypd6
ENSMUSG00000102692,0.5456228803231242,0.0,0.0,0.5409992730983093,0.5502135071794274,Dchs2
ENSMUSG00000043110,0.5452226652562497,0.0,0.0,0.5405961960171207,0.5498161578318561,Lrrn4
ENSMUSG00000029576,0.5428241500290549,0.0,0.0,0.5381805730591789,0.5474347734835059,Radil
ENSMUSG00000057530,0.5419382570540617,0.0,0.0,0.5372883806259414,0.5465551889247071,Ece1
ENSMUSG00000035403,0.5385129138557828,0.0,0.0,0.5338387782113405,0.5431541416422189,Crb2
ENSMUSG00000028364,0.5378352789247618,0.0,0.0,0.5331563625177204,0.5424812951212912,Tnc
ENSMUSG00000032714,0.5365146036373808,0.0,0.0,0.531826387268659,0.5411699350665073,Syde1
ENSMUSG00000032232,0.5361104973045756,0.0,0.0,0.5314194399112995,0.5407686745275311,Cgnl1
ENSMUSG00000012017,0.5350680859183141,0.0,0.0,0.530369709964144,0.5397335942133751,Scarf2
ENSMUSG00000034271,0.5303357559707655,0.0,0.0,0.5256043364392701,0.5350343684082581,Jdp2
ENSMUSG00000029661,0.5301194088195851,0.0,0.0,0.5253864857373566,0.5348195277236767,Col1a2
ENSMUSG00000022665,0.529960951213141,0.0,0.0,0.5252269272896133,0.5346621731023086,Ccdc80
ENSMUSG00000069378,0.5298383094486705,0.0,0.0,0.5251034337332223,0.5345403847936991,Prdm6
ENSMUSG00000001555,0.5294766119654699,0.0,0.0,0.5247392252899042,0.534181203201905,Fkbp10
ENSMUSG00000032289,0.5290866150436578,0.0,0.0,0.5243465228920898,0.5337939171132888,Thsd4
ENSMUSG00000027204,0.5290863507274771,0.0,0.0,0.5243462567429859,0.5337936546336762,Fbn1
ENSMUSG00000045377,0.5285425896304903,0.0,0.0,0.5237987268488196,0.5332536698726396,Tmem88
ENSMUSG00000023886,0.5257929824491402,0.0,0.0,0.5210301222182497,0.5305230994954816,Smoc2
ENSMUSG00000070436,0.5249749086623624,0.0,0.0,0.520206415581828,0.5297106706641097,Serpinh1
ENSMUSG00000030770,0.5241875714324444,0.0,0.0,0.5194136655166635,0.5289287580917014,Parva
ENSMUSG00000025092,0.5236800505647443,0.0,0.0,0.518902659868368,0.5284247297142373,Hspa12a
ENSMUSG00000026042,0.5233031541613874,0.0,0.0,0.518523177797884,0.5280504247484352,Col5a2
ENSMUSG00000027827,0.5230769483549508,0.0,0.0,0.5182954210290982,0.52782577338608,Kcnab1
ENSMUSG00000003283,0.5214451394278233,0.0,0.0,0.5166524438267268,0.5262051582599223,Hck
ENSMUSG00000027864,0.5214284499771423,0.0,0.0,0.5166356403339973,0.5261885831160644,Ptgfrn
ENSMUSG00000051855,0.521172317213338,0.0,0.0,0.5163777578316036,0.5259342041637443,Mest
ENSMUSG00000036545,0.5208032484283058,0.0,0.0,0.5160061693290676,0.5255676609960106,Adamts2
ENSMUSG00000020122,0.5197965370445323,0.0,0.0,0.514992594074087,0.5245678297625228,Egfr
ENSMUSG00000042757,0.5197272726967144,0.0,0.0,0.5149228579680841,0.5244990383029409,Tmem108
ENSMUSG00000058145,0.5189979217460318,0.0,0.0,0.5141885432818141,0.5237746630653718,Adamts17
ENSMUSG00000034903,0.5184322222411379,0.0,0.0,0.513618998657278,0.5232128180683182,Cobll1
ENSMUSG00000038702,0.5183282551330858,0.0,0.0,0.5135143253351475,0.5231095589090772,Dsel
ENSMUSG00000007805,0.5150522856441865,0.0,0.0,0.5102161766495192,0.519855824756617,Twist2
ENSMUSG00000069833,0.5141405225047708,0.0,0.0,0.5092982659302476,0.5189502253303301,Ahnak
ENSMUSG00000064080,0.5139677919037068,0.0,0.0,0.5091243719312306,0.5187786612084955,Fbln2
ENSMUSG00000031486,0.5136610335737065,0.0,0.0,0.5088155484566943,0.5184739735146956,Adgra2
ENSMUSG00000023805,0.5129183809437065,0.0,0.0,0.508067901338608,0.5177363287712683,Synj2
ENSMUSG00000045545,0.5125042393734124,0.0,0.0,0.5076509777576301,0.5173249767468087,Krt14
ENSMUSG00000022790,0.5124599393913575,0.0,0.0,0.5076063803234488,0.5172809750255897,Igsf11
ENSMUSG00000005124,0.511694724603255,0.0,0.0,0.506836031607106,0.5165209082168822,Wisp1
ENSMUSG00000106515,0.5115294023187302,0.0,0.0,0.5066696011726602,0.5163566971383199,Gm30382
ENSMUSG00000018672,0.5108717936952089,0.0,0.0,0.5060075882056887,0.5157035050858314,Copz2
ENSMUSG00000018593,0.5105576219213994,0.0,0.0,0.5056913142847888,0.5153914413411075,Sparc
ENSMUSG00000033491,0.5105235070639199,0.0,0.0,0.5056569712409481,0.5153575553102617,Prss35
ENSMUSG00000029061,0.5100874382617265,0.0,0.0,0.5052179870343353,0.514924410123711,Mmp23
ENSMUSG00000049866,0.5096446259085082,0.0,0.0,0.5047722167703657,0.5144845640707054,Arl4c
ENSMUSG00000048636,0.5095285667473342,0.0,0.0,0.504655382783628,0.514369281942473,A730049H05Rik
ENSMUSG00000032531,0.5093975333158852,0.0,0.0,0.5045234747710332,0.5142391255886092,Amotl2
ENSMUSG00000019975,0.509175203848532,0.0,0.0,0.5042996618887338,0.5140182837823392,Ikbip
ENSMUSG00000027894,0.5089190906874964,0.0,0.0,0.5040418407148791,0.5137638835415836,Slc6a17
ENSMUSG00000058914,0.5083221118614787,0.0,0.0,0.5034408840251047,0.5131708940851181,C1qtnf3
ENSMUSG00000009876,0.5082720839364864,0.0,0.0,0.5033905229622707,0.5131212002664242,Cox4i2
ENSMUSG00000028369,0.5075665731602027,0.0,0.0,0.5026803176948768,0.5124203977086796,Svep1
ENSMUSG00000049791,0.5075293401131533,0.0,0.0,0.5026428370811813,0.5123834129563616,Fzd4
ENSMUSG00000039497,0.5073120178914399,0.0,0.0,0.5024240702265252,0.5121675396245353,Dse
ENSMUSG00000048332,0.5068885752315531,0.0,0.0,0.5019978145614727,0.5117469182998166,Lhfp
ENSMUSG00000027318,0.5067893332899243,0.0,0.0,0.5018979136815978,0.5116483372555206,Adam33
ENSMUSG00000021806,0.5060452681993184,0.0,0.0,0.5011489123679352,0.5109092231582704,Nid2
ENSMUSG00000022887,0.5056937419015419,0.0,0.0,0.5007950565513736,0.5105600334076971,Masp1
ENSMUSG00000057967,0.5047266780149852,0.0,0.0,0.4998215925074215,0.5095993891804443,Fgf18
ENSMUSG00000015143,0.50448374542801,0.0,0.0,0.49957705410778425,0.5093580673434601,Actn1
ENSMUSG00000032394,0.5031575496128855,0.0,0.0,0.4982421057709466,0.5080406512743408,Igdcc3
ENSMUSG00000032085,0.502088257231714,0.0,0.0,0.49716577332899886,0.5069784212373272,Tagln
ENSMUSG00000043895,0.5020035784773311,0.0,0.0,0.497080537709763,0.5068943011251257,S1pr2
ENSMUSG00000036098,0.5017038096380118,0.0,0.0,0.49677879829258,0.5065965091704747,Myrf
ENSMUSG00000022464,0.5007349825527192,0.0,0.0,0.49580361061156686,0.5056340632230923,Slc38a4
ENSMUSG00000026674,0.500372188959113,0.0,0.0,0.4954384383864043,0.505273656015896,Ddr2
ENSMUSG00000023800,0.5003140039168371,0.0,0.0,0.4953798720201217,0.5052158535445203,Tiam2
ENSMUSG00000030352,0.5003106193370304,0.0,0.0,0.49537646526036694,0.5052124912172191,Tspan9
ENSMUSG00000054675,0.5002000036607787,0.0,0.0,0.49526512477709783,0.5051026027209642,Tmem119
ENSMUSG00000021259,0.5000005512457895,0.0,0.0,0.4950643658638258,0.5049044610909909,Cyp46a1
ENSMUSG00000030340,0.49947824003859453,0.0,0.0,0.49453863579312923,0.504385580021735,Scnn1a
ENSMUSG00000041957,0.4993312338691545,0.0,0.0,0.49439066802538184,0.5042395386365214,Pkp2
ENSMUSG00000039607,0.49918075626371117,0.0,0.0,0.4942392064107854,0.5040900483071548,Rbms3
ENSMUSG00000022639,0.4991016701133491,0.0,0.0,0.49415960321738917,0.5040114809191562,Dubr
ENSMUSG00000021959,0.4987162190747255,0.0,0.0,0.4937716333943252,0.5036285570677305,Lats2
ENSMUSG00000061048,0.49825600495990524,0.0,0.0,0.49330841452332364,0.5031713577917818,Cdh3
ENSMUSG00000031825,0.4978814927224337,0.0,0.0,0.4929314591515305,0.5027992969339261,Crispld2
ENSMUSG00000018906,0.49746314628657035,0.0,0.0,0.4925103858257624,0.5023836866409577,P4ha2
ENSMUSG00000020218,0.4971740546871413,0.0,0.0,0.4922194112075476,0.502096484480716,Wif1
ENSMUSG00000020473,0.4959990851630043,0.0,0.0,0.491036799830742,0.5009291831247032,Aebp1
ENSMUSG00000024713,0.49529579501180065,0.0,0.0,0.490328944319945,0.5002304742537057,Pcsk5
ENSMUSG00000041731,0.495184227332214,0.0,0.0,0.4902166530086568,0.5001196327430462,Pgm5
ENSMUSG00000053399,0.4950911284304088,0.0,0.0,0.4901229503904769,0.5000271396772682,Adamts18
ENSMUSG00000039831,0.49502274093659987,0.0,0.0,0.4900541194989638,0.49995919713960446,Arhgap29
ENSMUSG00000022261,0.4949212942670166,0.0,0.0,0.48995201520306514,0.4998584104103453,Sdc2
ENSMUSG00000017466,0.4943454868944115,0.0,0.0,0.4893724777520795,0.49928634630016216,Timp2
ENSMUSG00000048126,0.49425619826923184,0.0,0.0,0.48928261110882965,0.49919763774504267,Col6a3
ENSMUSG00000027230,0.4939603224574704,0.0,0.0,0.48898482067284565,0.49890368337172625,Creb3l1
ENSMUSG00000002900,0.49298624971360483,0.0,0.0,0.4880044528591341,0.49793592828896716,Lamb1
ENSMUSG00000029185,0.49221502862410277,0.0,0.0,0.48722825657023655,0.4971697004568226,Fam114a1
ENSMUSG00000023830,0.4918510740557865,0.0,0.0,0.4868619568429833,0.49680809962187644,Igf2r
ENSMUSG00000052957,0.49141993474916995,0.0,0.0,0.4864280417398576,0.4963797463125443,Gas1
ENSMUSG00000044957,0.49008601696854387,0.0,0.0,0.48508555141487697,0.4950544329353854,Pp2d1
ENSMUSG00000031772,0.48972924829683623,0.0,0.0,0.4847264939318904,0.49469996167234914,Cntnap4
