,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000037101,0.7561616657489103,0.0,0.0,0.7533385426968314,0.7589569192999986,Ttc29
ENSMUSG00000035576,0.7103628374482269,0.0,0.0,0.7070979008046628,0.7135974861631024,L3mbtl1
ENSMUSG00000047021,0.6948842464406456,0.0,0.0,0.6914763013046651,0.6982612627432512,Ccdc108
ENSMUSG00000050931,0.6948127565980629,0.0,0.0,0.6914041583528071,0.6981904232507798,Sgms2
ENSMUSG00000040724,0.6887627433698498,0.0,0.0,0.6852991203422971,0.6921952079287602,Kcna2
ENSMUSG00000030713,0.6810457754050132,0.0,0.0,0.6775126730906292,0.6845474487424653,Klk7
ENSMUSG00000043020,0.6619401970553812,0.0,0.0,0.6582384855402081,0.6656098994867142,Wdr63
ENSMUSG00000038756,0.6537046677999344,0.0,0.0,0.6499317732317069,0.657445341922999,Ttll6
ENSMUSG00000060985,0.652551459614252,0.0,0.0,0.6487686693433644,0.6563020016775082,Tdrd5
ENSMUSG00000053161,0.6523010293843626,0.0,0.0,0.6485160925023399,0.6560537120891222,Daw1
ENSMUSG00000037143,0.6465850864218929,0.0,0.0,0.6427513808269403,0.650386407313699,Cfap61
ENSMUSG00000041323,0.6449648900831072,0.0,0.0,0.6411174398629069,0.6487799205908981,Ak7
ENSMUSG00000040136,0.6437581029528134,0.0,0.0,0.6399004378506323,0.647583322834546,Abcc8
ENSMUSG00000027344,0.6419692328513801,0.0,0.0,0.6380964614118014,0.6458095221493853,Fsip1
ENSMUSG00000002668,0.6413257488996531,0.0,0.0,0.6374475538773643,0.6451714487588736,Dennd1c
ENSMUSG00000056752,0.62433613269843,0.0,0.0,0.6203167312266018,0.6283227443935611,Dnah9
ENSMUSG00000038192,0.6242732401159076,0.0,0.0,0.62025332304563,0.6282603664933328,Cer1
ENSMUSG00000085576,0.6185771324631124,0.0,0.0,0.6145107360857697,0.6226106604442591,Dpy19l2
ENSMUSG00000028294,0.6181121540344491,0.0,0.0,0.6140419825325399,0.6221494512560175,Cfap206
ENSMUSG00000068428,0.6172315654046481,0.0,0.0,0.613154252338345,0.6212759932361245,Gmnc
ENSMUSG00000053153,0.6152813818964892,0.0,0.0,0.6111882895190253,0.6193415656582334,Spag16
ENSMUSG00000064280,0.6126640613561706,0.0,0.0,0.6085498711088991,0.6167453135069987,Ccdc146
ENSMUSG00000042707,0.6114187422478985,0.0,0.0,0.6072945455878176,0.6155099875461385,Dnali1
ENSMUSG00000051354,0.6036589196594202,0.0,0.0,0.5994728350408904,0.6078119812494329,Samd3
ENSMUSG00000075302,0.6033228650601453,0.0,0.0,0.5991341183214254,0.6074785860924791,Erich2
ENSMUSG00000039543,0.6005558372287361,0.0,0.0,0.5963452279516576,0.604733400086,Cfap70
ENSMUSG00000022783,0.6005268626508382,0.0,0.0,0.5963160249807491,0.6047046536967962,Spag6l
ENSMUSG00000022388,0.5925100533501144,0.0,0.0,0.5882364510608098,0.5967505624412492,Ttll8
ENSMUSG00000035032,0.5915805448779289,0.0,0.0,0.5872997205407274,0.595828271894209,Nek11
ENSMUSG00000037683,0.5887424859905938,0.0,0.0,0.5844396816093972,0.5930121820944262,Armc3
ENSMUSG00000071550,0.5869095300531803,0.0,0.0,0.5825925867135069,0.5911933593415468,Cfap44
ENSMUSG00000028753,0.5866293685095112,0.0,0.0,0.5823102680032416,0.5909153541717391,Vwa5b1
ENSMUSG00000048416,0.5848912586774958,0.0,0.0,0.5805587984838535,0.5891905996399154,Mlf1
ENSMUSG00000035984,0.5839140055035422,0.0,0.0,0.579574051427438,0.5882208382826506,Nme5
ENSMUSG00000031893,0.5836093712517259,0.0,0.0,0.5792670837363526,0.5879185368850488,Tsnaxip1
ENSMUSG00000039021,0.5825956185713396,0.0,0.0,0.5782455747757141,0.586912538739306,Ttc16
ENSMUSG00000057969,0.5793749858038983,0.0,0.0,0.5750003912508499,0.583716453232446,Sema3b
ENSMUSG00000023403,0.5782960976156614,0.0,0.0,0.5739133095188228,0.5826457581113703,Stk31
ENSMUSG00000034151,0.5752802132323553,0.0,0.0,0.5708746031406171,0.5796526962325315,Zbbx
ENSMUSG00000048038,0.5751593092533468,0.0,0.0,0.5707527867654181,0.5795327047265694,Ccdc187
ENSMUSG00000033053,0.5748539994079599,0.0,0.0,0.5704451737769766,0.5792296982376387,1700028P14Rik
ENSMUSG00000022805,0.5738236991509694,0.0,0.0,0.569407110450507,0.5782071619744371,Maats1
