,Cardiomyocytes_3_corr,Cardiomyocytes_3_pval,Cardiomyocytes_3_qval,Cardiomyocytes_3_ci_low,Cardiomyocytes_3_ci_high,gene_annotation
ENSMUSG00000026459,0.5212958852989013,0.0,0.0,0.5165021699483557,0.5260569262509959,Myog
ENSMUSG00000048938,0.5000737116359878,0.0,0.0,0.49513800542453607,0.5049771407370838,Nr1h5
ENSMUSG00000033910,0.4959740830196537,0.0,0.0,0.49101163527536285,0.5009043439571922,Gucy1a3
ENSMUSG00000091455,0.4843625538613837,0.0,0.0,0.4793255734784115,0.48936762645197157,Otogl
ENSMUSG00000026100,0.4825241985598172,0.0,0.0,0.4774755818137292,0.48754095480054704,Mstn
ENSMUSG00000048776,0.4751089140704912,0.0,0.0,0.4700138146935528,0.4801723521974867,Pthlh
ENSMUSG00000089945,0.4682171447211551,0.0,0.0,0.4630794972440787,0.47332332823644047,Pakap
ENSMUSG00000055639,0.46625750225188667,0.0,0.0,0.46110787126185754,0.47137572748241485,Dach1
ENSMUSG00000032360,0.4618030644962808,0.0,0.0,0.45662638308478165,0.4669484758805999,Hcrtr2
ENSMUSG00000005583,0.4538292885362718,0.0,0.0,0.448604840847123,0.4590227209555391,Mef2c
ENSMUSG00000042451,0.45067272293606236,0.0,0.0,0.4454295986338261,0.4558849369502216,Mybph
ENSMUSG00000026832,0.44984078425720636,0.0,0.0,0.44459275954177324,0.45505792674015316,Cytip
ENSMUSG00000097443,0.4466895474389534,0.0,0.0,0.44142304389266634,0.45192527647775277,Gm17529
ENSMUSG00000025006,0.44621884810257495,0.0,0.0,0.4409495956610159,0.45145734232451834,Sorbs1
ENSMUSG00000042726,0.44551388935177333,0.0,0.0,0.44024052541905834,0.45075651955442464,Trafd1
ENSMUSG00000059852,0.44497079770312814,0.0,0.0,0.4396942708130559,0.4502166098075675,Kcng2
ENSMUSG00000021624,0.4425647302520114,0.0,0.0,0.4372742374186921,0.4478245930436174,Cd180
ENSMUSG00000043639,0.44149709625866107,0.0,0.0,0.43620043091820043,0.4467631695846749,Rbm20
ENSMUSG00000106245,0.4397388070834553,0.0,0.0,0.4344320091036206,0.4450150762421607,Gm43824
ENSMUSG00000027971,0.4375161458580144,0.0,0.0,0.43219659771073354,0.4428052460713998,Ndst4
ENSMUSG00000021373,0.4359593664655959,0.0,0.0,0.43063092687362414,0.44125741544308916,Cap2
ENSMUSG00000038319,0.43417983825098855,0.0,0.0,0.42884127428023516,0.43948807779630233,Kcnh2
ENSMUSG00000015627,0.4330363097668606,0.0,0.0,0.4276912619645313,0.4383510760518643,Gata5
ENSMUSG00000018263,0.43266003404499204,0.0,0.0,0.4273128565345152,0.4379769442209483,Tbx5
ENSMUSG00000097324,0.43237265712084416,0.0,0.0,0.42702385432824896,0.4376912034322052,Carmn
ENSMUSG00000048782,0.42972467745306364,0.0,0.0,0.42436095023209636,0.435058249064479,Insc
ENSMUSG00000109260,0.42692969979837225,0.0,0.0,0.42155032028655376,0.43227903185977684,Gm44906
ENSMUSG00000050315,0.4263971338542574,0.0,0.0,0.42101478361699357,0.43174945744586257,Synpo2
ENSMUSG00000044951,0.42628673316612214,0.0,0.0,0.4209037675683333,0.43163967643888657,Mylk4
ENSMUSG00000020542,0.42569039622531823,0.0,0.0,0.42030410950309033,0.43104668400709584,Myocd
