,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000026712,0.486506367094808,0.0,0.0,0.4814830130906794,0.4914977592302772,Mrc1
ENSMUSG00000087187,0.4529859537066609,0.0,0.0,0.4477565033036899,0.45818441665965726,Gm13431
ENSMUSG00000050919,0.44945204193099064,0.0,0.0,0.444201730526215,0.4546714842680286,Zfp366
ENSMUSG00000027474,0.44783386683723475,0.0,0.0,0.4425740583735798,0.4530628614091346,Ccm2l
ENSMUSG00000001946,0.446257768372111,0.0,0.0,0.4409887431146379,0.4514960340612517,Esam
ENSMUSG00000031871,0.4458608092404922,0.0,0.0,0.4405894678070956,0.45110140487788075,Cdh5
ENSMUSG00000054435,0.44470912726509704,0.0,0.0,0.4394310778039743,0.4499564710925226,Gimap4
ENSMUSG00000042286,0.44462964601945376,0.0,0.0,0.43935113426349903,0.4498774549246854,Stab1
ENSMUSG00000034911,0.4427781054200097,0.0,0.0,0.43748884802016946,0.44803672520929794,Ushbp1
ENSMUSG00000027435,0.43742243680050313,0.0,0.0,0.4321023525328735,0.44271207656906403,Cd93
ENSMUSG00000024440,0.4310243191245794,0.0,0.0,0.4256679052947167,0.43635052764153787,Pcdh12
ENSMUSG00000097252,0.42884440001157226,0.0,0.0,0.4234757319559697,0.43418294633583787,Gm6634
ENSMUSG00000084756,0.4286484433706893,0.0,0.0,0.4232786768418277,0.43398809573313357,Gm13881
ENSMUSG00000041378,0.4178119471209229,0.0,0.0,0.41238222532605723,0.42321198621520323,Cldn5
ENSMUSG00000001029,0.41742181852945653,0.0,0.0,0.4119899672334868,0.4228240031346208,Icam2
ENSMUSG00000029553,0.41396380696504437,0.0,0.0,0.4085131682619125,0.41938492231510294,Tfec
ENSMUSG00000020573,0.4138903504327594,0.0,0.0,0.40843931435527203,0.4193118662298161,Pik3cg
ENSMUSG00000030787,0.4132932573264949,0.0,0.0,0.4078389938303339,0.4187180255610392,Lyve1
ENSMUSG00000024065,0.41309369311873606,0.0,0.0,0.40763835198586057,0.4185195473689106,Ehd3
ENSMUSG00000034845,0.4122437796144727,0.0,0.0,0.40678385489013386,0.41767425323572144,Plvap
ENSMUSG00000040552,0.4115555287617183,0.0,0.0,0.40609189929515443,0.41698973621183427,C3ar1
ENSMUSG00000030047,0.41148946448645746,0.0,0.0,0.40602547973621717,0.41692403001753564,Arhgap25
ENSMUSG00000058396,0.4111364483563643,0.0,0.0,0.4056705661171478,0.4165729263395007,Gpr182
ENSMUSG00000022220,0.4109955747655531,0.0,0.0,0.4055289357800133,0.41643281547352395,Adcy4
ENSMUSG00000033191,0.40988183709989945,0.0,0.0,0.4044092245663908,0.4153250987697301,Tie1
ENSMUSG00000078956,0.4094565011407162,0.0,0.0,0.4039816116406687,0.41490205795374896,Gm14221
ENSMUSG00000054641,0.4083298671505963,0.0,0.0,0.40284895796216963,0.41378149198327563,Mmrn1
ENSMUSG00000016494,0.4075079957923245,0.0,0.0,0.4020227058744607,0.41296403678063,Cd34
ENSMUSG00000039005,0.4040676577720752,0.0,0.0,0.3985641271652054,0.4095420892822876,Tlr4
ENSMUSG00000040747,0.4039435224815483,0.0,0.0,0.39843933663455156,0.40941861468449187,Cd53
ENSMUSG00000022579,0.4030388168472485,0.0,0.0,0.3975298617244322,0.4085187181619437,Gpihbp1
ENSMUSG00000022469,0.39978257302406545,0.0,0.0,0.39425654176512015,0.40527969526079455,Rapgef3
ENSMUSG00000022667,0.39578746359917394,0.0,0.0,0.39024067304030263,0.4013055257632217,Cd200r1
ENSMUSG00000032125,0.3949762041852571,0.0,0.0,0.3894252239565483,0.4004984930974377,Robo4
ENSMUSG00000110647,0.39373131450575694,0.0,0.0,0.38817392208805984,0.39926007276506725,RP23-381H23.1
ENSMUSG00000054690,0.3935269270015373,0.0,0.0,0.3879684837810683,0.39905674547805225,Emcn
ENSMUSG00000090958,0.39330227567113996,0.0,0.0,0.38774267810412194,0.39883325885181614,Lrrc32
ENSMUSG00000039167,0.3932503251878967,0.0,0.0,0.3876904607739366,0.3987815776121658,Adgrl4
ENSMUSG00000020357,0.3922374493938341,0.0,0.0,0.38667238940919996,0.39777394422557255,Flt4
ENSMUSG00000030159,0.39174646694728943,0.0,0.0,0.38617889333750405,0.3972854981827058,Clec1b
ENSMUSG00000021457,0.3900223904383317,0.0,0.0,0.38444601552161367,0.3955703033529594,Syk
ENSMUSG00000046916,0.38972684153823245,0.0,0.0,0.3841489618078736,0.3952762731044585,Myct1
ENSMUSG00000009654,0.38820592704762635,0.0,0.0,0.3826203217071933,0.39376315571269177,Oit3
ENSMUSG00000002699,0.38677207310605005,0.0,0.0,0.38117921239176705,0.3923366249662439,Lcp2
ENSMUSG00000043251,0.3855081569724,0.0,0.0,0.3799089233163824,0.39107914189810833,Exoc3l
ENSMUSG00000038173,0.3834954829126069,0.0,0.0,0.37788614450259794,0.3890766689900697,Enpp6
ENSMUSG00000033016,0.37890565192368547,0.0,0.0,0.37327347027730734,0.3845099040630824,Nfatc1
ENSMUSG00000036896,0.3764920723011528,0.0,0.0,0.3708479901676524,0.3821083437581654,C1qc
ENSMUSG00000036905,0.3760839074924906,0.0,0.0,0.3704378204575436,0.3817022040587467,C1qb
ENSMUSG00000037922,0.3731840757320468,0.0,0.0,0.36752380814451807,0.3788166973478271,Bank1
ENSMUSG00000108025,0.3723297244079585,0.0,0.0,0.3666653001270305,0.3779665455985821,Gm43998
ENSMUSG00000041361,0.37203059091251683,0.0,0.0,0.3663647135312034,0.37766888025076645,Myzap
ENSMUSG00000027800,0.3712368985736697,0.0,0.0,0.36556717140565737,0.3768790777068127,Tm4sf1
ENSMUSG00000062960,0.37066578503713626,0.0,0.0,0.36499329284643606,0.37631075805620656,Kdr
ENSMUSG00000028978,0.3689741319233378,0.0,0.0,0.3632934749569515,0.3746273555777273,Nos3
ENSMUSG00000056492,0.36844918635669377,0.0,0.0,0.36276600342542414,0.37410496273047994,Adgrf5
ENSMUSG00000035459,0.3677711128271323,0.0,0.0,0.36208467249054493,0.3734301812427009,Stab2
ENSMUSG00000036356,0.36640774063806847,0.0,0.0,0.3607147691719889,0.3720734100892475,Csgalnact1
ENSMUSG00000044258,0.3659243627918433,0.0,0.0,0.3602290816395884,0.3715923667986357,Ctla2a
ENSMUSG00000109827,0.3656165545960289,0.0,0.0,0.3599198042772613,0.37128604362885387,Gm6213
ENSMUSG00000059588,0.3656026686582308,0.0,0.0,0.35990585209148696,0.37127222465491344,Calcrl
ENSMUSG00000038623,0.36555294543994654,0.0,0.0,0.35985589167118914,0.3712227412023925,Tm6sf1
ENSMUSG00000020154,0.3655090910238693,0.0,0.0,0.3598118280770268,0.3711790982259396,Ptprb
ENSMUSG00000038147,0.36320024202962725,0.0,0.0,0.3574920021564959,0.3688813457351679,Cd84
ENSMUSG00000039109,0.3628707397669532,0.0,0.0,0.35716093908980767,0.3685534214233725,F13a1
ENSMUSG00000006389,0.36257306948844725,0.0,0.0,0.35686186002416453,0.36825717543986525,Mpl
ENSMUSG00000073414,0.3617972901476104,0.0,0.0,0.35608241464641277,0.3674851026299906,G6b
ENSMUSG00000048489,0.36124322400346365,0.0,0.0,0.35552573506518254,0.36693367891285666,8430408G22Rik
ENSMUSG00000052921,0.360480543251725,0.0,0.0,0.35475946351093224,0.3661746289623732,Arhgef15
ENSMUSG00000001123,0.35942111803794624,0.0,0.0,0.35369506313522103,0.36512023465163473,Lgals9
ENSMUSG00000026814,0.3587579371650274,0.0,0.0,0.35302877544871075,0.3644601955912793,Eng
ENSMUSG00000009350,0.35716178510694063,0.0,0.0,0.3514251696961969,0.3628715817973398,Mpo
ENSMUSG00000024168,0.3559108231449071,0.0,0.0,0.3501683895332216,0.3616265046451394,Tmem204
ENSMUSG00000016087,0.3557157957537374,0.0,0.0,0.3499724569361838,0.3614323928702335,Fli1
ENSMUSG00000009687,0.35562170367724616,0.0,0.0,0.34987792831766673,0.36133874236082164,Fxyd5
ENSMUSG00000024677,0.3546529821437601,0.0,0.0,0.3489047191828514,0.3603745602583765,Ms4a6b
ENSMUSG00000046080,0.3540876328213471,0.0,0.0,0.3483367566094451,0.35981185451440745,Clec9a
ENSMUSG00000025044,0.353190378480712,0.0,0.0,0.347435363500378,0.3589187871942209,Msr1
ENSMUSG00000046280,0.3514250386002163,0.0,0.0,0.34566191167836846,0.3571616546189355,She
ENSMUSG00000000317,0.3506395012472765,0.0,0.0,0.34487277792600946,0.35637975628214585,Bcl6b
ENSMUSG00000046768,0.3501535928574839,0.0,0.0,0.34438464899880467,0.3558960948470659,Rhoj
ENSMUSG00000005397,0.3488833081232814,0.0,0.0,0.3431085739655663,0.3546316696747949,Nid1
ENSMUSG00000006386,0.34738956482243255,0.0,0.0,0.3416080490516946,0.35314478980588987,Tek
ENSMUSG00000033278,0.34725860727563373,0.0,0.0,0.3414764983613049,0.35301443259491433,Ptprm
ENSMUSG00000030737,0.34676124316348944,0.0,0.0,0.3409768836111105,0.3525193464642334,Slco2b1
ENSMUSG00000044827,0.34669680466977226,0.0,0.0,0.3409121537638321,0.35245520286993254,Tlr1
ENSMUSG00000044562,0.34552517358685286,0.0,0.0,0.33973523480842327,0.3512889242603121,Rasip1
ENSMUSG00000030123,0.34517224722747125,0.0,0.0,0.3393807191552147,0.3509376067022743,Plxnd1
ENSMUSG00000034923,0.3450975647327614,0.0,0.0,0.33930570056208753,0.3508632644368003,Ly6g6f
ENSMUSG00000085452,0.34479981308659047,0.0,0.0,0.339006609657488,0.3505668685280976,4930554G24Rik
ENSMUSG00000047867,0.3436388591163872,0.0,0.0,0.3378404450118284,0.34941118963688766,Gimap6
ENSMUSG00000047180,0.34291700791379226,0.0,0.0,0.33711536292171024,0.3486926094869113,Neurl3
ENSMUSG00000001240,0.3426093430139551,0.0,0.0,0.3368063230561253,0.34838633669990443,Ramp2
ENSMUSG00000038188,0.34250472080834965,0.0,0.0,0.33670123357490295,0.34828218760463986,Scarf1
ENSMUSG00000015533,0.3422986962865054,0.0,0.0,0.3364942893055313,0.34807709432585865,Itga2
ENSMUSG00000031613,0.34183719795274614,0.0,0.0,0.336030732756572,0.3476176799847088,Hpgd
ENSMUSG00000008398,0.33986411493949226,0.0,0.0,0.3340488818041796,0.345653475542287,Elk3
ENSMUSG00000033082,0.3397068963466116,0.0,0.0,0.3338909667788599,0.3454969622266081,Clec1a
ENSMUSG00000020717,0.33915729880727485,0.0,0.0,0.3333389372482964,0.34494982763167287,Pecam1
ENSMUSG00000028859,0.33618372778004213,0.0,0.0,0.3303522772314048,0.3419895139799778,Csf3r
ENSMUSG00000025877,0.3352422693162384,0.0,0.0,0.3294066990186159,0.3410522288981721,Hk3
ENSMUSG00000029373,0.3346089167199746,0.0,0.0,0.3287705815067706,0.3404216773846854,Pf4
ENSMUSG00000064141,0.33450239922795655,0.0,0.0,0.32866359953053464,0.3403156304663108,Zfp69
ENSMUSG00000033788,0.3339752175921615,0.0,0.0,0.32813412125241026,0.33979077563977184,Dysf
