,Erythroid3_1_corr,Erythroid3_1_pval,Erythroid3_1_qval,Erythroid3_1_ci_low,Erythroid3_1_ci_high,gene_annotation
ENSMUSG00000069917,0.6395980616221918,0.0,0.0,0.6357053320608111,0.6434582617371453,Hba-a2
ENSMUSG00000052187,0.6310666280947318,0.0,0.0,0.627102707423364,0.6349978644294848,Hbb-y
ENSMUSG00000055609,0.6212746790722473,0.0,0.0,0.6172302405200244,0.625286284729029,Hba-x
ENSMUSG00000073940,0.6189832575196758,0.0,0.0,0.6149201607899959,0.623013491049038,Hbb-bt
ENSMUSG00000052305,0.6174038798112718,0.0,0.0,0.6133279634025725,0.6214469131092668,Hbb-bs
ENSMUSG00000069919,0.6042698840392458,0.0,0.0,0.6000886431317015,0.6084181068769732,Hba-a1
ENSMUSG00000073400,0.48644089005198876,0.0,0.0,0.481417118965298,0.4914327009045671,Trim10
ENSMUSG00000052217,0.47402253174053877,0.0,0.0,0.4689206835461942,0.47909274901506016,Hbb-bh1
ENSMUSG00000063856,0.4128606400885552,0.0,0.0,0.4074040411477781,0.4182877619423648,Gpx1
ENSMUSG00000073063,0.4111459451059648,0.0,0.0,0.40568011389093717,0.41658237166203294,Hbq1b
ENSMUSG00000051839,0.4051983226859306,0.0,0.0,0.3997007696020198,0.4106667271572173,Gypa
ENSMUSG00000023216,0.36683335855035243,0.0,0.0,0.3611424233369612,0.37249696988771086,Epb42
ENSMUSG00000028332,0.3649696898294519,0.0,0.0,0.35926985610956297,0.37064229565075907,Hemgn
ENSMUSG00000096982,0.3610746685534241,0.0,0.0,0.3553563853720469,0.36676592653646073,Redrum
ENSMUSG00000001348,0.3401604087843913,0.0,0.0,0.33434648903162784,0.3459484393476077,Acp5
ENSMUSG00000032028,0.33242379484360496,0.0,0.0,0.32657596109588827,0.33824617935407153,Nxpe2
ENSMUSG00000040466,0.326359569798017,0.0,0.0,0.3204857056955534,0.3322083367083022,Blvrb
ENSMUSG00000030000,0.32545607915988045,0.0,0.0,0.3195783784361375,0.33130873567484215,Add2
ENSMUSG00000027329,0.3212655285150001,0.0,0.0,0.3153701737846732,0.3271360865707416,Spef1
ENSMUSG00000025889,0.31994900007096,0.0,0.0,0.31404814691467103,0.3258251349226779,Snca
ENSMUSG00000073938,0.3195594689975879,0.0,0.0,0.3136569933680061,0.3254372495654702,Olfr632
