,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000028128,0.5171513394545832,0.0,0.0,0.5123294252490365,0.521940647477105,F3
ENSMUSG00000031891,0.5162447684520128,0.0,0.0,0.5114167164229176,0.5210402298321405,Hsd11b2
ENSMUSG00000029718,0.5115139635535318,0.0,0.0,0.5066540589404105,0.5163413621259326,Pcolce
ENSMUSG00000023886,0.5069618139144911,0.0,0.0,0.5020715396121163,0.511819669170933,Smoc2
ENSMUSG00000005124,0.4996556362166352,0.0,0.0,0.4947171927381542,0.5045618115956813,Wisp1
ENSMUSG00000058145,0.4985842500311216,0.0,0.0,0.4936388024326482,0.5034974528278933,Adamts17
ENSMUSG00000027827,0.48891681226848993,0.0,0.0,0.48390885209856793,0.49389275114709513,Kcnab1
ENSMUSG00000021186,0.48838485657734165,0.0,0.0,0.4833734925586838,0.4933642122926414,Fbln5
ENSMUSG00000026042,0.48538709941390223,0.0,0.0,0.48035662359214387,0.490385641456064,Col5a2
ENSMUSG00000039058,0.48399903303235836,0.0,0.0,0.47895974809619873,0.4890064194598365,Ak5
ENSMUSG00000012017,0.4831168644467386,0.0,0.0,0.4780719942491449,0.48812985880201337,Scarf2
ENSMUSG00000038463,0.48154693354119493,0.0,0.0,0.4764921491563257,0.48656988290138814,Olfml2b
ENSMUSG00000024395,0.4808247310983311,0.0,0.0,0.4757653969336467,0.4858522492212881,Lims2
ENSMUSG00000030022,0.4807248257274984,0.0,0.0,0.4756648627161008,0.4857529753333626,Adamts9
ENSMUSG00000039646,0.47995522981397537,0.0,0.0,0.4748904270712809,0.48498823954141407,Vasn
ENSMUSG00000050069,0.4778093268465594,0.0,0.0,0.47273107066761405,0.48285584764005907,Grem2
ENSMUSG00000023078,0.475985220780976,0.0,0.0,0.4708955765793206,0.4810431794785118,Cxcl13
ENSMUSG00000029661,0.4753764107711122,0.0,0.0,0.470282975533471,0.4804381773351164,Col1a2
ENSMUSG00000031825,0.4743345998248564,0.0,0.0,0.4692346886579065,0.4794028713299196,Crispld2
ENSMUSG00000001506,0.4737721933787329,0.0,0.0,0.46866879224971947,0.4788439706179646,Col1a1
ENSMUSG00000022665,0.4706179375924099,0.0,0.0,0.46549504063762864,0.4757093005467041,Ccdc80
ENSMUSG00000035189,0.4689815615260961,0.0,0.0,0.4638486023604529,0.4740830342779379,Ano4
ENSMUSG00000050447,0.46822926047957036,0.0,0.0,0.46309168725036504,0.4733353693900251,Lypd6
ENSMUSG00000056174,0.4667786504197782,0.0,0.0,0.46163220136728383,0.4718936781440189,Col8a2
ENSMUSG00000043110,0.4661036327376757,0.0,0.0,0.4609530629650432,0.47122280136000405,Lrrn4
ENSMUSG00000024593,0.4644641113319915,0.0,0.0,0.45930355804147854,0.46959331293792467,Megf10
ENSMUSG00000035403,0.46423997765243225,0.0,0.0,0.4590780623126829,0.46937054812004525,Crb2
ENSMUSG00000042757,0.46388888512575455,0.0,0.0,0.4587248375511229,0.46902159852375674,Tmem108
ENSMUSG00000032085,0.4622237372568377,0.0,0.0,0.4570495992274921,0.46736659223753096,Tagln
ENSMUSG00000029070,0.46064781738939076,0.0,0.0,0.45546416342019963,0.4658002373077967,Mxra8
ENSMUSG00000106515,0.4604808815695184,0.0,0.0,0.4552962215110435,0.46563431280214934,Gm30382
ENSMUSG00000050737,0.45830810515151404,0.0,0.0,0.4531103838488495,0.46347466623783246,Ptges
ENSMUSG00000020122,0.45765531064064696,0.0,0.0,0.4524536773937531,0.4628258045029188,Egfr
ENSMUSG00000069378,0.45698548479071727,0.0,0.0,0.4517798434014615,0.46216000827525733,Prdm6
ENSMUSG00000036098,0.45616838111887226,0.0,0.0,0.45095785833976676,0.4613478123394013,Myrf
ENSMUSG00000051855,0.454107363461785,0.0,0.0,0.448884567394039,0.4592991351230462,Mest
ENSMUSG00000057530,0.45384216052704346,0.0,0.0,0.44861778926827606,0.4590355160925991,Ece1
ENSMUSG00000026043,0.4523124519745129,0.0,0.0,0.4470790130795063,0.4575149257565025,Col3a1
ENSMUSG00000018217,0.4505519969071293,0.0,0.0,0.44530816091761316,0.455764926669846,Pmp22
ENSMUSG00000018593,0.44966012096647484,0.0,0.0,0.44441103329105863,0.4548783325231979,Sparc
ENSMUSG00000028487,0.44953484274497524,0.0,0.0,0.44428501822972266,0.45475379538550204,Bnc2
ENSMUSG00000032289,0.4486499935476058,0.0,0.0,0.4433949705942452,0.4538741747053758,Thsd4
ENSMUSG00000028364,0.44711725223063487,0.0,0.0,0.4418532490333305,0.4523504661646597,Tnc
ENSMUSG00000001555,0.44690901640584163,0.0,0.0,0.44164379556590677,0.45214345516134796,Fkbp10
ENSMUSG00000104586,0.4467521288531629,0.0,0.0,0.44148599100467256,0.4519874900324738,4921539H07Rik
ENSMUSG00000022887,0.4463265594063248,0.0,0.0,0.44105793574259294,0.4515644211187402,Masp1
ENSMUSG00000029576,0.4458275500714208,0.0,0.0,0.44055601467221617,0.4510683408301774,Radil
ENSMUSG00000045377,0.44435589368561923,0.0,0.0,0.43907579031609156,0.44960530380074865,Tmem88
ENSMUSG00000050830,0.44334586446921515,0.0,0.0,0.4380598973057171,0.4486011739333418,Vwc2
ENSMUSG00000022639,0.44270198399207844,0.0,0.0,0.43741228578315355,0.4479610472894344,Dubr
ENSMUSG00000030770,0.44225565653528376,0.0,0.0,0.43696337524632,0.4475173187644398,Parva
ENSMUSG00000004791,0.44194605070632204,0.0,0.0,0.43665197915013765,0.44720951422538385,Pgf
ENSMUSG00000027204,0.4409466664008029,0.0,0.0,0.43564682465316784,0.4462159358409113,Fbn1
