,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000020496,0.8008832987956751,0.0,0.0,0.7985185519423141,0.8032233277326983,Rnf187
ENSMUSG00000027466,0.7921034851836194,0.0,0.0,0.7896466470429904,0.7945349228796925,Rbck1
ENSMUSG00000052406,0.7893119312685927,0.0,0.0,0.7868260278142443,0.7917722238910512,Rexo4
ENSMUSG00000021807,0.756371679221481,0.0,0.0,0.7535506464504618,0.7591648554300403,2700060E02Rik
ENSMUSG00000050248,0.7349311782504316,0.0,0.0,0.7318997768318859,0.737933490250467,Evc2
ENSMUSG00000048497,0.7328650882363902,0.0,0.0,0.7298137381550975,0.735887239393726,Mmgt2
ENSMUSG00000030802,0.7291706531594162,0.0,0.0,0.7260837739341326,0.7322281416751564,Bckdk
ENSMUSG00000024968,0.727803498206856,0.0,0.0,0.7247035171919889,0.7308740188446787,Rcor2
ENSMUSG00000020736,0.7239798087386573,0.0,0.0,0.720843316425482,0.7270866495529607,Nt5c
ENSMUSG00000042305,0.7205507560864445,0.0,0.0,0.7173816862345508,0.7236900076930289,Tmem183a
ENSMUSG00000001082,0.7170127673969932,0.0,0.0,0.7138102490722322,0.7201853000185642,Mfsd10
ENSMUSG00000029623,0.7162376892901439,0.0,0.0,0.7130278655468127,0.7194174912644795,Pdap1
ENSMUSG00000035278,0.7144299063605704,0.0,0.0,0.711203074610696,0.7176266330851073,Plekhj1
ENSMUSG00000020167,0.7136018122766512,0.0,0.0,0.7103672041629521,0.7168062776304863,Tcf3
ENSMUSG00000032171,0.7118018072343282,0.0,0.0,0.7085503273262458,0.7150230632313128,Pin1
ENSMUSG00000109324,0.7111121729000719,0.0,0.0,0.7078542403383637,0.7143398507750092,Prmt1
ENSMUSG00000003923,0.7075272294226146,0.0,0.0,0.7042358558094476,0.7107881911769843,Tfam
ENSMUSG00000045598,0.7056772069555629,0.0,0.0,0.7023686428566885,0.7089552799248855,Zfp553
ENSMUSG00000020740,0.70560326759762,0.0,0.0,0.70229401739741,0.7088820235260275,Gga3
ENSMUSG00000030357,0.7026721298809466,0.0,0.0,0.6993357395276207,0.7059779029985803,Fkbp4
ENSMUSG00000041203,0.7016327416387669,0.0,0.0,0.6982867547736976,0.7049480684143067,2310036O22Rik
ENSMUSG00000029394,0.7011341990999713,0.0,0.0,0.6977836143679367,0.7044541033265759,Cdk2ap1
ENSMUSG00000024530,0.700875537457546,0.0,0.0,0.6975225684908914,0.7041978153617358,Slmo1
ENSMUSG00000002329,0.7008109649517678,0.0,0.0,0.6974574009216368,0.7041338352877445,Mdp1
ENSMUSG00000019837,0.7007163061365672,0.0,0.0,0.6973618698848976,0.7040400448389361,Gtf3c6
ENSMUSG00000010376,0.6987706819337507,0.0,0.0,0.695398344378553,0.7021122434182795,Nedd8
