,Neural crest_corr,Neural crest_pval,Neural crest_qval,Neural crest_ci_low,Neural crest_ci_high,gene_annotation
ENSMUSG00000024177,0.6329476481175067,0.0,0.0,0.6289993406493514,0.636863303349832,Nme4
ENSMUSG00000042606,0.6103885315401706,0.0,0.0,0.6062560724748995,0.6144880286397187,Hirip3
ENSMUSG00000045438,0.6057994354892073,0.0,0.0,0.6016303425632331,0.6099355232705762,Cox19
ENSMUSG00000030802,0.6018720818546475,0.0,0.0,0.5976718596700752,0.6060392671757723,Bckdk
ENSMUSG00000024146,0.5958949071432843,0.0,0.0,0.5916477012417579,0.6001090370971022,Cript
ENSMUSG00000063632,0.5947401385352101,0.0,0.0,0.5904839102133451,0.5989632846290162,Sox11
ENSMUSG00000001383,0.594578320699522,0.0,0.0,0.5903208294790544,0.5988027288445991,Zmat2
ENSMUSG00000070493,0.5882552989694957,0.0,0.0,0.583948732199875,0.5925287558275417,Chchd2
ENSMUSG00000041203,0.5876491216588198,0.0,0.0,0.5833378779754186,0.5919272534979585,2310036O22Rik
ENSMUSG00000025066,0.585659520641014,0.0,0.0,0.5813329606186675,0.5899529632586299,Sfr1
ENSMUSG00000057130,0.5848458925789572,0.0,0.0,0.5805130842233729,0.5891455816010406,Txnl4a
ENSMUSG00000035278,0.5818069391883006,0.0,0.0,0.5774508705938634,0.586129883010897,Plekhj1
ENSMUSG00000055302,0.5734931524226332,0.0,0.0,0.5690740761148221,0.5778791032166659,Mrfap1
ENSMUSG00000090553,0.5714959355329864,0.0,0.0,0.5670618595414166,0.5758968888931422,Snrpe
ENSMUSG00000029623,0.570107815827016,0.0,0.0,0.5656633458251191,0.5745191658944957,Pdap1
ENSMUSG00000037085,0.5695827590620193,0.0,0.0,0.5651343641860075,0.5739980351716981,Trmt12
ENSMUSG00000109701,0.5661067541772148,0.0,0.0,0.5616324679286723,0.570547931434269,Gm45390
ENSMUSG00000045410,0.5656728681296175,0.0,0.0,0.5611953612904846,0.5701172674458034,Akr1e1
ENSMUSG00000049504,0.5647242958178265,0.0,0.0,0.5602397567432167,0.5691757307715269,Proser1
ENSMUSG00000021811,0.560522751795749,0.0,0.0,0.5560072081264666,0.5650052095619919,Dnajc9
ENSMUSG00000021039,0.5601667150551434,0.0,0.0,0.555648554834791,0.564651791151612,Snw1
ENSMUSG00000032959,0.5570913953014068,0.0,0.0,0.5525507042250555,0.5615990191453987,Pebp1
ENSMUSG00000044627,0.5568929586306385,0.0,0.0,0.5523508180471703,0.5614020331652873,Swi5
ENSMUSG00000071646,0.5534064251448972,0.0,0.0,0.5488389019190928,0.5579409049604447,Mta2
ENSMUSG00000031628,0.5530042735752482,0.0,0.0,0.5484338329788502,0.5575416735964902,Casp3
ENSMUSG00000003573,0.5514322961037027,0.0,0.0,0.546850472324831,0.5559810908323907,Homer3
ENSMUSG00000021807,0.5466830336403368,0.0,0.0,0.5420670180399243,0.5512660592760744,2700060E02Rik
ENSMUSG00000025465,0.5451711745424358,0.0,0.0,0.540544337237606,0.549765035663693,Echs1
ENSMUSG00000109324,0.5444571202530327,0.0,0.0,0.539825182372918,0.5490560886822614,Prmt1
ENSMUSG00000019837,0.5441125637383416,0.0,0.0,0.5394781670682793,0.548713994257566,Gtf3c6
ENSMUSG00000030224,0.5435709122114981,0.0,0.0,0.5389326534443796,0.5481762100829675,Strap
ENSMUSG00000022552,0.5434798188959169,0.0,0.0,0.5388409109951653,0.5480857667929129,Sharpin
ENSMUSG00000025362,0.5432886510247246,0.0,0.0,0.5386483812138976,0.5478959627110898,Rps26
ENSMUSG00000020267,0.5432834084955788,0.0,0.0,0.5386431013429743,0.5478907575754032,Hint1
ENSMUSG00000033760,0.5432302417189777,0.0,0.0,0.5385895558876962,0.5478379700020408,Rbm4b
ENSMUSG00000030417,0.5427366469002975,0.0,0.0,0.5380924472449877,0.5473478939152085,Pdcd5
ENSMUSG00000059878,0.5426066335272415,0.0,0.0,0.5379615088647061,0.547218806853467,Zfp422
ENSMUSG00000024968,0.5421574373707815,0.0,0.0,0.5375091185336693,0.546772809413655,Rcor2
ENSMUSG00000039826,0.5420222390756771,0.0,0.0,0.5373729593851819,0.5466385733500609,Trub2
ENSMUSG00000042305,0.5412481265009756,0.0,0.0,0.5365933498645965,0.5458699657105385,Tmem183a
ENSMUSG00000035960,0.5399228151834072,0.0,0.0,0.5352586460058811,0.5445540610008155,Apex1
ENSMUSG00000063445,0.5395004379661044,0.0,0.0,0.5348332802762924,0.5441346768818272,Nmral1
ENSMUSG00000032388,0.5381637338650151,0.0,0.0,0.5334871339705632,0.5428074298262179,Spg21
ENSMUSG00000001844,0.536673871277976,0.0,0.0,0.5319867752175015,0.5413280805316018,Zdhhc4
ENSMUSG00000024962,0.5360258055132358,0.0,0.0,0.5313341529781951,0.5406845788832222,Vegfb
ENSMUSG00000036992,0.5352132037914524,0.0,0.0,0.5305158458174843,0.5398776923465772,Nxt1
ENSMUSG00000051817,0.5349953636527407,0.0,0.0,0.5302964776677609,0.5396613828626478,Sox12
ENSMUSG00000026201,0.5349708121950772,0.0,0.0,0.5302717540365769,0.5396370038772904,Stk16
ENSMUSG00000031834,0.5349601881885789,0.0,0.0,0.5302610555289308,0.5396264545012834,Pik3r2
ENSMUSG00000010307,0.5334894873571566,0.0,0.0,0.528780055808362,0.5381660707648984,Tmem86a
ENSMUSG00000031683,0.5326147310723488,0.0,0.0,0.5278991874612637,0.537297437653762,Lsm6
ENSMUSG00000028044,0.5323831201480682,0.0,0.0,0.5276659599330089,0.5370674463106914,Cks1b
ENSMUSG00000020496,0.5322563297573694,0.0,0.0,0.5275382848686626,0.53694154222971,Rnf187
ENSMUSG00000021576,0.5310729280450869,0.0,0.0,0.5263466363077128,0.5357664028493426,Pdcd6
ENSMUSG00000042688,0.5310140362966145,0.0,0.0,0.5262873346414422,0.5357079217992284,Mapk6
ENSMUSG00000006289,0.5308712841362374,0.0,0.0,0.5261435890411396,0.5355661649747813,Osgep
ENSMUSG00000061032,0.529865754993503,0.0,0.0,0.5251310698800854,0.5345676393637764,Rrp1
ENSMUSG00000028857,0.5294058594707596,0.0,0.0,0.5246679818231977,0.5341109426479955,Tmem222
ENSMUSG00000041346,0.529341545644211,0.0,0.0,0.5246032217620108,0.5340470759379137,Wrap53
ENSMUSG00000028076,0.5289434016593941,0.0,0.0,0.5242023165180169,0.5336516986965187,Cd1d1
ENSMUSG00000022890,0.5272822593340867,0.0,0.0,0.5225296762999037,0.5320020776122808,Atp5j
ENSMUSG00000021038,0.5270281256043514,0.0,0.0,0.5222737867644865,0.5317497033265414,Vipas39
