,Notochord_2_corr,Notochord_2_pval,Notochord_2_qval,Notochord_2_ci_low,Notochord_2_ci_high,gene_annotation
ENSMUSG00000074651,0.6884113540431498,0.0,0.0,0.6849445500924941,0.6918469867491712,Mcidas
ENSMUSG00000046782,0.6778992922109225,0.0,0.0,0.6743380879733019,0.6814289632000619,Ttc6
ENSMUSG00000068428,0.6687341630999029,0.0,0.0,0.6650918532236841,0.6723446556961765,Gmnc
ENSMUSG00000020963,0.6127542521079553,0.0,0.0,0.6086407873629218,0.6168347797363184,Tshr
ENSMUSG00000020902,0.6063240549039894,0.0,0.0,0.602159135756836,0.6104559735082175,Ntn1
ENSMUSG00000028294,0.6029226333622972,0.0,0.0,0.5987307180685238,0.6070815198063212,Cfap206
ENSMUSG00000034706,0.5919956620550443,0.0,0.0,0.5877180616571209,0.5962401669406199,Dnaic2
ENSMUSG00000034227,0.5735792353125632,0.0,0.0,0.5691608067022251,0.577964538311415,Foxj1
ENSMUSG00000000305,0.5729676981605291,0.0,0.0,0.5685446704068026,0.577357601044461,Cdh4
ENSMUSG00000019913,0.5634359881272918,0.0,0.0,0.5589419173062287,0.5678969598680562,Sim1
ENSMUSG00000022861,0.5613517029948325,0.0,0.0,0.5568422578894218,0.5658280581970474,Dgkg
ENSMUSG00000026765,0.5598739786473237,0.0,0.0,0.5553536683362906,0.56436120632478,Lypd6b
ENSMUSG00000053161,0.5548477404666787,0.0,0.0,0.5502906907474031,0.5593717369945668,Daw1
ENSMUSG00000022388,0.5507463579017137,0.0,0.0,0.5461595772996785,0.5553001147031654,Ttll8
ENSMUSG00000029304,0.5489402878763173,0.0,0.0,0.5443404858425919,0.5535070805712045,Spp1
ENSMUSG00000046634,0.5462834935293557,0.0,0.0,0.5416646151223955,0.5508693855509249,Pkd1l1
ENSMUSG00000057969,0.5420912576011618,0.0,0.0,0.5374424683945834,0.5467071006874578,Sema3b
ENSMUSG00000026805,0.531034137038702,0.0,0.0,0.5263075752901849,0.5357278823681356,Barhl1
ENSMUSG00000006649,0.5289683217866963,0.0,0.0,0.5242274094129287,0.5336764457116777,Nphs1
ENSMUSG00000043020,0.5287165099155596,0.0,0.0,0.5239738521455106,0.5334263827260527,Wdr63
ENSMUSG00000020014,0.521695298251691,0.0,0.0,0.5169043124737024,0.5264536033009583,Cfap54
ENSMUSG00000017344,0.5210202290621382,0.0,0.0,0.5162246311208993,0.5257831569988335,Vtn
ENSMUSG00000038756,0.517110101350237,0.0,0.0,0.5122879077108766,0.5218996895084237,Ttll6
ENSMUSG00000051354,0.5151807917369862,0.0,0.0,0.5103455500828832,0.5199834612527588,Samd3
ENSMUSG00000055809,0.5124664735681513,0.0,0.0,0.5076129583723225,0.5172874652109878,Dnaaf3
ENSMUSG00000050931,0.5123290759772076,0.0,0.0,0.5074746383791011,0.517150992533622,Sgms2
ENSMUSG00000030713,0.5109649477962815,0.0,0.0,0.5061013658593156,0.5157960338953022,Klk7
ENSMUSG00000038765,0.5101947354905451,0.0,0.0,0.5053260013813838,0.5150309882092332,Lmx1b
ENSMUSG00000031559,0.505991990937711,0.0,0.0,0.5010952819396074,0.5108563001265332,4930555F03Rik
ENSMUSG00000002633,0.5050625318305251,0.0,0.0,0.5001596676436328,0.5099330148747995,Shh
ENSMUSG00000020847,0.4972347738002189,0.0,0.0,0.4922805257270493,0.5021568068370855,Rph3al
ENSMUSG00000033122,0.4955887624023592,0.0,0.0,0.49062381269185484,0.5005215340155292,Hsd17b3
ENSMUSG00000035910,0.49506472480610786,0.0,0.0,0.49009637556808244,0.5000009078526153,Dcdc2a
ENSMUSG00000071324,0.49231943318344773,0.0,0.0,0.4873333341893194,0.4972734295029682,Armc2
ENSMUSG00000048616,0.48367179767707086,0.0,0.0,0.47863043971774233,0.48868126551300006,Nog
ENSMUSG00000037025,0.48156680566453547,0.0,0.0,0.4765121465690691,0.4865896292148238,Foxa2
ENSMUSG00000049985,0.4789066520793406,0.0,0.0,0.47383526780691093,0.4839462713545702,Ankrd55
ENSMUSG00000037683,0.475992222382914,0.0,0.0,0.4709026218085082,0.4810501372601712,Armc3
ENSMUSG00000047773,0.47493658746331563,0.0,0.0,0.4698404165171493,0.4800011019513264,4932411E22Rik
ENSMUSG00000033053,0.47394915854285136,0.0,0.0,0.4688468551034368,0.4790198331213317,1700028P14Rik
ENSMUSG00000062327,0.4710903348418669,0.0,0.0,0.46597034929207687,0.4761787727745555,T
ENSMUSG00000035539,0.47072457256618433,0.0,0.0,0.46560233254919453,0.475815275504246,Ccdc180
ENSMUSG00000016028,0.47068381720484237,0.0,0.0,0.4655613260916902,0.47577477241530497,Celsr1
ENSMUSG00000063428,0.46962688184006446,0.0,0.0,0.46449788656776664,0.4747243718547343,Ddo
ENSMUSG00000035984,0.46962600227563434,0.0,0.0,0.4644970015968411,0.47472349772241496,Nme5
ENSMUSG00000022763,0.46859667363807544,0.0,0.0,0.4634613529158201,0.47370051923356093,Aifm3
ENSMUSG00000050640,0.4682399473200752,0.0,0.0,0.46310243958365,0.4733459904229189,Tmem150c
ENSMUSG00000086141,0.4647447165760347,0.0,0.0,0.459585869447263,0.46987220350834086,9030622O22Rik
ENSMUSG00000022783,0.46399557703036165,0.0,0.0,0.4588321772382313,0.46912763939252966,Spag6l
ENSMUSG00000096883,0.46327931156852975,0.0,0.0,0.4581115658435543,0.4684157417567462,Shisa8
ENSMUSG00000024376,0.460931995960011,0.0,0.0,0.45575005552766074,0.4660826934622908,Epb41l4a
ENSMUSG00000019892,0.460621595898608,0.0,0.0,0.45543778387323575,0.4657741746934653,Lrriq1
ENSMUSG00000005237,0.45997017350407904,0.0,0.0,0.4547824377996202,0.4651266964085347,Dnah2
ENSMUSG00000031558,0.4599685563831975,0.0,0.0,0.45478081094540784,0.465125089071827,Slit2
ENSMUSG00000039632,0.45908377266433265,0.0,0.0,0.45389070697032396,0.46424565352032315,Ccdc151
ENSMUSG00000017688,0.45626888486019623,0.0,0.0,0.45105896201527385,0.4614477128974788,Hnf4g
ENSMUSG00000044708,0.4558101372229041,0.0,0.0,0.45059747707627185,0.46099171741154404,Kcnj10
ENSMUSG00000029477,0.45217169816451364,0.0,0.0,0.4469374264808968,0.4573750094166606,Morn3
ENSMUSG00000048038,0.44896067257618366,0.0,0.0,0.4437074736636938,0.45418301911132813,Ccdc187
ENSMUSG00000090336,0.44762371150507835,0.0,0.0,0.44236267218400477,0.45285394414467706,4932443I19Rik
ENSMUSG00000010044,0.4465669279070821,0.0,0.0,0.44129970797737256,0.45180337756745564,Zmynd10
ENSMUSG00000034730,0.4463617843378392,0.0,0.0,0.4410933663372458,0.4515994391673145,Adgrb1
ENSMUSG00000018752,0.44450157117481237,0.0,0.0,0.43922231466005607,0.4497501293263384,Tnfsfm13
ENSMUSG00000003418,0.4441425600400842,0.0,0.0,0.4388612170227286,0.44939321729332576,St8sia6
ENSMUSG00000022805,0.44402464679501624,0.0,0.0,0.4387426188610432,0.44927599310936617,Maats1
ENSMUSG00000027356,0.4423893288126417,0.0,0.0,0.43709782086341487,0.44765021294978324,Fermt1
ENSMUSG00000014329,0.44225706120931674,0.0,0.0,0.4369647880456422,0.44751871526322384,Bicc1
ENSMUSG00000022580,0.44217675879731616,0.0,0.0,0.43688402116899444,0.4474388801726946,Rhpn1
ENSMUSG00000022262,0.43922654387132826,0.0,0.0,0.4339168015258582,0.4445057759387116,Dnah5
ENSMUSG00000026976,0.43808451011830807,0.0,0.0,0.4327682161384479,0.4433703353738822,Pax8
ENSMUSG00000056458,0.43702640164542855,0.0,0.0,0.4317040528982127,0.44231832043181235,Mok
ENSMUSG00000007097,0.43520972612366016,0.0,0.0,0.4298770164489973,0.4405120729797648,Atp1a2
ENSMUSG00000037573,0.43511307054785303,0.0,0.0,0.42977981084730466,0.44041597102293234,Tob1
ENSMUSG00000027419,0.43307866953769397,0.0,0.0,0.4277338616075895,0.4383931943558058,Pcsk2
ENSMUSG00000022425,0.4330453562232079,0.0,0.0,0.4277003596465843,0.43836007094191126,Enpp2
ENSMUSG00000086564,0.43240222823934577,0.0,0.0,0.4270535926380305,0.43772060624177117,Cd101
ENSMUSG00000064052,0.4320766558816959,0.0,0.0,0.4267261801739404,0.43739688630649337,Gm5089
ENSMUSG00000028434,0.43196839152742644,0.0,0.0,0.42661730422976507,0.43728923764285454,Epb41l4b
ENSMUSG00000047021,0.4315530080387046,0.0,0.0,0.42619957566121713,0.4368762149916777,Ccdc108
ENSMUSG00000028789,0.4313028944716626,0.0,0.0,0.42594805115975,0.43662752186575626,Azin2
ENSMUSG00000040412,0.4306723263979493,0.0,0.0,0.4253139296150159,0.43600053129247446,5330417C22Rik
ENSMUSG00000028801,0.4273508942327296,0.0,0.0,0.4219738668583135,0.432697857746997,Stpg1
ENSMUSG00000060176,0.42722500687368453,0.0,0.0,0.4218472762422393,0.4325726785454523,Kif27
ENSMUSG00000075302,0.42677482598910255,0.0,0.0,0.4213945821831124,0.432125028388399,Erich2
ENSMUSG00000042707,0.4266225130203245,0.0,0.0,0.42124141952079003,0.43197357106210826,Dnali1
ENSMUSG00000085576,0.4262312937952968,0.0,0.0,0.42084801924575754,0.43158454819049524,Dpy19l2
ENSMUSG00000057722,0.42555867742822523,0.0,0.0,0.4201716577709931,0.43091570332073204,Lepr
ENSMUSG00000085235,0.4255054221980256,0.0,0.0,0.4201181062729862,0.43086274645201955,Gm12576
ENSMUSG00000079055,0.42502880123254944,0.0,0.0,0.41963883545547687,0.43038879410422387,Slc8a3
ENSMUSG00000070509,0.42484648978763995,0.0,0.0,0.4194555112149942,0.4302075026460886,Rgma
