,Cardiomyocytes_2_corr,Cardiomyocytes_2_pval,Cardiomyocytes_2_qval,Cardiomyocytes_2_ci_low,Cardiomyocytes_2_ci_high,gene_annotation
ENSMUSG00000018845,0.7034613530921305,0.0,0.0,0.7001322591142827,0.7067598626356673,Unc45b
ENSMUSG00000015968,0.6931365095610044,0.0,0.0,0.6897126171195229,0.696529406240071,Cacna1d
ENSMUSG00000030470,0.6911700329355076,0.0,0.0,0.6877282458587337,0.6945807502513258,Csrp3
ENSMUSG00000024049,0.6908096459474563,0.0,0.0,0.6873645849807924,0.6942236237415695,Myom1
ENSMUSG00000026208,0.6870726320356981,0.0,0.0,0.683593724458455,0.6905203200963606,Des
ENSMUSG00000091898,0.6845105045314296,0.0,0.0,0.6810084987532443,0.6879812001792929,Tnnc1
ENSMUSG00000068614,0.6802038566107859,0.0,0.0,0.6766632220378991,0.6837130339657989,Actc1
ENSMUSG00000050503,0.6781699918346922,0.0,0.0,0.6746112000986522,0.6816972591564948,Fbxl22
ENSMUSG00000040752,0.6769465926424459,0.0,0.0,0.6733769056013251,0.6804847155478148,Myh6
ENSMUSG00000056900,0.6702976335231257,0.0,0.0,0.6666690803758796,0.6738944157799025,Usp13
ENSMUSG00000060600,0.6668290113538987,0.0,0.0,0.6631699822724751,0.670456167768795,Eno3
ENSMUSG00000109419,0.6651002787001473,0.0,0.0,0.6614261203836547,0.6687425151741186,Gm45163
ENSMUSG00000021798,0.6637046154420282,0.0,0.0,0.660018271773923,0.6673589983151856,Ldb3
ENSMUSG00000006542,0.6610974568798382,0.0,0.0,0.6573884198131845,0.6647744621741067,Prkag3
ENSMUSG00000079243,0.658944727329133,0.0,0.0,0.6552170204325116,0.6626403455968516,Xirp1
ENSMUSG00000021200,0.6586605210858502,0.0,0.0,0.6549303539759248,0.6623585921785505,Asb2
ENSMUSG00000022358,0.6533732314541816,0.0,0.0,0.6495974910141951,0.6571167434240301,Fbxo32
ENSMUSG00000015579,0.6532029590610251,0.0,0.0,0.649425757148081,0.6569479283954868,Nkx2-5
ENSMUSG00000034898,0.6524323878121134,0.0,0.0,0.648648576790322,0.6561839477852639,Filip1
ENSMUSG00000031936,0.65186858439382,0.0,0.0,0.6480799426881517,0.6556249616635488,Hephl1
ENSMUSG00000040666,0.6515771957182298,0.0,0.0,0.6477860590418133,0.6553360610817422,Sh3bgr
ENSMUSG00000061086,0.6508874749616468,0.0,0.0,0.6470904371535647,0.6546522252927852,Myl4
ENSMUSG00000108322,0.6505739018983803,0.0,0.0,0.6467741833037219,0.6543413257201968,Gm45123
ENSMUSG00000067279,0.6488400001580144,0.0,0.0,0.6450254817466482,0.6526221840498045,Ppp1r3c
ENSMUSG00000002930,0.6475413304516411,0.0,0.0,0.6437157533382621,0.6513345439356099,Ppp1r17
ENSMUSG00000007122,0.6462732620249515,0.0,0.0,0.6424369084169069,0.6500772241238907,Casq1
ENSMUSG00000038763,0.6454861760961721,0.0,0.0,0.6416431443001301,0.6492967993482683,Alpk3
ENSMUSG00000042717,0.6454280561403183,0.0,0.0,0.6415845315402506,0.6492391709467449,Ppp1r3a
ENSMUSG00000060187,0.6438470966003195,0.0,0.0,0.6399901841263701,0.6476715657183459,Lrrc10
ENSMUSG00000005583,0.6434560169392424,0.0,0.0,0.639595797850111,0.647283784498489,Mef2c
ENSMUSG00000019528,0.64319935399134,0.0,0.0,0.6393369658974237,0.6470292852184792,Gyg
ENSMUSG00000032845,0.642694757526669,0.0,0.0,0.6388281077457143,0.6465289400123635,Alpk2
ENSMUSG00000015365,0.6422353502765001,0.0,0.0,0.6383648234067099,0.6460734004299662,Mov10l1
ENSMUSG00000053702,0.6421437942836149,0.0,0.0,0.6382724950778141,0.6459826149039194,Nebl
ENSMUSG00000054640,0.6364963891537498,0.0,0.0,0.6325776656136519,0.640382524171381,Slc8a1
ENSMUSG00000039103,0.6347418593075513,0.0,0.0,0.6308084882942624,0.6386426097819812,Nexn
ENSMUSG00000019787,0.6344184116339414,0.0,0.0,0.6304823448226392,0.6383218521143993,Trdn
ENSMUSG00000020067,0.6332928790320208,0.0,0.0,0.6293474422206031,0.6372056696246962,Mypn
ENSMUSG00000051456,0.6317846903873338,0.0,0.0,0.6278267243677912,0.6357099841881863,Hspb3
ENSMUSG00000055027,0.6269802409133619,0.0,0.0,0.6229825635876202,0.6309451681345298,Smyd1
ENSMUSG00000030046,0.624825780724289,0.0,0.0,0.6208103952230792,0.6288083836251206,Bmp10
ENSMUSG00000006356,0.6230050599822445,0.0,0.0,0.6189747574793781,0.6270025535906201,Crip2
ENSMUSG00000005640,0.6226101523975986,0.0,0.0,0.6185766202628771,0.626610870075591,Insrr
