,Erythroid3_2_corr,Erythroid3_2_pval,Erythroid3_2_qval,Erythroid3_2_ci_low,Erythroid3_2_ci_high,gene_annotation
ENSMUSG00000027765,0.6714628084796032,0.0,0.0,0.667844528655637,0.6750493525349742,P2ry1
ENSMUSG00000036751,0.6610390290279358,0.0,0.0,0.6573294844248513,0.6647165402946115,Cox6b1
ENSMUSG00000022313,0.6146520259114976,0.0,0.0,0.6105538520727429,0.6187172838472366,Utp23
ENSMUSG00000002379,0.6124892093191447,0.0,0.0,0.6083736128545998,0.6165718657950995,Ndufa11
ENSMUSG00000023904,0.6111894638019414,0.0,0.0,0.6070634270838554,0.6152825467692696,Hcfc1r1
ENSMUSG00000020163,0.6093884128271366,0.0,0.0,0.6052479461791035,0.6134959075353327,Uqcr11
ENSMUSG00000028318,0.6037579652799373,0.0,0.0,0.5995726655561336,0.6079102427711905,Polr1e
ENSMUSG00000033916,0.5991311891318557,0.0,0.0,0.5949093632201037,0.6033199588858468,Chmp2a
ENSMUSG00000053769,0.5943948209900952,0.0,0.0,0.5901358980765692,0.5986206598770937,Lysmd1
ENSMUSG00000028741,0.5941447845376665,0.0,0.0,0.5898839115205975,0.598372572248826,Mrto4
ENSMUSG00000046806,0.5889903876969597,0.0,0.0,0.5846894989901148,0.593258168985695,3110062M04Rik
ENSMUSG00000064284,0.5807023359999303,0.0,0.0,0.5763378431106435,0.5850337028289766,Cdpf1
ENSMUSG00000068264,0.577740588883022,0.0,0.0,0.5733535880364994,0.5820944620186134,Ap5s1
ENSMUSG00000020133,0.5737524043031226,0.0,0.0,0.5693352789338463,0.5781364038710074,2310011J03Rik
ENSMUSG00000034932,0.572943914217715,0.0,0.0,0.5685207076940505,0.577333995902667,Mrpl54
ENSMUSG00000024309,0.5678366429099041,0.0,0.0,0.5633752218745679,0.5722649496462735,Pfdn6
ENSMUSG00000028708,0.5667137345082064,0.0,0.0,0.5622439578619123,0.5711504002009694,Mknk1
ENSMUSG00000022426,0.5656036215601659,0.0,0.0,0.5611256009580813,0.5700485348787668,Josd1
ENSMUSG00000006333,0.5582097784387812,0.0,0.0,0.5536772665084614,0.5627092166782985,Rps9
ENSMUSG00000038695,0.5569738177970797,0.0,0.0,0.5524322677971194,0.5614823012645831,Josd2
