,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000051008,0.4858347912944437,0.0,0.0,0.4808071621118543,0.4908304754244715,4930412M03Rik
ENSMUSG00000061165,0.48573295444843906,0.0,0.0,0.48070467750519963,0.4907292888989712,Olfr160
ENSMUSG00000110901,0.46022457119717863,0.0,0.0,0.4550383671247089,0.46537955447898605,RP23-252J6.1
ENSMUSG00000022613,0.4559033280832897,0.0,0.0,0.450691223771806,0.461084349416185,Miox
ENSMUSG00000026097,0.4554912028893804,0.0,0.0,0.4502766413348593,0.46067469483899764,Ormdl1
ENSMUSG00000028780,0.45134241572736356,0.0,0.0,0.4461032428081424,0.45655065589136284,Sema3c
ENSMUSG00000020604,0.45105970548574087,0.0,0.0,0.44581886376947777,0.4562696239185276,Arsg
ENSMUSG00000090685,0.4504311953242795,0.0,0.0,0.4451866473951879,0.45564484109378506,Gm9047
ENSMUSG00000090572,0.4499255193017465,0.0,0.0,0.4446779932866838,0.4551421602194317,Vmn2r109
ENSMUSG00000062200,0.4496375124344153,0.0,0.0,0.4443882917686725,0.45485585774708975,Vmn2r7
ENSMUSG00000089739,0.44646772622417624,0.0,0.0,0.44119992687140236,0.451704758738902,Gm20431
ENSMUSG00000029848,0.44407753219879403,0.0,0.0,0.4387958114347955,0.44932856948392486,Stra8
ENSMUSG00000021448,0.44153059556154867,0.0,0.0,0.4362341236674836,0.4467964742440277,Shc3
ENSMUSG00000105012,0.4401265210921031,0.0,0.0,0.43482195390789025,0.44540054546022395,Gm42813
ENSMUSG00000100832,0.4384408836260017,0.0,0.0,0.43312663224182063,0.4437246532872587,Gm29260
ENSMUSG00000027811,0.43786314680511285,0.0,0.0,0.43254558490220113,0.4431502480723795,4930579G24Rik
ENSMUSG00000109696,0.43713320923083465,0.0,0.0,0.43181147099166683,0.44242451358483453,Gm45611
ENSMUSG00000066755,0.43547301595978116,0.0,0.0,0.4301418051829211,0.4407738541411568,Tnfsf18
ENSMUSG00000075478,0.4352345170026397,0.0,0.0,0.4299019484222739,0.4405367218432056,Slitrk1
ENSMUSG00000010803,0.4350371561532422,0.0,0.0,0.42970346454274916,0.4403404913617914,Gabra1
ENSMUSG00000097259,0.43391805596086136,0.0,0.0,0.4285780061516359,0.43922779114153976,Gm26766
ENSMUSG00000105851,0.4333305806865235,0.0,0.0,0.42798719975334387,0.43864366903260665,9130604C24Rik
ENSMUSG00000030069,0.43110477065096925,0.0,0.0,0.4257488102754122,0.4364305226491878,Prok2
ENSMUSG00000018238,0.4277962076469371,0.0,0.0,0.4224216696536437,0.43314066447324906,Gdf9
ENSMUSG00000052848,0.42678233978393315,0.0,0.0,0.4214021379023635,0.4321324999654724,C130026L21Rik
ENSMUSG00000031023,0.42510977750741796,0.0,0.0,0.41972026171923177,0.43046931719846926,Akip1
ENSMUSG00000075705,0.42362822854812304,0.0,0.0,0.4182304934500764,0.42899604617280807,Msrb1
ENSMUSG00000039838,0.4228799938087219,0.0,0.0,0.417478118703899,0.428251981229861,Slc45a1
ENSMUSG00000002396,0.42270734648193425,0.0,0.0,0.4173045171655697,0.4280802950056383,Ocel1
ENSMUSG00000070713,0.42128572832553624,0.0,0.0,0.4158750568013105,0.42666657604650515,Gm10282
ENSMUSG00000000730,0.4212449789035139,0.0,0.0,0.415834082983524,0.42662605266028675,Dnmt3l
ENSMUSG00000062944,0.41923766839509236,0.0,0.0,0.41381574596495896,0.4246298498965647,9130023H24Rik
ENSMUSG00000107614,0.4173572798056288,0.0,0.0,0.4119250764217272,0.422759819150376,Gm44196
ENSMUSG00000040721,0.41697415592054266,0.0,0.0,0.41153986355689387,0.42237880000461986,Zfhx2
ENSMUSG00000099370,0.4161875596267188,0.0,0.0,0.41074898443878466,0.4215965189902988,Platr10
ENSMUSG00000001755,0.4151186292819585,0.0,0.0,0.4096742471477919,0.42053343990927033,Coasy
ENSMUSG00000015536,0.41484146507189557,0.0,0.0,0.40939557971526536,0.42025779045282174,Mocs2
ENSMUSG00000055102,0.4133249084748032,0.0,0.0,0.4078708159416538,0.41874950441820935,Zfp819
ENSMUSG00000110760,0.41294472373541835,0.0,0.0,0.4074885785187133,0.418371388329599,RP24-264F17.6
ENSMUSG00000050936,0.4124183858394317,0.0,0.0,0.4069594019883049,0.4178479112243443,Gm42743
ENSMUSG00000079414,0.41176487286959823,0.0,0.0,0.40630236960525284,0.41719794525959925,Gm11110
ENSMUSG00000036430,0.4106076981983437,0.0,0.0,0.4051389769694113,0.4160470376324961,Tbcc
ENSMUSG00000107538,0.409942592002211,0.0,0.0,0.4044703049054367,0.415385525642081,Gm44127
ENSMUSG00000033594,0.40963120906497746,0.0,0.0,0.40415725454569107,0.4150758234265029,Spata2l
ENSMUSG00000097811,0.40770737634029675,0.0,0.0,0.4022231483376664,0.4131623468061403,2810425M01Rik
ENSMUSG00000024592,0.4076288653615261,0.0,0.0,0.40214421914098764,0.41308425743358623,C330018D20Rik
ENSMUSG00000022832,0.4070446686754094,0.0,0.0,0.40155691307417635,0.4125031953811468,Ropn1
ENSMUSG00000035805,0.4068908004202445,0.0,0.0,0.4014022266078019,0.41235015200037106,Mlc1
ENSMUSG00000054057,0.40671348003247293,0.0,0.0,0.40122396368788105,0.41217378182967945,A930004D18Rik
ENSMUSG00000004945,0.4063336719811478,0.0,0.0,0.40084213819685865,0.4117960077008607,Tmem242
ENSMUSG00000028610,0.40629922266547636,0.0,0.0,0.4008075059899192,0.41176174277297717,Dmrtb1
ENSMUSG00000002345,0.4062899812900854,0.0,0.0,0.4007982155547761,0.4117525508588373,Borcs8
ENSMUSG00000061984,0.40459924880361886,0.0,0.0,0.39909852647059246,0.41007084872639504,Olfr392
ENSMUSG00000037361,0.40428806056440186,0.0,0.0,0.39878569384156853,0.4097613185173762,Sf3b6
ENSMUSG00000022193,0.4037712878200808,0.0,0.0,0.3982661931810468,0.40924729638573953,Psmb5
ENSMUSG00000104956,0.4031696053929645,0.0,0.0,0.3976613390700545,0.4086488121383395,4930429D17Rik
ENSMUSG00000000197,0.4029089711353126,0.0,0.0,0.39739933240180436,0.4083895617920445,Nalcn
