,Mesenchyme_3_corr,Mesenchyme_3_pval,Mesenchyme_3_qval,Mesenchyme_3_ci_low,Mesenchyme_3_ci_high,gene_annotation
ENSMUSG00000025381,0.7295931712023437,0.0,0.0,0.7265103461057668,0.7326466272623667,Cnpy2
ENSMUSG00000063455,0.7153094636762377,0.0,0.0,0.712090901557142,0.7184979611266754,D630045J12Rik
ENSMUSG00000018547,0.7021724973885327,0.0,0.0,0.6988314922115735,0.7054828646811255,Pip4k2b
ENSMUSG00000036241,0.6962384131378799,0.0,0.0,0.6928428520924268,0.6996030979608806,Ube2r2
ENSMUSG00000017837,0.691464411789348,0.0,0.0,0.6880253002416747,0.6948724645656036,Nkiras2
ENSMUSG00000047907,0.6805222645231991,0.0,0.0,0.6769844774905904,0.6840286049891714,Tshz2
ENSMUSG00000049728,0.6795798121110362,0.0,0.0,0.6760336005823692,0.6830945456498556,Zfp668
ENSMUSG00000034194,0.6791097222161719,0.0,0.0,0.6755593130114442,0.6826286378738775,R3hcc1
ENSMUSG00000037503,0.6707577860279874,0.0,0.0,0.6671332878793425,0.6743505271003479,Fam168b
ENSMUSG00000018666,0.6574038706229552,0.0,0.0,0.6536628382657612,0.6611127746237602,Cbx1
ENSMUSG00000003070,0.6553612952912413,0.0,0.0,0.6516026472076887,0.6590877635973712,Efna2
ENSMUSG00000020821,0.6552464276497785,0.0,0.0,0.6514867905631794,0.6589738821091838,Kif1c
ENSMUSG00000087537,0.6469318745857209,0.0,0.0,0.6431011154336643,0.6507302566418501,Gm13799
ENSMUSG00000014303,0.6457129587938177,0.0,0.0,0.6418718503367273,0.6495216635940138,Glis2
ENSMUSG00000030980,0.6439711569940245,0.0,0.0,0.6401152938869071,0.6477945793488299,Knop1
ENSMUSG00000040681,0.6423538413127119,0.0,0.0,0.6384843141593739,0.6461908941729204,Hmgn1
ENSMUSG00000020946,0.6420407608693953,0.0,0.0,0.6381685926410551,0.6458804484120729,Gosr2
ENSMUSG00000051154,0.6404400393632736,0.0,0.0,0.6365543881658211,0.644293177698759,Commd3
ENSMUSG00000001576,0.6397436921179529,0.0,0.0,0.6358521861737615,0.6436026714674492,Ergic1
ENSMUSG00000022451,0.6396912929933336,0.0,0.0,0.6357993467485352,0.6435507116165519,Twf1
ENSMUSG00000030120,0.6383470106341104,0.0,0.0,0.6344437810939684,0.6422176865181822,Mlf2
ENSMUSG00000038055,0.6381452512185665,0.0,0.0,0.6342403302736603,0.6420176146514062,Dexi
ENSMUSG00000027479,0.6375211926950658,0.0,0.0,0.6336110435190432,0.641398772517005,Mapre1
ENSMUSG00000029840,0.6363713070114332,0.0,0.0,0.6324515378848607,0.6402584852995956,Mtpn
ENSMUSG00000037935,0.6357715519264169,0.0,0.0,0.6318467722156272,0.6396637297655183,Smarce1
ENSMUSG00000006699,0.633783820052022,0.0,0.0,0.6298424682295846,0.6376925342795429,Cdc42
ENSMUSG00000005198,0.6320163891189827,0.0,0.0,0.628060345961592,0.6359397640036897,Polr2a
ENSMUSG00000032262,0.6312415401882172,0.0,0.0,0.6272790693736755,0.63517132960245,Elovl4
ENSMUSG00000039849,0.6306261419492897,0.0,0.0,0.626658571862298,0.6345610203492472,Pcif1
