,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000029155,0.7944134145161021,0.0,0.0,0.7919807055911736,0.796820899495577,Spata18
ENSMUSG00000022759,0.765024567520083,0.0,0.0,0.7622901682996122,0.767731658299619,Lrrc74b
ENSMUSG00000043020,0.7446754714834336,0.0,0.0,0.7417389198552752,0.7475834720684023,Wdr63
ENSMUSG00000026831,0.741134835064364,0.0,0.0,0.7381636730997557,0.7440772461661244,1700007K13Rik
ENSMUSG00000022783,0.7261234811434916,0.0,0.0,0.7230074341694919,0.7292099830920266,Spag6l
ENSMUSG00000037101,0.7194683793042062,0.0,0.0,0.7162890588778263,0.7226178297614391,Ttc29
ENSMUSG00000063409,0.7183083287535663,0.0,0.0,0.7151180394565262,0.721468693129045,Lrrc43
ENSMUSG00000044772,0.7116302522487591,0.0,0.0,0.7083771665728091,0.7148531063414569,Sntn
ENSMUSG00000031786,0.7116096164709975,0.0,0.0,0.7083563376689632,0.7148326627676506,Drc7
ENSMUSG00000061322,0.7093810999952432,0.0,0.0,0.7061069983001247,0.7126248705216535,Dnaic1
ENSMUSG00000090336,0.7051136576597616,0.0,0.0,0.7017998660848419,0.7083969342058565,4932443I19Rik
ENSMUSG00000109228,0.7036868890220445,0.0,0.0,0.7003598816480963,0.7069833213768758,Fam81b
ENSMUSG00000030125,0.7030899167638719,0.0,0.0,0.6997573878217659,0.7063918458060062,Lrrc23
ENSMUSG00000047394,0.7019285554027407,0.0,0.0,0.6985852982776538,0.7052411645947849,Odf3b
ENSMUSG00000109572,0.7013241302748924,0.0,0.0,0.6979752968155142,0.7046422909961293,Cfap99
ENSMUSG00000025150,0.7006847810029962,0.0,0.0,0.6973300542934753,0.7040088088800198,Cbr2
ENSMUSG00000096140,0.6999415974075749,0.0,0.0,0.6965800271809464,0.7032724386553476,Ankrd66
ENSMUSG00000097516,0.6973569885801851,0.0,0.0,0.6939716754968629,0.7007114693961795,4930467D21Rik
ENSMUSG00000046886,0.6968158461783509,0.0,0.0,0.6934255732763628,0.7001752654922602,Zfp474
ENSMUSG00000026301,0.6967551315441805,0.0,0.0,0.6933643024077034,0.7001151047070274,Iqca
ENSMUSG00000074651,0.6948659703526293,0.0,0.0,0.6914578582454465,0.6982431529208936,Mcidas
ENSMUSG00000026432,0.6941271185331193,0.0,0.0,0.690712259961022,0.6975110191434538,Avpr1b
ENSMUSG00000078639,0.6930520858751275,0.0,0.0,0.6896274241344641,0.6964457486481025,Gm12695
ENSMUSG00000061802,0.6872832227514085,0.0,0.0,0.683806217583027,0.6907290159545589,Armc4
ENSMUSG00000034467,0.6865156653319071,0.0,0.0,0.68303172913898,0.6899683621124041,Dynlrb2
ENSMUSG00000020014,0.68358575872687,0.0,0.0,0.6800754375803041,0.6870647376083644,Cfap54
ENSMUSG00000029182,0.6829485854324524,0.0,0.0,0.6794325414032889,0.6864332652305744,1700001C02Rik
ENSMUSG00000023931,0.6802097489148805,0.0,0.0,0.6766691670249657,0.6837188737837047,Efhb
ENSMUSG00000033053,0.6772937743040583,0.0,0.0,0.6737271771586977,0.6808288185328009,1700028P14Rik
ENSMUSG00000066196,0.6757995899458759,0.0,0.0,0.6722197060435404,0.6793478729466518,Spag8
ENSMUSG00000059854,0.6752985030828837,0.0,0.0,0.6717141700051367,0.678851219341479,Hydin
ENSMUSG00000045709,0.6743255764802473,0.0,0.0,0.6707326142717952,0.6778868912134336,Smkr-ps
ENSMUSG00000037683,0.673275423206402,0.0,0.0,0.6696731610474685,0.6768460051705095,Armc3
ENSMUSG00000099564,0.6716065380014776,0.0,0.0,0.6679895266882183,0.6751918179111821,Gm28729
ENSMUSG00000034227,0.671264661051219,0.0,0.0,0.6676446328918321,0.674852947436053,Foxj1
ENSMUSG00000099553,0.670661155722851,0.0,0.0,0.667035805806172,0.6742547456562362,Gm29538
