,Cardiomyocytes_3_corr,Cardiomyocytes_3_pval,Cardiomyocytes_3_qval,Cardiomyocytes_3_ci_low,Cardiomyocytes_3_ci_high,gene_annotation
ENSMUSG00000020267,0.5339020983007701,0.0,0.0,0.5291955532519664,0.5385757900405775,Hint1
ENSMUSG00000022433,0.5303465825855268,0.0,0.0,0.5256152383122061,0.5350451196192632,Csnk1e
ENSMUSG00000022440,0.5130325425761194,0.0,0.0,0.508182830255484,0.5178497210500761,C1qtnf6
ENSMUSG00000019210,0.5084675524807343,0.0,0.0,0.5035872933273009,0.5133153632096784,Atp6v1e1
ENSMUSG00000051351,0.5063709452504049,0.0,0.0,0.5014767490994775,0.5112327340461297,Zfp46
ENSMUSG00000015759,0.5030788645589955,0.0,0.0,0.49816290215005854,0.5079624864170773,Cnih1
ENSMUSG00000100314,0.49981994929441254,0.0,0.0,0.49488258134744195,0.5047250455950715,1700010J16Rik
ENSMUSG00000028617,0.4956749356460178,0.0,0.0,0.49071054530539154,0.5006071459382326,Lrrc42
ENSMUSG00000031633,0.49469461330026515,0.0,0.0,0.48972386527348694,0.4996332035865404,Slc25a4
ENSMUSG00000030741,0.49339997628359267,0.0,0.0,0.48842085165445825,0.4983469730086949,Spns1
ENSMUSG00000022043,0.4927690570867594,0.0,0.0,0.4877858583109279,0.49772014265369063,Trim35
ENSMUSG00000024213,0.4913620876515488,0.0,0.0,0.4863698223936571,0.4963222728357575,Nudt3
ENSMUSG00000027603,0.4900876969310754,0.0,0.0,0.48508724215901705,0.49505610207590106,Ggt7
ENSMUSG00000014769,0.4899415987622405,0.0,0.0,0.484940206505887,0.49491094490807164,Psmb1
ENSMUSG00000038642,0.4884508627749859,0.0,0.0,0.4834399209094448,0.49342979472171533,Ctss
ENSMUSG00000022757,0.48244730382693446,0.0,0.0,0.4773982013303138,0.4874645478144895,Tfg
ENSMUSG00000020821,0.48041077083389283,0.0,0.0,0.4753488318889169,0.4854409046764078,Kif1c
ENSMUSG00000109901,0.47980509769579255,0.0,0.0,0.4747393517368045,0.48483905463436194,Chmp1b
ENSMUSG00000021298,0.47970667048456345,0.0,0.0,0.4746403063112464,0.48474124825952364,Gpr132
ENSMUSG00000022503,0.47961167748414985,0.0,0.0,0.4745447167882087,0.4846468543145858,Nubp1
ENSMUSG00000026078,0.47828341742548974,0.0,0.0,0.4732081282421636,0.4833269583933569,Pdcl3
ENSMUSG00000109291,0.47334614605685227,0.0,0.0,0.4682401039183229,0.4784205763051753,Gm45043
ENSMUSG00000025810,0.4731795728629754,0.0,0.0,0.4680724988134392,0.4782550397258875,Nrp1
ENSMUSG00000001864,0.47298300895149037,0.0,0.0,0.46787471767285715,0.47805969860266023,Aif1l
