,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000020357,0.7406274762334963,0.0,0.0,0.7376513684190766,0.7435748049452893,Flt4
ENSMUSG00000026890,0.7090389292563803,0.0,0.0,0.7057616362252984,0.712285876131056,Lhx6
ENSMUSG00000046280,0.7011472397351673,0.0,0.0,0.6977967752298087,0.7044670242679787,She
ENSMUSG00000074874,0.6987009866780769,0.0,0.0,0.6953280088047794,0.7020431856933146,Ctla2b
ENSMUSG00000005952,0.6959912368932194,0.0,0.0,0.6925934135582357,0.699358174353519,Trpv1
ENSMUSG00000026712,0.6943660849921189,0.0,0.0,0.6909534076312498,0.6977478135625911,Mrc1
ENSMUSG00000050675,0.6839355204437114,0.0,0.0,0.6804283430378413,0.6874113677031475,Gp1ba
ENSMUSG00000034923,0.6613322445334893,0.0,0.0,0.6576252474189435,0.6650072161723062,Ly6g6f
ENSMUSG00000004709,0.6592252897630677,0.0,0.0,0.655500012590348,0.6629184856274407,Cd244
ENSMUSG00000020120,0.6579229649682403,0.0,0.0,0.6541864182586721,0.661627396614961,Plek
ENSMUSG00000002699,0.6437245246809782,0.0,0.0,0.6398665756313165,0.6475500278073696,Lcp2
ENSMUSG00000054435,0.6401791235148244,0.0,0.0,0.6362912778349888,0.6440344511683694,Gimap4
ENSMUSG00000040181,0.6375028157698612,0.0,0.0,0.6335925127142467,0.6413805491246194,Fmo1
ENSMUSG00000107481,0.6350517750221127,0.0,0.0,0.6311209883275671,0.6389499467596376,4833403J16Rik
ENSMUSG00000040732,0.6317576377399772,0.0,0.0,0.6277994472576638,0.6356831555440153,Erg
ENSMUSG00000033191,0.6299900566052836,0.0,0.0,0.6260172211169215,0.6339301899037101,Tie1
ENSMUSG00000110874,0.6296455481298685,0.0,0.0,0.6256698631053361,0.6335885253309778,RP24-295B16.1
ENSMUSG00000050493,0.6251809294493635,0.0,0.0,0.6211684587816538,0.6291606227701831,Fam167b
ENSMUSG00000018008,0.6138257672654047,0.0,0.0,0.6097209301460856,0.6178976791053389,Cyth4
ENSMUSG00000043251,0.6134810509441552,0.0,0.0,0.6093734365745044,0.6175557361865789,Exoc3l
ENSMUSG00000015053,0.6123795610567642,0.0,0.0,0.6082630829721454,0.6164630979711768,Gata2
ENSMUSG00000030220,0.6112239045777063,0.0,0.0,0.6070981442170863,0.6153167115453574,Arhgdib
ENSMUSG00000085976,0.6079508847844687,0.0,0.0,0.6037989316423024,0.6120698522016703,Gm13816
ENSMUSG00000006386,0.6075849273452348,0.0,0.0,0.6034300544205613,0.6117068111392713,Tek
ENSMUSG00000046410,0.6074061780684513,0.0,0.0,0.6032498796434227,0.6115294857146432,Kcnk6
ENSMUSG00000006389,0.6066016690723652,0.0,0.0,0.6024389600526867,0.6107313800190628,Mpl
ENSMUSG00000034911,0.602709202425285,0.0,0.0,0.5985155983105033,0.6068697760344527,Ushbp1
ENSMUSG00000040950,0.6015673459456056,0.0,0.0,0.5973647169035314,0.60573693586389,Mgl2
ENSMUSG00000020377,0.5967400750707315,0.0,0.0,0.5924994838410641,0.6009475952092652,Ltc4s
ENSMUSG00000024440,0.5943361909261708,0.0,0.0,0.5900768106660561,0.5985624868580388,Pcdh12
ENSMUSG00000072618,0.5942618593233808,0.0,0.0,0.5900018993016757,0.598488734635834,Gm10384
ENSMUSG00000022372,0.5915912711318726,0.0,0.0,0.5873105300695708,0.5958389149193222,Sla
ENSMUSG00000045826,0.590629009609314,0.0,0.0,0.5863408039603867,0.5948841139902674,Ptprcap
ENSMUSG00000016087,0.5893982291300712,0.0,0.0,0.5851004938156149,0.5936628584807169,Fli1
ENSMUSG00000031871,0.5889662558136951,0.0,0.0,0.5846651805905316,0.5932342235342841,Cdh5
ENSMUSG00000027776,0.5885643554688086,0.0,0.0,0.5842601750776312,0.5928354269767389,Il12a
ENSMUSG00000030787,0.5850900309592839,0.0,0.0,0.5807590965647464,0.5893878465780618,Lyve1
ENSMUSG00000035431,0.5832971201692094,0.0,0.0,0.5789524421492985,0.5876086757364134,Sstr1
ENSMUSG00000028581,0.5820590209016805,0.0,0.0,0.5777048770865111,0.5863800402903859,Laptm5
ENSMUSG00000020053,0.5796215419304702,0.0,0.0,0.5752488219996532,0.5839611348945736,Igf1
ENSMUSG00000017652,0.5787931456097704,0.0,0.0,0.574414130391635,0.5831390334031384,Cd40
ENSMUSG00000030798,0.5772301641434882,0.0,0.0,0.572839296055629,0.5815879045006901,Cd37
ENSMUSG00000040747,0.5766474677550425,0.0,0.0,0.5722521890846098,0.5810096187672288,Cd53
ENSMUSG00000020865,0.5760417533863702,0.0,0.0,0.5716418946801264,0.5804084846168155,Abcc3
ENSMUSG00000038147,0.575624962797444,0.0,0.0,0.571221955407153,0.579994842900872,Cd84
ENSMUSG00000001946,0.5749228910723078,0.0,0.0,0.5705145850261644,0.5792980702665755,Esam
ENSMUSG00000030762,0.570846276874515,0.0,0.0,0.5664073331639417,0.5752520991451969,Aqp8
ENSMUSG00000052921,0.5707075267491463,0.0,0.0,0.566267544146605,0.5751143881824028,Arhgef15
ENSMUSG00000030159,0.5699094584735479,0.0,0.0,0.5654635052922831,0.5743222921521425,Clec1b
ENSMUSG00000042286,0.5691582191367329,0.0,0.0,0.5647066534386648,0.5735766670722268,Stab1
ENSMUSG00000001029,0.5683841657430468,0.0,0.0,0.563926824916303,0.5728083907736616,Icam2
ENSMUSG00000021675,0.568078259712643,0.0,0.0,0.5636186387456195,0.5725047657091741,F2rl2
ENSMUSG00000026814,0.5658516185450442,0.0,0.0,0.5613754382077695,0.5702946907477054,Eng
ENSMUSG00000037902,0.5653619727034902,0.0,0.0,0.5608821597278277,0.569808679242292,Sirpa
ENSMUSG00000110902,0.563806863149977,0.0,0.0,0.5593155340490024,0.568265091670025,RP23-353K11.3
ENSMUSG00000029373,0.5597893753743333,0.0,0.0,0.5552684438808286,0.564277224669588,Pf4
ENSMUSG00000032023,0.5595718577295201,0.0,0.0,0.5550493295924372,0.5640613047970895,Jhy
ENSMUSG00000035459,0.5593656259868064,0.0,0.0,0.5548415846276077,0.5638565873592901,Stab2
ENSMUSG00000110905,0.5592068887438436,0.0,0.0,0.554681683036908,0.5636990153058652,RP23-451B4.2
