,Erythroid3_2_corr,Erythroid3_2_pval,Erythroid3_2_qval,Erythroid3_2_ci_low,Erythroid3_2_ci_high,gene_annotation
ENSMUSG00000027765,0.5633420043176077,0.0,0.0,0.5588472390043112,0.5678036709372383,P2ry1
ENSMUSG00000064284,0.4989786574804971,0.0,0.0,0.4940357865271917,0.503889275021142,Cdpf1
ENSMUSG00000036751,0.4958685326967306,0.0,0.0,0.4909053993968208,0.500799481571866,Cox6b1
ENSMUSG00000022313,0.47899703908772695,0.0,0.0,0.4739262215671815,0.4840360891852086,Utp23
ENSMUSG00000002379,0.4678173513521951,0.0,0.0,0.4626772549490007,0.47292599559238263,Ndufa11
ENSMUSG00000023904,0.4554139087733419,0.0,0.0,0.45019888661306234,0.4605978638414035,Hcfc1r1
ENSMUSG00000031848,0.43762728753625013,0.0,0.0,0.4323083753939973,0.4429157476733745,Lsm4
ENSMUSG00000024587,0.42758486280584584,0.0,0.0,0.42220914303022233,0.43293050962281643,Nars
ENSMUSG00000053769,0.42466000017279815,0.0,0.0,0.41926798604852794,0.43002205594642295,Lysmd1
ENSMUSG00000028318,0.4222400792850865,0.0,0.0,0.4168346693884532,0.4276156270721292,Polr1e
ENSMUSG00000068523,0.41753791247188954,0.0,0.0,0.4121066946595854,0.42293945882578926,Gng5
ENSMUSG00000068264,0.40930835622145184,0.0,0.0,0.40383267421361063,0.41475471188221125,Ap5s1
ENSMUSG00000020163,0.4070780072760218,0.0,0.0,0.4015904289976997,0.4125363552157944,Uqcr11
ENSMUSG00000108546,0.4044899714008741,0.0,0.0,0.3989886714751725,0.40996215370400485,Gm44662
ENSMUSG00000024309,0.40274593036867956,0.0,0.0,0.3972354335751535,0.4082273862869599,Pfdn6
ENSMUSG00000034932,0.40262380792846764,0.0,0.0,0.39711266865242983,0.40810591172704425,Mrpl54
ENSMUSG00000039018,0.4006454021943303,0.0,0.0,0.3951238820617954,0.4061379747258414,Mtg1
ENSMUSG00000046806,0.39774125983446196,0.0,0.0,0.3922045951806619,0.4032491073485453,3110062M04Rik
ENSMUSG00000038121,0.39467830988466596,0.0,0.0,0.38912579339434133,0.40020214870731546,Fam210a
ENSMUSG00000020287,0.3930928275827026,0.0,0.0,0.38753215439040706,0.3986248960545516,Mpg
ENSMUSG00000022427,0.392860009481485,0.0,0.0,0.3872981413273861,0.3983932836699944,Tomm22
ENSMUSG00000039004,0.39190641808900606,0.0,0.0,0.3863396630122676,0.39744462336528047,Bmp6
ENSMUSG00000107047,0.39064295905957486,0.0,0.0,0.38506974758152634,0.3961876795370249,Gm43298
ENSMUSG00000005354,0.3898888648068946,0.0,0.0,0.3843118098894806,0.39543746397187224,Txn2
ENSMUSG00000027163,0.3895264866372273,0.0,0.0,0.3839475874387593,0.39507694706242025,Commd9
ENSMUSG00000025209,0.38685916832566414,0.0,0.0,0.3812667475422966,0.39242327612361055,Twnk
ENSMUSG00000005667,0.38540714628406125,0.0,0.0,0.37980740422135406,0.39097864443521785,Mthfd2
ENSMUSG00000045316,0.3806635601235224,0.0,0.0,0.37504009454919046,0.38625901035878757,Fahd1
ENSMUSG00000004069,0.3791919329986833,0.0,0.0,0.37356116800867223,0.3847947544623878,Dnaja3
ENSMUSG00000085162,0.37663797793898296,0.0,0.0,0.3709946130267606,0.3822535249589445,Gm12295
ENSMUSG00000020133,0.37220147047837665,0.0,0.0,0.3665364230336838,0.3778389212821859,2310011J03Rik
ENSMUSG00000033916,0.3716602054477818,0.0,0.0,0.36599253048413194,0.37730031102359746,Chmp2a
ENSMUSG00000074476,0.3704093106858447,0.0,0.0,0.3647355781876678,0.37605553699454836,Spc24
ENSMUSG00000043190,0.36970917073549187,0.0,0.0,0.3640320567929324,0.3753588139921217,Rfesd
ENSMUSG00000002416,0.3610517938262595,0.0,0.0,0.35533340288676535,0.36674316076621843,Ndufb2
ENSMUSG00000038695,0.36084272438145254,0.0,0.0,0.3551233488793357,0.3665350868453437,Josd2
ENSMUSG00000038583,0.3580087545973325,0.0,0.0,0.3522760901641545,0.3637145553761106,Pln
