,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000023018,0.6554284184555927,0.0,0.0,0.6516703483793669,0.659154310421733,Smarcd1
ENSMUSG00000004980,0.6501637572506253,0.0,0.0,0.646360534235631,0.65393467599981,Hnrnpa2b1
ENSMUSG00000026646,0.6483284076009285,0.0,0.0,0.6445095300950257,0.652114939052451,Suv39h2
ENSMUSG00000020167,0.6369305826988161,0.0,0.0,0.6330154902818568,0.6408130946724815,Tcf3
ENSMUSG00000075595,0.6320979339253048,0.0,0.0,0.6281425676759416,0.6360206332949224,Zfp652
ENSMUSG00000018666,0.6314973205134402,0.0,0.0,0.6275369706090321,0.6354249933293624,Cbx1
ENSMUSG00000025162,0.625348255027653,0.0,0.0,0.6213371582418151,0.629326576955852,Csnk1d
ENSMUSG00000068130,0.6180721798386997,0.0,0.0,0.6140016839233621,0.6221098009710587,Zfp442
ENSMUSG00000049728,0.6178760032868711,0.0,0.0,0.613803915594396,0.6219152137370261,Zfp668
ENSMUSG00000034194,0.6160407695317965,0.0,0.0,0.6119538155019476,0.6200948239064081,R3hcc1
ENSMUSG00000074500,0.6150796009292799,0.0,0.0,0.610984878786265,0.6191414121064583,Zfp558
ENSMUSG00000024597,0.6150505853557641,0.0,0.0,0.6109556289012047,0.6191126305076099,Slc12a2
ENSMUSG00000001761,0.6150143853601229,0.0,0.0,0.6109191365928143,0.6190767224048032,Smo
ENSMUSG00000057113,0.6082207456013816,0.0,0.0,0.6040709466762698,0.6123375613398397,Npm1
ENSMUSG00000053730,0.6075781841911709,0.0,0.0,0.6034232574830917,0.6117001217062545,Tmem39b
ENSMUSG00000028820,0.6036192314330638,0.0,0.0,0.5994328323386473,0.6077726071808727,Sfpq
ENSMUSG00000048537,0.6026743962624109,0.0,0.0,0.5984805167932751,0.6068352449572402,Phldb1
ENSMUSG00000024968,0.6026083423908969,0.0,0.0,0.5984139404084952,0.6067697130901138,Rcor2
ENSMUSG00000040250,0.6019383255580655,0.0,0.0,0.5977386267409773,0.6061049880068796,Asun
ENSMUSG00000053110,0.6003931442140144,0.0,0.0,0.5961812526485987,0.6045719882157454,Yap1
ENSMUSG00000057963,0.6003246239532598,0.0,0.0,0.5961121924407404,0.6045040074227953,Itpk1
ENSMUSG00000028347,0.5979198528499564,0.0,0.0,0.5936885109589175,0.6021181307973641,Tmeff1
ENSMUSG00000032481,0.5973499354592742,0.0,0.0,0.5931141231664813,0.6015526803020717,Smarcc1
ENSMUSG00000037935,0.5970121387037981,0.0,0.0,0.5927736787863835,0.6012175291402528,Smarce1
ENSMUSG00000040945,0.5960187698623082,0.0,0.0,0.5917725327742396,0.6002319317006648,Rcc2
ENSMUSG00000022864,0.5957928059043512,0.0,0.0,0.5915448015536378,0.600007733735541,D16Ertd472e
ENSMUSG00000019831,0.5953632655922385,0.0,0.0,0.5911119036783528,0.5995815486160948,Wasf1
ENSMUSG00000071172,0.5944988693058968,0.0,0.0,0.5902407581385246,0.5987238969847878,Srsf3
ENSMUSG00000034557,0.5943779524586204,0.0,0.0,0.5901188979566406,0.5986039228471564,Zfyve9
ENSMUSG00000028484,0.5932212496901921,0.0,0.0,0.588953180962458,0.5974562285526984,Psip1
ENSMUSG00000009079,0.5925855904025079,0.0,0.0,0.5883125755210222,0.5968255124324705,Ewsr1
ENSMUSG00000029394,0.5921377983323975,0.0,0.0,0.5878613023381618,0.5963811994456469,Cdk2ap1
ENSMUSG00000034612,0.5917596577614544,0.0,0.0,0.5874802241944596,0.596005994781424,Chst11
ENSMUSG00000058325,0.5916844554722777,0.0,0.0,0.5874044379250006,0.5959313761464078,Dock1
ENSMUSG00000037958,0.5914900655505771,0.0,0.0,0.5872085388241642,0.5957384945688591,Nsrp1
ENSMUSG00000039976,0.5910681811853149,0.0,0.0,0.586783380813567,0.5953198820764691,Tbc1d16
ENSMUSG00000039850,0.5901593251325847,0.0,0.0,0.5858674804465441,0.5944180667041856,Endov
ENSMUSG00000007880,0.5898430748774951,0.0,0.0,0.5855487815866568,0.5941042638485,Arid1a
