,Mesenchyme_1_corr,Mesenchyme_1_pval,Mesenchyme_1_qval,Mesenchyme_1_ci_low,Mesenchyme_1_ci_high,gene_annotation
ENSMUSG00000018217,0.7066283739632655,0.0,0.0,0.7033286424607628,0.7098976549363398,Pmp22
ENSMUSG00000032231,0.6907327937498005,0.0,0.0,0.6872870348525423,0.6941474666204922,Anxa2
ENSMUSG00000101791,0.6846649702250397,0.0,0.0,0.6811643545197796,0.6881342811970852,2210011K15Rik
ENSMUSG00000024529,0.6688657789373512,0.0,0.0,0.665224625875433,0.6724751185919081,Lox
ENSMUSG00000005124,0.6639413951896525,0.0,0.0,0.660257116990534,0.667593719155192,Wisp1
ENSMUSG00000012017,0.663487038777725,0.0,0.0,0.6597987978093327,0.6671433129388764,Scarf2
ENSMUSG00000048126,0.6481238488125272,0.0,0.0,0.6443032293087507,0.6519121176742928,Col6a3
ENSMUSG00000048096,0.6472897841425487,0.0,0.0,0.6434620676006562,0.6510851314818256,Lmod1
ENSMUSG00000025510,0.6468192122054179,0.0,0.0,0.6429874956560836,0.6506185491830339,Cd151
ENSMUSG00000019909,0.6434796486139488,0.0,0.0,0.6396196292751533,0.6473072169153427,Fam162b
ENSMUSG00000031825,0.6432582871482436,0.0,0.0,0.6393963970086707,0.647087721644524,Crispld2
ENSMUSG00000052911,0.6409880085120996,0.0,0.0,0.6371069690579421,0.6448365460235849,Lamb2
ENSMUSG00000001506,0.6386809870336143,0.0,0.0,0.6347805584981929,0.6425488683253667,Col1a1
ENSMUSG00000050069,0.6372884353557935,0.0,0.0,0.6333763375124744,0.641167959461105,Grem2
ENSMUSG00000000078,0.6345644630623215,0.0,0.0,0.6306296133551094,0.6384666890497904,Klf6
ENSMUSG00000069833,0.6299085196262675,0.0,0.0,0.6259350095779185,0.6338493261478808,Ahnak
ENSMUSG00000027750,0.6292122415236842,0.0,0.0,0.6252329747246319,0.6331587934685684,Postn
ENSMUSG00000045827,0.6289648227246597,0.0,0.0,0.6249835118449591,0.632913414762991,Serpinb9
ENSMUSG00000024909,0.6270721835307924,0.0,0.0,0.6230752632815771,0.6310363550956078,Efemp2
ENSMUSG00000029718,0.6260506008470694,0.0,0.0,0.6220452749598021,0.6300231624239351,Pcolce
ENSMUSG00000026728,0.6218538439040963,0.0,0.0,0.6178141323117654,0.625860730527103,Vim
ENSMUSG00000018593,0.6195396538673722,0.0,0.0,0.6154810812519379,0.6235653704865063,Sparc
ENSMUSG00000049382,0.6143751087940368,0.0,0.0,0.6102747007747276,0.6184425977437512,Krt8
ENSMUSG00000018819,0.6130261317893009,0.0,0.0,0.6089148547216159,0.6171044747094137,Lsp1
ENSMUSG00000042985,0.6105386361995175,0.0,0.0,0.6064073801133244,0.6146369318441696,Upk3b
ENSMUSG00000026043,0.6095665886099174,0.0,0.0,0.6054275475775627,0.6136726594563114,Col3a1
ENSMUSG00000072625,0.6049418004408569,0.0,0.0,0.6007658921926499,0.6090846962071411,Gdf2
ENSMUSG00000026042,0.6027216249405679,0.0,0.0,0.5985281191051982,0.6068821003663125,Col5a2
ENSMUSG00000025105,0.6024461638769528,0.0,0.0,0.5982504792415713,0.6066088159854877,Bnc1
ENSMUSG00000026468,0.6016613716692477,0.0,0.0,0.5974594851272688,0.6058302197817836,Lhx4
ENSMUSG00000059430,0.6007909146348647,0.0,0.0,0.5965821587747747,0.6049666257424339,Actg2
ENSMUSG00000069808,0.6007877642642425,0.0,0.0,0.5965789835608865,0.6049635001926204,Fam57a
ENSMUSG00000047298,0.5935245711616256,0.0,0.0,0.5892588645109209,0.5977571894157087,Kcnv2
ENSMUSG00000028641,0.5931693817879011,0.0,0.0,0.5889009092678061,0.5974047641944593,P3h1
ENSMUSG00000019539,0.5914607332169243,0.0,0.0,0.5871789788075146,0.595709389793211,Rcn3
ENSMUSG00000032334,0.590824455735222,0.0,0.0,0.5865377652330647,0.5950780457575827,Loxl1
ENSMUSG00000028287,0.5906653063905135,0.0,0.0,0.5863773820848861,0.5949201295736604,1700009N14Rik
ENSMUSG00000037440,0.5896247802919692,0.0,0.0,0.5853287976040231,0.5938876578458205,Vnn1
ENSMUSG00000043110,0.5895570191875866,0.0,0.0,0.5852605122203381,0.5938204207709358,Lrrn4
ENSMUSG00000026837,0.5894891920937828,0.0,0.0,0.5851921603976926,0.5937531181573257,Col5a1
ENSMUSG00000056481,0.588528266835844,0.0,0.0,0.5842238077210666,0.5927996169457992,Cd248
ENSMUSG00000035493,0.5868721577037236,0.0,0.0,0.5825549265470567,0.5911562747019615,Tgfbi
ENSMUSG00000019975,0.5866175868369378,0.0,0.0,0.5822983956378648,0.590903663159153,Ikbip
ENSMUSG00000018672,0.5863524938732325,0.0,0.0,0.5820312625321168,0.5906406096102331,Copz2
ENSMUSG00000049436,0.5845199060078091,0.0,0.0,0.5801845966728884,0.5888220952925669,Upk1b
ENSMUSG00000021613,0.5835105001343843,0.0,0.0,0.5791674555501628,0.5878204226526847,Hapln1
ENSMUSG00000001555,0.5822158426280502,0.0,0.0,0.5778628966564827,0.5865356643976515,Fkbp10
ENSMUSG00000050505,0.5815480198784275,0.0,0.0,0.5771899751739177,0.5858729394762272,Pcdh20
ENSMUSG00000068566,0.5811265307096048,0.0,0.0,0.5767652710409831,0.5854546647694491,Myadm
ENSMUSG00000040322,0.5800889160766489,0.0,0.0,0.5757197519115803,0.5844249536240502,Slc25a24
ENSMUSG00000094590,0.5788212395154788,0.0,0.0,0.574442437644052,0.583166913974311,Gm10251
ENSMUSG00000027832,0.5769050488191345,0.0,0.0,0.5725117192920606,0.5812652506434781,Ptx3
ENSMUSG00000020986,0.5760197048649583,0.0,0.0,0.5716196795333234,0.5803866027294955,Sec23a
ENSMUSG00000079010,0.5753843745457744,0.0,0.0,0.5709795506580225,0.5797560712792332,Gm11032
ENSMUSG00000023886,0.5750810354326498,0.0,0.0,0.5706739223584502,0.5794550215442156,Smoc2
ENSMUSG00000018906,0.5746235276464173,0.0,0.0,0.5702129642420811,0.5790009644288702,P4ha2
ENSMUSG00000009281,0.5731795709547913,0.0,0.0,0.5687581360557424,0.5775678807145461,Rarres2
ENSMUSG00000069920,0.5726863181507775,0.0,0.0,0.5682611759095402,0.5770783359006643,B3gnt9
ENSMUSG00000029661,0.571624822815727,0.0,0.0,0.5671917132078699,0.5760248095705838,Col1a2
ENSMUSG00000022639,0.5700641481376454,0.0,0.0,0.5656193515740988,0.5744758248608282,Dubr
ENSMUSG00000070436,0.5700090027549884,0.0,0.0,0.5655637938318948,0.574421091957295,Serpinh1
ENSMUSG00000034744,0.56967649909023,0.0,0.0,0.5652288046660663,0.5740910745335707,Nagk
ENSMUSG00000072623,0.5690196674963812,0.0,0.0,0.564567067495409,0.5734391500738302,Zfp9
ENSMUSG00000028031,0.5688363396111277,0.0,0.0,0.5643823714392177,0.5732571908168074,Dkk2
ENSMUSG00000039883,0.5683718788109448,0.0,0.0,0.5639144463768215,0.5727961954815716,Lrrc17
ENSMUSG00000049858,0.5673785978692094,0.0,0.0,0.5629137664803683,0.5718103162791099,Suox
ENSMUSG00000036098,0.5667231089403828,0.0,0.0,0.562253401980407,0.5711597049173701,Myrf
ENSMUSG00000049872,0.5654293492800284,0.0,0.0,0.560950035976394,0.5698755559090323,Fam26e
ENSMUSG00000015653,0.5650285858030929,0.0,0.0,0.5605463012801373,0.569477765085201,Steap2
ENSMUSG00000074678,0.5645581592239528,0.0,0.0,0.5600723897250702,0.5690108252247881,Defb25
ENSMUSG00000043795,0.5645242292344155,0.0,0.0,0.5600382084916558,0.5689771466073245,Prr33
ENSMUSG00000030352,0.5640992440557824,0.0,0.0,0.5596100776878332,0.5685553086880077,Tspan9
ENSMUSG00000071001,0.5640516639605815,0.0,0.0,0.5595621455667974,0.5685080808048696,Hrct1
ENSMUSG00000022892,0.5623730905462132,0.0,0.0,0.5578711722872102,0.5668419142472095,App
ENSMUSG00000021760,0.5620071270505685,0.0,0.0,0.5575025103290714,0.5664786508470787,Gpx8
ENSMUSG00000043903,0.5611771966656472,0.0,0.0,0.5566664669660258,0.5656548372876209,Gm22
ENSMUSG00000047161,0.5593407070457093,0.0,0.0,0.5548164828823817,0.5638318513539881,Chst9
ENSMUSG00000032515,0.5590007439192608,0.0,0.0,0.5544740266258551,0.5634943831718218,Csrnp1
ENSMUSG00000018830,0.5582130065774735,0.0,0.0,0.5536805182797294,0.5627124211662948,Myh11
ENSMUSG00000033855,0.5578874726489089,0.0,0.0,0.5533526018764438,0.5623892715548748,Ston1
ENSMUSG00000051748,0.5576275631529926,0.0,0.0,0.553090791198418,0.5621312647339967,Wfdc21
ENSMUSG00000036832,0.5562904106107562,0.0,0.0,0.5517438718358174,0.5608038870000472,Lpar3
ENSMUSG00000043895,0.5552351428299497,0.0,0.0,0.5506809129189892,0.559756317021942,S1pr2
ENSMUSG00000027712,0.5547321972232933,0.0,0.0,0.5501743068780232,0.5592570351393563,Anxa5
ENSMUSG00000025366,0.5533475563399537,0.0,0.0,0.548779605921945,0.5578824637598337,Esyt1
ENSMUSG00000030790,0.5521961763061122,0.0,0.0,0.5476198799300757,0.5567394379435535,Adm
ENSMUSG00000032014,0.5517478628362948,0.0,0.0,0.5471683215459542,0.5562943727063546,Oaf
ENSMUSG00000095115,0.5510293742875136,0.0,0.0,0.5464446381021142,0.5555810844901321,Itpripl2
ENSMUSG00000002266,0.548902736386006,0.0,0.0,0.5443026640720439,0.5534697996716388,Zim1
ENSMUSG00000034591,0.5486843452981182,0.0,0.0,0.5440827014652624,0.5532529819164177,Slc41a2
ENSMUSG00000057530,0.5485806171087567,0.0,0.0,0.5439782270805154,0.5531500007886552,Ece1
ENSMUSG00000053475,0.5470435351391867,0.0,0.0,0.5424301044405465,0.5516239726822707,Tnfaip6
ENSMUSG00000036446,0.5459106168692744,0.0,0.0,0.5412890686159386,0.550499182118264,Lum
ENSMUSG00000019932,0.5454372296024468,0.0,0.0,0.5408122944897767,0.5500291860596559,Kera
ENSMUSG00000024653,0.5447661600874643,0.0,0.0,0.540136428885972,0.5493629189065838,Scgb1a1
ENSMUSG00000023224,0.5446584029520822,0.0,0.0,0.5400279021740345,0.5492559323668686,Serping1
ENSMUSG00000022350,0.5440903725891375,0.0,0.0,0.5394558176147649,0.5486919616263554,E430025E21Rik
ENSMUSG00000025278,0.5434023040446596,0.0,0.0,0.5387628438574658,0.5480088049888788,Flnb
ENSMUSG00000038604,0.5433642287003444,0.0,0.0,0.5387244972588795,0.5479710012731485,Fam65a
ENSMUSG00000101211,0.5427846686251792,0.0,0.0,0.5381408106871203,0.5473955734423591,Gm28818
ENSMUSG00000051855,0.5420579546088679,0.0,0.0,0.5374089287248717,0.5466740347121936,Mest
ENSMUSG00000034659,0.5413440709296446,0.0,0.0,0.5366899751598453,0.5459652282733272,Tmem109
ENSMUSG00000030782,0.5413081943094659,0.0,0.0,0.5366538439280869,0.5459296066380964,Tgfb1i1
ENSMUSG00000097697,0.5412884730504182,0.0,0.0,0.5366339827171686,0.5459100255363121,4833412C05Rik
ENSMUSG00000063160,0.5412773172444691,0.0,0.0,0.5366227477463513,0.5458989490114646,Numbl
ENSMUSG00000024395,0.5385096398619389,0.0,0.0,0.5338354811045999,0.5431508907979136,Lims2
ENSMUSG00000028369,0.5383057601098962,0.0,0.0,0.5336301623349113,0.542948452351178,Svep1
ENSMUSG00000022665,0.5377478249499218,0.0,0.0,0.5330682919924637,0.5423944586931306,Ccdc80
ENSMUSG00000004665,0.5370079600329121,0.0,0.0,0.5323232150866923,0.54165981427827,Cnn2
ENSMUSG00000006931,0.5363430911470428,0.0,0.0,0.531653668714398,0.5409996306587636,P3h4
ENSMUSG00000037307,0.5363261405077151,0.0,0.0,0.5316365989005297,0.5409827993939247,Banf2
ENSMUSG00000002233,0.5348876033155059,0.0,0.0,0.5301879616924088,0.5395543794761877,Rhoc
ENSMUSG00000075592,0.53432332939295,0.0,0.0,0.5296197334764763,0.5389940667729374,Nynrin
ENSMUSG00000038587,0.5324872572650614,0.0,0.0,0.5277708238209717,0.5371708553162624,Akap12
ENSMUSG00000046258,0.5321643584493907,0.0,0.0,0.5274456719688275,0.5368502137031268,Adam29
ENSMUSG00000026421,0.531915461135755,0.0,0.0,0.527195038909903,0.5366030553656255,Csrp1
ENSMUSG00000025854,0.5304105559727611,0.0,0.0,0.5256796564242121,0.5351086474221555,Fam20c
ENSMUSG00000033491,0.5300312447484486,0.0,0.0,0.5252977091291371,0.5347319773815491,Prss35
ENSMUSG00000046491,0.5282345055587735,0.0,0.0,0.5234885091921905,0.5329477236929707,C1qtnf2
ENSMUSG00000051022,0.528138110528723,0.0,0.0,0.5233914468528582,0.5328519973251609,Hs3st1
