,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000023980,0.7410818636166794,0.0,0.0,0.7381101851140812,0.7440247883034146,Taf8
ENSMUSG00000051969,0.7368809485793656,0.0,0.0,0.7338684248379413,0.7398644877284288,Tlr11
ENSMUSG00000075161,0.7330465400135004,0.0,0.0,0.7299969396226855,0.7360669510327593,Olfr1109
ENSMUSG00000053961,0.7322697126509756,0.0,0.0,0.7292126246017877,0.7352975705205839,Ang5
ENSMUSG00000025162,0.7322585025087536,0.0,0.0,0.7292013064664027,0.7352864677843085,Csnk1d
ENSMUSG00000022466,0.7277695735608486,0.0,0.0,0.7246692677538731,0.7308404172709849,Rpap3
ENSMUSG00000040495,0.7277545773118246,0.0,0.0,0.7246541279367271,0.7308255638299926,Chrm4
ENSMUSG00000075068,0.7261301728528697,0.0,0.0,0.723014189796999,0.7292166112183396,Olfr140
ENSMUSG00000025133,0.7252797412940124,0.0,0.0,0.7221556398277749,0.7283742556219691,Ints4
ENSMUSG00000063376,0.7238601845740105,0.0,0.0,0.7207225531433956,0.7269681586148373,Ifna13
ENSMUSG00000071909,0.7213607376829212,0.0,0.0,0.7181993489042281,0.7244923472082605,Nutm2
ENSMUSG00000095113,0.7203797520967706,0.0,0.0,0.7172090617264675,0.7235206160209705,Gm3633
ENSMUSG00000076432,0.7197443133498327,0.0,0.0,0.7165676046571766,0.722891165218113,Ywhaq
ENSMUSG00000106845,0.7195336906532678,0.0,0.0,0.7163549883115372,0.7226825261345563,Gm43156
ENSMUSG00000095056,0.7191673169146972,0.0,0.0,0.7159851480689697,0.7223196014817294,Gm3159
ENSMUSG00000093866,0.7188441730559813,0.0,0.0,0.7156589482151872,0.7219994982964516,Olfr802
ENSMUSG00000057349,0.7172858111226496,0.0,0.0,0.7140858682473127,0.7204557810529933,Olfr948
ENSMUSG00000046493,0.7163815522410569,0.0,0.0,0.7131730838589401,0.719560005531584,Olfr1352
ENSMUSG00000094449,0.7146000449111376,0.0,0.0,0.7113748120072821,0.7177951805738367,Olfr972
ENSMUSG00000024903,0.7138655968594342,0.0,0.0,0.7106334648711686,0.7170675980805089,Lao1
ENSMUSG00000096736,0.7136299633089036,0.0,0.0,0.7103956194026326,0.7168341657339435,Gm17535
ENSMUSG00000079346,0.7127755753232504,0.0,0.0,0.7095332173788209,0.7159877531097721,1700013D24Rik
ENSMUSG00000015971,0.712223308676639,0.0,0.0,0.7089757757174433,0.7154406366207597,Actr8
ENSMUSG00000111149,0.7110187633721278,0.0,0.0,0.7077599572985661,0.714247310603852,RP23-255F14.8
ENSMUSG00000069539,0.7108296063531434,0.0,0.0,0.7075690317481619,0.7140599137119692,Scyl2
ENSMUSG00000020898,0.7102790201356562,0.0,0.0,0.7070133005113667,0.7135144481257777,Ctc1
ENSMUSG00000022031,0.7100690543873155,0.0,0.0,0.7068013737750719,0.7133064340943278,Elp3
ENSMUSG00000063020,0.7091079816615183,0.0,0.0,0.7058313325384964,0.712354287649301,Olfr194
ENSMUSG00000091017,0.7090130907115795,0.0,0.0,0.7057355567544794,0.7122602773822394,Fam71a
ENSMUSG00000109657,0.7087730405261397,0.0,0.0,0.7054932686966968,0.7120224545823691,1700008N11Rik
ENSMUSG00000106507,0.7085365854568207,0.0,0.0,0.7052546100200752,0.7117881928112554,Gm43056
