,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000032959,0.7629660403556469,0.0,0.0,0.7579308348138358,0.7679103378185407,Pebp1
ENSMUSG00000044627,0.733279675244699,0.0,0.0,0.7277112534897221,0.7387514397557889,Swi5
ENSMUSG00000019505,0.7219732719026469,0.0,0.0,0.7162074505775822,0.7276405394989787,Ubb
ENSMUSG00000033307,0.7216699899524255,0.0,0.0,0.7158989167439926,0.7273424607465497,Mif
ENSMUSG00000044018,0.7091363380344005,0.0,0.0,0.7031501926017442,0.7150219677989408,Mrpl50
ENSMUSG00000030591,0.7016378393411743,0.0,0.0,0.6955248624475825,0.7076492472588995,Psmd8
ENSMUSG00000057130,0.6948801151389106,0.0,0.0,0.6886540159214928,0.701003753970034,Txnl4a
ENSMUSG00000055762,0.6927066677031446,0.0,0.0,0.6864444232210587,0.698866176663252,Eef1d
ENSMUSG00000097219,0.6911569604682551,0.0,0.0,0.6848690143775964,0.697341978280067,Gm26551
ENSMUSG00000024608,0.687070173311527,0.0,0.0,0.6807147305133496,0.693322193106905,Rps14
ENSMUSG00000020267,0.6866653099586741,0.0,0.0,0.6803032027568368,0.6929239462178507,Hint1
ENSMUSG00000008301,0.6836722694602217,0.0,0.0,0.6772610186437511,0.6899797008942035,Phax
ENSMUSG00000028691,0.6817953473513967,0.0,0.0,0.6753533906336211,0.6881332715299856,Prdx1
ENSMUSG00000063888,0.6802952827244563,0.0,0.0,0.6738288473595471,0.6866575181469615,Rpl7l1
ENSMUSG00000029610,0.6800886323474737,0.0,0.0,0.6736188290948381,0.686454212801441,Aimp2
ENSMUSG00000003038,0.6783388185956928,0.0,0.0,0.6718405396060814,0.6847326832410723,Hmgn2
ENSMUSG00000041453,0.6758776108766595,0.0,0.0,0.669339406003075,0.6823111379984328,Rpl21
ENSMUSG00000022205,0.6746264195282897,0.0,0.0,0.6680679745566415,0.6810800555279771,Sub1
ENSMUSG00000009013,0.6716906648793902,0.0,0.0,0.6650848795395297,0.6781913404438673,Dynll1
ENSMUSG00000014226,0.6705683762070054,0.0,0.0,0.6639445491550504,0.6770869811106159,Cacybp
ENSMUSG00000079523,0.6691297612831233,0.0,0.0,0.6624828523690532,0.6756713061155121,Tmsb10
ENSMUSG00000055839,0.6686786735309693,0.0,0.0,0.6620245375619596,0.675227401402241,Tceb2
ENSMUSG00000028955,0.66627198251975,0.0,0.0,0.659579372106507,0.6728589539262161,Vamp3
ENSMUSG00000030652,0.6628430693651389,0.0,0.0,0.6560958874685828,0.6694842946671875,Coq7
ENSMUSG00000027613,0.6623030035026641,0.0,0.0,0.6555472526129715,0.6689527489937591,Eif6
ENSMUSG00000018565,0.6617184228028458,0.0,0.0,0.6549534046598813,0.6683773830929006,Elp5
ENSMUSG00000012405,0.6604965948133029,0.0,0.0,0.6537122342323574,0.6671747891558187,Rpl15
ENSMUSG00000027566,0.6566000588013153,0.0,0.0,0.64975425698443,0.6633393599796381,Psma7
ENSMUSG00000043866,0.6490140330370754,0.0,0.0,0.6420496781573094,0.6558712850775671,Taf10
ENSMUSG00000036781,0.642064760669004,0.0,0.0,0.6349930381169415,0.6490288848218945,Rps27l
ENSMUSG00000055302,0.6402870420673045,0.0,0.0,0.6331880429439015,0.6472783245637949,Mrfap1
ENSMUSG00000003923,0.639503128508804,0.0,0.0,0.6323921258743351,0.6465063634823005,Tfam
ENSMUSG00000025465,0.6371525997069345,0.0,0.0,0.6300056950933006,0.644191587663149,Echs1
ENSMUSG00000025362,0.6326398311554399,0.0,0.0,0.6254243768141485,0.6397470996425452,Rps26
ENSMUSG00000020460,0.6322454169300498,0.0,0.0,0.6250239950071187,0.6393586305207206,Rps27a
ENSMUSG00000036309,0.6313075282806151,0.0,0.0,0.6240719311377694,0.6384348643155175,Skp1a
ENSMUSG00000030224,0.6312295069633791,0.0,0.0,0.6239927315767276,0.6383580168945914,Strap
ENSMUSG00000034566,0.6296794401612548,0.0,0.0,0.6224192871617078,0.6368312426942224,Atp5h
ENSMUSG00000018287,0.6257762167024092,0.0,0.0,0.6184574564453758,0.6329864238763614,Spag7
ENSMUSG00000076437,0.6251161249557873,0.0,0.0,0.6177874901397005,0.6323361740385055,Selenoh
ENSMUSG00000047675,0.6241161229850952,0.0,0.0,0.6167725490342896,0.6313510626266655,Rps8
ENSMUSG00000040952,0.6236846187232334,0.0,0.0,0.6163346060262455,0.6309259764801881,Rps19
ENSMUSG00000004945,0.6179819429775119,0.0,0.0,0.6105472641167685,0.6253077128545471,Tmem242
