,Blood_2_corr,Blood_2_pval,Blood_2_qval,Blood_2_ci_low,Blood_2_ci_high,gene_annotation
ENSMUSG00000000869,0.6302857079147419,0.0,0.0,0.6230346914646249,0.6374284068396086,Il4
ENSMUSG00000028927,0.6245879729839917,0.0,0.0,0.6172514450074151,0.6318158894386681,Padi2
ENSMUSG00000034796,0.6222256618752228,0.0,0.0,0.6148539128385679,0.6294886876877195,Cpne7
ENSMUSG00000035239,0.6193000165144971,0.0,0.0,0.6118848362058666,0.6266063434907346,Neu3
ENSMUSG00000032026,0.6059548269689926,0.0,0.0,0.5983441872024736,0.6134561342974001,Rexo2
ENSMUSG00000041237,0.6025255865629751,0.0,0.0,0.5948654225627695,0.6100763249890967,Pklr
ENSMUSG00000074030,0.5940362810328518,0.0,0.0,0.5862547508490569,0.6017082070773492,Exoc8
ENSMUSG00000030000,0.5840487297267688,0.0,0.0,0.5761266643976976,0.5918610745227816,Add2
ENSMUSG00000026348,0.5770955346203365,0.0,0.0,0.5690770667393088,0.5850042598825601,Acmsd
ENSMUSG00000051839,0.5743220784979786,0.0,0.0,0.5662654868502659,0.5822689320653881,Gypa
ENSMUSG00000073400,0.573498299594636,0.0,0.0,0.5654304204444353,0.5814564434699092,Trim10
ENSMUSG00000027327,0.5717891041992077,0.0,0.0,0.5636978582384718,0.5797706228282574,1700037H04Rik
ENSMUSG00000028124,0.5680005107778394,0.0,0.0,0.5598577238780527,0.5760335981272804,Gclm
ENSMUSG00000021301,0.5666670950163485,0.0,0.0,0.5585062512236073,0.5747182523594011,Hecw1
ENSMUSG00000039183,0.5662323318613588,0.0,0.0,0.5580656099447949,0.5742893719725263,Nubp2
ENSMUSG00000022742,0.5594323478345582,0.0,0.0,0.5511742874890335,0.5675808227515723,Cpox
ENSMUSG00000054191,0.5545202260245304,0.0,0.0,0.5461968860694967,0.5627340777305324,Klf1
ENSMUSG00000027562,0.5500644092970584,0.0,0.0,0.5416823621365373,0.558337076163959,Car2
ENSMUSG00000058794,0.5456495541943954,0.0,0.0,0.5372098163675837,0.5539800371163573,Nfe2
ENSMUSG00000032028,0.5455452803911089,0.0,0.0,0.5371041857141967,0.5538771233452127,Nxpe2
ENSMUSG00000025507,0.538934261630972,0.0,0.0,0.5304076823124155,0.5473518116028915,Pidd1
ENSMUSG00000047181,0.5370704173460252,0.0,0.0,0.5285199296122375,0.5455119457302859,Samd14
ENSMUSG00000028332,0.5321091001282525,0.0,0.0,0.5234953833229836,0.5406140594323992,Hemgn
ENSMUSG00000024014,0.5286430765677487,0.0,0.0,0.5199855427646208,0.537192007189174,Pim1
ENSMUSG00000028393,0.5283209075074689,0.0,0.0,0.5196593157363321,0.5368739109939101,Alad
ENSMUSG00000000253,0.525473240823211,0.0,0.0,0.5167758903125317,0.534062138796942,Gmpr
ENSMUSG00000024155,0.519085328182562,0.0,0.0,0.510308481011922,0.5277540537826252,Meiob
ENSMUSG00000032126,0.5155348307431181,0.0,0.0,0.506714227326964,0.5242475122396133,Hmbs
ENSMUSG00000026815,0.5137194073149222,0.0,0.0,0.5048765491321402,0.5224544499627963,Gfi1b
ENSMUSG00000105283,0.5127652675799855,0.0,0.0,0.5039107450002005,0.5215120316996936,Gm33370
ENSMUSG00000024158,0.5124261962052288,0.0,0.0,0.5035675337961325,0.5211771206292412,Hagh
ENSMUSG00000028333,0.511849876510603,0.0,0.0,0.5029841840475795,0.5206078660210752,Anp32b
ENSMUSG00000096982,0.5057064313264442,0.0,0.0,0.49676630192410903,0.5145392492229639,Redrum
ENSMUSG00000001999,0.5044292193297495,0.0,0.0,0.4954737298372805,0.5132774828101004,Blvra
ENSMUSG00000040466,0.5021621387878926,0.0,0.0,0.4931794824598027,0.5110377243215596,Blvrb
ENSMUSG00000022437,0.49887463926883635,0.0,0.0,0.48985281019939675,0.5077896304630732,Samm50
ENSMUSG00000029591,0.49749076127754605,0.0,0.0,0.48845252095332625,0.5064222645361415,Ung
ENSMUSG00000027495,0.4922715851494082,0.0,0.0,0.4831718700057255,0.5012649580482612,Fam210b
ENSMUSG00000023926,0.49186219609548615,0.0,0.0,0.4827576869042308,0.5008603949847648,Rhag
ENSMUSG00000053604,0.49179610331089324,0.0,0.0,0.482690820538551,0.5007950809514158,Rpia
ENSMUSG00000029716,0.4890813860004896,0.0,0.0,0.47994442062152615,0.4981122617780918,Tfr2
ENSMUSG00000025364,0.48486707325033895,0.0,0.0,0.47568127873202526,0.49394712495820914,Pa2g4
ENSMUSG00000027333,0.48127194322501937,0.0,0.0,0.4720448347870931,0.4903936163397354,Smox
ENSMUSG00000028494,0.4742278323085221,0.0,0.0,0.46492068575866907,0.4834301767849704,Plin2
ENSMUSG00000026198,0.4737107375528209,0.0,0.0,0.4643977630387084,0.48291895807231183,Abcb6
ENSMUSG00000029613,0.4690141286340869,0.0,0.0,0.4596485178756601,0.47827543197418415,Eif2ak1
ENSMUSG00000018659,0.46832746630182065,0.0,0.0,0.45895420480157256,0.4775964871619563,Pnpo
ENSMUSG00000031897,0.4673056546759101,0.0,0.0,0.45792102941859547,0.47658613936384275,Psmb10
ENSMUSG00000004897,0.4659583302407863,0.0,0.0,0.45655875988837413,0.47525389324899886,Hdgf
ENSMUSG00000034041,0.4644433768176814,0.0,0.0,0.4550270545969261,0.47375584322268377,Lyl1
ENSMUSG00000021276,0.46099376094267536,0.0,0.0,0.4515395018580292,0.4703445160420129,Cinp
ENSMUSG00000024663,0.458384901189948,0.0,0.0,0.44890214322554334,0.4677644274854361,Rab3il1
ENSMUSG00000021361,0.4578019888636118,0.0,0.0,0.4483128858128323,0.46718792182116026,Tmem14c
ENSMUSG00000042770,0.457625529455076,0.0,0.0,0.44813450724387155,0.4670134002657434,Hebp1
ENSMUSG00000063856,0.45733528803321505,0.0,0.0,0.44784111082006195,0.46672634464469165,Gpx1
ENSMUSG00000034825,0.4565757062707422,0.0,0.0,0.4470732818776742,0.465975090976677,Nrip3
ENSMUSG00000078620,0.4557219613470446,0.0,0.0,0.4462102841096318,0.4651306903804372,Gm10964
ENSMUSG00000039956,0.4525368098175713,0.0,0.0,0.442990768173389,0.46198024956857525,Mrap
ENSMUSG00000033685,0.44824286103275657,0.0,0.0,0.4386508818951996,0.45773271756355316,Ucp2
ENSMUSG00000010342,0.44694557626198284,0.0,0.0,0.4373398065201673,0.45644937098567184,Tex14
ENSMUSG00000059895,0.4450561573581398,0.0,0.0,0.4354303754536408,0.45458018149926377,Ptp4a3
ENSMUSG00000028644,0.44397909771516175,0.0,0.0,0.43434194667277254,0.4535146160567664,Ermap
ENSMUSG00000091694,0.442028402109068,0.0,0.0,0.43237073171413903,0.45158466854916046,Apol11b
ENSMUSG00000052217,0.4396655453837403,0.0,0.0,0.42998314373720126,0.4492468240050315,Hbb-bh1
ENSMUSG00000027556,0.4367119455592169,0.0,0.0,0.4269988199839584,0.44632430517676736,Car1
ENSMUSG00000023216,0.43495712256801583,0.0,0.0,0.42522584317394657,0.4445878512379215,Epb42
ENSMUSG00000055401,0.43429642473013497,0.0,0.0,0.4245583297032231,0.4439340506633644,Fbxo6
ENSMUSG00000034165,0.4336592485610876,0.0,0.0,0.42391459057386705,0.4433035164861385,Ccnd3
ENSMUSG00000027078,0.4329368258778479,0.0,0.0,0.42318473879454716,0.4425886128682315,Ube2l6
ENSMUSG00000032596,0.4322560201836212,0.0,0.0,0.4224969435593909,0.4419148818550288,Uba7
ENSMUSG00000001542,0.43044555475853846,0.0,0.0,0.4206679455456398,0.44012317709753546,Ell2
ENSMUSG00000018654,0.4302565571400495,0.0,0.0,0.4204770178597585,0.43993613349528765,Ikzf1
ENSMUSG00000090946,0.4293737313493263,0.0,0.0,0.41958518801309197,0.4390624239758645,Ccdc71l
ENSMUSG00000026532,0.42580387642961354,0.0,0.0,0.41597911637487556,0.435529245361485,Spta1
ENSMUSG00000049409,0.4250838091739421,0.0,0.0,0.41525178137381596,0.43481653968087425,Prokr1
ENSMUSG00000049687,0.42449252347372723,0.0,0.0,0.414654537138336,0.43423128984641063,Fam109b
ENSMUSG00000037336,0.4234161005774952,0.0,0.0,0.4135672886162582,0.43316583400600533,Mfsd2b
ENSMUSG00000074006,0.4231110650885116,0.0,0.0,0.41325919048146575,0.43286390139379094,Omp
ENSMUSG00000018932,0.42300520217159693,0.0,0.0,0.4131522651970395,0.4327591148223324,Map2k3
ENSMUSG00000000244,0.4221735299274618,0.0,0.0,0.41231225631217844,0.4319358893133241,Tspan32
ENSMUSG00000042178,0.4213489520504311,0.0,0.0,0.4114794294606669,0.43111967005916424,Armc5
ENSMUSG00000047220,0.4209519041718521,0.0,0.0,0.4110784154432069,0.4307266412918314,Ccdc36
ENSMUSG00000020029,0.42015111351436646,0.0,0.0,0.4102696372574937,0.42993394534574153,Nudt4
ENSMUSG00000048752,0.4184122338072548,0.0,0.0,0.40851346652451226,0.42821259099350767,Prss50
ENSMUSG00000107121,0.41113218783349775,0.0,0.0,0.4011618250536371,0.4210051449580722,1110006O24Rik
ENSMUSG00000078350,0.41001062973101415,0.0,0.0,0.4000293511761829,0.4198946607038631,Smim1
ENSMUSG00000042476,0.40964556174131644,0.0,0.0,0.39966073666873847,0.4195331908753204,Abcb4
ENSMUSG00000035547,0.4082652270788671,0.0,0.0,0.39826702168733086,0.4181664326407309,Capn5
ENSMUSG00000040767,0.4081368507126631,0.0,0.0,0.39813740324698244,0.41803931665524235,Snrnp25
ENSMUSG00000011257,0.406074781357798,0.0,0.0,0.39605543756051026,0.41599743925888316,Pabpc4
ENSMUSG00000021102,0.40566741811139206,0.0,0.0,0.3956441559654319,0.4155940531122948,Glrx5
ENSMUSG00000005161,0.4056156300603536,0.0,0.0,0.39559187006312807,0.4155427703898018,Prdx2
ENSMUSG00000029752,0.40429667314859724,0.0,0.0,0.3942602555937424,0.41423666209630083,Asns
ENSMUSG00000032590,0.40409025410433186,0.0,0.0,0.3940518594336024,0.41403225017820394,Apeh
ENSMUSG00000073063,0.4035839030947131,0.0,0.0,0.3935406628814184,0.41353081845184325,Hbq1b
ENSMUSG00000031543,0.40322545613213007,0.0,0.0,0.39317878950345964,0.41317585021284076,Ank1
ENSMUSG00000026520,0.4010131323445907,0.0,0.0,0.39094538686778846,0.4109849300764507,Pycr2
ENSMUSG00000025503,0.39936629918725824,0.0,0.0,0.38928293978338735,0.40935395480725906,Taldo1
ENSMUSG00000037904,0.3973912540958939,0.0,0.0,0.38728925555636673,0.4073978438764368,Ankrd9
ENSMUSG00000030054,0.3957862303470432,0.0,0.0,0.38566915426438425,0.40580813937674287,Gp9
ENSMUSG00000066839,0.3948590246866187,0.0,0.0,0.3847332668930873,0.4048897558534855,Ecsit
ENSMUSG00000057388,0.3932858863156039,0.0,0.0,0.38314544637147363,0.40333153921417675,Mrpl18
ENSMUSG00000071714,0.3932830709409041,0.0,0.0,0.3831426047745133,0.4033287504919994,Csf2rb2
ENSMUSG00000027634,0.39030790231829776,0.0,0.0,0.3801398328483753,0.40038164282806976,Ndrg3
ENSMUSG00000030515,0.3895452300522167,0.0,0.0,0.37937011910170326,0.39962613031401634,Tarsl2
ENSMUSG00000006235,0.3889929829189794,0.0,0.0,0.37881278205887164,0.39907905897209545,Epor
ENSMUSG00000028542,0.38883395553806077,0.0,0.0,0.37865229033573405,0.39892152070189746,Slc6a9
ENSMUSG00000020973,0.38643193266711184,0.0,0.0,0.37622822383338816,0.3965419176190484,Dnaaf2
ENSMUSG00000025889,0.38582373558534366,0.0,0.0,0.3756144674209904,0.3959393757175687,Snca
ENSMUSG00000010048,0.3846857540483361,0.0,0.0,0.3744661080195678,0.3948119520421545,Ifrd2
ENSMUSG00000038997,0.38401811022101395,0.0,0.0,0.37379239018132343,0.394150488225309,Asb17
ENSMUSG00000034663,0.38300684747368835,0.0,0.0,0.372771947837137,0.39314856618706745,Bmp2k
ENSMUSG00000024588,0.38122336680100605,0.0,0.0,0.37097233819282593,0.3913815002579778,Fech
ENSMUSG00000020490,0.38113897858449014,0.0,0.0,0.37088718871612564,0.3912978868748693,Btnl10
ENSMUSG00000017499,0.38104554316700356,0.0,0.0,0.3707929106253695,0.391205309164467,Cdc6
ENSMUSG00000090113,0.3805102230183736,0.0,0.0,0.37025276661669676,0.3906748991188603,Nhlrc4
ENSMUSG00000058620,0.3779199191671938,0.0,0.0,0.3676392190807734,0.38810825889449735,Adra2b
ENSMUSG00000070803,0.37657716796458174,0.0,0.0,0.3662844828184862,0.3867777121482578,Cited4
ENSMUSG00000036825,0.3764507177880791,0.0,0.0,0.3661569062275405,0.3866524091072224,Ssx2ip
ENSMUSG00000106438,0.3755641852117616,0.0,0.0,0.3652624873116478,0.3857739084329459,Gm42749
ENSMUSG00000048429,0.3745676894816258,0.0,0.0,0.3642571497458362,0.38478641875879016,1810026J23Rik
ENSMUSG00000024184,0.3728361604722763,0.0,0.0,0.3625103141560403,0.38307048319429365,Pdia2
ENSMUSG00000030612,0.3710065412619462,0.0,0.0,0.3606646000852104,0.38125726403701193,Mrpl46
ENSMUSG00000037124,0.3698326891234302,0.0,0.0,0.3594804644148388,0.38009389235598573,Trim58
ENSMUSG00000020287,0.36842472647607283,0.0,0.0,0.3580602112856156,0.3786984575400874,Mpg
ENSMUSG00000036718,0.36803565970416496,0.0,0.0,0.3576677567037282,0.3783128443862299,Micall2
ENSMUSG00000016255,0.36222921440745187,0.0,0.0,0.3518111867539716,0.3725575171320673,Tubb1
ENSMUSG00000029029,0.36041389050745165,0.0,0.0,0.3499803592513936,0.37075801170948386,Wrap73
ENSMUSG00000027074,0.35987435316486815,0.0,0.0,0.3494362294062279,0.37022316084638485,Slc43a3
ENSMUSG00000024661,0.3571696763728015,0.0,0.0,0.34670863671072893,0.36754187375503244,Fth1
ENSMUSG00000026614,0.35356934597841,0.0,0.0,0.34307807629688925,0.36397241100370037,Slc30a10
ENSMUSG00000044986,0.35313766572168553,0.0,0.0,0.3426427924999342,0.36354441126628423,Tst
ENSMUSG00000028251,0.35307260938889273,0.0,0.0,0.3425771934866524,0.3634799092248685,Tstd3
ENSMUSG00000025573,0.35229447464185065,0.0,0.0,0.34179257570451405,0.3627083965880234,6030468B19Rik
ENSMUSG00000027330,0.3517657460998105,0.0,0.0,0.3412594504106908,0.3621841595050312,Cdc25b
ENSMUSG00000031974,0.35066215852706234,0.0,0.0,0.34014670750473963,0.3610899254846827,Abcb10
ENSMUSG00000022551,0.3504537383839236,0.0,0.0,0.3399365616194035,0.36088326860088493,Cyc1
ENSMUSG00000023942,0.35003373171210855,0.0,0.0,0.33951308043596357,0.36046681212404885,Slc29a1
ENSMUSG00000057948,0.34996124505535225,0.0,0.0,0.3394399945637911,0.3603949377551759,Unc13d
ENSMUSG00000046404,0.34980165098601873,0.0,0.0,0.33927908164799764,0.36023669132507374,Yod1
ENSMUSG00000027329,0.34738448055351223,0.0,0.0,0.33684201160077026,0.3578398584544902,Spef1
ENSMUSG00000059336,0.3467411122719146,0.0,0.0,0.3361933705225394,0.35720188012212556,Slc14a1
ENSMUSG00000001763,0.34665297194823613,0.0,0.0,0.3361045086143332,0.3571144774518053,Tspan33
ENSMUSG00000001767,0.34590130739852415,0.0,0.0,0.33534669799017236,0.35636909619926455,Crnkl1
ENSMUSG00000002910,0.34510639208921906,0.0,0.0,0.33454529782119186,0.3555808112318281,Arrdc2
ENSMUSG00000032285,0.34454419676426723,0.0,0.0,0.3339785253704734,0.35502329614860245,Dnaja4
ENSMUSG00000023330,0.34450700831699443,0.0,0.0,0.33394103442203793,0.3549864170300428,Dtwd1
ENSMUSG00000049287,0.3440362738196678,0.0,0.0,0.33346647372932214,0.354519595222231,Iba57
ENSMUSG00000028717,0.3418843619969632,0.0,0.0,0.3312971390778495,0.3523855032847032,Tal1
ENSMUSG00000067158,0.33813565761486003,0.0,0.0,0.3275183508455721,0.34866758089629135,Col4a4
ENSMUSG00000006574,0.3377841809079285,0.0,0.0,0.32716407090605554,0.3483189732976931,Slc4a1
ENSMUSG00000026389,0.33701763439392807,0.0,0.0,0.32639142109035063,0.3475586740033515,Steap3
ENSMUSG00000027845,0.33599173218041045,0.0,0.0,0.3253573727846342,0.3465411110235165,Dclre1b
ENSMUSG00000002997,0.3352071608283528,0.0,0.0,0.3245665887710993,0.34576290044853353,Prkar2b
ENSMUSG00000034248,0.33451537907019735,0.0,0.0,0.3238693414496822,0.34507671514473964,Slc25a37
ENSMUSG00000110206,0.3337811591209661,0.0,0.0,0.3231293332954654,0.34434842262079224,Flt3l
ENSMUSG00000030979,0.33346011253369956,0.0,0.0,0.32280575983847754,0.34402996387576473,Uros
ENSMUSG00000032221,0.3322772230179787,0.0,0.0,0.3216135816162984,0.34285658822539533,Mns1
ENSMUSG00000051147,0.3318540099691865,0.0,0.0,0.3211870534751015,0.3424367710194447,Nat2
ENSMUSG00000020075,0.3292792511650149,0.0,0.0,0.31859221944289184,0.33988258090178086,Ddx21
