,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000068614,0.8127857456220713,0.0,0.0,0.8086939978167063,0.8167988415518668,Actc1
ENSMUSG00000061086,0.8037637027142773,0.0,0.0,0.7994965791961343,0.807949705084834,Myl4
ENSMUSG00000020469,0.7865731981741297,0.0,0.0,0.7819774522648859,0.7910834267924932,Myl7
ENSMUSG00000035458,0.7742376190418879,0.0,0.0,0.7694105330780696,0.7789762787051163,Tnni3
ENSMUSG00000026418,0.7736560612744652,0.0,0.0,0.7688181610667663,0.7784054030375817,Tnni1
ENSMUSG00000006221,0.772726144458004,0.0,0.0,0.7678709694165973,0.7774925506853065,Hspb7
ENSMUSG00000052374,0.7573228106616492,0.0,0.0,0.752184579266408,0.7623689539036074,Actn2
ENSMUSG00000040666,0.7526769663892905,0.0,0.0,0.747454504365907,0.7578063997326988,Sh3bgr
ENSMUSG00000050503,0.748533545686107,0.0,0.0,0.7432364088188027,0.7537368385128266,Fbxl22
ENSMUSG00000061816,0.7471540037708417,0.0,0.0,0.7418320975370962,0.7523817993763182,Myl1
ENSMUSG00000026208,0.740330471178243,0.0,0.0,0.7348867363140211,0.7456788124978774,Des
ENSMUSG00000013936,0.7334160970790083,0.0,0.0,0.727850076256996,0.7388854845141225,Myl2
ENSMUSG00000040694,0.7317775953747933,0.0,0.0,0.7261827681854799,0.7372755041844026,Apobec2
ENSMUSG00000015579,0.727811899369955,0.0,0.0,0.7221476239800008,0.733378580504054,Nkx2-5
ENSMUSG00000059741,0.7241716134585505,0.0,0.0,0.7184439278309167,0.7298011016545399,Myl3
ENSMUSG00000018845,0.7169461585102769,0.0,0.0,0.7110935744259277,0.7226993964977124,Unc45b
ENSMUSG00000024063,0.7149494095437321,0.0,0.0,0.7090625354523772,0.7207366314260653,Lbh
ENSMUSG00000091898,0.7111664340976789,0.0,0.0,0.7052148630880177,0.7170177863088912,Tnnc1
ENSMUSG00000044086,0.7057828734490251,0.0,0.0,0.6997398364832302,0.7117249152995881,Lmod3
ENSMUSG00000039376,0.7046290367348669,0.0,0.0,0.6985664886101378,0.7105904279225987,Synpo2l
ENSMUSG00000007122,0.7020813715254053,0.0,0.0,0.6959758583316256,0.7080853761607965,Casq1
ENSMUSG00000030470,0.7005352556757949,0.0,0.0,0.6944037455236062,0.7065650476821712,Csrp3
ENSMUSG00000019528,0.6971969938676353,0.0,0.0,0.6910095525717513,0.7032822742540533,Gyg
ENSMUSG00000038403,0.6964970356571532,0.0,0.0,0.6902979014632634,0.7025939177918664,Hfe2
ENSMUSG00000028834,0.6964772136265843,0.0,0.0,0.6902777484775983,0.7025744241436396,Trim63
ENSMUSG00000022358,0.6953345974796402,0.0,0.0,0.6891160710964028,0.7014507217186173,Fbxo32
ENSMUSG00000026414,0.6950894679913798,0.0,0.0,0.6888668564979389,0.7012096458966375,Tnnt2
ENSMUSG00000001349,0.6938105005900354,0.0,0.0,0.6875665988214354,0.6999518058696442,Cnn1
ENSMUSG00000031972,0.6931539671832254,0.0,0.0,0.6868991520129799,0.6993061029968453,Acta1
ENSMUSG00000020475,0.686962577866336,0.0,0.0,0.6806053635619732,0.6932163564087318,Pgam2
ENSMUSG00000001155,0.6861394608146846,0.0,0.0,0.6797687036662562,0.692406685042114,Ftcd
ENSMUSG00000031880,0.6789861867368882,0.0,0.0,0.6724984340150156,0.6853695955648982,Rrad
ENSMUSG00000031698,0.6778005076943866,0.0,0.0,0.6712934835258494,0.6842030593069321,Mylk3
ENSMUSG00000067279,0.6700091376542807,0.0,0.0,0.6633763318834666,0.6765366658206341,Ppp1r3c
ENSMUSG00000041616,0.6686082869100912,0.0,0.0,0.6619530236980876,0.6751581351771978,Nppa
