,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000008892,0.7889046963568115,0.0,0.0,0.7843530950010364,0.793371353154052,Vdac3
ENSMUSG00000029048,0.7490253333498608,0.0,0.0,0.7437370377061889,0.754219880576826,Rer1
ENSMUSG00000002763,0.748535782686276,0.0,0.0,0.7432386860217163,0.7537390357445151,Pex6
ENSMUSG00000037089,0.7485195981618005,0.0,0.0,0.7432222106362384,0.7537231389393194,Slc35b2
ENSMUSG00000025979,0.7469905484288464,0.0,0.0,0.741665710483948,0.7522212443200564,Mob4
ENSMUSG00000020610,0.7443004611779299,0.0,0.0,0.7389274683525532,0.7495787996613089,Amz2
ENSMUSG00000041203,0.7395835000829936,0.0,0.0,0.7341264979920762,0.744944971779708,2310036O22Rik
ENSMUSG00000051469,0.7373980324365965,0.0,0.0,0.7319022920243158,0.7427978461156947,Zfp24
ENSMUSG00000026457,0.7371875753702111,0.0,0.0,0.7316881107005717,0.7425910754582029,Adipor1
ENSMUSG00000004667,0.734160015877043,0.0,0.0,0.7286070955551227,0.7396164333170491,Polr2e
ENSMUSG00000042688,0.7335093792525496,0.0,0.0,0.7279450003969844,0.7389771410475299,Mapk6
ENSMUSG00000036199,0.7326870812670994,0.0,0.0,0.7271082355499064,0.7381691663805029,Ndufa13
ENSMUSG00000028651,0.7323584727397364,0.0,0.0,0.7267738503790089,0.7378462773707131,Ppie
ENSMUSG00000027596,0.7320739886648662,0.0,0.0,0.726484367466683,0.7375667427872877,a
ENSMUSG00000039148,0.731867063980863,0.0,0.0,0.7262738080333152,0.7373634170236076,Sart1
ENSMUSG00000016559,0.7318294711223203,0.0,0.0,0.7262355549475656,0.7373264778888177,H3f3b
ENSMUSG00000020792,0.7318110701305223,0.0,0.0,0.7262168307996907,0.7373083968704239,Exoc7
ENSMUSG00000005936,0.730974207567458,0.0,0.0,0.725365280125901,0.7364860781205385,Kctd20
ENSMUSG00000002844,0.7262002099911695,0.0,0.0,0.7205078204774631,0.7317947361701588,Adprh
ENSMUSG00000036309,0.7247870618046732,0.0,0.0,0.7190700738766079,0.7304059531221007,Skp1a
ENSMUSG00000002477,0.7247298633114745,0.0,0.0,0.7190118807701373,0.7303497398522878,Snrpd1
ENSMUSG00000046034,0.72314494213999,0.0,0.0,0.7173994316081891,0.7287920880979226,Otulin
ENSMUSG00000028688,0.7226766166171245,0.0,0.0,0.7169229836706515,0.7283318091794839,Toe1
ENSMUSG00000053929,0.7202375034893298,0.0,0.0,0.7144416546131056,0.7259345215296467,Cyhr1
ENSMUSG00000002524,0.7176729932074233,0.0,0.0,0.7118329152451668,0.7234138377136727,Puf60
ENSMUSG00000051853,0.7176405190733472,0.0,0.0,0.7117998820757909,0.7233819175683932,Arf3
ENSMUSG00000021891,0.7172100866336782,0.0,0.0,0.711362042274184,0.7229588257234493,Mettl6
ENSMUSG00000062014,0.7164670915790068,0.0,0.0,0.7106062716111791,0.7222284915610585,Gmfb
ENSMUSG00000005625,0.7160911665449581,0.0,0.0,0.7102238877956738,0.7218589675246827,Psmd4
ENSMUSG00000090000,0.7148450858822244,0.0,0.0,0.7089564229340557,0.7206340807621754,Ier3ip1
ENSMUSG00000028099,0.7146029451221124,0.0,0.0,0.708710131169844,0.7203960542474228,Polr3c
ENSMUSG00000041319,0.7128168111120639,0.0,0.0,0.7068934219481908,0.7186402265136694,Thoc6
ENSMUSG00000053841,0.711684591550202,0.0,0.0,0.7057418614144549,0.7175271794625622,Txlna
ENSMUSG00000040331,0.711380850906581,0.0,0.0,0.7054329375084525,0.7172285771538697,Nsmce4a
ENSMUSG00000020740,0.7086428486074855,0.0,0.0,0.7026483138425339,0.7145367962952205,Gga3
ENSMUSG00000007836,0.708031203072941,0.0,0.0,0.7020262785967151,0.7139354523750993,Hnrnpa0
ENSMUSG00000024962,0.7072265776272554,0.0,0.0,0.7012079993431503,0.7131443655351744,Vegfb
ENSMUSG00000031556,0.7069758193024073,0.0,0.0,0.7009529891040318,0.7128978233824566,Tm2d2
ENSMUSG00000042305,0.7067598631631136,0.0,0.0,0.7007333723983202,0.7126854970889656,Tmem183a
ENSMUSG00000025142,0.7064896803344475,0.0,0.0,0.7004586114416336,0.7124198540331488,Aspscr1
ENSMUSG00000030319,0.705574064360812,0.0,0.0,0.6995274940568981,0.7115196101456565,Cand2
ENSMUSG00000004937,0.7042683615768005,0.0,0.0,0.6981997211923604,0.7102357947701187,Sgta
ENSMUSG00000031819,0.702876230045632,0.0,0.0,0.6967841046754522,0.7088669557234535,Emc8
ENSMUSG00000070699,0.7028088643370585,0.0,0.0,0.696715603724398,0.7088007160013124,Sars2
ENSMUSG00000001289,0.7021993393806478,0.0,0.0,0.6960958121450069,0.7082013741671291,Pfdn5
ENSMUSG00000014601,0.6989796255855268,0.0,0.0,0.692822017571073,0.705035307468417,Strip1
ENSMUSG00000017299,0.6980165756387221,0.0,0.0,0.6918428408136702,0.7040882570243602,Dnttip1
ENSMUSG00000027122,0.6979294068722088,0.0,0.0,0.6917542134780174,0.7040025353586242,Arl14ep
ENSMUSG00000032388,0.6968083664747283,0.0,0.0,0.6906144316238486,0.702900089736324,Spg21
ENSMUSG00000028419,0.6958150363740031,0.0,0.0,0.689604520825246,0.7019232116140376,Chmp5
