,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000028307,0.6396134877705357,0.0,0.0,0.6325041740809645,0.6466150409430241,Aldob
ENSMUSG00000024990,0.6023057150479358,0.0,0.0,0.5946423855064826,0.6098596134579674,Rbp4
ENSMUSG00000021953,0.5992712108578376,0.0,0.0,0.5915643133227069,0.606868605642953,Tdh
ENSMUSG00000026295,0.5907892055522224,0.0,0.0,0.5829617187895618,0.5985070392963918,Spp2
ENSMUSG00000027463,0.5898615729564248,0.0,0.0,0.5820210044281381,0.5975924764617712,Slc52a3
ENSMUSG00000024650,0.5882893160599264,0.0,0.0,0.5804266229985662,0.5960423257341657,Slc22a6
ENSMUSG00000061808,0.5861638614851574,0.0,0.0,0.578271355214493,0.593946663496552,Ttr
ENSMUSG00000005681,0.583925537702416,0.0,0.0,0.5760017541211458,0.5917395999406968,Apoa2
ENSMUSG00000058135,0.5827576550726163,0.0,0.0,0.5748176005320655,0.5905879813445232,Gstm1
ENSMUSG00000072949,0.5822830847030378,0.0,0.0,0.57433642794271,0.5901200107691523,Acot1
ENSMUSG00000021591,0.5815647350942961,0.0,0.0,0.5736080951053475,0.5894116411442192,Glrx
ENSMUSG00000032083,0.5783058315793917,0.0,0.0,0.570304059133972,0.586197861803265,Apoa1
ENSMUSG00000076441,0.5675911398689317,0.0,0.0,0.5594428047279911,0.5756297792979597,Ass1
ENSMUSG00000020258,0.5627211481821653,0.0,0.0,0.5545071228374974,0.5708255359271149,Glyctk
ENSMUSG00000006179,0.5560367681501455,0.0,0.0,0.5477335195547243,0.5642304960420313,Prss16
ENSMUSG00000033860,0.5557944732600729,0.0,0.0,0.5474880109484208,0.5639914199066998,Fgg
ENSMUSG00000040564,0.5503418448379839,0.0,0.0,0.5419634388882164,0.5586108632254687,Apoc1
ENSMUSG00000026956,0.5491016540616239,0.0,0.0,0.5407069857305177,0.5573869678843009,Uap1l1
ENSMUSG00000059994,0.5474660482018587,0.0,0.0,0.5390499897585584,0.5557727979378602,Fcrl1
ENSMUSG00000001313,0.547232881877989,0.0,0.0,0.5388137794393322,0.5555426823428085,Rnd2
ENSMUSG00000028001,0.5450377516817427,0.0,0.0,0.5365900566297911,0.5533762106435899,Fga
ENSMUSG00000032080,0.5447226471376708,0.0,0.0,0.5362708573290584,0.5530652106827629,Apoa4
ENSMUSG00000025533,0.5444511351037525,0.0,0.0,0.5359958189584002,0.5527972335269389,Asl
ENSMUSG00000030587,0.5416594231658891,0.0,0.0,0.5331679530009684,0.550041767407809,2200002D01Rik
ENSMUSG00000054932,0.5400605839847886,0.0,0.0,0.5315484935288909,0.5484636043464985,Afp
ENSMUSG00000096145,0.5376770304160362,0.0,0.0,0.5291343147138664,0.5461107636363102,Vkorc1
ENSMUSG00000030538,0.5372539554341629,0.0,0.0,0.528705818277067,0.5456931262070678,Cib1
ENSMUSG00000027984,0.5355270791418832,0.0,0.0,0.5269568582744334,0.5439884010362505,Hadh
ENSMUSG00000020733,0.5346787843271088,0.0,0.0,0.5260977418463358,0.5431509619503568,Slc9a3r1
