,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000026532,0.5964967836620801,0.0,0.0,0.588750248783488,0.6041337585724541,Spta1
ENSMUSG00000031543,0.5953692660747373,0.0,0.0,0.5876066763774005,0.603022274797311,Ank1
ENSMUSG00000038997,0.5782960720160747,0.0,0.0,0.5702941647995972,0.5861882370020108,Asb17
ENSMUSG00000006574,0.575986344016587,0.0,0.0,0.5679526067680123,0.5839103395522933,Slc4a1
ENSMUSG00000001542,0.5682380362905758,0.0,0.0,0.5600984704677937,0.5762679004105151,Ell2
ENSMUSG00000029866,0.5670528594556165,0.0,0.0,0.5588972351663041,0.5750987933277828,Kel
ENSMUSG00000037336,0.5648603641179396,0.0,0.0,0.5566751229992871,0.5729359392868785,Mfsd2b
ENSMUSG00000028644,0.5627385606617361,0.0,0.0,0.5545247691606591,0.5708427143145306,Ermap
ENSMUSG00000078621,0.5534293049968232,0.0,0.0,0.5450915470106433,0.561657599429532,Hbb-bh2
ENSMUSG00000028825,0.5523330079565051,0.0,0.0,0.543980790087835,0.5605757882240011,Rhd
ENSMUSG00000023216,0.5493732259405869,0.0,0.0,0.5409821154760176,0.5576549745350733,Epb42
ENSMUSG00000074203,0.5439752271900833,0.0,0.0,0.5355137343908658,0.552327517404094,G430095P16Rik
ENSMUSG00000025573,0.5423600818636366,0.0,0.0,0.533877667732809,0.5507333463516466,6030468B19Rik
ENSMUSG00000084796,0.5414470431803364,0.0,0.0,0.5329528303583088,0.5498321373590538,Mir142hg
ENSMUSG00000022742,0.5411251684271555,0.0,0.0,0.5326268010350875,0.5495144282883577,Cpox
ENSMUSG00000034248,0.5393401977115391,0.0,0.0,0.5308188367420167,0.547752514513737,Slc25a37
ENSMUSG00000026389,0.5352869323551821,0.0,0.0,0.526713646181535,0.5437513291467911,Steap3
ENSMUSG00000028542,0.5351533588662895,0.0,0.0,0.5265783683277441,0.5436194653803459,Slc6a9
ENSMUSG00000018654,0.5320189919515601,0.0,0.0,0.5234041323095799,0.5405250979662098,Ikzf1
ENSMUSG00000024588,0.530943791458017,0.0,0.0,0.5223153103572804,0.5394635657245718,Fech
ENSMUSG00000049687,0.5301268302660652,0.0,0.0,0.521488018088045,0.5386569718664826,Fam109b
ENSMUSG00000035472,0.5291398894683401,0.0,0.0,0.5204886183576479,0.5376825346088339,Slc25a21
ENSMUSG00000034663,0.5290639892833654,0.0,0.0,0.5204117610062522,0.5376075950573205,Bmp2k
ENSMUSG00000078350,0.5276332314910264,0.0,0.0,0.5189629863586649,0.536194920450371,Smim1
ENSMUSG00000042476,0.5269450309843393,0.0,0.0,0.518266137410895,0.5355154009482539,Abcb4
ENSMUSG00000030979,0.5260681467226147,0.0,0.0,0.5173782502638518,0.5346495616817253,Uros
ENSMUSG00000027074,0.5260645212814756,0.0,0.0,0.5173745793705816,0.5346459818682558,Slc43a3
ENSMUSG00000001348,0.5257877923028915,0.0,0.0,0.5170943819865023,0.5343727347288895,Acp5
ENSMUSG00000000244,0.5239924215487862,0.0,0.0,0.5152765540621063,0.5325999099721895,Tspan32
ENSMUSG00000096982,0.5238810095773475,0.0,0.0,0.5151637510922846,0.5324898946066238,Redrum
ENSMUSG00000047181,0.5233891939972376,0.0,0.0,0.5146657987156918,0.5320042407095318,Samd14
ENSMUSG00000025889,0.5218944911689575,0.0,0.0,0.5131524813425858,0.5305282293884314,Snca
ENSMUSG00000021061,0.5212668280066381,0.0,0.0,0.5125170176705535,0.5299083996492117,Sptb
ENSMUSG00000023926,0.520957725162826,0.0,0.0,0.5122040768620255,0.5296031511079665,Rhag
ENSMUSG00000001763,0.5199670688941017,0.0,0.0,0.5112011358058437,0.5286248325620271,Tspan33
ENSMUSG00000023942,0.5178870812729115,0.0,0.0,0.5090954326567545,0.5265706744505251,Slc29a1
ENSMUSG00000071714,0.5171871628284822,0.0,0.0,0.5083868845691509,0.5258794248669055,Csf2rb2
ENSMUSG00000023328,0.5161777620159278,0.0,0.0,0.5073650593348251,0.5248825057976665,Ache
ENSMUSG00000028717,0.5152865418498526,0.0,0.0,0.5064628899980245,0.5240022861605377,Tal1
ENSMUSG00000104763,0.5146340045407927,0.0,0.0,0.5058023481298095,0.5233577914583493,9830132P13Rik
ENSMUSG00000040466,0.5138133372991958,0.0,0.0,0.5049716286113908,0.5225472248766104,Blvrb
ENSMUSG00000090523,0.512252160560411,0.0,0.0,0.5033913743811084,0.5210052193030005,Gypc
ENSMUSG00000028132,0.5104883136366336,0.0,0.0,0.5016060446614998,0.5192629635785675,Tmem56
ENSMUSG00000106438,0.5101180353087225,0.0,0.0,0.501231266132345,0.5188972085540189,Gm42749
ENSMUSG00000054342,0.5085859225157046,0.0,0.0,0.4996805681470147,0.5173837778144328,Kcnn4
ENSMUSG00000037124,0.5082434656392705,0.0,0.0,0.4993339649252737,0.5170454892131079,Trim58
ENSMUSG00000032028,0.5077654887091443,0.0,0.0,0.4988502055892014,0.5165733254674373,Nxpe2
ENSMUSG00000073938,0.5074737342641323,0.0,0.0,0.4985549243262164,0.5162851167249703,Olfr632
