,Neural Crest/Mid-HindBrain_3_corr,Neural Crest/Mid-HindBrain_3_pval,Neural Crest/Mid-HindBrain_3_qval,Neural Crest/Mid-HindBrain_3_ci_low,Neural Crest/Mid-HindBrain_3_ci_high,gene_annotation
ENSMUSG00000029715,0.5220266407683815,0.0,0.0,0.5132862745000395,0.5306587285449742,Pop7
ENSMUSG00000025362,0.4936890556554019,0.0,0.0,0.48460597090889884,0.5026656886490266,Rps26
ENSMUSG00000042462,0.48947611776046124,0.0,0.0,0.48034374804440355,0.49850236615220006,Dctpp1
ENSMUSG00000040952,0.46785616580646416,0.0,0.0,0.4584776597359444,0.4771304772896895,Rps19
ENSMUSG00000028234,0.461529898858617,0.0,0.0,0.45208151694666243,0.4708747214862652,Rps20
ENSMUSG00000004885,0.45564751782397217,0.0,0.0,0.4461350346099159,0.465057060837958,Crabp2
ENSMUSG00000016344,0.4516040240164923,0.0,0.0,0.4420479652106394,0.46105758383700723,Ppdpf
ENSMUSG00000039001,0.4435938283166746,0.0,0.0,0.4339526173129857,0.45313345156911183,Rps21
ENSMUSG00000024608,0.44359144922535004,0.0,0.0,0.4339502131620304,0.4531310978153376,Rps14
ENSMUSG00000042606,0.43647932834153075,0.0,0.0,0.42676379202415504,0.4460941271002419,Hirip3
ENSMUSG00000042380,0.4284915661557452,0.0,0.0,0.4186940443773166,0.4381893499276504,Smim12
ENSMUSG00000028044,0.40903887578485193,0.0,0.0,0.39904816409615157,0.418932477564765,Cks1b
ENSMUSG00000037716,0.40421347907266614,0.0,0.0,0.39417626454696947,0.41415427708286295,Ccdc33
ENSMUSG00000057863,0.4017691324664474,0.0,0.0,0.3917085767652775,0.4117336290517411,Rpl36
ENSMUSG00000073702,0.3998580499560654,0.0,0.0,0.3897793460524208,0.4098409770337592,Rpl31
ENSMUSG00000071415,0.38934427489998247,0.0,0.0,0.37916731094662465,0.3994270593923025,Rpl23
ENSMUSG00000045128,0.3877155054813487,0.0,0.0,0.3775235587599651,0.39781352683750776,Rpl18a
ENSMUSG00000070526,0.38690045282244817,0.0,0.0,0.3767010326845854,0.39700607540814753,Peg12
ENSMUSG00000067288,0.3865484450448013,0.0,0.0,0.37634580223470016,0.3966573456390809,Rps28
ENSMUSG00000007892,0.38472529267668587,0.0,0.0,0.37450600669620093,0.3948511243540009,Rplp1
ENSMUSG00000051515,0.3831148652363398,0.0,0.0,0.3728809449351201,0.3932555873732369,Fam181b
ENSMUSG00000047675,0.37812165597660746,0.0,0.0,0.3678427603125885,0.3883081584196513,Rps8
