,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000055762,0.41842021586807493,0.0,0.0,0.4085215277897016,0.42822049276935625,Eef1d
ENSMUSG00000028955,0.4089049983521639,0.0,0.0,0.3989129888645639,0.41879991694987345,Vamp3
ENSMUSG00000016257,0.40079113238183656,0.0,0.0,0.3907212782519139,0.41076507154546704,Slmo2
ENSMUSG00000032959,0.3903082242957033,0.0,0.0,0.3801401578014573,0.4003819617799501,Pebp1
ENSMUSG00000033307,0.3839284470064432,0.0,0.0,0.373701912061251,0.39406165417407824,Mif
ENSMUSG00000029610,0.37863502798870846,0.0,0.0,0.3683607285913697,0.38881685065824373,Aimp2
ENSMUSG00000009013,0.3754300702443046,0.0,0.0,0.36512718095219837,0.3856410069222204,Dynll1
ENSMUSG00000019505,0.3718107366368105,0.0,0.0,0.3614758598583048,0.3820542606062733,Ubb
ENSMUSG00000003038,0.37028715459024186,0.0,0.0,0.3599389072712889,0.38054430408839324,Hmgn2
ENSMUSG00000027746,0.3673636090119031,0.0,0.0,0.3569898627373258,0.3776467508654456,Ufm1
ENSMUSG00000030591,0.3668114550120637,0.0,0.0,0.35643291610474404,0.3770994832883162,Psmd8
ENSMUSG00000027613,0.3643125396771978,0.0,0.0,0.35391240269715907,0.37462259288451144,Eif6
ENSMUSG00000028691,0.3598574817274181,0.0,0.0,0.34941921447385393,0.3702064358454254,Prdx1
ENSMUSG00000079523,0.35890162505004986,0.0,0.0,0.34845523928960714,0.3692588646162444,Tmsb10
ENSMUSG00000044627,0.355692911414148,0.0,0.0,0.345219434240595,0.36607780689161185,Swi5
ENSMUSG00000041453,0.3487734375144644,0.0,0.0,0.3382423860351254,0.3592171458625172,Rpl21
ENSMUSG00000038462,0.34554195210330896,0.0,0.0,0.3349844092094796,0.3560127401110313,Uqcrfs1
ENSMUSG00000060126,0.3447773141524078,0.0,0.0,0.3342135397618217,0.3552544737533121,Tpt1
ENSMUSG00000030744,0.3435878757812303,0.0,0.0,0.3330144360305045,0.35407491935540136,Rps3
ENSMUSG00000055302,0.3434153920525221,0.0,0.0,0.33284055354049374,0.353903866158783,Mrfap1
ENSMUSG00000043866,0.34261180990704204,0.0,0.0,0.33203046420412374,0.3531069394509161,Taf10
ENSMUSG00000047675,0.34196687600426684,0.0,0.0,0.3313803190913448,0.3524673360108448,Rps8
ENSMUSG00000028102,0.3416979472153795,0.0,0.0,0.3311092202679097,0.35220062705518584,Pex11b
ENSMUSG00000055839,0.340427116485572,0.0,0.0,0.3298281586250645,0.350940263134793,Tceb2
ENSMUSG00000018565,0.33813240509605724,0.0,0.0,0.32751507237234107,0.34866435494119485,Elp5
ENSMUSG00000032218,0.33167337534643987,0.0,0.0,0.3210050052315219,0.342257584514174,Ccnb2
ENSMUSG00000014226,0.3293109526182466,0.0,0.0,0.31862416709642116,0.33991403005629506,Cacybp
ENSMUSG00000007039,0.32871311692063376,0.0,0.0,0.31802169256675744,0.3393209482918615,Ddah2
ENSMUSG00000033585,0.3285986626188275,0.0,0.0,0.317906351155757,0.3392074031580321,Ndn
ENSMUSG00000027566,0.32836812668217125,0.0,0.0,0.31767402934833644,0.33897869754569016,Psma7
ENSMUSG00000035530,0.3281127513108547,0.0,0.0,0.31741667718390176,0.3387253482456027,Eif1
ENSMUSG00000057130,0.3276651621893554,0.0,0.0,0.3169656271941507,0.3382813064489684,Txnl4a
ENSMUSG00000030793,0.32437436950374265,0.0,0.0,0.3136495378914556,0.33501644946966397,Pycard
ENSMUSG00000012405,0.32226507122554193,0.0,0.0,0.31152416282028833,0.33292364078497255,Rpl15
ENSMUSG00000018287,0.3188836238827494,0.0,0.0,0.3081171667534714,0.3295684090433677,Spag7
ENSMUSG00000068329,0.316301737417121,0.0,0.0,0.3055159586133058,0.32700635764535935,Htra2
ENSMUSG00000030224,0.31485021895316195,0.0,0.0,0.3040536483291655,0.3255659212131947,Strap
ENSMUSG00000042380,0.3144936040279818,0.0,0.0,0.30369438981115665,0.32521202135503535,Smim12
ENSMUSG00000097219,0.31433771693784684,0.0,0.0,0.303537348091802,0.32505732015912825,Gm26551
ENSMUSG00000021731,0.31300147980258775,0.0,0.0,0.3021912377466242,0.3237312247673594,Mrps30
ENSMUSG00000023391,0.3125577087463852,0.0,0.0,0.301744197284402,0.3232908125101767,Dlx2
ENSMUSG00000022205,0.3123564965007262,0.0,0.0,0.301541504209301,0.32309112166074533,Sub1
ENSMUSG00000020267,0.31218593128098876,0.0,0.0,0.30136968447365564,0.3229218453618362,Hint1
ENSMUSG00000044018,0.31049953925120305,0.0,0.0,0.2996709267488858,0.3212481600259969,Mrpl50
ENSMUSG00000037166,0.3094187761177745,0.0,0.0,0.29858227487743105,0.3201755049623071,Ppp1r14a
ENSMUSG00000063888,0.3093854384896726,0.0,0.0,0.2985486943586803,0.3201424170002826,Rpl7l1
