,Blood_6_corr,Blood_6_pval,Blood_6_qval,Blood_6_ci_low,Blood_6_ci_high,gene_annotation
ENSMUSG00000027562,0.3573413951515916,0.0,0.0,0.34688180515084843,0.36771211265808296,Car2
ENSMUSG00000057388,0.3533520482710756,0.0,0.0,0.3428589640887759,0.3637569665325273,Mrpl18
ENSMUSG00000028124,0.35231707028887316,0.0,0.0,0.34181535940093066,0.362730800142011,Gclm
ENSMUSG00000026815,0.3462644110416519,0.0,0.0,0.3357127688880043,0.3567291662582634,Gfi1b
ENSMUSG00000040466,0.34263163033867955,0.0,0.0,0.3320504449485113,0.3531265959087282,Blvrb
ENSMUSG00000032026,0.3273917434625232,0.0,0.0,0.316690096708275,0.33801005235017756,Rexo2
ENSMUSG00000078350,0.32140574988250586,0.0,0.0,0.31065832265160825,0.3320710071451947,Smim1
ENSMUSG00000021361,0.32096593559008574,0.0,0.0,0.3102151788210356,0.3316346089822966,Tmem14c
ENSMUSG00000054191,0.3194105907217525,0.0,0.0,0.3086480969567265,0.3300913081796622,Klf1
ENSMUSG00000028393,0.31446223463057027,0.0,0.0,0.3036627880187835,0.32518089064304045,Alad
ENSMUSG00000024155,0.31401442619700387,0.0,0.0,0.3032116646616241,0.32473648698905816,Meiob
ENSMUSG00000047181,0.3115601364690103,0.0,0.0,0.3007392929251732,0.3223007736491969,Samd14
ENSMUSG00000022742,0.3106420968390362,0.0,0.0,0.2998145270024437,0.32138964606351544,Cpox
ENSMUSG00000000253,0.30372757901271485,0.0,0.0,0.2928500016223712,0.3145265491356098,Gmpr
ENSMUSG00000032126,0.30325559441226585,0.0,0.0,0.2923746455875712,0.3140580333563424,Hmbs
ENSMUSG00000024158,0.3029249196508207,0.0,0.0,0.29204161198564116,0.3137297857339289,Hagh
ENSMUSG00000026348,0.3025448355271389,0.0,0.0,0.2916588198241975,0.31335248822169615,Acmsd
ENSMUSG00000039183,0.3024032639783682,0.0,0.0,0.2915162404923495,0.31321195374179184,Nubp2
ENSMUSG00000070803,0.30139708409151794,0.0,0.0,0.2905029120079183,0.31221313089140257,Cited4
ENSMUSG00000030000,0.30047649185986947,0.0,0.0,0.28957580065787475,0.3112992489440644,Add2
ENSMUSG00000035239,0.30033164480940633,0.0,0.0,0.2894299297440628,0.31115545587490956,Neu3
ENSMUSG00000055401,0.2994895503173127,0.0,0.0,0.2885818928663947,0.3103194790778932,Fbxo6
ENSMUSG00000038997,0.29622341596437973,0.0,0.0,0.28529287237944506,0.3070769142391682,Asb17
ENSMUSG00000028333,0.2949242983966274,0.0,0.0,0.2839847233226922,0.30578710148336385,Anp32b
ENSMUSG00000023216,0.29128879857431117,0.0,0.0,0.28032416587452486,0.30217742867717334,Epb42
ENSMUSG00000004897,0.29006249032334697,0.0,0.0,0.2790894772373485,0.30095976182858636,Hdgf
ENSMUSG00000005161,0.28937137323099354,0.0,0.0,0.2783936531512127,0.30027349916122636,Prdx2
ENSMUSG00000039956,0.2885048366689992,0.0,0.0,0.2775212311468235,0.29941303322782664,Mrap
ENSMUSG00000106438,0.28805120118990024,0.0,0.0,0.27706452183799063,0.2989625686720404,Gm42749
ENSMUSG00000042770,0.28759055492427105,0.0,0.0,0.27660075931759126,0.2985051373590616,Hebp1
ENSMUSG00000030054,0.28638940259113144,0.0,0.0,0.275391505309598,0.2973123445497076,Gp9
ENSMUSG00000027327,0.2840290458019921,0.0,0.0,0.27301532949569673,0.29496831553452796,1700037H04Rik
ENSMUSG00000000244,0.2839679869648723,0.0,0.0,0.2729538632276129,0.2949076773249504,Tspan32
ENSMUSG00000037336,0.2835188522635324,0.0,0.0,0.27250173432172625,0.2944616339547624,Mfsd2b
ENSMUSG00000022437,0.2821694060794595,0.0,0.0,0.2711433211804327,0.2931214471372133,Samm50
ENSMUSG00000053604,0.28159146112219385,0.0,0.0,0.2705615492605089,0.29254745464561743,Rpia
ENSMUSG00000051839,0.2810134602835451,0.0,0.0,0.26997972914629986,0.2919733987585799,Gypa
ENSMUSG00000028332,0.27831979801495044,0.0,0.0,0.2672683741438688,0.2892980170256614,Hemgn
ENSMUSG00000034825,0.2767066101502215,0.0,0.0,0.2656446741808761,0.2876956949394719,Nrip3
ENSMUSG00000074030,0.27506785413427837,0.0,0.0,0.2639953037088859,0.2860679139265796,Exoc8
ENSMUSG00000000869,0.2725847511802261,0.0,0.0,0.26149624073796524,0.28360131970865626,Il4
ENSMUSG00000026198,0.2721506522330225,0.0,0.0,0.2610593669085468,0.2831700918673614,Abcb6
ENSMUSG00000021301,0.27182283985358446,0.0,0.0,0.2607294620713496,0.28284444466771275,Hecw1
ENSMUSG00000026520,0.27122794493844576,0.0,0.0,0.2601307765021439,0.2822534725059328,Pycr2
ENSMUSG00000073400,0.2704156426487097,0.0,0.0,0.2593133120237178,0.2814465130456139,Trim10
ENSMUSG00000022551,0.2704019596508301,0.0,0.0,0.2592995422064958,0.2814329199125341,Cyc1
ENSMUSG00000025364,0.2695134205020427,0.0,0.0,0.25840537489328874,0.28055020687762117,Pa2g4
ENSMUSG00000034041,0.26840131864608785,0.0,0.0,0.25728625560584595,0.27944537072077613,Lyl1
ENSMUSG00000031897,0.268122540586887,0.0,0.0,0.2570057231135518,0.2791684094186819,Psmb10
ENSMUSG00000026532,0.2677147041610802,0.0,0.0,0.256595323427256,0.27876322749404747,Spta1
ENSMUSG00000041237,0.267594782155106,0.0,0.0,0.25647464847179896,0.2786440852808616,Pklr
ENSMUSG00000032285,0.2669166522140205,0.0,0.0,0.25579226730632926,0.2779703584803259,Dnaja4
ENSMUSG00000021550,0.2657435156673503,0.0,0.0,0.2546118024943932,0.27680481350301556,2210016F16Rik
ENSMUSG00000032028,0.26493247478513093,0.0,0.0,0.2537957146552422,0.27599900197732763,Nxpe2
ENSMUSG00000001014,0.2640959464151464,0.0,0.0,0.2529539973347557,0.2751678510017381,Icam4
ENSMUSG00000028494,0.26366795803549414,0.0,0.0,0.252523360683366,0.2747426074286282,Plin2
ENSMUSG00000033685,0.26253971158908856,0.0,0.0,0.2513881541249493,0.2736215759711382,Ucp2
ENSMUSG00000040767,0.26247983389102725,0.0,0.0,0.251327907900841,0.2735620803418113,Snrnp25
ENSMUSG00000030493,0.26203508624834526,0.0,0.0,0.2508804256983289,0.27312016789899146,Faap24
ENSMUSG00000059895,0.26185773259386574,0.0,0.0,0.2507019829029321,0.27294394354275897,Ptp4a3
ENSMUSG00000031543,0.2608579196158815,0.0,0.0,0.2496960441877881,0.2719504829480466,Ank1
