,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000036309,0.8483797282269406,0.0,0.0,0.8449994040689216,0.8516922585774357,Skp1a
ENSMUSG00000001289,0.8241731210205658,0.0,0.0,0.8203055845577286,0.8279652840089784,Pfdn5
ENSMUSG00000008892,0.8099212103784801,0.0,0.0,0.8057735632877411,0.8139894093854303,Vdac3
ENSMUSG00000024962,0.8068751663415952,0.0,0.0,0.8026682992407447,0.8110017511725959,Vegfb
ENSMUSG00000002477,0.80379559302882,0.0,0.0,0.7995290858897313,0.8079809875506141,Snrpd1
ENSMUSG00000016559,0.7978642396812534,0.0,0.0,0.7934835207340525,0.8021622834437616,H3f3b
ENSMUSG00000041203,0.7914192659774912,0.0,0.0,0.786915425108936,0.7958387882157719,2310036O22Rik
ENSMUSG00000044502,0.789797459882795,0.0,0.0,0.7852627974510926,0.794247399004682,Bod1
ENSMUSG00000109324,0.7842078838437807,0.0,0.0,0.7795674895372725,0.7887621872952586,Prmt1
ENSMUSG00000032388,0.7816462256915876,0.0,0.0,0.7769576317244378,0.7862481160944339,Spg21
ENSMUSG00000042305,0.781440062859558,0.0,0.0,0.7767475967792694,0.7860457764464941,Tmem183a
ENSMUSG00000004667,0.7798363929842769,0.0,0.0,0.7751138427012636,0.7844718121106853,Polr2e
ENSMUSG00000035478,0.7774640115322302,0.0,0.0,0.7726970721362658,0.7821432658884488,Mbd3
ENSMUSG00000030652,0.776990321649367,0.0,0.0,0.7722145356962131,0.7816783128671061,Coq7
ENSMUSG00000030319,0.7754419181238552,0.0,0.0,0.7706372528688136,0.7801584321490151,Cand2
ENSMUSG00000051853,0.7753612932577106,0.0,0.0,0.7705551258791642,0.7800792909310037,Arf3
ENSMUSG00000020792,0.7733690537058827,0.0,0.0,0.7685258195649495,0.778123664352173,Exoc7
ENSMUSG00000026064,0.7720892644846503,0.0,0.0,0.7672222705304413,0.7768673462068966,Ptp4a1
ENSMUSG00000032905,0.7710847541867366,0.0,0.0,0.7661991392501538,0.7758812317762993,Atg12
ENSMUSG00000031819,0.7682982304858619,0.0,0.0,0.7633610903738483,0.773145615741647,Emc8
ENSMUSG00000025465,0.7677634375008533,0.0,0.0,0.7628164304143272,0.7726205723865648,Echs1
ENSMUSG00000023147,0.7673274489105693,0.0,0.0,0.7623724029929699,0.7721925272404762,Wrb
ENSMUSG00000003923,0.7670062954952994,0.0,0.0,0.7620453310809944,0.771877222218632,Tfam
ENSMUSG00000048755,0.7667590623087107,0.0,0.0,0.7617935433889856,0.7716344896621351,Mcat
ENSMUSG00000091337,0.7645716954995693,0.0,0.0,0.7595659464742314,0.7694868797929464,Eid1
ENSMUSG00000097219,0.7640262590948039,0.0,0.0,0.7590104966802568,0.7689513397655579,Gm26551
ENSMUSG00000020610,0.7613104637851456,0.0,0.0,0.7562449521433785,0.7662847168498513,Amz2
ENSMUSG00000042502,0.7604582711531273,0.0,0.0,0.755377185949677,0.7654479187561353,Cd2bp2
ENSMUSG00000042688,0.7583676994251957,0.0,0.0,0.7532484851366228,0.7633950409387558,Mapk6
ENSMUSG00000078429,0.7572409706660956,0.0,0.0,0.7521012509038913,0.7622885854654662,Ctdsp2
ENSMUSG00000039615,0.7551821273406555,0.0,0.0,0.7500050188958275,0.760266710798336,Stub1
ENSMUSG00000090000,0.7549618554416113,0.0,0.0,0.7497807530080192,0.7600503882749929,Ier3ip1
ENSMUSG00000002763,0.7539832352855804,0.0,0.0,0.7487844028200451,0.7590893007022224,Pex6
ENSMUSG00000002844,0.7527157382474362,0.0,0.0,0.7474939769790622,0.7578444785697454,Adprh
ENSMUSG00000031575,0.75265279383951,0.0,0.0,0.7474298949448341,0.757782659233437,Ash2l
ENSMUSG00000036980,0.7515892652782914,0.0,0.0,0.7463471593853666,0.7567381263135727,Taf6
ENSMUSG00000029048,0.7492421398454049,0.0,0.0,0.7439577437734792,0.7544328297552034,Rer1
ENSMUSG00000046562,0.7485217093102882,0.0,0.0,0.7432243597249739,0.7537252125573543,Unc119b
