,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000044221,0.2273144780697775,0.0,0.0,0.2159610429055567,0.23860645279716333,Grsf1
ENSMUSG00000074102,0.22380001587103993,1.242635595835789e-305,6.213177979178945e-302,0.21242807839374564,0.2351113419907201,Rbm15b
ENSMUSG00000037373,0.2235330257934374,6.968469863685784e-305,2.3228232878952615e-301,0.21215969486464575,0.23484581006246155,Ctbp1
ENSMUSG00000019471,0.22272622126256594,1.258054724288878e-302,3.145136810722195e-299,0.2113486899548753,0.23404340158329837,Cdc37
ENSMUSG00000062867,0.22161265769689203,1.5812535539398474e-299,3.1625071078796946e-296,0.21022935469721152,0.23293588018726805,Impdh2
ENSMUSG00000098134,0.22135380408044925,8.258897003826624e-299,1.3764828339711041e-295,0.20996916369595509,0.23267842689698692,Rnf113a2
ENSMUSG00000021647,0.220441177557008,2.757135769219408e-296,3.938765384599154e-293,0.20905183489019338,0.23177072476704408,Cartpt
ENSMUSG00000029246,0.21991048815141737,7.988183832594866e-295,9.985229790743582e-292,0.2085184203389226,0.23124288980855798,Ppat
ENSMUSG00000030512,0.21613976522419587,1.498166014779999e-284,1.66462890531111e-281,0.20472852950549866,0.22749225655214922,Snrpa1
ENSMUSG00000028833,0.21251697545496262,7.192979876454105e-275,7.192979876454105e-272,0.20108764607231586,0.22388845100102808,Ncdn
ENSMUSG00000026112,0.211296302410432,1.1954114030390426e-271,1.0867376391264023e-268,0.1998609476194754,0.2226741045092419,Coa5
ENSMUSG00000038268,0.20913656725116095,5.30579742391658e-266,4.4214978532638176e-263,0.19769063953120805,0.22052547641073125,Ovca2
ENSMUSG00000035296,0.20846386122688662,2.9542898228429323e-264,2.272530632956102e-261,0.1970146632096149,0.21985620739469028,Sgcg
ENSMUSG00000024007,0.20734080761485998,2.3485884838912162e-261,1.6775632027794403e-258,0.19588617423368695,0.21873886782251342,Ppil1
ENSMUSG00000029014,0.20512459339939293,1.1040221012701205e-255,7.360147341800804e-253,0.19365932297157626,0.21653384189786007,Dnajc2
ENSMUSG00000029247,0.20449991873156015,4.260734048236603e-254,2.662958780147877e-251,0.19303167142776653,0.21591229979492294,Paics
ENSMUSG00000063904,0.2036024247065252,7.933095083627215e-252,4.666526519780715e-249,0.19212991683972563,0.21501929025594665,Dpp3
ENSMUSG00000056305,0.20327358955374514,5.350024695242187e-251,2.972235941801215e-248,0.19179952549764184,0.2146920934064982,Usp39
ENSMUSG00000017286,0.2024059446566042,8.096945737714332e-249,4.261550388270701e-246,0.19092778701538138,0.2138287589359816,Glod4
ENSMUSG00000025066,0.20223823425247686,2.1305862798767776e-248,1.0652931399383888e-245,0.19075928743451998,0.21366187965280484,Sfr1
ENSMUSG00000056076,0.2019259342548017,1.2879434736984823e-247,6.133064160468964e-245,0.19044551968307247,0.21335112554076296,Eif3b
ENSMUSG00000044147,0.20058341528551685,2.842515745685298e-244,1.2920526116751355e-241,0.1890967178301749,0.21201522571226972,Arf6
ENSMUSG00000020089,0.2005324171813766,3.8039555592591127e-244,1.6538937214170056e-241,0.18904548191342455,0.21196447820631703,Ppa1
ENSMUSG00000063445,0.1999776756078084,9.001427754604433e-243,3.750594897751847e-240,0.1884881575283713,0.2114124585793635,Nmral1
ENSMUSG00000021266,0.19972546931739574,3.781131733413156e-242,1.5124526933652624e-239,0.18823477944220612,0.21116148737556667,Wars
ENSMUSG00000023883,0.19893429224122702,3.367470200000536e-240,1.2951808461540521e-237,0.18743993634063663,0.2103741750106036,Phf10
ENSMUSG00000029599,0.19887945508335558,4.5932503443136656e-240,1.7012038312272834e-237,0.18738484564522165,0.2103196051692609,Ddx54
ENSMUSG00000057177,0.19780801128362452,1.9408503639370536e-237,6.931608442632334e-235,0.18630846257415912,0.20925337006847056,Gsk3a
ENSMUSG00000029394,0.19768920401841036,3.7861293754684237e-237,1.3055618536098014e-234,0.18618910931700683,0.20913513869469072,Cdk2ap1
ENSMUSG00000109511,0.19757331633786554,7.262422345031919e-237,2.420807448343973e-234,0.1860726893887973,0.2090198124311511,Nup62
ENSMUSG00000014859,0.19682542375270393,4.8117439798297726e-235,1.5521754773644428e-232,0.18532136965760643,0.20827553534827592,E2f4
ENSMUSG00000006456,0.19681757102990755,5.027874810450407e-235,1.5712108782657522e-232,0.1853134810218107,0.20826772051718223,Rbm14
ENSMUSG00000046691,0.19648024023061259,3.3135724009973e-234,1.0041128487870606e-231,0.18497460890136,0.20793201605813866,Chtf8
ENSMUSG00000023004,0.196274423321611,1.045152971784694e-233,3.073979328778512e-231,0.1847678529242454,0.207727190109059,Tuba1b
ENSMUSG00000002524,0.19608099916977234,3.0725412384241424e-233,8.778689252640406e-231,0.1845735471763496,0.2075346963335118,Puf60
ENSMUSG00000006289,0.19606760487822864,3.3106178177835277e-233,9.196160604954244e-231,0.184560091869091,0.20752136643609542,Osgep
ENSMUSG00000001383,0.19602964037557602,4.090362091738021e-233,1.105503268037303e-230,0.1845219544482,0.2074835844277104,Zmat2
ENSMUSG00000026974,0.19596697221344375,5.7988305640546825e-233,1.5260080431722848e-230,0.18445900092503054,0.20742121743486364,Zmynd19
ENSMUSG00000000776,0.19591816209541546,7.609617873407366e-233,1.951184070104453e-230,0.1844099686143293,0.2073726418229318,Polr3d
ENSMUSG00000029623,0.19581451297848637,1.3548081871640017e-232,3.3870204679100043e-230,0.18430584785745005,0.20726949049636476,Pdap1
ENSMUSG00000025140,0.19576809747821658,1.7539386686927563e-232,4.2778991919335515e-230,0.18425922123406016,0.20722329783089577,Pycr1
ENSMUSG00000078812,0.1953814296886987,1.5032666682807063e-231,3.5792063530493005e-229,0.1838707966808136,0.20683848439815708,Eif5a
ENSMUSG00000027305,0.1947654974684988,4.561043750624464e-230,1.0607078489824334e-227,0.18325207349417635,0.20622549870580603,Ndufaf1
ENSMUSG00000066900,0.19446649149927148,2.380442893533075e-229,5.410097485302443e-227,0.18295171593147752,0.20592791989335243,Suds3
ENSMUSG00000026275,0.19446079635739855,2.4564838434412958e-229,5.458852985425102e-227,0.18294599506677695,0.20592225191384383,Ppp1r7
ENSMUSG00000030753,0.19410938603140562,1.706448453426277e-228,3.7096705509266886e-226,0.18259299906022433,0.20557251611375535,Prkrir
ENSMUSG00000032058,0.19353037788773325,4.124841480255989e-227,8.776258468629764e-225,0.1820113847148187,0.20499626064899315,Ppp2r1b
ENSMUSG00000027472,0.19340306474424293,8.2977766680416015e-227,1.7287034725086672e-224,0.18188349959692415,0.20486955170241428,Pdrg1
ENSMUSG00000038848,0.1925645379413343,8.180460544660121e-225,1.669481743808188e-222,0.1810412153153906,0.2040349947400952,Ythdf1
ENSMUSG00000035049,0.19208914208423894,1.093755819144436e-223,2.187511638288872e-221,0.18056369669525787,0.20356184214583364,Rrp12
ENSMUSG00000030663,0.1916530712591561,1.1727771008632213e-222,2.299562942869061e-220,0.1801256834810449,0.20312782430716006,1110004F10Rik
ENSMUSG00000030357,0.19135098715841153,6.04551829812784e-222,1.1625996727168924e-219,0.1798222564882082,0.2028271597503242,Fkbp4
ENSMUSG00000028409,0.1904587604127036,7.547660514154717e-220,1.4240868894631541e-217,0.17892607622421158,0.20193911309366455,Smu1
ENSMUSG00000018042,0.19032039540978768,1.5920303828076712e-219,2.9482044126067984e-217,0.17878709983041266,0.20180139464109614,Cyb5r3
ENSMUSG00000040331,0.18971385322621867,4.166852955111448e-218,7.576096282020815e-216,0.17817788296074077,0.20119768134349938,Nsmce4a
ENSMUSG00000031575,0.18970532630131431,4.362197867866585e-218,7.78963904976176e-216,0.17816931849745388,0.20118919412561054,Ash2l
ENSMUSG00000026849,0.18933980694698152,3.1024541804661196e-217,5.442902070993192e-215,0.17780219164765507,0.20082537525059743,Tor1a
ENSMUSG00000025213,0.18932317318936298,3.391834208655909e-217,5.847990014923982e-215,0.17778548481384174,0.2008088188016373,Kazald1
ENSMUSG00000025980,0.18919106667431504,6.8848190702077425e-217,1.1669184864758887e-214,0.17765279815850102,0.2006773260445969,Hspd1
ENSMUSG00000030216,0.18881458199214649,5.1619351539049994e-216,8.603225256508333e-214,0.17727466246081056,0.20030258821459887,Wbp11
ENSMUSG00000022283,0.18817465275815928,1.5688203872430963e-214,2.5718367003985184e-212,0.17663193473334507,0.19966562047726014,Pabpc1
ENSMUSG00000049354,0.18812422438164184,2.0520352252356964e-214,3.309734234251123e-212,0.17658128624541813,0.1996154250629078,Dcaf7
ENSMUSG00000024312,0.1880073048574079,3.823139359176594e-214,6.068475173296181e-212,0.1764638566222216,0.19949904543560065,Wdr46
ENSMUSG00000059878,0.1879206299356338,6.062231368207626e-214,9.472236512824416e-212,0.17637680376536038,0.19941277054161366,Zfp422
ENSMUSG00000027170,0.18791319126165126,6.306821767367563e-214,9.702802719027021e-212,0.1763693326643902,0.19940536619078603,Eif3m
ENSMUSG00000049792,0.1877706587537961,1.3452887021859279e-213,2.038316215433224e-211,0.1762261790796004,0.19926349109577937,Bag5
ENSMUSG00000039148,0.18740208244279488,9.513171066100671e-213,1.4198762785224882e-210,0.1758559989832946,0.19889661256174365,Sart1
ENSMUSG00000109324,0.18705336210247983,6.030981138560123e-212,8.869089909647241e-210,0.17550576426313955,0.19854949556949392,Prmt1
