,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000016559,0.6863035795729603,0.0,0.0,0.6799355213668425,0.6925681241668096,H3f3b
ENSMUSG00000002844,0.6564299138923646,0.0,0.0,0.6495814376597406,0.6631718752739619,Adprh
ENSMUSG00000029623,0.6507304572891369,0.0,0.0,0.6437928032583826,0.6575611391156742,Pdap1
ENSMUSG00000008892,0.650475709550925,0.0,0.0,0.6435340880912966,0.6573103392107308,Vdac3
ENSMUSG00000002477,0.6471325322788997,0.0,0.0,0.6401389913265495,0.654018830950877,Snrpd1
ENSMUSG00000007836,0.6470872313397275,0.0,0.0,0.6400929887401651,0.653974228349952,Hnrnpa0
ENSMUSG00000057130,0.6459049889642842,0.0,0.0,0.6388924528417819,0.6528101939444445,Txnl4a
ENSMUSG00000041203,0.6438691114323858,0.0,0.0,0.6368251530445602,0.6508055949696548,2310036O22Rik
ENSMUSG00000004667,0.6437248647383059,0.0,0.0,0.6366786838515294,0.6506635607658271,Polr2e
ENSMUSG00000041319,0.6385232547467216,0.0,0.0,0.6313972691138213,0.6455414098725488,Thoc6
ENSMUSG00000002524,0.635473953689455,0.0,0.0,0.6283014920491155,0.6425383959529645,Puf60
ENSMUSG00000041571,0.6351318395385861,0.0,0.0,0.627954177727331,0.6422014614144652,Selenow
ENSMUSG00000028833,0.6329845291669959,0.0,0.0,0.625774293300515,0.6400865989618479,Ncdn
ENSMUSG00000006456,0.6322282058802822,0.0,0.0,0.6250065236365672,0.6393416788146935,Rbm14
ENSMUSG00000020267,0.6321473032488072,0.0,0.0,0.6249243974325416,0.6392619951673498,Hint1
ENSMUSG00000036309,0.6309461327766992,0.0,0.0,0.6237050792476494,0.6380789051154501,Skp1a
ENSMUSG00000040331,0.6288604093003517,0.0,0.0,0.6215879276331062,0.6360244966279589,Nsmce4a
ENSMUSG00000059878,0.6271458970098571,0.0,0.0,0.6198476602566297,0.6343356499175152,Zfp422
ENSMUSG00000035478,0.6271105380778238,0.0,0.0,0.6198117709247677,0.6343008195726221,Mbd3
ENSMUSG00000109324,0.6257559821533357,0.0,0.0,0.6184369190420452,0.6329664911737506,Prmt1
ENSMUSG00000019578,0.625348082242011,0.0,0.0,0.6180229161491348,0.6325646740217559,Ubxn6
ENSMUSG00000020792,0.6249360602290724,0.0,0.0,0.6176047336045143,0.6321587922945853,Exoc7
ENSMUSG00000008683,0.6244202523421017,0.0,0.0,0.6170812192279342,0.6316506658072936,Rps15a
ENSMUSG00000028066,0.6241614649106213,0.0,0.0,0.6168185677991381,0.6313957298922672,Pmf1
ENSMUSG00000003923,0.6234822315052088,0.0,0.0,0.6161292004276515,0.6307265980347763,Tfam
ENSMUSG00000021901,0.6232189403556748,0.0,0.0,0.6158619840799229,0.630467219649565,Bap1
ENSMUSG00000030652,0.6228939922646384,0.0,0.0,0.6155321939300165,0.630147098373682,Coq7
ENSMUSG00000006941,0.6222217112811415,0.0,0.0,0.6148499034569234,0.6294847956993784,Eif1b
ENSMUSG00000030056,0.6166326297446506,0.0,0.0,0.6091780341273809,0.6239782613103485,Isy1
ENSMUSG00000031819,0.6145324255566297,0.0,0.0,0.6070469179592578,0.621908887208946,Emc8
