,Pharyngeal Mesoderm/Neural Crest_1_corr,Pharyngeal Mesoderm/Neural Crest_1_pval,Pharyngeal Mesoderm/Neural Crest_1_qval,Pharyngeal Mesoderm/Neural Crest_1_ci_low,Pharyngeal Mesoderm/Neural Crest_1_ci_high,gene_annotation
ENSMUSG00000049751,0.1902366956867341,2.4997919727303578e-219,2.4997919727303577e-215,0.17870303048834438,0.20171808580873737,Rpl36al
ENSMUSG00000039001,0.18825873286168016,1.0024634776317652e-214,5.012317388158826e-211,0.17671638196834744,0.19974931202483268,Rps21
ENSMUSG00000025362,0.18743311950491498,8.069753759406926e-213,2.689917919802309e-209,0.17588717097100837,0.19892750678174315,Rps26
ENSMUSG00000034892,0.17341296841418033,7.572012693904376e-182,1.893003173476094e-178,0.16180842766208628,0.1849695546384668,Rps29
ENSMUSG00000035242,0.17166050833334576,3.6931438119179346e-178,7.386287623835869e-175,0.16004897587942052,0.18322454128142238,Oaz1
ENSMUSG00000070493,0.17112062398532124,4.960012308772052e-177,8.266687181286754e-174,0.1595069524477064,0.1826869363788479,Chchd2
ENSMUSG00000030432,0.16904503542043742,9.926134439940407e-173,1.4180192057057724e-169,0.15742320536699933,0.18062004674347673,Rpl28
ENSMUSG00000028998,0.16565120405615674,8.098083926943713e-166,1.012260490867964e-162,0.15401625680766937,0.17724021889072356,Tomm7
ENSMUSG00000033751,0.16479849726493068,4.181159967231419e-164,4.645733296923799e-161,0.15316029778187673,0.1763909875384226,Gadd45gip1
ENSMUSG00000059278,0.16211445200710273,8.937527083805424e-159,8.937527083805424e-156,0.15046612953405333,0.1737177691786691,Naa38
ENSMUSG00000047675,0.15934477071937272,2.25505897421272e-153,2.0500536129206544e-150,0.14768618364975675,0.1709590809480053,Rps8
ENSMUSG00000045128,0.15700802204378542,6.816029859880038e-149,5.680024883233365e-146,0.14534091811521258,0.16863146535277262,Rpl18a
ENSMUSG00000024925,0.15685702068496676,1.3201708047874713e-148,1.0155160036826703e-145,0.1451893709044977,0.1684810497169255,Rnaseh2c
ENSMUSG00000090733,0.1557862634568377,1.4061415675745898e-146,1.0043868339818498e-143,0.14411475872182997,0.1674144303460176,Rps27
ENSMUSG00000041841,0.15306023725635534,1.7497286765491906e-141,1.166485784366127e-138,0.1413790424932281,0.164698815785788,Rpl37
ENSMUSG00000058546,0.15200608913188401,1.5402422322137864e-139,9.626513951336165e-137,0.14032119509040344,0.163648646508949,Rpl23a
