,Amnion_1_corr,Amnion_1_pval,Amnion_1_qval,Amnion_1_ci_low,Amnion_1_ci_high,gene_annotation
ENSMUSG00000053580,0.836198794521806,0.0,0.0,0.8325714995834972,0.8397543767172104,Tanc2
ENSMUSG00000050945,0.8295410047064824,0.0,0.0,0.8257802649524502,0.833227979646991,Zfp438
ENSMUSG00000055228,0.8280773829895768,0.0,0.0,0.8242874534761875,0.8317931050235263,Zfp935
ENSMUSG00000071573,0.8253069967792828,0.0,0.0,0.8214619602950459,0.8290769961980625,Rnls
ENSMUSG00000050567,0.8239909541201835,0.0,0.0,0.8201198057903049,0.8277866750977366,Maml1
ENSMUSG00000070871,0.8218977019046023,0.0,0.0,0.8179851087292545,0.8257342519797062,Ccnyl1
ENSMUSG00000033389,0.8216928237245159,0.0,0.0,0.817776179902441,0.8255333645109938,Arhgap44
ENSMUSG00000004631,0.8212961829891512,0.0,0.0,0.8173717001163656,0.825144446960195,Sgce
ENSMUSG00000023809,0.8206805509760776,0.0,0.0,0.8167439086582526,0.8245407949923952,Rps6ka2
ENSMUSG00000039531,0.8190352830627502,0.0,0.0,0.8150661905358124,0.8229275004552757,Zufsp
ENSMUSG00000070709,0.8185772281737344,0.0,0.0,0.8145991131116135,0.8224783360229648,Zfp974
ENSMUSG00000019820,0.8170222178174912,0.0,0.0,0.8130135114287257,0.8209534708028224,Utrn
ENSMUSG00000035164,0.8167836351982578,0.0,0.0,0.8127702404947778,0.8207195083392899,Zc3h12c
ENSMUSG00000022637,0.8140281294801666,0.0,0.0,0.8099606885948007,0.8180172673605418,Cblb
ENSMUSG00000028344,0.8117345557720101,0.0,0.0,0.80762227134462,0.8157678948184549,Invs
ENSMUSG00000021013,0.8088238536362012,0.0,0.0,0.8046548458782822,0.8129131113104131,Ttc8
ENSMUSG00000020728,0.8079591133272953,0.0,0.0,0.8037732937655189,0.8120649459971394,Cep112
ENSMUSG00000055917,0.8075552682052229,0.0,0.0,0.8033616036058642,0.8116688356742533,Zfp277
ENSMUSG00000058317,0.807198104179372,0.0,0.0,0.8029975047031985,0.811318509217227,Ube2e2
ENSMUSG00000014547,0.8061046568111688,0.0,0.0,0.801882845903026,0.810245976470345,Wdfy2
ENSMUSG00000062590,0.8053182775475626,0.0,0.0,0.801081230089126,0.8094746213179594,Armc9
ENSMUSG00000030924,0.803934670211418,0.0,0.0,0.7996708514616244,0.8081174135618127,2610020H08Rik
ENSMUSG00000027695,0.803736887804649,0.0,0.0,0.7994692460247077,0.8079234012654067,Pld1
ENSMUSG00000020647,0.801929294976927,0.0,0.0,0.7976267579188527,0.8061502225566954,Ncoa1
ENSMUSG00000026839,0.8014330428724256,0.0,0.0,0.7971209397985194,0.8056634051565225,Upp2
ENSMUSG00000045790,0.801299081984365,0.0,0.0,0.7969843976474621,0.8055319901424337,Ccdc149
ENSMUSG00000038122,0.8011596774337904,0.0,0.0,0.7968423074093943,0.8053952344783739,Tbc1d32
ENSMUSG00000022911,0.8009122167099227,0.0,0.0,0.7965900804265479,0.8051524747526996,Arl13b
ENSMUSG00000096975,0.8008751814743917,0.0,0.0,0.7965523319970816,0.8051161429513247,Gm16386
ENSMUSG00000059423,0.7998975998913155,0.0,0.0,0.7955559371433484,0.8041571176991853,Zfp933
ENSMUSG00000044991,0.7997676985930794,0.0,0.0,0.7954235377003536,0.8040296805019677,1110034G24Rik
ENSMUSG00000078532,0.7992662000591924,0.0,0.0,0.7949123986888356,0.8035376912326383,Nkain1
ENSMUSG00000026131,0.7991663027866083,0.0,0.0,0.7948105817949899,0.8034396874850792,Dst
ENSMUSG00000059142,0.798687575363681,0.0,0.0,0.7943226585718698,0.8029700309933783,Zfp945
ENSMUSG00000039089,0.7981184516541665,0.0,0.0,0.793742609980862,0.8024116841252976,L3mbtl3
ENSMUSG00000020056,0.7976289587510232,0.0,0.0,0.7932437271530702,0.8019314541740579,Ccdc53
ENSMUSG00000053347,0.7975879086658078,0.0,0.0,0.7932018898731213,0.8018911806501908,Zfp943
ENSMUSG00000050954,0.7967407766105535,0.0,0.0,0.7923385220795589,0.8010600654100782,Zfp169
ENSMUSG00000032220,0.7966637648902823,0.0,0.0,0.7922600352628749,0.8009845089327107,Myo1e
ENSMUSG00000041308,0.7963730255312789,0.0,0.0,0.7919637283431427,0.8006992622551137,Sntb2
ENSMUSG00000076433,0.7963346731080706,0.0,0.0,0.7919246416390118,0.80066163424384,BC100451
ENSMUSG00000021725,0.7959965051822885,0.0,0.0,0.7915800008428117,0.800329852256576,Parp8
ENSMUSG00000048232,0.7958540245748137,0.0,0.0,0.7914347938561115,0.800190061447865,Fbxo10
ENSMUSG00000041471,0.7952947425869732,0.0,0.0,0.7908648147787124,0.799641333226725,Fam35a
ENSMUSG00000074158,0.7952103606475102,0.0,0.0,0.7907788195779254,0.7995585429616396,Zfp976
ENSMUSG00000034235,0.7948328183892835,0.0,0.0,0.7903940613970551,0.799188120160213,Usp54
ENSMUSG00000022335,0.794703141372259,0.0,0.0,0.790261906685812,0.7990608877483525,Zfat
ENSMUSG00000021254,0.7945394478258441,0.0,0.0,0.7900950860929602,0.7989002795121346,Gpatch2l
ENSMUSG00000052446,0.7945275766066326,0.0,0.0,0.7900829881228254,0.7988886320185097,Zfp961
ENSMUSG00000006526,0.7941212826858693,0.0,0.0,0.7896689357111819,0.7984899931615557,Tmem110
ENSMUSG00000039480,0.7935136930152942,0.0,0.0,0.7890497512217721,0.7978938440589081,Nt5dc1
ENSMUSG00000032846,0.7932190140804973,0.0,0.0,0.788749452105061,0.7976047106753638,Zswim6
ENSMUSG00000032688,0.7930904393802294,0.0,0.0,0.7886184258681003,0.7974785549857698,Malt1
ENSMUSG00000039286,0.7929463746369695,0.0,0.0,0.7884716147216189,0.7973372002277869,Fndc3b
ENSMUSG00000034401,0.7922949835259825,0.0,0.0,0.7878078120678652,0.7966980563466325,Spata6
