,Blood_5_corr,Blood_5_pval,Blood_5_qval,Blood_5_ci_low,Blood_5_ci_high,gene_annotation
ENSMUSG00000055609,0.7128869753705596,0.0,0.0,0.7069647858104471,0.7187092016594465,Hba-x
ENSMUSG00000052187,0.6993209757240358,0.0,0.0,0.6931690892594913,0.7053709814470409,Hbb-y
ENSMUSG00000052217,0.6609339450824615,0.0,0.0,0.6541565038844448,0.6676052586443747,Hbb-bh1
ENSMUSG00000063856,0.656564915442032,0.0,0.0,0.6497185611677111,0.6633047661395475,Gpx1
ENSMUSG00000069917,0.638616735757185,0.0,0.0,0.6314921785062771,0.6456334684513241,Hba-a2
ENSMUSG00000069919,0.6340485291149084,0.0,0.0,0.6268544197315957,0.6411345343024253,Hba-a1
ENSMUSG00000027078,0.5964798610693058,0.0,0.0,0.5887330849992556,0.6041170768462738,Ube2l6
ENSMUSG00000073940,0.5393378356817267,0.0,0.0,0.5308164443364717,0.5477501829454551,Hbb-bt
ENSMUSG00000032126,0.5303942153898467,0.0,0.0,0.5217587827060678,0.5389209655628477,Hmbs
ENSMUSG00000054191,0.5287503280091427,0.0,0.0,0.5200941456810626,0.5372979022170653,Klf1
ENSMUSG00000051839,0.5179827645526925,0.0,0.0,0.5091922965891983,0.5266651717500512,Gypa
ENSMUSG00000005161,0.497946078012258,0.0,0.0,0.4889132321000898,0.50687215351081,Prdx2
ENSMUSG00000073400,0.48312766086351944,0.0,0.0,0.47392183844585556,0.4922278879069383,Trim10
ENSMUSG00000070803,0.4480058444261234,0.0,0.0,0.43841134266806125,0.4574982504459414,Cited4
ENSMUSG00000028332,0.44787383770687866,0.0,0.0,0.43827793156288736,0.45736766309574917,Hemgn
ENSMUSG00000021102,0.44268694332640046,0.0,0.0,0.43303618980039066,0.4522362153522035,Glrx5
ENSMUSG00000024661,0.4359406989073699,0.0,0.0,0.4262195855099129,0.4455611406597108,Fth1
ENSMUSG00000055401,0.4334141895729534,0.0,0.0,0.42366701008203517,0.44306100947756194,Fbxo6
ENSMUSG00000058794,0.4324288236637589,0.0,0.0,0.4226715200745984,0.4420858906571905,Nfe2
ENSMUSG00000028393,0.4287686905018278,0.0,0.0,0.41897398718841883,0.4384636203425114,Alad
ENSMUSG00000039956,0.4267966498952222,0.0,0.0,0.41698193066274863,0.43651184925908104,Mrap
ENSMUSG00000073063,0.42338356822054196,0.0,0.0,0.41353442951744385,0.4331336326783781,Hbq1b
ENSMUSG00000032596,0.4137294059568035,0.0,0.0,0.4037844381086615,0.42357660549588677,Uba7
ENSMUSG00000026815,0.4090965032613895,0.0,0.0,0.3991063503432963,0.41898953808788103,Gfi1b
ENSMUSG00000018659,0.4077000628795649,0.0,0.0,0.3976963923704308,0.41760681423803403,Pnpo
ENSMUSG00000040466,0.405389826240979,0.0,0.0,0.3953638962953862,0.4153191691426198,Blvrb
ENSMUSG00000000253,0.4035746983069948,0.0,0.0,0.393531370065662,0.4135217030343095,Gmpr
ENSMUSG00000052305,0.3985450617632053,0.0,0.0,0.3884539406029717,0.4085406014900669,Hbb-bs
ENSMUSG00000021361,0.3927340305103526,0.0,0.0,0.38258845427705046,0.40278490413776624,Tmem14c
ENSMUSG00000000869,0.38908272482450074,0.0,0.0,0.3789033505883316,0.3991679602838105,Il4
ENSMUSG00000030054,0.38059201143198135,0.0,0.0,0.37033529159056555,0.3907559377835717,Gp9
ENSMUSG00000039183,0.37302504586541707,0.0,0.0,0.3627008657557825,0.3832576709948996,Nubp2
ENSMUSG00000030000,0.3686990212668082,0.0,0.0,0.3583368967071295,0.37897031536222275,Add2
ENSMUSG00000028494,0.36732056891574155,0.0,0.0,0.3569464487930598,0.3776040919213832,Plin2
ENSMUSG00000027495,0.36578508806746335,0.0,0.0,0.3553976600112564,0.3760821803413627,Fam210b
ENSMUSG00000023216,0.3640071485482904,0.0,0.0,0.3536043824377013,0.3743198833196627,Epb42
ENSMUSG00000028927,0.35911055410083836,0.0,0.0,0.3486659409786348,0.3694659844911767,Padi2
ENSMUSG00000027562,0.343897689481705,0.0,0.0,0.3333267639791944,0.35438216178517634,Car2
ENSMUSG00000024184,0.33784152721703514,0.0,0.0,0.32722187438174655,0.3483758516871717,Pdia2
ENSMUSG00000035239,0.33500890799870997,0.0,0.0,0.32436676842226303,0.3455662526212112,Neu3
ENSMUSG00000032028,0.33325865755300504,0.0,0.0,0.3226027205325453,0.3438301315102527,Nxpe2
ENSMUSG00000024155,0.33162332194333227,0.0,0.0,0.32095456025710384,0.34220793224458634,Meiob
ENSMUSG00000026348,0.3291471562048718,0.0,0.0,0.31845909886627033,0.3397515369753634,Acmsd
ENSMUSG00000024014,0.3256063713965885,0.0,0.0,0.31489097965700463,0.33623877152164483,Pim1
ENSMUSG00000032026,0.32141831397888987,0.0,0.0,0.3106709819309527,0.3320834735865398,Rexo2
ENSMUSG00000057388,0.31906396817531235,0.0,0.0,0.3082988666765782,0.3297473619804907,Mrpl18
